Id|Description|Speaker|Text
Ending01|Ending 01|Persephone|... Ich habe viele Tage damit zugebracht, diesen Garten zu pflegen ... oder waren es Nächte? Es ist recht schwierig hier, die Zeit zu bestimmen. Aber er hält sich länger, als ich erwartet hätte ...
Ending01|Ending 01|Hades|... Persephone ... ich ...
Ending01|Ending 01|Persephone|Kerberos! Wie sehr ich dich vermisst habe. Und pflichtbewusst wie eh und je.
Ending01|Ending 01|Hades|... Es tut mir leid. Ich hoffe, du weißt, dass es mir leid tut.
Ending01|Ending 01|Persephone|Hades ... du siehst müde aus. Aber ich bin nicht die Einzige, bei der du dich entschuldigen solltest.
Ending01|Ending 01|Hades|Ich weiß. Ich weiß, ich... Warum bist du zurückgekommen? Wenn der Olymp ... wenn deine Mutter erfährt, was geschah, könnte nicht einmal Zeus, nicht einmal *er * könnte dem Einhalt gebieten, was hier passieren würde!
Ending01|Ending 01|Persephone|Oh, ich hätte da ein paar Ideen, wie wir das geregelt bekommen. Allerdings brauche ich dafür dich und Zagreus, um zusammen mit mir an einer Lösung zu arbeiten. Oder aber, wenn dir das lieber wäre, dann könnte ich auch wieder dahin zurückkehren, wo ich hergekommen bin?
Ending01|Ending 01|Hades|Eine Lösung? Hast du vor, sie auf einen Trunk Ambrosia zu uns einzuladen? Nicht einmal du kannst eine zerbrochene Familie wieder zusammenfügen, Persephone.
Ending01|Ending 01|Persephone|Du hast recht, Hades, ich kann das nicht. Gewiss nicht allein. Also, hilfst du mir dabei oder nicht?
Ending01|Ending 01|Hades|... Ich würde alles tun, was du von mir verlangst.
Ending01|Ending 01|Persephone|Dann rede zuerst mit deinem Sohn.
Ending01|Ending 01|Hades|... Mm. Zagreus? Du hast Persephone, unsere Königin, bereits kennengelernt. Ich erwarte von dir, dass du ihr stets Ehrerbietung erweist!
Ending01|Ending 01|Zagreus|Wow, Vater, du hast mich bei meinem Namen genannt! Was ist nur dieses merkwürdige Gefühl, das ich spüre? Vielleicht ist es diese Ehrerbietung, von der du sprichst?
Ending01|Ending 01|Persephone|Ach, hört schon auf, ihr beiden. Lass mich das nicht bereuen, Hades. Sprich offen und ehrlich mit ihm. Über dich selbst, nicht über mich. Nur zu.
Ending01|Ending 01|Hades|Richtig. Ich ... Zagreus. Ich bin mir bewusst, dass es Zeiten gab ... als ich meine Launen an dir ausgelassen habe. Ich habe dir sehr wenig Geduld entgegengebracht. Oft dein Urteilsvermögen in Frage gestellt, als mein eigenes mangelhaft war. Deshalb bitte ich dich um Verzeihung, mein Sohn. Ich habe keine Entschuldigung dafür. Ich bitte dich nicht um Vergebung.
Ending01|Ending 01|Zagreus|Und als du mich über Mutter angelogen hast? Entschuldigst du dich auch dafür? Für deine üblen Launen und diese an mir auszulassen ... Ich habe mich schon lange daran gewöhnt, nichts anderes von dir zu erwarten. Und das habe ich dir übel genommen. Aber ich dachte immer ... dass du ehrlich zu mir bist.
Ending01|Ending 01|Hades|Deine Mutter kam nicht freiwillig hierher, als wir uns ursprünglich kennenlernten. Als sie uns verließ ... in dem Glauben, dass du tot geboren wurdest ... war ihre Entscheidung endgültig. Ich war der Überzeugung, dass es ihr besser ginge, ohne uns alle, einschließlich des Olymps. Euch beide zu hintergehen ... hat an mir gezehrt. Aber ich musste es tun.
