Id|Description|Speaker|Text
AchillesFirstMeeting_Alt|Achilles First Meeting Alt|Achilles|Schön, dich zu sehen, Junge. Du warst in letzter Zeit sehr beschäftigt, nicht wahr. Sag bescheid, wenn ich etwas für dich tun kann. Aber so viel ich weiß, kommst du ja recht gut zurecht.
AchillesGrantsCodex|Achilles Grants Codex|Achilles|Du wirst die Sache da draußen schon in den Griff bekommen, Junge. Unsere Sparringskämpfe waren nützlich, aber der beste Lehrmeister ist die Praxis. Wie dem auch sei, ich habe etwas für dich.
AchillesGrantsCodex|Achilles Grants Codex|Zagreus|Was, warte, du gibst mir deinen Kodex? Das kann ich unmöglich annehmen!
AchillesGrantsCodex|Achilles Grants Codex|Achilles|Bitte, ich muss darauf bestehen. Ich möchte, dass du dich mehr für Geschichte interessierst und nicht nur für die Kriegskunst. Außerdem kannst du ihn vielleicht zu Ende schreiben.
AchillesLoungeClosed01|Achilles Lounge Closed 01|Zagreus|Achilles, hat Kerberos wirklich den Salon zerstört, gleich nachdem ich losgezogen war? Er muss dafür viel Ärger bekommen haben.
AchillesLoungeClosed01|Achilles Lounge Closed 01|Achilles|Ich wünschte bloß, du hättest es sehen können, Junge. Der Salon sah aus wie ein Weinberg nach einem Taifun! Dein ehrwürdiger Vater war, nun, fuchshadeswild. Aber er wird nie richtig wütend auf den Hund. Arme Dusa, sie muss alles sauber machen.
AchillesLoungeClosed01|Achilles Lounge Closed 01|Zagreus|Oh nein, ich hatte mich schon gefragt, was wohl aus Dusa wurde. Sie hat ständig Angst, dass Vater sie feuern könnte, und dann auch das noch.
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Achilles|Ich muss sagen, Junge, hier ist in letzter Zeit mehr los als sonst. Überall im Haus rumoren Handwerker, es gibt neues Mobiliar... wirklich schön. Wir haben dir dafür zu danken, nicht wahr.
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Zagreus|Oh, das? Nicht der Rede wert. Aber ich bin froh, dass sich dadurch manches bessert. Unser Baumeister kümmert sich um alles. Ich gebe ihm nur Anweisungen.
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Achilles|Und die Geldmittel. Dein Vater führt die Unterwelt auf seine Weise. Dieses alte Haus ist großzügig, aber er hat wohl schon vor langer Zeit aufgegeben, es wohnlich zu machen. Die Änderungen sind also willkommen.
AchillesMiscMeeting01|Achilles Misc Meeting 01|Achilles|Nur weiter so, Junge. Ich bin zu Lebzeiten vielen großen Menschen begegnet und erkenne immer, ob jemand besser ist als seine Umstände. Kämpfe da draußen, wie ich es tun würde.
AchillesMiscMeeting01|Achilles Misc Meeting 01|Zagreus|Ich werde ihnen die Hölle heiß machen, so wie du einst, Achilles. Obwohl viele der Schatten, die gegen mich antreten, sicher von dir in den Tartaros geschickt wurden.
AchillesMiscMeeting02|Achilles Misc Meeting 02|Zagreus|Weißt du zufällig, wem ich für die Waffen vor meinem Gemach Dank schulde, Achilles?
AchillesMiscMeeting02|Achilles Misc Meeting 02|Achilles|Zufällig nicht, Junge. Aber falls ich ihm begegne, werde ich es ihm sagen.
AchillesMiscMeeting03|Achilles Misc Meeting 03|Achilles|Dein Feind ist nicht die Schar der elenden Toten und auch nicht dein Vater, Junge. Dein Feind ist die Unterwelt selbst. Sie ist darauf ausgelegt, Fluchtversuche zu vereiteln. Du musst inzwischen bemerkt haben, dass die Gemächer sich neu anzuordnen scheinen.
AchillesMiscMeeting03|Achilles Misc Meeting 03|Zagreus|Die Unterwelt selbst mein Feind... Ich werde mich nach besten Kräften bemühen, auf alles gefasst zu sein, Herr.
AchillesMiscMeeting04|Achilles Misc Meeting 04|Achilles|Die weggeschlossenen Waffen vor deinen Gemächern... dein Vater wird ihr Fehlen nicht bemerken, glaube ich. Sie erinnern ihn an eine Zeit, als er zusammen mit seinen Geschwistern kämpfte. Er will nichts mehr davon wissen. Ich glaube, es ist recht, dass du ihre Macht geerbt hast.
AchillesMiscMeeting04|Achilles Misc Meeting 04|Zagreus|Eine Macht, die einst die Titanen einsperrte... und die es vielleicht vermag, mich von hier zu befreien. Danke für deine Hilfe, Achilles.
AchillesAboutFistWeapon01|Achilles About Fist Weapon 01|Zagreus|Ich habe kürzlich die Zwillingsfäuste des Malphon kennengelernt, Herr. Sie füllten mich mit einem nie gekannten Kampfhunger. Wie merkwürdig, dass eine leere Hand so zerstörerisch sein kann wie eine Waffe.
AchillesAboutFistWeapon01|Achilles About Fist Weapon 01|Achilles|Die leere Hand ist zerstörerischer denn jede andere Waffe, Junge. Sie ist die einzige Waffe, die alle anderen führen kann. Und ohne sie sind alle anderen fast machtlos. Die Zwillingsfäuste bezeugen dies. Sei vorsichtig bei der Handhabung. Verliere nicht deinen Kopf da draußen.
AchillesAboutGunWeapon01|Achilles About Gun Weapon 01|Zagreus|Im Hof fand ich eine weitere Waffe vor, Achilles. *Exagryph*. Ich hatte immer leise Zweifel, dass es existierte.
