Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|Ich hatte Gelegenheit, mit meinen Schwestern zu sprechen, und wir sind zu einer Vereinbarung gekommen, Zagreus. Wie du sehen kannst.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Megaira, Tis, seid ihr bereit?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|{#DialogueItalicFormat}Mmörrderr{#PreviousFormat}!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Drei gegen einen. Das scheint mir nicht sehr gerecht!
FurySistersUnion01|Fury Sisters Union 01|Megaera|Die Zeit der Gerechtigkeit ist für jeden von uns schon lange vorbei. Wir werden dich töten, egal zu welchem Preis. Erinyen! {#DialogueItalicFormat}Jetzt{#PreviousFormat}.
FurySisterUnionSingleSis01|Fury Sister Union Single Sis 01|Megaera|Siehst du, Alekto? Er ist pünktlich, genau wie ich gesagt habe.
FurySisterUnionSingleSis01|Fury Sister Union Single Sis 01|Alecto|Megaira, bring ihn zum {#DialogueItalicFormat}Bluten{#PreviousFormat}!
Fury2SisterUnion01|Fury 2 Sister Union 01|Alecto|Bist du bereit, Megaira? Tisiphone? Los.
Fury2SisterUnionSingleSis01|Fury 2 Sister Union Single Sis 01|Alecto|Sieh mal einer an, Schwesterherz! Der Gott des Abschaums ist hier. Machen wir uns an die Arbeit.
Fury2SisterUnionWithMeg01|Fury 2 Sister Union With Meg 01|Alecto|Ugh, {#DialogueItalicFormat}sieh {#PreviousFormat}dir ihn nur an! Dieser selbstgefällige Blick, diese Haltung, {#DialogueItalicFormat}einfach alles{#PreviousFormat}! Bitte sag mir, dass du bei diesem Gott des Abschaums nicht weich wirst, Schwester.
Fury2SisterUnionWithMeg01|Fury 2 Sister Union With Meg 01|Megaera|Jetzt komm schon, Alekto. Wann war denn das letzte Mal, als du meine Zustimmung gesucht hast oder ich die deine? Außerdem was kümmert es dich, solange wir ihn töten?
Fury2SisterUnionWithMeg01|Fury 2 Sister Union With Meg 01|Alecto|Guter Punkt, Schwester! Das hast du sehr schön gesagt. {#DialogueItalicFormat}Komm schon, töten wir ihn{#PreviousFormat}!
Fury2SisterUnionWithMeg02|Fury 2 Sister Union With Meg 02|Alecto|Sieh dir dieses schreckliche Stück Abschaum an! Taucht schon wieder hier auf und blutet unseren ganzen Boden voll. Bist du bereit, es mit meiner lieblichen Schwester aufzunehmen, Rotblut?
Fury2SisterUnionWithMeg02|Fury 2 Sister Union With Meg 02|Megaera|So schrecklich ist er gar nicht, wenn du ihn erstmal näher kennenlernst, Schwesterherz. Nicht, dass es eine Rolle spielt, bei dem, was wir gleich mit ihm tun werden.
Fury2SisterUnionWithMeg02|Fury 2 Sister Union With Meg 02|Alecto|Ihr beide widert mich an, Meg, weißt du das? Reiß dich zusammen und {#DialogueItalicFormat}töte {#PreviousFormat}ihn endlich, verdammt!
Fury2PactReaction01|Fury 2 Pact Reaction 01|Alecto|Du musst einen Pakt unterzeichnet haben! Liege ich da richtig, Rotblut? Sag es mir sofort.
Fury2PactReaction01|Fury 2 Pact Reaction 01|Zagreus|Um die Wahrheit zu sagen, das habe ich in der Tat. Aber ich wüsste wirklich nicht, was dich das angeht, Alekto.
Fury2PactReaction01|Fury 2 Pact Reaction 01|Alecto|Ich arbeite gern {#DialogueItalicFormat}allein{#PreviousFormat}! Und wie du ganz klar sehen kannst, tue ich das im Moment nicht! Deshalb geht mich das sehr wohl etwas an. Und was mich außerdem noch angeht: {#DialogueItalicFormat}dich {#PreviousFormat} zu töten!
Fury2PactDisabledReaction01|Fury 2 Pact Disabled Reaction 01|Alecto|{#DialogueItalicFormat}Puh{#PreviousFormat}! Und ich dachte schon, dass niemals mehr Ruhe einkehren würde, Rotblut! Dieser verdammte Pakt, den du aus reiner Dummheit unterzeichnet hast, zwingt mich dazu, wieder mit meinen Schwestern zusammenzuarbeiten. Das wirst du mir noch büßen!
Fury2PactDisabledReaction01|Fury 2 Pact Disabled Reaction 01|Zagreus|Ich erkenne da ein gewisses Muster, dass es nicht wirklich viel dazu braucht, mich für etwas büßen zu lassen, stimmt's?
Fury2PactDisabledReaction01|Fury 2 Pact Disabled Reaction 01|Alecto|Oh, das sagt der Richtige! Wie clever von dir, du bist ja so {#DialogueItalicFormat}klug{#PreviousFormat}! Weißt du was, dafür lasse ich dich auch büßen.
Fury2FirstAppearance|Fury 2 First Appearance|Alecto|{#DialogueItalicFormat}Ah, hah hah, hohohohohhh. {#PreviousFormat}Endlich. Darauf habe ich so lange gewartet. Wirklich.
Fury2FirstAppearance|Fury 2 First Appearance|Zagreus|Du musst eine von Megairas lieblichen Schwestern sein. Ich denke nicht, dass wir schon das Vergnügen hatten. Auf was genau hast du denn schon so lange gewartet?
Fury2FirstAppearance|Fury 2 First Appearance|Alecto|... Ich habe es so satt, weißt du. Ich möchte eigentlich nur meinen normalen Aufgaben nachgehen, ohne ständig dabei unterbrochen zu werden. Mal nicht das von Meg hinterlassene Chaos aufräumen zu müssen!
Fury2FirstAppearance|Fury 2 First Appearance|Zagreus|Irgendwie haben wir einen schlechten Start erwischt.
Fury2FirstAppearance|Fury 2 First Appearance|Alecto|Egal. Ich wollte schon immer einen Gott töten. Du musst erst mal reichen.
Fury2PostEnding01|Fury 2 Post Ending 01|Alecto|Mir sind ein paar Gerüchte aus deines Vaters Haus zu Ohren gekommen, Rotblut. Seine erhabene entführte Königin ist also wieder zurückgekommen?!
Fury2PostEnding01|Fury 2 Post Ending 01|Zagreus|Einen Moment mal, woher weißt du das alles eigentlich? Und du solltest wirklich nicht so über die Königin sprechen!
Fury2PostEnding01|Fury 2 Post Ending 01|Alecto|Ich bin ihr keine Rechenschaft schuldig! Meinetwegen kann sie kommen und gehen, wie es ihr gefällt. Aber soll ich dir sagen, wer das nicht kann?! Richtig erraten, du.
Fury2PostEnding02|Fury 2 Post Ending 02|Alecto|Ich muss dich mal was fragen: Wieso tauchst du eigentlich immer wieder hier auf, Rotblut? Ich dachte, du hättest schon genug Prügel bezogen.
Fury2PostEnding02|Fury 2 Post Ending 02|Zagreus|Weißt du, Alekto, diese Besuche bei dir sind mir so sehr ans Herz gewachsen, dass sie mir zur festen Gewohnheit geworden sind. Und gute Gewohnheiten soll man pflegen, sage ich immer!
Fury2PostEnding02|Fury 2 Post Ending 02|Alecto|Du nennst das eine gute Gewohnheit, huh?! Vielleicht ist es das ja für mich. Na dann komm hierher, so oft du magst, ich werde hier auf dich warten, {#DialogueItalicFormat} jedes einzelne Mal{#PreviousFormat}. Oder zumindest jedes dritte Mal.
Fury2PostEpilogue01|Fury 2 Post Epilogue 01|Alecto|Mir ist zu Ohren gekommen, dass ihr eine große Feier in deines Vaters Haus veranstaltet habt, Rotblut. Tut mir wirklich leid, dass ich nicht dabei sein konnte. Nächstes Mal aber, in Ordnung?
Fury2PostEpilogue01|Fury 2 Post Epilogue 01|Zagreus|Nächstes Mal auf alle Fälle, Alekto. Wir haben dich total vermisst und hätten uns gefreut, wenn du dabei sein hättest können!
Fury2PostEpilogue01|Fury 2 Post Epilogue 01|Alecto|{#DialogueItalicFormat}Hohoho{#PreviousFormat}, da bin ich mir fast sicher. Aber zuerst kommt die Arbeit, dann das Vergnügen! Also, lass uns anfangen.
Fury2EndOfDiscussion01|Fury 2 End Of Discussion 01|Alecto|He, Rotblut. Ich habe viel nachgegrübelt und bin zu dem Entschluss gekommen, dass ich {#DialogueItalicFormat}nie mehr {#PreviousFormat}ein Wort von dir hören möchte. {#DialogueItalicFormat}Nie wieder{#PreviousFormat}. Haben wir uns verstanden?
Fury2EndOfDiscussion01|Fury 2 End Of Discussion 01|Zagreus|...Ähm, ich weiß nicht, wie ich darauf antworten soll, ohne direkt dein Ansuchen zu missachten, Alekto. Aber gut, in Zukunft werde ich es mir verkneifen.
Fury2EndOfDiscussion01|Fury 2 End Of Discussion 01|Alecto|Du wirst {#DialogueItalicFormat}sterben{#PreviousFormat}! Es bringt nichts, hier weiter groß herumzutönen, wenn wir stattdessen direkt zum Töten übergehen können. Komm schon!
