Id|Description|Speaker|Text
ZeusWithArtemis01|Duo - Zeus and Artemis (1)|Zeus|Nun, Zagreus, sobald du hier bist, müssen wir wohl einen passenden Lebenspartner für dich suchen. So ein feiner junger Mann! Normalerweise ist die Auswahl hier groß, von Ausnahmen abgesehen... Meine listenreiche Tochter, Artemis, zum Beispiel, weigert sich starrsinnig, überhaupt jemanden an ihrer Seite zuzulassen!
ZeusWithArtemis01|Duo - Zeus and Artemis (1)|Artemis|Ja, Zagreus, trotz all dieser perfekten, gut trainierten Kandidaten überall, beseelt von dem Verlangen, mich zu ehelichen oder zu blamieren, ziehe ich es vor, meine Zeit zumeist allein oder mit meinen Nymphenfreundinnen in den Wäldern zu verbringen!
ArtemisWithZeus01|Duo - Artemis and Zeus (1)|Artemis|Tss, äh, Zagreus ... anstatt dich zu begrüßen, wie ich es normalerweise tun würde, möchte ich dir gern meinen berühmten, freundlichen, großzügigen ehrwürdigen Vater, deinen besten Onkel Zeus vorstellen!
ArtemisWithZeus01|Duo - Artemis and Zeus (1)|Zeus|*Ähm*, danke für die Vorstellung, Tochter, nun räum das Feld, vergnüge dich mit deinen Nymphen, und lass mich meinem Neffen helfen! Schenk ihm deinen schwachen Segen, wenn es denn sein muss.
ArtemisWithPoseidon01|Duo - Artemis and Poseidon (1)|Artemis|Du hast meinen Vater und meinen Onkel kennengelernt, Zagreus? Ich weiß nicht, welcher der schlimmere von beiden ist. *Äh*... ich meine natürlich überwältigender! Überwältigend, obwohl er eigentlich die meiste Zeit im Meer zubringt, unter dem Olymp, ist es nicht so, Onkel?
ArtemisWithPoseidon01|Duo - Artemis and Poseidon (1)|Poseidon|Oh, Artemis, du brauchst dich meinetwegen vor Klein-Hades nicht so aufzuspielen! Und überhaupt! Ob du im Meer weilst, darüber oder darunter, ist für dein Ansehen als Gott nun wirklich unerheblich! Ihr beide seid noch jung! Wenn ihr so weitermacht, werdet ihr bald so großartig sein wie ich!
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Artemis|Hey, *ähm*, Zagreus! Es gibt da was, das ich gern wissen würde. Aber du darfst mich nicht falsch verstehen, ja? Oh, nein. Sie ist es.
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Aphrodite|Aber nein, Artemis, du bringst ja keinen Ton heraus! Liegt das an unserem kleinen Gott in der Unterwelt oder ein bisschen an mir? *Ähm*, ich bin sicher, du wirst das schon herausbekommen!
ArtemisWithAphrodite01|Duo - Artemis and Aphrodite (1)|Artemis|Schau, was wollte ich, *urgs*, ist ja auch egal. Ich red das nächste Mal mit dir.
ArtemisWithAphrodite02|Duo - Artemis and Aphrodite (2)|Artemis|Äh, Zagreus, trotz meines Jagdinstinkts ist es mir offenbar diesmal nicht gelungen, Aphrodite auszuweichen, die darauf bestand, dass wir uns dir gleichzeitig vorstellen, aus welchem Grund auch immer ...
ArtemisWithAphrodite02|Duo - Artemis and Aphrodite (2)|Aphrodite|Ich bitte dich, Artemis! Du bist sehr wohl in der Lage, dich zu verstecken, doch ich durchschaue dich. Das nächste Mal könntest du dir selbst gegenüber einfach ehrlich sein, wie wär’s?
ArtemisWithAres01|Duo - Artemis and Ares (1)|Artemis|Zagreus, ich wünschte, wir könnten dich alle hören. Dann ließe sich der gute ehrwürdige Ares vielleicht davon überzeugen, dass meine Kräfte für ganz andere Zwecke bestimmt sind als seine!
ArtemisWithAres01|Duo - Artemis and Ares (1)|Ares|Möglich, dass unsere Fähigkeiten einst für verschiedene Zwecke gedacht waren, liebe Artemis; doch wer sind wir, das Ergebnis zu bezweifeln? Warte ab, was geschieht, wenn wir unsere vereinten Kräfte in den Dienst unseres Vetters stellen.
ArtemisWithAres02|Duo - Artemis and Ares (2)|Artemis|Zagreus, ich wollte nur ein bisschen ungestört sein vor dieser Jagd. So hab ich's stets gehalten, nur dass der ehrwürdige Ares beim ersten Anzeichen von Jagdgerät sofort auftaucht, um herumzuschnüffeln!
ArtemisWithAres02|Duo - Artemis and Ares (2)|Ares|Aber meine liebe Artemis, die Jagd ist doch nur der Auftakt zum Krieg, oder etwa nicht? Denn wenn die Sterblichen nichts von der Jagd verstünden, na, dann wären sie doch nicht halb so geschickt darin, sich gegenseitig umzubringen.
ArtemisWithAres02|Duo - Artemis and Ares (2)|Artemis|Hör mal, ehrwürdiger Ares, wenn ich dir bessere Treffsicherheit verleihe, meinst du, du könntest dann jemand anderen belästigen?
ArtemisWithDionysus01|Duo - Artemis and Dionysus (1)|Artemis|Oh, wunderbar, du bist’s, Zagreus! Ich hätte hier ein paar schöne neue Gaben für dich. Und den ehrwürdigen Dionysos, der dir liebend gern ein Ohr abkauen würde, genau wie mir!
ArtemisWithDionysus01|Duo - Artemis and Dionysus (1)|Dionysus|Eh, sagt mir, ich wäre schrecklich laut und soll verschwinden, lauter fiese Sachen. Kann man wohl nichts machen, oder?
ArtemisWithDemeter01|Duo - Artemis and Demeter (1)|Artemis|Oh, hallo, Zagreus. Gerade wollte ich die ehrwürdige Demeter dazu bewegen, das Schneewetter zu mildern, das schon eine Weile anhält. Leider vergebens. Einige Sterbliche sind es inzwischen leid, und das Jagen macht es auch nicht leichter!
ArtemisWithDemeter01|Duo - Artemis and Demeter (1)|Demeter|Die Sterblichen sind einfallsreich, Artemis. Vielleicht ihre einzige löbliche Eigenschaft! Sie werden sich zu helfen wissen und unseren langen Winter überstehen. Das sollten sie, denn sie sind selbst daran schuld.
ArtemisAboutRamaAspect01|Artemis About Rama Aspect 01|Artemis|Ähm, Zagreus, hast du gerade versucht, mit Coronacht zu plaudern? Du musst dem Bogen sagen *Ich sehe dich gespannt von den Armen des siebten Avatars! *Etwas Gutes soll dann folgen, eine Variante eines göttlichen Bogenschützen, nehme ich an? Du wirst es bald versuchen, oder?
ArtemisAboutRamaAspect02|Artemis About Rama Aspect 02|Artemis|He, schau einer an! Die Botschaft hat offenbar gewirkt! Ich kann den blanken Bogen praktisch von hier aus sehen! Ich habe Coronacht nie selbst geführt, zumindest noch nicht. Aber wenn mir die Schicksalsgöttinnen Visionen seiner früheren oder späteren Träger senden, muss ich doch einfach irgendwann meine Chance bekommen!
