Id|Description|Speaker|Text
ZeusWithAthena01|Zeus With Athena 01|Zeus|Ah, sieh nur, Zagreus, da kommt die tapfere Athene, in ihrer ganzen Klugheit. Hat dich als Erste erreicht, ganz die Planerin. Du hast Verbindung mit Zagreus aufgenommen und es mir erst danach erzählt, meine Liebe!
ZeusWithAthena01|Zeus With Athena 01|Athena|Ehrwürdiger Vater, ich wünschte, ich könnte noch mehr derlei Angelegenheiten rasch und diskret beilegen, damit nur die wichtigsten davon deine Beachtung finden. Obgleich ich sicher bin, dass Zagreus und ich dein Eingreifen sehr schätzen.
AresWithAthena01|Ares With Athena 01|Ares|Ich wollte mit dir nur noch einmal unter vier Augen sprechen, mein Vetter, es ist nur ...
AresWithAthena01|Ares With Athena 01|Athena|...Nur dass einige Mitglieder unserer Familie eine Veranlagung für das Unsagbare haben, lieber Vetter. Sei im Beisein meines Halbbruders nur auf der Hut. Fahre nun fort.
AresWithAthena01|Ares With Athena 01|Ares|Du unterbrichst mich abermals, teure Schwester. Du weißt, dass ich das nicht mag. Du mischst dich besser nicht in meine Angelegenheiten ein. Ich werde meinem Vetter nach eigenem Ermessen Hilfe leisten.
AresWithAthena01|Ares With Athena 01|Athena|Du handelst ausschließlich nach eigenem Ermessen, ehrwürdiger Ares. Pass auf, dass du mit uns an einem Strang ziehst.
AphroditeWithAthena01|Aphrodite With Athena 01|Aphrodite|Ich hoffe, du verzeihst unserer Großfamilie hier auf dem Olymp, kleiner Gott! Manche von uns sind furchtbar eingebildet und machen die Dinge zweifellos viel komplizierter, als sie sein müssten.
AphroditeWithAthena01|Aphrodite With Athena 01|Athena|Ich frage mich, liebe Aphrodite, ob du wohl bereit wärst, das zu wiederholen und mir direkt ins Gesicht zu sagen?
AphroditeWithAthena01|Aphrodite With Athena 01|Aphrodite|Oh, du weißt sehr wohl, dass ich deinem Antlitz viel mehr antun würde als nur das, liebe Athene! Offen gesagt, da ließe sich einiges verbessern!
AphroditeWithAthena02|Aphrodite With Athena 02|Aphrodite|Mein Lieber, du musst wissen, die Göttin Athene und ich, wir sind uns nicht immer einig, vielleicht weil sie zu viel grübelt, während ich mich von meinem Herzen leiten lasse!
