Id|Description|Speaker|Text
ChaosAboutBeowulfAspect01_A|Chaos About Beowulf Aspect 01 A|Chaos|Ich spüre, dass du noch nicht mit dem allsehenden Gegenstand, den du Aigis nennst, gesprochen hast. Du kannst in die Pläne der Schicksalsgöttinnen eingreifen, so viel du willst. Doch falls du deine Meinung änderst, sprich diese Worte: *Ich sehe wie du gegen die Flammen der Schlange standhältst.*
ChaosAboutBeowulfAspect01|Chaos About Beowulf Aspect 01|Chaos|Du hast von der Erweckungsformel, die ich dir gab, noch nicht Gebrauch gemacht? Oder vielleicht hast du nur beschlossen, mir das Ergebnis vorzuenthalten. Ich würde es eines Tages sehr gern sehen. Vergiss nicht, Sohn des Hades: Sag dem allsehenden Gegenstand *Ich sehe wie du gegen die Flammen der Schlange standhältst.*
ChaosAboutBeowulfAspect02|Chaos About Beowulf Aspect 02|Chaos|All die unendlichen Möglichkeiten, und nun steht der Sohn des Hades vor mir, mit meinem allsehenden Gegenstand in der Variante eines noch ungeborenen Trägers, der im ganzen Norden als Beowulf bekannt sein wird. Wie äußerst Amüsant.
ChaosSurfaceQuestComplete|Chaos Surface Quest Complete|Chaos|Mit meinen kleinen runden Katalysator in deinem Besitz war es dir möglich, vor deinen Vater zu treten, das konnte ich schwach spüren. Meine Bitte und dein Erfolg waren offenbar im Sinne der Pläne der Schicksalsgöttinnen. Das Ergebnis ist noch amüsanter, als ich dachte. Also vielen Dank.
ChaosAboutNyx05|Chaos About Nyx 05|Chaos|Ich habe ungewöhnliche Aktivitäten in den Gefilden der Unterwelt bemerkt, Sohn des Hades ... riesige Ballungen von Finsternis, angehäuft in einem uralten Katalysator, den ich nun sehen kann, fast wie ein Leuchtfeuer in der Nacht. Das ist entweder das Werk von Nyx, oder von dir, oder von euch beiden. Ich erwarte das Ergebnis.
ChaosAboutNyx06|Chaos About Nyx 06|Chaos|Es freut mich ungemein, Sohn des Hades, die Göttin Nyx wiedergesehen zu haben. Der beträchtliche Zeitraum, der seit dem letzten Mal verstrichen ist, hat alten Schmerz hinlänglich betäubt. So entsteht eine Grundlage, auf der unsere Verbindung mit der Zeit wieder Gestalt annehmen kann.
ChaosAboutResponding01|Chaos About Responding 01|Chaos|Da wir nun Bekanntschaft schließen, Sohn des Hades, will ich eines ganz deutlich sagen: Ich fürchte, für Gespräche fehlt mir die Geduld. Bitte beschränke dich bei deinen Besuchen auf das Zuhören, dann nimm mein Zeichen an, und dann entferne dich. Antworte nur, wenn es sein muss. Oder wenn du aufgefordert wirst. Ja?
ChaosAboutResponding01|Chaos About Responding 01|Zagreus|...Einfach zuhören. Genau das tue ich auch, wenn ich diese Botschaften von den Olympiern empfange. Moment, ihr habt mich doch gerade aufgefordert, Gebieter Chaos, nicht wahr? Oder hätte ich jetzt schweigen sollen?
ChaosAboutResponding01|Chaos About Responding 01|Chaos|Ich kann dir keinen Rat geben. Doch du wurdest aufgefordert, ja. Du darfst dann offen sprechen, oder auch jederzeit, trotz meines Wunsches, das nicht zu tun. Generell bevorzuge ich absolute Stille. Du magst das anders sehen.
ChaosAboutNyx01|Chaos About Nyx 01|Chaos|Wie ich höre, glauben Zeus und seine Sippe auf dem Berg Olymp, dass du der Sohn von Hades und der Göttin Nyx bist? Von diesem Trugschluss zu erfahren, hat mich belustigt. Nyx war für viele in der Unterwelt wie eine Mutter, warum nicht auch für dich?
