Id|Description|Speaker|Text
ZeusWithDemeter01|Zeus With Demeter 01|Zeus|Na, na, junger Mann, was immer du auch über die gute Demeter gehört hast, ich bin hier, um reinen Tisch zu machen. Sie ist für mich wie eine Schwester, mehr jedoch nicht. Obgleich ihren Titaneneltern und den meinen das gleiche Los beschieden war.
ZeusWithDemeter01|Zeus With Demeter 01|Demeter|Hört, hört, Pflegebruder Zeus! Solch unverhoffte Offenheit, und das von dir! Fast so, als sähest du dich genötigt, die Wahrheit zu sagen, nur weil ich in Hörweite bin.
AresWithDemeter01|Ares With Demeter 01|Ares|Die Kälte des Todes steht der Göttin Demeter recht gut, meinst du nicht auch, mein todbringender Vetter? Sie scheint sich gut daran zu gewöhnen.
AresWithDemeter01|Ares With Demeter 01|Demeter|Mir scheint, du vergisst dich, ehrwürdiger Ares. Denn ich bin um Vieles älter als du. Durch meine Hungersnöte kamen Zigtausende zu Tode, bevor du überhaupt ans Töten dachtest.
ArtemisWithDemeter01|Artemis With Demeter 01|Artemis|Oh, hallo, Zagreus. Gerade wollte ich die ehrwürdige Demeter dazu bewegen, das Schneewetter zu mildern, das schon eine Weile anhält. Leider vergebens. Einige Sterbliche sind es inzwischen leid, und das Jagen macht es auch nicht leichter!
ArtemisWithDemeter01|Artemis With Demeter 01|Demeter|Die Sterblichen sind einfallsreich, Artemis. Vielleicht ihre einzige löbliche Eigenschaft! Sie werden sich zu helfen wissen und unseren langen Winter überstehen. Das sollten sie, denn sie sind selbst daran schuld.
AphroditeWithDemeter01|Aphrodite With Demeter 01|Aphrodite|Die ehrwürdige Göttin der Jahreszeiten, Demeter, könnte prächtiger nicht aussehen, ist das nicht unglaublich, mein Lieber? Doch warum so viele feine Linien im Gesicht? Das entzieht sich mir.
AphroditeWithDemeter01|Aphrodite With Demeter 01|Demeter|Oh, Aphrodite, meine Liebe ... du würdest Substanz nicht erkennen, wenn man sie dir auf dem Tablett servierte. Deine Miene lässt deine Absichten in vollem Umfang zu Tage treten, wie auch deine Interessen.
DionysusWithDemeter01|Dionysus With Demeter 01|Dionysus|He Zag, würde dich gern um einen Gefallen bitten. Könntest du vielleicht die ehrwürdige Demeter dazu bringen, sich diese ganze Sache mit dem 'nichts wachsen lassen' noch mal zu überlegen?
DionysusWithDemeter01|Dionysus With Demeter 01|Demeter|Ich denke ja, mein ehrwürdiger Dionysos, dass es dir guttun könnte, dem Wein eine Zeitlang etwas seltener zuzusprechen. Wie dem auch sei, du wirst mich nicht zu einer besseren Ernte überreden.
AthenaWithDemeter01|Athena With Demeter 01|Athena|Ich bringe dir die ehrwürdige Demeter, Vetter. Ich habe ihr versichert, dass wir deine Angelegenheit unter Kontrolle haben. Doch in ihrer unendlichen Barmherzigkeit hat sie sich deiner Sache trotzdem angenommen!
AthenaWithDemeter01|Athena With Demeter 01|Demeter|Oh, mit deinem falschen Lob musst du mich nicht überhäufen, liebe Athene. Dein unendlicher Verstand hätte dir sagen sollen, dass ich keine Mühe habe, deine Absichten zu durchschauen.
PoseidonWithDemeter01|Poseidon With Demeter 01|Poseidon|Meine Pflegeschwester, die Göttin Demeter, macht sich trotz ihrer strengen Art sehr gern über mich lustig, Neffe! Ah, da ist sie ja schon!
PoseidonWithDemeter01|Poseidon With Demeter 01|Demeter|Wenn du genug gequasselt hast, Poseidon, unser junger Zagreus hat Wichtigeres zu tun. Er braucht deinen Segen, auf deine Meinung kann er verzichten. Nicht wahr, junger Sprössling?
DemeterWithZeus01|Demeter With Zeus 01|Demeter|Nun, junger Sprössling, du bist dem so genannten König der Olympier begegnet, und mir. Wer, meinst du, regiert wirklich unseren mit Schnee überkrusteten Berggipfel?
DemeterWithZeus01|Demeter With Zeus 01|Zeus|Oh, {#DialogueItalicFormat}hah-hah-hah{#PreviousFormat}, ehrwürdige Demeter! Dein Humor ist so trocken wie das Erdreich, das unter deiner Obhut brachliegt! Vielleicht solltest du dich wieder darum kümmern, doch zuerst wollen wir unserem jungen Mann hier helfen!
DemeterWithPoseidon01|Demeter With Poseidon 01|Demeter|Ah, kleiner Sprössling. Ich habe den ehrwürdigen Poseidon gerade darauf hingewiesen, dass sein Reich nur existiert, weil es mir gefällt. Vergiss nicht, mein lieber Pflegebruder, ich könnte deine Ozeane zufrieren lassen, wenn ich wollte.
DemeterWithPoseidon01|Demeter With Poseidon 01|Poseidon|{#DialogueItalicFormat}Ah, hahahah! {#PreviousFormat}Hervorragend erklärt, ehrwürdige Göttin Demeter! Wieder einmal wird mir bewusst, über welch enorme Erfahrung du verfügst, doch ich glaube, wir alle hätten unsere Ozeane lieber flüssig, oder, Neffe?!
DemeterWithAthena01|Demeter With Athena 01|Demeter|Kaum zu glauben, junger Sprössling, dass unsere Strategin Athene, die Kriegsgöttin, dem Kopf des Zeus entsprang!! Ich würde meinen, dass nichts von großem Verstand dort seinen Ursprung haben könnte.
DemeterWithAthena01|Demeter With Athena 01|Athena|Bitte stör dich nicht am gutmütigen Sinn für Humor der ehrwürdigen Demeter, Zagreus. Sie und mein Vater scherzen häufig miteinander, selbst in den schwersten Zeiten.
DemeterWithAres01|Demeter With Ares 01|Demeter|Junger Zagreus, bitte sag dem ehrwürdigen Ares nach deiner Ankunft, dass seine große Macht ohne die meine nichts wert ist. Kriege haben ihre Ursachen, darunter viele, die von mir gesteuert werden.
