Id|Description|Speaker|Text
AresWithDionysus01|Ares With Dionysus 01|Ares|Ah, mein Vetter, ich habe gerade den ehrwürdigen Dionysos gefragt, unter welchen Umständen die Sterblichen ihre allergrößten Feste feiern? Ich hege da nämlich eine bestimmte Vermutung...
AresWithDionysus01|Ares With Dionysus 01|Dionysus|Ja, Ares, das muss man dir lassen, Mann. Nichts geht über ein Festgelage nach einem Krieg! Vorausgesetzt, man gehört zu den Überlebenden! Andernfalls werden die Feste hier unten mit {#DialogueItalicFormat}dir {#PreviousFormat}gefeiert, Zag!
ArtemisWithDionysus01|Artemis With Dionysus 01|Artemis|Oh, wunderbar, du bist’s, Zagreus! Ich hätte hier ein paar schöne neue Gaben für dich. Und den ehrwürdigen Dionysos, der dir liebend gern ein Ohr abkauen würde, genau wie mir!
ArtemisWithDionysus01|Artemis With Dionysus 01|Dionysus|Eh, sagt mir, ich wäre schrecklich laut und soll verschwinden, lauter fiese Sachen. Kann man wohl nichts machen, oder?
AphroditeWithDionysus01|Aphrodite With Dionysus 01|Aphrodite|Meine Macht, mein Lieber, geht oft einher mit der von Dionysos. Er kann den Verstand dazu bringen, Schönheit zu sehen, wo in Wahrheit keine ist!
AphroditeWithDionysus01|Aphrodite With Dionysus 01|Dionysus|{#DialogueItalicFormat}Ah, haha{#PreviousFormat}, Schmeicheleien wie diese sind nicht nötig, ehrwürdige Aphrodite! Schönheit entsteht fast immer im Kopf, da bin ich sicher! Und liegt in den Muskeln und der Kieferpartie und im gewinnenden Lächeln und, aber das muss ich dir ja nicht sagen, oder?
DionysusWithZeus01|Dionysus With Zeus 01|Dionysus|He Zag, mein Papa ist hier und will ein Wörtchen mit dir reden. Nimm’s locker, Mann, und gib keine Widerworte, OK?
DionysusWithZeus01|Dionysus With Zeus 01|Zeus|Dieser Dionysos, bei Vorstellungen immer viel zu freundlich, doch wenigstens erweist er mir gebührenden Respekt. Vielleicht kann er dich eines Tages in den Gepflogenheiten des Olymp unterweisen.
DionysusWithPoseidon01|Dionysus With Poseidon 01|Dionysus|{#DialogueItalicFormat}Äh{#PreviousFormat}, Zag, {#DialogueItalicFormat}ähm{#PreviousFormat} ... dein Onkel ist auf der Durchreise. Nicht Papa, {#DialogueItalicFormat}ähm{#PreviousFormat}, den anderen meine ich. Er will nur mal reinschauen, sehen, wie’s dir geht, also ...
DionysusWithPoseidon01|Dionysus With Poseidon 01|Poseidon|{#DialogueItalicFormat}Ah-hah{#PreviousFormat}, da bist du ja, mein kleiner Neffe! Dionysos zeigt dir wohl, wie’s hier so läuft? Wenn du ein echtes Festgelage willst, musst du dich allerdings an {#DialogueItalicFormat}mich {#PreviousFormat} halten! Nun nimm meinen Segen und {#DialogueItalicFormat}geh{#PreviousFormat}!
DionysusWithPoseidon01|Dionysus With Poseidon 01|Dionysus|{#DialogueItalicFormat}Oh{#PreviousFormat}, wir sind jedenfalls hier, warten auf dich! Wir wissen, dass du’s schaffen wirst, irgendwann?
DionysusWithAthena01|Dionysus With Athena 01|Dionysus|He, Zag, wenn du hier ankommst, das wird ein echtes Fest, das schwör ich dir! Sogar Athene wird sich ein bisschen locker machen, aus sich herausgehen, weißt du, was Bequemeres anziehen, ja, das wird {#DialogueItalicFormat}toll{#PreviousFormat}!
DionysusWithAthena01|Dionysus With Athena 01|Athena|Vielleicht ist der ehrwürdige Dionysos ja der wahre Gott der Strategie. Er scheint zu wissen, was ich als Nächstes vorhabe. Geradezu unheimlich, Vetter. Wie dem auch sei, ich werde versuchen, deine Lage im Blick zu behalten. Nicht sein Festgelage.
DionysusWithAres01|Dionysus With Ares 01|Dionysus|Weißt du, Zag, wenn du hier bist, könntest du vielleicht den alten Ares ein wenig aufmuntern? Immer zieht er die Stimmung runter, redet von Blut und Abscheulichkeiten und all so Zeugs!
DionysusWithAres01|Dionysus With Ares 01|Ares|Aber, mein ehrwürdiger Dionysos! Ich begreife nicht, warum Gespräche solcher Art auf einem Festgelage fehl am Platz sein sollen. Ein erfolgreich geführter Krieg ist doch gewiss ein Grund zum Feiern, oder etwa nicht?
DionysusWithAphrodite01|Dionysus With Aphrodite 01|Dionysus|Hör mal, Zag, wie du inzwischen wissen dürftest, ist es meine Wenigkeit, die mit ihren Festgelagen immer überzeugt. Doch ich kann mich auf die Hilfe der ehrwürdigen Aphrodite verlassen!
