Id|Description|Speaker|Text
DusaFirstMeeting|Dusa First Meeting|Dusa|Oh! Der Prinz persönlich, du, möchtest mit mir sprechen...? Mit mir?! Oh, wow, oh wow!!
DusaFirstMeeting|Dusa First Meeting|Zagreus|Ich, äh, wollte nur sagen, dass der Salon wundervoll aussieht, fast wie neu. Besser! Ich hoffe, es war nicht allzu schwierig, alles wieder in Ordnung zu bringen.
DusaFirstMeeting|Dusa First Meeting|Dusa|Ichichich*aaah*, Ich muss die Dachsperren reinigen, ich...!
DusaMiscMeeting02|Dusa Misc Meeting 02|Dusa|Ich, ah, hoffe, du hast einen angenehmen Aufenthalt! Auch wenn du nicht mehr hier leben möchtest, eure Hoheit!
DusaMiscMeeting02Extra|Dusa Misc Meeting 02 Extra|Zagreus|*Äh*, Dusa? Ich werde nun doch wohl hin und wieder hier hereinschauen, so wie jetzt. Aber du brauchst mein Gemach nicht aufzuräumen. Ich bleibe nicht lange.
DusaMiscMeeting02Extra|Dusa Misc Meeting 02 Extra|Dusa|Oh, *hahaha*, natürlich! Aber ich werde doch hin und wieder einen Blick hineinwerfen, für den Fall, dass du es dir anders überlegst, ähm, also auf Wiedersehen!
DusaMiscMeeting03|Dusa Misc Meeting 03|Dusa|*Ähm*, Prinz, dein Vater, ich, ich glaube er ist im Augenblick recht ungehalten über etwas, und vielleicht könntest du dich von ihm fernhalten? Oder ich könnte ihm sagen, dass du nicht hier bist?
DusaMiscMeeting03|Dusa Misc Meeting 03|Zagreus|Das ist schon in Ordnung, Dusa. Ich habe keine Angst vor ihm. Und du solltest das auch nicht. Du bist die beste Hausangestellte, die er je gefunden hat.
DusaMiscMeeting03|Dusa Misc Meeting 03|Dusa|Ich, ah, mache nur meine Arbeit hier, Prinz...!
DusaMiscMeeting04|Dusa Misc Meeting 04|Dusa|Oh, *ähm*, ja, hallo, Prinz. Hast du einen Wunsch, oder soll ich vielleicht noch ein bisschen aufräumen, oder, da fällt mir ein, möchtest du etwas zu trinken? Irgendwann?
DusaMiscMeeting04|Dusa Misc Meeting 04|Zagreus|Oh! Ein Getränk irgendwann klingt wunderbar, Dusa, vielleicht morgen, sofern ich bis dahin nicht hier herausgekommen bin...?
DusaMiscMeeting04|Dusa Misc Meeting 04|Dusa|Waaas, ich meine, kein Problem, ich meine, vergiss, dass ich gefragt habe, oder so, tut mir leid, auf Wiedersehen!
DusaMiscMeeting05|Dusa Misc Meeting 05|Dusa|Äh, ähm, ich wollte mich nur entschuldigen, weil, ich glaube ich habe mich vielleicht sehr ungebührlich verhalten, als du zuletzt mit mir sprachst? Aber ich mag meine Arbeit so sehr und verspreche, dass ich immer mein Allerbestes geben werde, und ich hoffe nur, ich bekomme noch eine Chance?
DusaMiscMeeting05|Dusa Misc Meeting 05|Zagreus|Dusa, bitte, du brauchst dich nicht zu entschuldigen! Du leistest hervorragende Arbeit, wirklich!
DusaMiscMeeting05|Dusa Misc Meeting 05|Dusa|Ich... was? Du meinst das wirklich, Prinz, ich... danke dir, danke vielmals!!
DusaPostFlashback01|Dusa Post Flashback 01|Dusa|Oh, ähm, hallo, eure Hoheit? Ich wollte dir nur sagen, wenn du hier herauskommst, werde ich, oder, vielmehr, werden wir dich vermissen. Hier überall. OK? Dann auf Wiedersehen...!
DusaDate01|Dusa Date 01|Zagreus|*Ähm*, Fräulein Dusa, ich wollte dich, *äh*, herzlich zu einem Ausflug in den Salon einladen? Du hattest mich doch gefragt, ob ich etwas trinken möchte?
DusaDate01|Dusa Date 01|Dusa|*Aaah! *Oh, oh, oh, wirklich, was du meinst jetzt, du... Ich... Ich denke, ich müsste längst mal wieder eine Pause machen...
DusaDate01|Dusa Date 01|Dusa|...Und, na ja, weil ich nicht gerade eine traditionelle Gorgone bin, denn ich habe ja keinen Körper, fiel es mir schwer, eine Arbeit zu finden! Bis der ehrwürdige Hades mich in seine Dienste nahm, und dann lernte ich dich kennen, und, na ja, ich liebe diese Stelle!!
DusaDate01|Dusa Date 01|Zagreus|*Oh*! Ja, ich kann mich auf jeden Fall in manche dieser Sachen hineinversetzen.
DusaDate01|Dusa Date 01|Dusa|*<Seufzen> *Ich, ich, ich, danke, eure Hoheit. Prinz. Prinz Zagreus!
DusaDateAftermath01|Dusa Date Aftermath 01|Dusa|Ähm, P-Prinz, du siehst manchmal so traurig aus, wenn du hierher zurückkehrst, aus dem Teich des Styx? Ist alles in Ordnung? Denn wenn ich etwas tun könnte...
DusaDateAftermath01|Dusa Date Aftermath 01|Zagreus|Oh, es ist nichts, um das du dir Sorgen machten müsstest, Dusa. Ich hatte bloß nicht erwartet, dass es so verflucht schwierig sein würde, mir den Weg hinaus zu erkämpfen. Wenn ich das so unverblümt sagen darf.
DusaDateAftermath01|Dusa Date Aftermath 01|Dusa|*Oh*, ich... vielleicht bin ich einfältig, aber ich hätte nicht gedacht, dass *dich * jemand bezwingen könnte, du bist doch der Prinz? Größer als der mächtige Achilles, listiger als sein Vater, flinker als Hermes! Aber... du musst dich plagen, so wie ich?
DusaDateAftermath01|Dusa Date Aftermath 01|Zagreus|Das ist richtig. Und die Dinge, die du über mich gehört hast, stimmen nicht.
DusaLoungeRenovationQuest01|Dusa Lounge Renovation Quest 01|Dusa|... das Besteck sortiert, die Arbeitsflächen abgewischt, die Kerzen ausgewechselt, das Geschirr gespült, den Boden gefegt, die Fässer inspiziert, was sonst noch, oh!! Der Prinz, du bist's!
DusaLoungeRenovationQuest01|Dusa Lounge Renovation Quest 01|Zagreus|Ich bin's! Dusa, ich bin beeindruckt, dass du es fertigbringst, den Salon ganz allein in Ordnung zu halten. Wie schaffst du das, was ist dein Geheimnis?
DusaLoungeRenovationQuest01|Dusa Lounge Renovation Quest 01|Dusa|*Hahaha*, Geheimnis? Ich liege bei diesem Gemach gut zwei Wochen im Rückstand, wenn nicht mehr! Zum Glück scheint hier niemand sonderlich genau auf die Zeit zu achten, drum hat sich noch niemand bei mir beschwert, aber... oh, du wirst mich doch nicht verpetzen?
DusaLoungeRenovationQuest01|Dusa Lounge Renovation Quest 01|Zagreus|Natürlich nicht. Was genau ist denn im Rückstand? Hier sieht es nicht schlimmer aus als sonst.
DusaLoungeRenovationQuest01|Dusa Lounge Renovation Quest 01|Dusa|Ja eben! Fräulein Nyx betraute mich vor einiger Zeit mit einem recht großen Projekt. Ich soll dafür sorgen, dass dieses Gemach *seines Namens würdig * aussieht, und das heißt... Ich habe noch wahnsinnig viel zu tun, ich muss alles fertig machen, bitte entschuldige mich, Prinz!
DusaLoungeRenovationQuest02|Dusa Lounge Renovation Quest 02|Dusa|... die Sitzgelegenheiten ausbessern, das Menü neu schreiben, den Ofen sauber machen, die unbeaufsichtigte Bar aufstocken, die Dachsparren abstauben, den Fußboden nass wischen, den Baumeister bezahlen, oh!! Äh, tut mir leid, Prinz, bin fürchterlich in Verzug, wenn du mich also bitte entschuldigen würdest...?
DusaLoungeRenovationQuest02|Dusa Lounge Renovation Quest 02|Zagreus|Dusa, warte, ehe du davonfliegst... Es muss doch irgendwas geben, das ich dir abnehmen könnte? Egal, wie gut du bist, was du da beschreibst, geht doch über die Kräfte eines Einzelnen hinaus!
DusaLoungeRenovationQuest02|Dusa Lounge Renovation Quest 02|Dusa|Eure Hoheit, bitte! Ich weiß, du meinst es gut, aber ich habe alles unter Kontrolle! Ich wünschte, es würden nicht immer alle an mir zweifeln. Wie der Baumeister, der einfach herumstehen darf und auf Arbeitsaufträge wartet! Es sei denn, sie kommen von mir, dann heißt es nur *nöööh*.
DusaLoungeRenovationQuest02|Dusa Lounge Renovation Quest 02|Zagreus|Der Baumeister zieht nicht mit dir an einem Strang, soso. Kein Wunder, dass so viele Renovierungsarbeiten im Salon ins Stocken geraten sind. Vielleicht könnte ich etwas Öl ins Getriebe gießen?
DusaLoungeRenovationQuest02|Dusa Lounge Renovation Quest 02|Dusa|*AAH*, das habe ich vollkommen vergessen!! Ich muss noch Öl für den Küchenchef besorgen! Ich muss gehen!!
DusaLoungeRenovationQuest02_Alt|Dusa Lounge Renovation Quest 02 Alt|Zagreus|Ohh, das könnte an mir liegen. Ich halte den Baumeister mit allerhand Arbeit auf Trab. Einige der Salonaufträge müssen wohl von dir stammen, oder? Hier sieht es schon viel besser aus!
DusaLoungeRenovationQuest02_Alt|Dusa Lounge Renovation Quest 02 Alt|Dusa|Wa-wa-was, dann hast du all diese Verbesserungen genehmigt?! Oh je, oh je, *aaaah*!
DusaLoungeRenovationQuest03|Dusa Lounge Renovation Quest 03|Zagreus|Der Salon nimmt in letzter Zeit so langsam Form an, Dusa! All deine harte Arbeit macht sich wirklich bezahlt!
DusaLoungeRenovationQuest03|Dusa Lounge Renovation Quest 03|Dusa|*Hah*! Tja, danke, Prinz, es ist bloß so, dass der Baumeister in letzter Zeit zwar ein klein wenig umgänglicher ist und vielleicht etwas schneller arbeitet, aber es gibt noch viel zu tun, also, mach dich auf was gefasst!
DusaLoungeRenovationQuestComplete|Dusa Lounge Renovation Quest Complete|Dusa|Ähm, Prinz Zagreus...? Ich wollte dir etwas sagen, wenn du ein bisschen Zeit hast? Ich weiß, du bist sehr beschäftigt.. ich kann später wiederkommen.
DusaLoungeRenovationQuestComplete|Dusa Lounge Renovation Quest Complete|Zagreus|Warte, nein, ich habe jetzt Zeit, natürlich, was gibt es denn, Dusa? Ich bin übrigens nicht sonderlich beschäftigt und habe immer Zeit für ein Schwätzchen. Warte, ist etwas nicht in Ordnung?
DusaLoungeRenovationQuestComplete|Dusa Lounge Renovation Quest Complete|Dusa|Nein, *nein nein nein*, ganz im Gegenteil, ich... kann es nicht fassen, dass du mir geholfen hast, mit dem Salon. Ich glaube, *niemand *hat mir *jemals *so wie du geholfen, mit der Verwüstung, die Kerberos hinterlässt, und dem neuen Teppich und der neuen Küche und einfach allem!
DusaLoungeRenovationQuestComplete|Dusa Lounge Renovation Quest Complete|Zagreus|Es war mir wirklich ein Vergnügen. Wir alle benutzen doch den Salon, oder nicht? Dieses Haus kann einem über den Kopf wachsen, aber im Salon hier sind die Dinge ein bisschen einfacher, meine ich. Ich bin froh, dass du dich um ihn kümmerst.
DusaLoungeRenovationQuestComplete|Dusa Lounge Renovation Quest Complete|Dusa|Meinst du das ehrlich, Prinz...? Aber, du ahnst nicht, wie viel mir das bedeutet. Ich bin endlich nicht mehr mit der Arbeit im Rückstand!! Was mache ich bloß, was soll ich nur mit all der freien Zeit anfangen! Ich muss gehen und einen Plan machen!!
BecameCloseWithDusa01|Became Close With Dusa 01|Dusa|Ähm, Zagreus? Ich würde gern mit dir sprechen, wenn du zu haben bist? Ich meine, wenn du frei bist. Oder vielmehr, wenn du gerade Zeit hast. Ginge das?
BecameCloseWithDusa01|Became Close With Dusa 01|Zagreus|Natürlich, Dusa! Wo wollen wir plaudern? Im Salon oder vielleicht lieber an einem Ort, wo wir weniger beobachtet sind...?
BecameCloseWithDusa01|Became Close With Dusa 01|Dusa|Wo wir weniger beobachtet sind, wenn es dir recht ist? Danke.
BecameCloseWithDusa01|Became Close With Dusa 01|Dusa|... Ähm, Zagreus... Seit du mir sagtest, du hättest Gefühle für mich, ist es, als ob... mein ganzer Kopf in Flammen stünde. Ich kann keinen klaren Gedanken fassen und bekomme nichts auf die Reihe. Es hat mich förmlich umgehauen!
BecameCloseWithDusa01|Became Close With Dusa 01|Zagreus|Es tut mir leid, Dusa, ich... habe dir viel zugemutet, und... vielleicht hätte ich das besser bleiben lassen, weil ich der Prinz bin und überhaupt, wie du schon sagst, und... manchmal vergesse ich mich. Ich würde dich nie unter Druck setzen, es ist nur... ich dachte, du hegtest die gleichen Gefühle für mich.
BecameCloseWithDusa01|Became Close With Dusa 01|Dusa|Ich *habe *Gefühle für dich, Dummerchen. Das ist es doch, was ich dir zu sagen versuche, es ist nur... es ist nur...
BecameCloseWithDusa01|Became Close With Dusa 01|Zagreus|Es ist nur was...? Was es auch sei, es ist in Ordnung. Du kannst bei mir ganz du selbst sein, Dusa. Das verspreche ich.
BecameCloseWithDusa01|Became Close With Dusa 01|Dusa|Es freut mich, dass du es so sagst. Ich.. ich bin nicht auf der Suche nach einer intimen Beziehung. Du bist die gütigste Seele im ganzen Haus. Und ich habe so viel von dir gelernt! Aber, wenn ich ernsthaft über meine Gefühle nachdenke... Ich fühle mich einfach nicht auf diese Art zu dir hingezogen. Es tut mir leid. Du bist ein wirklich netter Typ!
BecameCloseWithDusa01|Became Close With Dusa 01|Zagreus|Oh, *hahaha*, da gibt's nichts zu entschuldigen, nein, gar nichts. Ehrlich gesagt... ich bin erleichtert. Auch ich habe viel von dir gelernt, und ich schätze unsere Freundschaft, so wie sie jetzt ist. Meinst du... wir können Freunde bleiben? Oder wäre es dir lieber, mich nicht mehr zu sehen...?
BecameCloseWithDusa01|Became Close With Dusa 01|Dusa|Sag doch nicht *sowas*! Aber ich wollte dich das Gleiche fragen. Ich würde mich wirklich freuen, wenn du mein Freund wärst! Aber meine Karriere hat Vorrang, also... keine Extrawürste, versprochen? Ich will sehen, wie weit ich ohne fremde Hilfe komme.
BecameCloseWithDusa01|Became Close With Dusa 01|Zagreus|Das respektiere ich zutiefst und ja, ich verspreche es, Dusa. So, dann... Freunde? Auf ewig?
BecameCloseWithDusa01|Became Close With Dusa 01|Dusa|Ja. Freunde. Auf ewig. Jetzt... gehe ich wohl besser. Wir sehen uns, ja?
BecameCloseWithDusaAftermath01|Became Close With Dusa Aftermath 01|Dusa|He, Zagreus, ich... wollte gern nochmal mit dir reden, ich... wollte nur sagen, ich hoffe, dass ich nicht deine Gefühle verletzt habe, weil... Du würdest es mir doch sicher sagen, wenn es so wäre?
BecameCloseWithDusaAftermath01|Became Close With Dusa Aftermath 01|Zagreus|Dusa, bitte! *Freunde auf ewig*, weißt du nicht mehr? Das ist eine lange Zeit, also gibt es nichts daran zu rütteln. Ich bin froh, dass wir das klären konnten.
BecameCloseWithDusaAftermath01|Became Close With Dusa Aftermath 01|Dusa|Oh, na dann, dann bin ich erleichtert, aber... nur noch eine Sache, damit ich wieder ein reines Gewissen haben kann. Ich habe die Ambrosia, die du mir geschenkt hast, nicht angerührt, und ich dachte, weil... ich nicht gemerkt hatte, was du fühltest? Ich bin manchmal ein bisschen schwer von Begriff! Ich habe sie hier. Und ich möchte sie dir zurückgeben. Ist das in Ordnung?
BecameCloseWithDusaAftermath01|Became Close With Dusa Aftermath 01|Zagreus|Ich... also, wenn du die Ambrosia nicht mehr willst und dir mein Geschenk schon damals peinlich war, dann nehme ich sie zurück. Ich habe sie dir geschenkt, und du kannst damit tun, was dir beliebt. Bist du sicher, dass du sie nicht willst?
BecameCloseWithDusaAftermath01|Became Close With Dusa Aftermath 01|Dusa|Ja, ich bin sicher, und danke für dein Verständnis, Prinz. Es war wirklich lieb von dir, aber ich muss lernen, die Vorräte für den Salon selber aufzustocken. Also hier, und wir sehen uns bald, ja?
Text|Text|Zagreus|He, nur nichts überstürzen! Die Ambrosia habe ich dir ganz ohne Hintergedanken geschenkt. Koste das Zeug einmal, und lass dich überraschen! Es heißt, je selbstloser der Akt des Schenkens, desto besser der Geschmack. Möchtest du sie nicht doch behalten? Wenn nicht für dich selbst, dann für den Salon?
Text|Text|Dusa|Ah, na gut, ich... musste einfach fragen, also nochmals danke. Ich wollte bloß sichergehen! Ich hoffe, wir können sie irgendwann im Salon genießen!! Dann werde ich sie mal wegstellen. Nicht trinken!! Sondern vorläufig sicher aufbewahren, OK?
Text|Text|Zagreus|Wie wäre es mit *Im Blute*? Das ist doch einer deiner alten Hits, nicht wahr?
Text|Text|Zagreus|Wie wäre es mit *Argonauten*? Bist du nicht damals mit ihnen über die Meere gefahren?
BecameCloseWithDusaAftermath02|Became Close With Dusa Aftermath 02|Dusa|He, *ähm*, Zagreus, ich wollte nur sagen, dass es sehr lieb von dir war, mir zu gestatten, all die Ambrosia aufzubewahren, die du mir bisher gegeben hast? Sie befindet sich jetzt an einem sicheren Ort! Abgesehen von einer Flasche... sie entschlüpfte mir, sozusagen, und zerbrach. Aber dadurch konnte ich das Zeug wenigstens einmal kosten!
BecameCloseWithDusaAftermath02|Became Close With Dusa Aftermath 02|Zagreus|Oh, du konntest sie schließlich doch noch probieren? Was meinst du, ist sie so gut wie alle immer behaupten?
BecameCloseWithDusaAftermath02|Became Close With Dusa Aftermath 02|Dusa|Sie war un*glaub*lich. Nie habe ich etwas Ähnliches genossen! Und dank meiner gespaltenen Zunge konnte ich sie gleichzeitig zweimal schmecken! Also, ähm... falls mir eine weitere Flasche entschlüpfen und zerbrechen sollte... das würde dir doch nichts ausmachen, oder?
BecameCloseWithDusaAftermath03|Became Close With Dusa Aftermath 03|Zagreus|Dusa, ich werde dieses Gefühl einfach nicht los, dass ich mich bei dir entschuldigen müsste, weil... Ich glaube, bei unserer ersten Begegnung habe ich... einfach nicht richtig reagiert. Ich hatte noch nie einen Fan gehabt! Ich wollte deiner Vorstellung von mir gerecht werden.
BecameCloseWithDusaAftermath03|Became Close With Dusa Aftermath 03|Dusa|Oh, Prinz, Zagreus, mach dir darum keine Sorgen! Ich wusste ja selbst nicht, was mit mir los war. Als ich anfänglich hier arbeitete, war ich einfach *so *beeindruckt von dir... Du warst doch der Einzige, der es wagte, deinem Vater die Stirn zu bieten! Ich dachte ständig an dich!
BecameCloseWithDusaAftermath03|Became Close With Dusa Aftermath 03|Zagreus|Aber du kanntest mich doch noch gar nicht. Es dauerte eine gefühlte Ewigkeit, bis wir miteinander ins Gespräch kamen. Du bist manchmal schwer zu finden! Im Gegensatz zu dir kann ich ja nicht einfach in die Dachsparren hochfliegen.
BecameCloseWithDusaAftermath03|Became Close With Dusa Aftermath 03|Dusa|Ich bin so froh, dass du immer wieder versuchtest, mit mir ins Gespräch zu kommen. Andernfalls... wäre ich wahrscheinlich immer noch da oben in den Dachsparren und malte mir ein Bild von dir, das nicht annähernd so gut wie die Wirklichkeit ist!
DusaAboutLove01|Dusa About Love 01|Zagreus|He, Dusa, mir geht etwas nicht aus dem Sinn, und es ist reine Neugier, aber... gibt es jemand anderen...? Ich meine, jemand Besonderen, dem du nahestehst oder nahestehen möchtest. Ich meine eine romantische Beziehung. Wenn ich überhaupt fragen darf.
DusaAboutLove01|Dusa About Love 01|Dusa|Oh, du darfst mich alles fragen! Aber, ähm, eine romantische Beziehung mit jemand anderem, nein, kann ich nicht behaupten? Das ist nicht mein Ding? Das heißt aber nicht, dass ich keine Gefühle für dich hege! Du weißt das schon, ja? Ich würde ja nicht für jede x-beliebige Person einfach alles stehen und liegen lassen und mich in Gefahr begeben!
DusaAboutLove01|Dusa About Love 01|Zagreus|Das weiß ich natürlich. Es gibt sieben Arten von Liebe, oder so, stimmt's? Das ist eine Fähigkeit, die uns hier unten nur am Rande beigebracht wird... Deshalb habe ich wohl noch viel zu lernen.
DusaAboutLove01|Dusa About Love 01|Dusa|Wow, ich hatte es noch nie als Liebe betrachtet, bis du es gerade eben sagtest, Prinz, aber du hast recht! Ich liebe dich, Zagreus. Hah, haha, es fühlt sich richtig gut an, es einfach geradeheraus zu sagen? OK, dann bis bald!
