Id|Description|Speaker|Text
HermesSecondPickUp|Hermes Second Pick Up|Hermes|Was ist los, Vetter? Darf ich dich so nennen? Hab was für dich, womit du deine Kämpfe auf Leben und Tod eindeutig schneller zu Ende bringen kannst!
HermesExpectingZeus01|Hermes Expecting Zeus 01|Hermes|Tut mir leid, Boss, mein Paps hatte Wichtiges zu erledigen. Aber ich bin hier! Um diese Botschaft zu überbringen, und das hier.
HermesExpectingPoseidon01|Hermes Expecting Poseidon 01|Hermes|Ich bin hier, um dir zu sagen, dass Poseidon auf dem Weg ist, Boss. Manchmal ist er ein bisschen langsam. Doch du wirst ihn irgendwann wieder treffen!
HermesExpectingAthena01|Hermes Expecting Athena 01|Hermes|Hast du jemand anderen erwartet, Boss? Vielleicht meine Halbschwester? Pech, ich war zuerst hier. Willst du hiervon was, oder nicht?
HermesExpectingAres01|Hermes Expecting Ares 01|Hermes|Sobald mir zu Ohren kam, dass du Ares treffen wolltest, bin ich so schnell ich konnte hergekommen, Boss! Er wird nie schneller sein als ich. Schon gar nicht in der Rüstung.
HermesExpectingAphrodite01|Hermes Expecting Aphrodite 01|Hermes|Aphrodite sagte, dass sie ein kleines bisschen später kommt, Vetter. Das macht dir doch bestimmt nichts aus. Außerdem bin ich ja hier! Jedenfalls im Geiste.
HermesExpectingArtemis01|Hermes Expecting Artemis 01|Hermes|Wollte dir nur sagen, dass meine Schwester Artemis nach dir Ausschau hält. Du dürftest ihr in Kürze in einem der Gemächer begegnen!
HermesExpectingDionysus01|Hermes Expecting Dionysus 01|Hermes|Tut mir leid, dass Dionysos nicht hier sein konnte, Boss. Pünktlichkeit war allerdings noch nie seine Stärke.
HermesExpectingDemeter01|Hermes Expecting Demeter 01|Hermes|Die Kälte, die du da in der Luft gespürt hast, das war diesmal nicht Demeter, Boss! Das war nur ich, der blitzartig zu dir geflitzt ist. Sorgt für eine angenehme kleine Brise, denke ich!
HermesBeatCharonQuestComplete|Hermes Beat Charon Quest Complete|Hermes|Du hast es geschafft, Vetter! Und mit {#DialogueItalicFormat}es {#PreviousFormat}meine ich, du hast meinen scheinbar unbesiegbaren Fährmann runtergehandelt, der sich als Gottheit der Unterwelt für einen ziemlich harten Kerl hält! Er war sich nicht sicher, ob du das drauf hast, und wenn ich so offen sein darf, ich war's auch nicht!
HermesAboutPlume02|Hermes About Plume 02|Hermes|He, sieht so aus, als sei deine schicke Feder dir von Nutzen! Nur weiter so. Vielleicht bist du eines Tages halb so flink wie ich!
HermesAboutSkelly01|Hermes About Skelly 01|Hermes|Boss, meinem scharfen Auge ist nicht entgangen, dass du da einen gewissen Zahn mit dir herumträgst. Ich weiß ja, dass du aus dem Land der Toten kommst und so, aber meinst du nicht, das wirkt ein kleines bisschen seltsam?
HermesAboutPersephoneMeeting01|Hermes About Persephone Meeting 01|Hermes|Hab gehört, dass du endlich da rausgekommen bist, Vetter! Da darf man ja gratulieren! Natürlich ist das Geheimnis bei mir sicher! Die anderen hier, die glauben, dass du immer noch dran arbeitest. Tust du ja wohl auch!
HermesPostEnding01|Hermes Post Ending 01|Hermes|Hab gehört, eine gewisse Person ist dort unten jetzt wieder zu Hause bei dir, Vetter! Würde sagen, das sind wunderbare Neuigkeiten, nur dass es {#DialogueItalicFormat}keine {#PreviousFormat}Neuigkeiten sind, wenigstens noch nicht! Aber wenn die Zeit reif ist, die Nachricht zu verbreiten, gib einfach ein Zeichen!
HermesPostEnding01|Hermes Post Ending 01|Hermes|Also {#DialogueItalicFormat}du {#PreviousFormat}darfst wieder und wieder hier ausbrechen, damit {#DialogueItalicFormat}dein Vater {#PreviousFormat}immer neue Wege finden kann, dir deine Flucht noch weiter zu erschweren? So was in der Art? Klingt nach einer interessanten Aufgabe, Vetter!
HermesAboutOlympianReunionQuest01|Hermes About Olympian Reunion Quest 01|Zagreus|Ich bin diesmal der Bote. Im Namen von Hades! Olymp, das ist eine offizielle Botschaft! Ehrwürdiger Hermes? Bin so schnell gekommen, wie ich konnte.
HermesAboutOlympianReunionQuest01|Hermes About Olympian Reunion Quest 01|Hermes|Oh, diesmal hast du wohl eine Botschaft nur für {#DialogueItalicFormat}mich{#PreviousFormat}. Ist ja was ganz Besonderes, Boss! Eine Art Einladung, wie es aussieht. Bist du sicher, dass ich die bekommen soll, wo ich doch nicht offiziell involviert bin?
HermesPostEpilogue01|Hermes Post Epilogue 01|Hermes|Ich muss schon sagen, Vetter, das war echt ein tolles Fest bei dir! Ein bisschen heikel, so zu tun, als hätten wir uns gerade kennengelernt, doch he, ich bin ein Olympier! Was heißt, im Posieren bin ich Meister. Schön war’s, Vetter! Freut mich, dass alles geklappt hat.
HermesExpectingMiscOlympian01|Hermes Expecting Misc Olympian 01|Hermes|Fürchte, dein planmäßiger Olympier konnte jetzt nicht kommen, weil ich viel schneller bin, Boss!
HermesExpectingMiscOlympian02|Hermes Expecting Misc Olympian 02|Hermes|Könnte sein, dass du jemand anderen hier erwartet hast, Boss. Doch ich konnte es mir einfach nicht verkneifen, schneller zu sein!
HermesExpectingMiscOlympian03|Hermes Expecting Misc Olympian 03|Hermes|Bin so schnell gekommen, wie ich konnte, Vetter. Wie sich herausstellt, eine ganze Ecke schneller als meine Verwandten!
