Id|Description|Speaker|Text
HypnosFirstMeeting|Hypnos First Meeting|Hypnos|Willkommen im Haus des Hades, wo... Moment mal, ich kenne *dich * doch. Das heißt dann wohl, dass du da draußen gestorben bist, hm? Na ja, sei nicht traurig, denn so ziemlich jeder stirbt irgendwann!
HypnosMiscMeeting01|Hypnos Misc Meeting 01|Hypnos|Oh! Hi. Ich würde ja fragen, wie es war, aber weil du wieder hier bist, kann ich mir das wohl sparen, huh. Na dann, hereinspaziert!
HypnosMiscMeeting02|Hypnos Misc Meeting 02|Hypnos|Ah, gut, du bist schon wieder da, huh. Ein paar von uns hatten gewettet, wie lange du da draußen wohl durchhältst, und ich wusste einfach, dass du im Handumdrehen wieder hier sein würdest!
HypnosMiscMeeting03|Hypnos Misc Meeting 03|Hypnos|Oh! Hallo. *Ähm*, willkommen zu Hause, wieder mal, geh einfach weiter, ich glaube, dein Vater ist wegen irgendwas zornig.
HypnosMiscMeeting04|Hypnos Misc Meeting 04|Hypnos|Donnerwetter, du bist schon mindestens fünfmal gestorben, oder? Sterben ist gut für das Ökosystem hier unten, drum, ähm, danke! Du hilfst, die Unterwelt zu einem besseren Ort zu machen!
HypnosMiscMeeting04|Hypnos Misc Meeting 04|Zagreus|Sehr gut! Einfach nur immer wieder sterben, und alles wird gut.
HypnosMiscMeeting05|Hypnos Misc Meeting 05|Hypnos|Es macht schon Spaß, den Teich des Styx zu bewachen, weißt du? Das sanft plätschernde Blut und überhaupt! Und manchmal taucht jemand auf, wie du! Hausangestellte und Ehrengäste, niemand sonst. Ich trage sie ein und sorge mit dafür, dass sie einen angenehmen Aufenthalt haben!
HypnosMiscMeeting06|Hypnos Misc Meeting 06|Hypnos|*Oh*, toll, du hast diesmal Asphodel erreicht, das ist doch was! Bist zwar trotzdem gestorben und so, aber nicht so schnell wie früher, das ist doch ein Fortschritt, oder?
HypnosRunProgress01_A|Hypnos Run Progress 01 A|Hypnos|He, wow, du hast es geschafft! Auf meiner Liste hier steht, du hättest sage und schreibe fünfzig Mal das Leben gelassen, *wenn nicht mehr*! Häufiger als du ist hier meines Wissen keiner gestorben!
HypnosRunProgress01|Hypnos Run Progress 01|Hypnos|He, darf ich als Erster sagen: *Herzlichen Glückwunsch*! Du bist hundertmal gestorben, seitdem ich mitzähle. Seitdem ich darüber Buch führe. Dafür gibt's keinen Preis oder so, aber der Weg ist das Ziel oder was auch immer, nicht wahr?
HypnosRunProgress02|Hypnos Run Progress 02|Hypnos|Du wirst es nicht glauben, hier, bist du bereit? Drei... Hundert... *Mal*!! Genau! Dreihundert Mal bist du schon gestorben! Das ist ja... mehr als ein ganzes Dorf nach einem Erdbeben, und du hast das ganz allein hingebracht!
HypnosRunProgress03|Hypnos Run Progress 03|Hypnos|Oh, ich kann es nicht fassen, aber ich weiß ja, dass meine Liste hier niemals falsch ist! Und hier steht, dass du sage und schreibe fünf*hundert *Mal gestorben bist! *Fünfhundert*!! Eine noch höhere Zahl will mir gar nicht einfallen!
HypnosMegDefeated01|Hypnos Meg Defeated 01|Hypnos|Es ist meist recht ruhig, wenn ich den Teich des Styx bewache. Aber in letzter Zeit ist schwer was los! Erst vorhin tauchte jemand unvermutet auf! Du glaubst nicht, wie ich dreinschaute, als ich merkte, dass das nicht du warst!
HypnosAboutThanatos01|Hypnos About Thanatos 01|Hypnos|He, du stirbst munter vor dich hin, begegnet dir dabei zufällig mein Bruder da draußen? Habe ihn schon ewig nicht gesehen, was hat er denn für einen Mammutauftrag?
HypnosAboutThanatos01|Hypnos About Thanatos 01|Zagreus|Irgendein Krieg oder so. Vater sandte Thanatos aus, um sich ein Bild zu machen, aber du hast recht, das ist eine ganze Weile her. Seitdem hat sich hier unten wohl viel ereignet.
HypnosAboutThanatos01|Hypnos About Thanatos 01|Hypnos|Und ob! Der Salon ist wieder offen, mal sehen, was sonst noch... Egal! Wenn du meinem Bruder da draußen begegnest, sag ihm, wir haben hier alles unter Kontrolle!
HypnosAboutThanatos02|Hypnos About Thanatos 02|Hypnos|He, hast du das gesehen? Mein Bruder, er ist wieder da! Er ist hier! Irgendwo, glaube ich! Der gute alte Thanatos. Vor lauter Arbeit hat er nie Zeit für einen Schwatz mit mir! Bestimmt geht es *dir * mit deinem Papa ähnlich!
