Id|Description|Speaker|Text
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|Meg. *Oh*. Ich war nicht auf Gesellschaft eingestellt. Hast du einfach nur herumgeschnüffelt, oder ... kann ich dir irgendwie behilflich sein?
MegaeraBedroom01|Megaera Bedroom 01|Megaera|...Ich wollte gerade gehen, Zagreus. War zufällig in der Gegend, hat nichts mit dir zu tun, und dachte, ich könnte meine letzten Habseligkeiten holen. Ich muss schon sagen, du hast diesen Ort wirklich verkommen lassen.
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|... Sie ist gegangen. Prima. Wunderbar! Dann bringen uns wohl einfach weiter gegenseitig um, immer wieder.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Hast du schon wieder was in meinem Schlafgemach vergessen, Meg?
MegaeraBedroom02|Megaera Bedroom 02|Megaera|Nein. Wir müssen noch mal reden. Meine Schwestern sind jetzt an all dem hier beteiligt. Du hast ganz schön viel Chaos angerichtet.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Tut mir leid. Meine Mutter ist irgendwo da draußen. Ich werde nicht eher ruhen, bis ich sie gefunden habe. Das kannst du nicht verstehen.
MegaeraBedroom02|Megaera Bedroom 02|Megaera|Davon hast du keine Ahnung. Was ich sagen will, ist ... dass meine Schwestern jetzt beteiligt sind, ändert die Lage. Entlastet mich ein wenig.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Was sagst du?
MegaeraBedroom02|Megaera Bedroom 02|Megaera|Ich meine ... Ich weiß, dass du deine Mutter finden musst, Zagreus. Ich muss meine Aufgabe erfüllen, doch ich werde sehen, ob ich etwas tun kann.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Meg...! Sie... *ah*.
MegaeraBedroom02B|Megaera Bedroom 02 B|Zagreus|Ich weiß. Es tut mir leid. Doch dies ist eine Pflicht der ich nachkommen muss. Du würdest es nicht verstehen.
MegaeraBedroom02B|Megaera Bedroom 02 B|Zagreus|Entlastet dich ... Moment, was wirst du tun?
MegaeraBedroom02B|Megaera Bedroom 02 B|Megaera|Ich meine ... Ich weiß, du tust, was du tun musst, Zagreus. Und meine Schwestern und ich werden immer versuchen, dich aufzuhalten. Doch ich tue es nur, weil ich es tun muss. Verstehst du?
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Meg... was für eine Überraschung. Noch einmal. Was willst du? ...Was ist los? Moment mal. Warum siehst du mich so an?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|Zagreus, würdest du wohl mit deinen blöden Fragen aufhören und herkommen? Sofort.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|...Ich ... wirklich ... oh ...
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|...Ich dachte schon, du würdest niemals fragen. Aber ich bin froh, dass du es getan hast.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Ähm, Meg, ich ... was ich sagen will, ist ... ist zwischen uns alles in Ordnung, oder ...?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|Meine Gegenwart braucht dich nicht zu verunsichern, Zag. Das müsstest du doch langsam wissen. Obwohl, ja, wenn du es unbedingt wissen willst ... Ich glaube, es ist alles gut zwischen uns. Doch wenn du auch nur einer Seele was erzählst, ob lebendig oder tot, bring ich dich um, hast du verstanden?
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Ich ... klar und deutlich, Meg, ja, ich habe verstanden. Also ... was passiert jetzt?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|Was jetzt passiert? Ich seh dich wohl am Rand des Tartaros. Oder vielleicht hier. Wie lange auch immer wir so weitermachen.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Wie lange auch immer wir so weitermachen?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|Du stellst zu viele Fragen, Zag. Ich habe keine Antworten, und außerdem: Du weißt besser als ich, wie es ist, im Hier und Jetzt zu leben. Man sieht sich.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|...Man sieht sich! ...Ja.
Text|Text|Zagreus|...Ich ... Meg, ich bin zutiefst geschmeichelt, und du liegst mir sehr am Herzen, es ist nur ... so stelle ich mir unsere Beziehung nicht vor. Ich muss dir wohl Hoffnungen gemacht haben. Verzeih mir. Bitte sag, dass wir noch Freunde sind?
Text|Text|Megaera|...Mehr möchtest du nicht...? Außer mit mir befreundet sein? *Hah. *Es ist manchmal sehr schwer zu verstehen, was in deinem Kopf vor sich geht, Zag. Aber, weißt du was, wir haben schon sehr viele Dinge versucht. Warum versuchen wir es nicht mal auf deine Art? Wir sehen uns dann da draußen.
Text|Text|Megaera|...Bist du sicher? Also, ich ... das ist völlig in Ordnung. Ich seh dich dann da draußen.
Text|Text|Zagreus|...Ja. Manchmal muss ich die Dinge langsamer angehen lassen. Ich bin dankbar, dass wir in letzter Zeit besser miteinander auskommen. Doch ich hab mich etwas zu weit vorgewagt. Verzeih mir. Du bist mein guter Freund. Ich möchte dir nicht wehtun. Oder anderen.
Text|Text|Thanatos|Ich ... oh. Verstehe, verstehe. Auch du bist mein treuer Freund. Obwohl wir in letzter Zeit alles daran zu setzen scheinen, dieses Verhältnis zu gefährden, nicht wahr? Pass gut auf dich auf, Zag. Wir sehen uns bald wieder.
Text|Text|Zagreus|...Man sieht sich.
Text|Text|Zagreus|Than ... *hahaha*, ich bin so froh! Es ist bloß ... weißt du, dass Megaira auch hier war ...?
Text|Text|Thanatos|*Tss. *Ich kenne Megaira schon viel länger als du. Was glaubst du, wer mich hierzu überredet hat?
Text|Text|Zagreus|Hah! Sie war das, ja? Das ist gut! Das ist gut.
Text|Text|Thanatos|Bist du sicher? Na gut ... Ich verstehe. Ich gehe besser wieder an die Arbeit.
Text|Text|Zagreus|...Bis dann, Than.
Text|Text|Zagreus|...He ... seht mal. Ich habe euch gern. Euch beide. Sogar sehr gern. Ich bin froh, dass wir uns so nahe stehen ... ihr euch so nahe steht. Das ist allemal besser als vorher, als wir uns noch gegenseitig an den Kragen wollten. Aber mir ist das alles etwas zu viel im Moment.
Text|Text|Megaera|...Bist du dir sicher? Ich meine....das ist vollkommen in Ordnung. Du hast schon wie die Dinge normalerweise stehen einen haufen Druck. Wir sehen uns dann da draußen.
Text|Text|Thanatos|Wir unterhalten uns ein andermal, in Ordnung?
BecameCloseWithMegaera01_B|Became Close With Megaera 01 B|Megaera|Halt einfach die Klappe, Zagreus. Und komm her.
BecameCloseWithMegaera01_B|Became Close With Megaera 01 B|Megaera|Du stellst zu viele Fragen, Zag. Aber ja, ich würde sagen, im Moment ja. Doch wenn du auch nur einer Seele was erzählst, bring ich dich um, hast du verstanden?
BecameCloseWithMegaera01_B|Became Close With Megaera 01 B|Zagreus|Doch ... nein, warte ... nicht einmal Than ...?
BecameCloseWithMegaera01_B|Became Close With Megaera 01 B|Megaera|Than ist kein Trottel. Er will das Beste für dich. Und er ist nicht von der eifersüchtigen Sorte. Außerdem arbeite ich gut mit ihm zusammen, wie du sehr wohl weißt.
BecameCloseWithMegaera01_B|Became Close With Megaera 01 B|Zagreus|Ja, aber ... was ist mit dir, du bestrafst Eifersucht. Was, wenn ich ...
BecameCloseWithMegaera01_B|Became Close With Megaera 01 B|Megaera|Wir sind keine gewöhnlichen Sterblichen, Zag. Sterbliche klammern sich aneinander fest, weil ihr Leben nur von kurzer Dauer ist. Was kümmert’s uns? Wenn Nyx mich eins gelehrt hat, dann dass ein Herz keine Grenzen kennt. Nun hör auf, dir Sorgen zu machen, und mach dich bereit für unsere nächste Begegnung da draußen. Man sieht sich.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|Zagreus, du hast keine Türen. Warum bist du also immer so überrascht, wenn wir auftauchen?
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Zagreus|*Äh*, Meg, Than, was... was macht ihr zwei... was ist los? Was auch immer es ist, ich kann es erklären, oder... Moment, ihr lächelt beide. Gebt mir bitte einen Augenblick... damit ich das verarbeiten kann.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|Du versteht das komplett falsch, Zag. Thanatos und ich kennen uns schon länger, als du am Leben bist.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Thanatos|Ich würde sagen, dass wir, alles in allem betrachtet, mittlerweile ganz gut im Bilde sind. Stimmt's, Megaira?
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|Siehts du nicht, dass wir gerade nicht im Dienst sind, Zagreus?
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Zagreus|*Hah*! Also, dann ... wenn sich herausstellt, dass dies bloß ein Traum ist, werde ich sehr, sehr wütend. Obwohl ... es gibt wohl nur einen Weg, das herauszufinden.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Zagreus|Puh, nun, also, ähm, wo war ich ...
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|Nun gut! Ich denke, wir sind hier zu einer Übereinkunft gelangt. Ich sollte mich besser auf den Weg machen. Bis zum nächsten Mal, Zag. Und Thanatos.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Zagreus|Puh, nun, das war ... das war ... *ähm*.
MegaeraWithSisyphus01|Megaera With Sisyphus 01|Megaera|...Wenn du ihm noch einmal aushilfst, kriegst du bei unserer nächsten Begegnung tausend Peitschenhiebe. Und wenn ich zurückkomme, liegt dein kleiner Felsen besser da oben, oder du kriegst noch mal tausend.
MegaeraWithSisyphus01|Megaera With Sisyphus 01|Sisyphus|Klingt gut, klingt gut, ehrwürdige Dame, das ist mehr als angemessen. Ich nehme dich beim Wort! Wir sehen uns bald wieder!
MegaeraWithSisyphus02|Megaera With Sisyphus 02|Megaera|...Und du kümmerst dich besser fleißig um deinen Felsblock, wenn dir dein Wohlergehen lieb ist, du kleiner Schwindler. Und glaub ja nicht, dass ich dich nicht beobachte.
MegaeraWithSisyphus02|Megaera With Sisyphus 02|Sisyphus|Ich weiß deine Aufmerksamkeit zu schätzen, ehrwürdige Dame, und ich werde Steinchen sicherlich im Nu diesen Hang hinaufrollen, obwohl mir das bisher noch nie gelungen ist!
