Id|Description|Speaker|Text
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Theseus|...Ich sage dir, du liegst *falsch*, Asterios! Er ist nicht von *königlichem Geblüt*, ganz sicher nicht von einem, das *mir *bekannt wäre! Er ist lediglich ein namenloser, längst vergessener kleiner Gott, der aus den Tiefen geboren wurde und von dort auch nicht entkommen wird!
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Minotaur|Auch ich wurde einst mit solchen Worten beschimpft, König. Wie viele Male standen wir diesem Feind schon gegenüber? Und in meinen Augen schlug er sich hier sehr wacker.
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Theseus|*Wacker*?! Sich hinter diesen Säulen zu verstecken, nennst du *wacker*, Asterios? Über dein fehlendes Urteilsvermögen werden wir uns noch nach unserem Sieg unterhalten!
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Theseus|Ich hoffe, dass du vollauf zufrieden mit dir bist, Ausgeburt der Hölle. Denn Asterios ist reichlich böse mit mir! Wie das eben so seine Art ist. Er sagt, dass ich deinesgleichen verkannt hätte! *Welch Ungeheuerlichkeit*.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Minotaur|Du hörst mir nicht zu, König. Es gibt noch viel über diesen Feind zu lernen. Jedes Mal taucht er mit einer anderen Ausrüstung auf. Neue Waffen, Fähigkeiten, die nur von den Göttern verliehen werden, und dergleichen. Trotz all unserer Anstrengungen konnten wir bisher kaum seine Strategien durchschauen.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Theseus|Und nun willst du mir sagen, dass ich nicht kämpfen kann, Asterios? Obgleich ich keinerlei Schwierigkeiten hatte, *dich * in deinem eigenen Labyrinth zu besiegen?! Komm schon, lass uns diesen Kampf beginnen!
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Theseus|Nun gut, du Wurm! Kämpf schon mit uns. Und nutze den Unfrieden, den du zwischen uns gestiftet hast, zu deinem Vorteil! Wir sind kein Team! Wir sind lediglich zwei Kämpfer, deren Bestimmung es war, gleichzeitig hier zu erscheinen.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Minotaur|König, ich denke, dass du hier überreagierst. Versuche, vernünftig zu sein. Und sei bitte etwas rücksichtsvoller, wenn ich dir meinen Standpunkt darlege. Das sollte nicht zu viel verlangt sein.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Theseus|Du verlangst das Unmögliche von mir! Aber lass uns kämpfen. Und lass uns verlieren, dessen bin ich mir gewiss, denn wenn wir kein Team sind, was sind wir dann, Asterios ...?
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds 05 Extra A|Minotaur|Du musst das dem Recken nachsehen, Knirps. Er ist in letzter Zeit nicht ganz der Alte. Er wird es sich aber nicht nehmen lassen, einen Kampf auf Leben und Tod mit dir auszutragen, dessen bin ich mir sicher.
