Id|Description|Speaker|Text
NyxFirstMeeting|Nyx First Meeting|Nyx|Erliege nicht der Verzweiflung, Kind. Derartige Rückschläge sind unvermeidbar und lassen sich mit etwas Mühe und Zeit überwinden. Du konntest Kontakt zur Göttin Athene aufnehmen. Sie wird ihr Wort halten.
NyxFirstMeeting|Nyx First Meeting|Zagreus|Das glaube ich, Nyx. Ich bin dankbar, dass du uns in Kontakt gebracht hast. Ich weiß, dass du dabei ein großes Risiko eingegangen bist.
NyxFirstMeeting|Nyx First Meeting|Nyx|Nicht ich bin einem Risiko ausgesetzt. Ich war davon ausgegangen, dass die Olympier sich irgendwann einmischen würden. Offenbare ihnen gegenüber nichts, was sie nicht bereits wissen. Haben wir uns verstanden?
NyxFirstMeeting_B|Nyx First Meeting B|Nyx|Ich bin von Freude erfüllt endlich mit dir zu reden, Kind. Also stand die Göttin Athene zu ihrem Wort. Du und sie, ihr wart weise Diskret vorzugehen.
NyxFirstMeeting_B|Nyx First Meeting B|Nyx|Die Gefahr betraf nicht mich selbst. Es war unumngänglich, dass sich die Olympier irgendwie in diese Angelegenheit einmischen würden. Die Frage lag nur bei dem Wie.
NyxGrantsRespec|Nyx Grants Respec|Nyx|Ich hoffe, der Spiegel in deinem Schlafgemach ist zufriedenstellend, liebes Kind...?
NyxGrantsRespec|Nyx Grants Respec|Zagreus|Besser als ich mir je hätte vorstellen können, Nyx. Du sagtest, er könne noch etwas anderes tun, wenn ich mich einmal an ihn gewöhnt hätte. Ich glaube, ich bin jetzt dafür bereit.
NyxGrantsRespec|Nyx Grants Respec|Nyx|Das gedenke ich ebenfalls. Dann soll es geschehen, wie du es dir wünscht.
NyxMiscMeeting02|Nyx Misc Meeting 02|Nyx|Bevor du gehst, mein Kind... dein Vater ist gegenwärtig in schwieriger Stimmung. Vielleicht solltest du ihn einfach in Ruhe lassen.
NyxMiscMeeting04|Nyx Misc Meeting 04|Zagreus|Nyx, dies mag merkwürdig klingen, aber... weißt du, was die Schicksalsgöttinnen für mich planen? Sie sind deine Töchter, nicht?
NyxMiscMeeting04|Nyx Misc Meeting 04|Nyx|Die drei Schicksalsgöttinnen sind meine Töchter, ja, mein Kind. Doch weiß ich nicht mehr über ihr Walten als die einfältigen Sterblichen dort droben. Nicht einmal die Olympier wissen, wie die Schicksalsgöttinnen ihre Fäden spinnen.
NyxMiscMeeting05|Nyx Misc Meeting 05|Nyx|Möge die Finsternis dich führen, Kind. Du bist diesem Haus entwachsen, dessen bin ich mir nun sicher. Solltest du erneut zurückkehren, werde ich dich schützen.
NyxMiscMeeting05|Nyx Misc Meeting 05|Zagreus|Ich werde dich nicht vergessen, Nyx. Ich schwöre es.
NyxBackstory01|Nyx Backstory 01|Zagreus|Irgendwie wusste ich es schon immer, weißt du. Dass du nicht meine leibliche Mutter bist. Ich meine, man muss Hypnos und Thanatos nur anschauen, um zu wissen, dass ich gar nicht mit *ihnen * verwandt sein kann. Alle wussten das und doch... als ich endlich Gewissheit erlangte, war es trotzdem ein Schock.
NyxBackstory01|Nyx Backstory 01|Nyx|Ich wusste immer, dass du irgendwann die Wahrheit erfahren würdest. Und fürchtete mich davor, was danach geschehen würde. Ich bin dankbar, dass es überstanden ist. Doch sag mir eins. Ich nenne dich immer noch Kind. Würdest du es vorziehen, dass ich derartige Bezeichnungen künftig nicht mehr verwende?
NyxBackstory01|Nyx Backstory 01|Zagreus|Nein, Nyx, bitte, es ist... vollkommen in Ordnung. Du magst nicht meine leibliche Mutter sein, aber du hast mich dennoch ins Herz geschlossen. Daran habe ich keine Zweifel. Und ist es dir wirklich recht, dass ich dich weiterhin mit deinem Namen anspreche?
NyxBackstory02|Nyx Backstory 02|Zagreus|Nyx, du weißt doch bestimmt etwas darüber, warum Vater die Beziehungen mit den Olympiern abbrach, oder?
NyxBackstory02|Nyx Backstory 02|Nyx|Nur dein Vater kann diese Frage beantworten, Kind. Ich kann dir nicht mehr sagen, als du bereits weißt.
NyxAboutHades01|Nyx About Hades 01|Zagreus|Ich muss dich etwas fragen, Nyx. Warum stehst du eigentlich in Vaters Schuld? Vergib mir, dass ich gelauscht habe, es ist nur... Ich hörte euch beide miteinander reden und... es kam zur Sprache.
NyxAboutHades01|Nyx About Hades 01|Nyx|...Ich war lange vor deinem Vater hier. Die Verantwortung zu regieren fiel an mich. Aber ich kam nicht allein zurecht. Ich gebe der Finsternis ihre Form und sorge für die Vollkommenheit des Reichs. Ich neige weniger dazu, Befragungen durchzuführen und Regeln durchzusetzen. Ich scheute vor derartigen Pflichten zurück.
NyxAboutHades01|Nyx About Hades 01|Zagreus|Es war zu viel, sogar für dich. Also... als Vater erschien... hießt du ihn willkommen? Er half?
NyxAboutHades01|Nyx About Hades 01|Nyx|Ich war ihm gegenüber zunächst ziemlich skeptisch. Ich dachte, seine Gegenwart sei lediglich ein grausamer Trick des Schicksals. Aber... er arbeitete fleißig, von Anfang an. Schon bald sorgte er für Ordnung. Ich schuf dieses Haus für ihn und halte es auch heute noch instand. Wir befinden uns weiterhin in einer Partnerschaft. In einer wechselseitigen Abhängigkeit.
NyxAboutHades01|Nyx About Hades 01|Zagreus|Er hat dich nie ausgenutzt? Deine Großzügigkeit?
NyxAboutHades01|Nyx About Hades 01|Nyx|Nein, Kind. Das hat er nicht. Er ist mir gegenüber manchmal kurz angebunden, wie du weißt. Aber das ist alles. Wir haben Wege gefunden, Meinungsverschiedenheiten zu beseitigen. Doch dein Verhältnis mit ihm... ist wesentlich komplizierter als das meinige, fürchte ich...
NyxAboutHades02|Nyx About Hades 02|Zagreus|Nyx, du hilfst mir immer wieder, mit den Olympiern, dem Spiegel, dem Baumeister, ich... Ich befürchte, das Vater seinen Zorn über dich entladen wird, falls er dahinter kommen sollte. Ich möchte nicht, dass irgendwas passiert.
