Id|Description|Speaker|Text
PatroclusFirstMeeting|Patroclus First Meeting|Patroclus|...Geh weiter, Fremder. Es gibt noch genügend Schatten da draußen, die sich gern mit dir messen möchten.
PatroclusFirstMeeting|Patroclus First Meeting|Zagreus|Ich bin nur auf der Durchreise. Du wirkst weniger kriegerisch als die anderen. Darf ich fragen, wie du heißt, Herr? Ich heiße Zagreus.
PatroclusFirstMeeting|Patroclus First Meeting|Patroclus|Namen sind Schall und Rauch. Du solltest nicht hier sein. Mögen die Schicksalsgöttinnen deiner Reise ihr Wohlwollen schenken. Aber falls sie das nicht tun, hier. Nimm dies.
PatroclusMeeting02|Patroclus Meeting 02|Zagreus|Gibt es ein Problem, Herr? Ich meine, müsstest du nicht herumlaufen und um ewigen Stolz und Ruhm und all das kämpfen?
PatroclusMeeting02|Patroclus Meeting 02|Patroclus|Was bringt das schon? Lass uns einfach sagen, wir hätten gekämpft, falls jemand fragt. Und jetzt geh. Außerdem habe ich keinen Grund, mich mit dir zu streiten. Ich bleibe einfach hier, ruhe mich aus und lasse unzählige Jahrtausende vorübergehen. Noch einen schönen... welche Tageszeit auch immer.
PatroclusMeeting03|Patroclus Meeting 03|Patroclus|Deine Plackerei im Elysion ist noch immer nicht zu Ende, wie ich sehe. Du kämpfst mit meinen Brüdern, im Namen der Ehre, stimmt's?
PatroclusMeeting03|Patroclus Meeting 03|Zagreus|Ich bin auf dem Weg in die Oberwelt. Aber deine Brüder halten mich auf. Sei es des Ruhmes Willen oder auf Geheiß meines Vaters.
PatroclusMeeting03|Patroclus Meeting 03|Patroclus|Deines Vaters...? Ah, natürlich, du bist der Prinz, nicht wahr. Dann muss dir klar sein, was dein Geburtsrecht wert ist: Es ergeht dir nicht besser als uns. Nun geh.
PatroclusMeeting04|Patroclus Meeting 04|Patroclus|Ihr schon wieder. Ich habe dir doch gesagt, du sollst dich von mir fernhalten. Dein Vater mag hier ja ein hohes Tier sein, aber das ist mir vollkommen gleichgültig, verstehst du? Geh und sag ihm, er kann mich meinetwegen in die Abgründe des Tartaros werfen. Es wäre eine willkommene Abwechslung von dem eintönigen Dasein, das ich hier im Ruhestand friste.
PatroclusMeeting05|Patroclus Meeting 05|Patroclus|Ich war das letzte Mal unwirsch, Fremder. Vergib mir meine Taktlosigkeit. Oder auch nicht. Aber ich wollte mich entschuldigen.
PatroclusMeeting05|Patroclus Meeting 05|Zagreus|Mach dir darüber keine Gedanken, Herr. Aber wenn ich dir irgendwie helfen könnte, würdest du es mir schon sagen, oder?
