Id|Description|Speaker|Text
MegaeraWithSisyphus01|Duo - Megaera and Sisyphus (1)|Megaera|...Wenn du ihm noch einmal aushilfst, kriegst du bei unserer nächsten Begegnung tausend Peitschenhiebe. Und wenn ich zurückkomme, liegt dein kleiner Felsen besser da oben, oder du kriegst noch mal tausend.
MegaeraWithSisyphus01|Duo - Megaera and Sisyphus (1)|Sisyphus|Klingt gut, klingt gut, ehrwürdige Dame, das ist mehr als angemessen. Ich nehme dich beim Wort! Wir sehen uns bald wieder!
MegaeraWithSisyphus02|Duo - Megaera and Sisyphus (2)|Megaera|...Und du kümmerst dich besser fleißig um deinen Felsblock, wenn dir dein Wohlergehen lieb ist, du kleiner Schwindler. Und glaub ja nicht, dass ich dich nicht beobachte.
MegaeraWithSisyphus02|Duo - Megaera and Sisyphus (2)|Sisyphus|Ich weiß deine Aufmerksamkeit zu schätzen, ehrwürdige Dame, und ich werde Steinchen sicherlich im Nu diesen Hang hinaufrollen, obwohl mir das bisher noch nie gelungen ist!
MegaeraWithSisyphus03|Duo - Megaera and Sisyphus (3)|Megaera|...Und sobald diese Sache mit dem Prinzen erledigt ist, wird alles wieder so sein wie früher. Bis dahin würde ich an deiner Stelle zusehen, dass ich deinen Felsblock wieder regelmäßig da oben auf dem Berg sehe.
MegaeraWithSisyphus03|Duo - Megaera and Sisyphus (3)|Sisyphus|Das klingt sehr vernünftig in meinen Ohren, ehrwürdige Dame. Sei dir gewiss, dass ich Steinchen -* ähm *, ich will sagen diesen Felsblock hier - dass ich ihn ab sofort wieder wie gewohnt regelmäßig diesen Hang hinaufrollen werde! Bis dann!
ThanatosWithSisyphus01|Duo - Thanatos and Sisyphus (1)|Thanatos|...Und es ist dir ab sofort untersagt, Prinz Zagreus noch einmal zu helfen. Haben wir uns verstanden?
ThanatosWithSisyphus01|Duo - Thanatos and Sisyphus (1)|Sisyphus|Aber unbedingt, Gebieter Thanatos, daran würde ich nicht einmal im Traum denken! Abgesehen davon kreisen meine Gedanken nur um die neuesten Strategien, wie ich meinen Felsblock den Hang hinaufrollen kann.
ThanatosWithSisyphus01|Duo - Thanatos and Sisyphus (1)|Thanatos|Genug. Geh zurück an die Arbeit, und ich werde mich wieder um meine Aufgaben kümmern.
ThanatosWithSisyphus02|Duo - Thanatos and Sisyphus (2)|Sisyphus|Ich verstehe dich, Gebieter Thanatos, und werde mich deinem Willen beugen. Keine Hilfe mehr für Prinz Zagreus, und dieses Mal meine ich es todernst.
