Id|Description|Speaker|Text
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|Ich will ehrlich zu dir sein, Kumpel. Du hast jemandem weit über meiner Gehaltsstufe imponiert. Daher will ich dir ein kleines Angebot machen, hörst du?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Zagreus|Lass mich raten ... ich soll mich durch die ganze Unterwelt kämpfen, mit dem Strafpakt da drüben, damit das Ganze noch tückischer wird, als es ohnehin schon ist, und wenn ich es schaffe, kriege ich zur Belohnung irgendeinen nutzlosen Plunder?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|Falsch! Es geht hier um was echt Großes, Kumpel, siehst du das Ding da hinten? Plunder. Komm schon, hast du etwa Angst?
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|Ich wusste einfach, dass du’s drauf hast, Kumpel. Gefällt dir dein neuer Preis? Strafpakt, {#DialogueItalicFormat}Schlafpakt{#PreviousFormat}, kein Problem, du weißt, was ich meine? Aber da hattest du natürlich leichtes Spiel, bin ziemlich sicher, dass ich das auch geschafft hätte.
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Zagreus|Moment mal, nur um das klarzustellen. Ich hab mich buchstäblich durch die Hölle gekämpft, und alles, was ich zur Belohnung bekomme, ist ... eine Statue von dir? Versteh mich nicht falsch, sie ist sehr hübsch, nur ... Ich weiß nicht, was ich erwartet habe.
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|Hör mal, Bursche, es gab da ein kleines Missverständnis, als wir das Ding in Auftrag gegeben haben. Ich hab ihnen gesagt, sie sollen was fabrizieren, das mich bei meinen Quellen gut dastehen lässt, und das ist dabei rausgekommen. Die andern sind viel besser geworden, wirst schon sehen!
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Zagreus|Skelly, ich möchte dich was fragen. Hast du wirklich drei fast identische Statuen von dir selbst in Auftrag gegeben, um mich dazu zu verleiten, den Strafpakt einzusetzen?
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Skelly|Ich fühle mich gekränkt, Kumpel! Du hast die dritte noch nicht mal gesehen, wie kannst du mir da so was unterstellen?! Vielleicht hab ich mich in dir getäuscht. Ich dachte, dass du wirklich der Richtige wärst!
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Zagreus|Das sagst du doch nur, damit ich mich entschuldige und die letzte deiner drei identischen Statuen freizuschalten versuche.
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Skelly|{#DialogueItalicFormat}Wie kannst du so was{#PreviousFormat}...? Ich würde die Statuen auf der Stelle zurückgeben und mir den Preis erstatten lassen, wenn ich mich rühren könnte! Und wenn es eine Erstattungsrichtlinie gäbe.
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Skelly|Tut mir leid, dass ich’s vermasselt habe mit deinen Statuen, Bursche. Wirklich. Als ich sie gesehen habe, war ich echt erschrocken. Doch dann dacht ich mir, nie im Leben wird er sehen, wie sie geworden sind, also hab ich einfach mitgespielt, weißt du?
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Zagreus|Du hättest mich nicht unterschätzen dürfen, Kumpel. Aber ... Ich hätte nicht so schlecht über deine Statuen reden dürfen. Du hast dir sicher viel Mühe gegeben, sie hierher zu bringen.
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Skelly|Und ob, Kumpel! Sagen wir einfach, wir sind quitt? Wir haben eine Menge durchgemacht. Wir beide! Hab wirklich was daraus gelernt. Und jetzt haben wir mehr Verständnis füreinander, ja?
SkellyFirstMeeting|Skelly First Meeting|Skelly|Nette Bude, Bursche! Der Name ist Skelly! Aber nun genug geplaudert, ich bin schließlich nicht zum Spaß hier. Also, zeig mir, was du kannst! Gib alles, was du hast!!
SkellyFirstMeeting|Skelly First Meeting|Zagreus|Ich kann mich nicht daran erinnern, dich auf der Gehaltsliste zu haben, Kumpel. Wer ist dein Vorgesetzter?
