Id|Description|Speaker|Text
InspectHouse01|Inspect House 01|Storyteller|*Das Haus des Hades: Dieses finstere und üppig dekorierte Domizil des Königs der Unterwelt ist nicht nur für ihn selbst ein Zuhause, sondern auch für seinen eigensinnigen Abkömmling.*
InspectLoungeClosed01|Inspect Lounge Closed 01|Storyteller|*Was einst ein kleiner Salon im Haus des Hades war, ist jetzt abgeriegelt, ein Scherbenhaufen, seit der mehrköpfige Kerberos in Trauer über den verschwundenen Prinzen darin wütete.*
InspectShades01|Inspect Shades 01|Storyteller|*Schatten der Toten streunen ständig durch das Haus, jammern über ihre Nöte und suchen ein offenes Ohr für ihre Klagen.*
InspectLoungeOpen01|Inspect Lounge Open 01|Storyteller|*Der Salon im Haus des Hades ist ein trister Ort, trotz seiner vorgesehenen Bestimmung, die grimmigen Bewohner des Hauses aufzuheitern.*
InspectEmployeeOfTheMonth01|Inspect Employee Of The Month 01|Storyteller|*Eine Gedenktafel ziert eine der Wände des Salons. Sie preist die Errungenschaften derer, die dem ehrwürdigen Hades am besten dienen.*
InspectCellar01|Inspect Cellar 01|Storyteller|*Die uralten Weinfässer, versteckt in den dunkelsten Ecken des Hauses vom ehrwürdigen Hades...wenige durften die trunken machenden Inhalte probieren und noch wenigeren ist es erlaubt sich in deren Nähe aufzuhalten.*
InspectCellar01|Inspect Cellar 01|Storyteller|*Die getreuen Weinfässer des Hauses des Hades, sind nun nach dem Ansturm der Olympier, so gut wie komplett aufgebraucht, nachdem sie stark während eines gewissen Festes ausgeharrt hatten.*
InspectOlympusSculpture01|Inspect Olympus Sculpture 01|Storyteller|*Eine majestätische, vergoldete Figur des Bergs Olymp, erbaut mit äußerster Vorsicht, aus des wahren Berges Gestein, bringt nun auf ewig ein helles Leuchten in das gedämpfte Licht des Hauses von Hades, als ein Abschiedsgeschenk der Verwandtschaft, des ehrwürdigen Meisters.*
InspectMural01|Inspect Mural 01|Storyteller|*Auf einem riesigen und aufwendig gearbeiteten Mosaik ist der König der Unterwelt zu sehen, wie er über sein ungeheuerlich großes Reich wacht, während seine chthonischen Bewohner voller Ehrfurcht zu ihm aufblicken.*
InspectThrone01|Inspect Throne 01|Storyteller|*Selten ist der monströse Thron des grimmigen ehrwürdigen Hades leer. Die Bewohner des Hauses gehen ihren Geschäften nach und wagen es nicht einmal, nach dem Grund zu fragen.*
InspectHouseGarden01|Inspect House Garden 01|Storyteller|*Der Garten der Persephone, der Königin. Einst war dem Prinzen auf seine Lebenszeit der Zugang verwehrt, doch nun sollen ihm all seine Schönheiten offenbart werden.*
Flashback02|Flashback 02|Storyteller|*Er nähert sich dem imposanten Thron seines ehrwürdigen Vaters, halb erwartend, ertappt zu werden, doch rechnet nicht mit dem, was ihn erwartet.*
Flashback03|Flashback 03|Storyteller|*Er weiß nicht genau, wonach er sucht. Er weiß nur, dass ihm schon immer etwas seltsam vorkam, dass er nicht dazugehört. Wer ist er in Wirklichkeit? Der ehrwürdige Hades verschloss sich solchen Fragen. Also würde Prinz Zagreus es selbst herausfinden.*
