Id|Description|Speaker|Text
Text|Text|Zagreus|...Ich ... Meg, ich bin zutiefst geschmeichelt, und du liegst mir sehr am Herzen, es ist nur ... so stelle ich mir unsere Beziehung nicht vor. Ich muss dir wohl Hoffnungen gemacht haben. Verzeih mir. Bitte sag, dass wir noch Freunde sind?
Text|Text|Megaera|...Mehr möchtest du nicht...? Außer mit mir befreundet sein? *Hah. *Es ist manchmal sehr schwer zu verstehen, was in deinem Kopf vor sich geht, Zag. Aber, weißt du was, wir haben schon sehr viele Dinge versucht. Warum versuchen wir es nicht mal auf deine Art? Wir sehen uns dann da draußen.
Text|Text|Megaera|...Bist du sicher? Also, ich ... das ist völlig in Ordnung. Ich seh dich dann da draußen.
Text|Text|Zagreus|...Ja. Manchmal muss ich die Dinge langsamer angehen lassen. Ich bin dankbar, dass wir in letzter Zeit besser miteinander auskommen. Doch ich hab mich etwas zu weit vorgewagt. Verzeih mir. Du bist mein guter Freund. Ich möchte dir nicht wehtun. Oder anderen.
Text|Text|Thanatos|Ich ... oh. Verstehe, verstehe. Auch du bist mein treuer Freund. Obwohl wir in letzter Zeit alles daran zu setzen scheinen, dieses Verhältnis zu gefährden, nicht wahr? Pass gut auf dich auf, Zag. Wir sehen uns bald wieder.
Text|Text|Zagreus|...Man sieht sich.
Text|Text|Zagreus|Than ... *hahaha*, ich bin so froh! Es ist bloß ... weißt du, dass Megaira auch hier war ...?
Text|Text|Thanatos|*Tss. *Ich kenne Megaira schon viel länger als du. Was glaubst du, wer mich hierzu überredet hat?
Text|Text|Zagreus|Hah! Sie war das, ja? Das ist gut! Das ist gut.
Text|Text|Thanatos|Bist du sicher? Na gut ... Ich verstehe. Ich gehe besser wieder an die Arbeit.
Text|Text|Zagreus|...Bis dann, Than.
Text|Text|Zagreus|...He ... seht mal. Ich habe euch gern. Euch beide. Sogar sehr gern. Ich bin froh, dass wir uns so nahe stehen ... ihr euch so nahe steht. Das ist allemal besser als vorher, als wir uns noch gegenseitig an den Kragen wollten. Aber mir ist das alles etwas zu viel im Moment.
Text|Text|Megaera|...Bist du dir sicher? Ich meine....das ist vollkommen in Ordnung. Du hast schon wie die Dinge normalerweise stehen einen haufen Druck. Wir sehen uns dann da draußen.
Text|Text|Thanatos|Wir unterhalten uns ein andermal, in Ordnung?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Thanatos ...! Ich würde dich hereinbitten, aber ... du bist schon da. Ich freu mich wirklich, dich zu sehen.
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|Sag mir nur eins, Zagreus. Hast du wirklich gemeint, was du gesagt hast, dass ... dass wir uns vielleicht ... Zeit lassen sollten?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Ich ... ich will dich nur nicht drängen, Than. Ich weiß, das alles ist ein bisschen viel. Und du sollst wissen, ... dass das hier für mich nicht einem Impuls entspringt. Ich werde auf dich warten, wie lange es auch dauern mag.
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|*Khh! * Du hast kein Gefühl dafür, welchen Impulsen du folgen und welche du unter Kontrolle halten solltest. Du sagst, du wirst warten, nun, dann erlaube mir die Frage: Worauf wartest du? Worauf wartest du, ich bin schon hier. Oder ...?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Than...! *Hahaha*, oh, du hast recht!
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|He, Than, hör mal ... sag was, ich mag es nicht, wenn du so lange schweigst. Was beschäftigt dich?
BecameCloseWithThanatos01|Became Close With Thanatos 01|Thanatos|Eine Menge. Und du wirst dich daran gewöhnen müssen, Zag. Oder, was ich sagen will ... versteh mein Schweigen nicht falsch, ja? Ich geh jetzt aber besser, bin mit der Arbeit weit in Verzug, doch ... wir sehen uns. Wenn das in Ordnung ist.
BecameCloseWithThanatos01|Became Close With Thanatos 01|Zagreus|Doch. Doch.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|Zagreus, du hast keine Türen. Warum bist du also immer so überrascht, wenn wir auftauchen?
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Zagreus|*Äh*, Meg, Than, was... was macht ihr zwei... was ist los? Was auch immer es ist, ich kann es erklären, oder... Moment, ihr lächelt beide. Gebt mir bitte einen Augenblick... damit ich das verarbeiten kann.
