Id|Description|Speaker|Text
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Theseus|*Ah, hahaha*, endlich ist es so weit, Asterios. Er ist hier! Ach ja, du abscheuliche, kleine Ausgeburt der Hölle? Mach dich darauf gefasst, überrollt zu werden!!
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Zagreus|Oh, das ist nicht fair ... das ist ein bronzeplattierter mazedonischer Tau-Lambda! Was macht ein unausstehlicher Querulant wie du mit dem solidesten Streitwagen, der je gebaut wurde?
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Theseus|Pah! Du hast kein Recht, das zu erfahren. Nur so viel: Asterios und ich wurden abermals großzügig belohnt. Und wir werden nicht zögern, unsere hart erkämpfte Beute gegen dich einzusetzen!
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Theseus|Er will dich gegen mich ausspielen, Asterios. Ich kann es in seinen ungleichen Augen sehen! Ich kann mich der Schreckensbilder nicht erwehren, dass es eines Tages oder Nachts ich sein werde, der hier allein steht, während du...? Während du dich gegen mich wendest und dich mit diesem *Schuft * verbündest!
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Zagreus|Asterios, dazu wollte ich noch sagen, dass mein Angebot steht, wenn du darauf eingehen willst. Ich hätte dich lieber als Freund statt als Feind. Ich bin mir jedoch nicht sicher, ob ich dasselbe von Theseus behaupten kann.
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Theseus|*Du Giftwurm*! Ich wusste, dass du noch einen niederträchtigeren Trick aus dem Ärmel ziehen wirst, da dein Kampfstil allein sicherlich keinen Anlass zur Sorge gibt! Wie tief willst du eigentlich noch sinken?!
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Theseus|...Ich sage dir, du liegst *falsch*, Asterios! Er ist nicht von *königlichem Geblüt*, ganz sicher nicht von einem, das *mir *bekannt wäre! Er ist lediglich ein namenloser, längst vergessener kleiner Gott, der aus den Tiefen geboren wurde und von dort auch nicht entkommen wird!
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Minotaur|Auch ich wurde einst mit solchen Worten beschimpft, König. Wie viele Male standen wir diesem Feind schon gegenüber? Und in meinen Augen schlug er sich hier sehr wacker.
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Theseus|*Wacker*?! Sich hinter diesen Säulen zu verstecken, nennst du *wacker*, Asterios? Über dein fehlendes Urteilsvermögen werden wir uns noch nach unserem Sieg unterhalten!
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Theseus|Ich hoffe, dass du vollauf zufrieden mit dir bist, Ausgeburt der Hölle. Denn Asterios ist reichlich böse mit mir! Wie das eben so seine Art ist. Er sagt, dass ich deinesgleichen verkannt hätte! *Welch Ungeheuerlichkeit*.
