Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|Ich hatte Gelegenheit, mit meinen Schwestern zu sprechen, und wir sind zu einer Vereinbarung gekommen, Zagreus. Wie du sehen kannst.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Megaira, Tis, seid ihr bereit?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|*Mmörrderr*!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Drei gegen einen. Das scheint mir nicht sehr gerecht!
FurySistersUnion01|Fury Sisters Union 01|Megaera|Die Zeit der Gerechtigkeit ist für jeden von uns schon lange vorbei. Wir werden dich töten, egal zu welchem Preis. Erinyen! *Jetzt*.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Megaera|Aufgepasst, Tisiphone. Ich glaube, ich habe einen Mörder für dich gefunden.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Tisiphone|*Mööö*rrrddddd...
Fury3SisterUnionSingleSis01_A|Fury 3 Sister Union Single Sis 01 A|Tisiphone|*Mmmöörrderrr* ...!
Fury3FirstAppearance|Fury 3 First Appearance|Tisiphone|*Mmmm ... Mmmörder ...*
Fury3FirstAppearance|Fury 3 First Appearance|Zagreus|He, du musst eine von Megs Schwestern sein. Nett, dich endlich kennenzulernen! Ich heiße Zagreus. Nicht *Mörder*. Ganz gewiss nicht.
Fury3FirstAppearance|Fury 3 First Appearance|Tisiphone|Mörder ... *Mmmmörderrrrrrrr ...!*
Fury3FirstAppearance|Fury 3 First Appearance|Zagreus|Äh, ... also, ich habe vielleicht ein paar Dinge getan, auf die ich nicht unbedingt stolz bin, aber ich bin mir absolut sicher, dass ich niemanden ermordet habe.
Fury3FirstAppearance|Fury 3 First Appearance|Tisiphone|*Mmmmmörderrrrrrrr ...!*
Fury3PostEnding01|Fury 3 Post Ending 01|Zagreus|Ich bin dieses Mal in offizieller Mission hier, Tisiphone, also, *äh*... tritt zur Seite! Obwohl, dein Job ist es ja eh, mich aufzuhalten. Liege ich da richtig?
Fury3PostEnding01|Fury 3 Post Ending 01|Tisiphone|Mmm, hrr-hrr-*hrrdd* ...
Fury3PostEpilogue01|Fury 3 Post Epilogue 01|Zagreus|Oh, es tut mir wirklich leid, dass du es nicht zur Feier im Haus geschafft hast, Tisiphone. Obwohl das vermutlich nicht ganz dein Ding gewesen wäre. Aber Ares war da. Er hat wahrscheinlich ein paar Morde begangen, richtig?
Fury3PostEpilogue01|Fury 3 Post Epilogue 01|Tisiphone|Morrddd? Morrdd. *Morddd*!
Fury3Encounter01|Fury 3 Encounter 01|Tisiphone|Mmmmorrrd ...?
Fury3Encounter01|Fury 3 Encounter 01|Zagreus|*Ähm* ... wie wär's mit nein? Kein Mord. Kein Mord!
Fury3Encounter01|Fury 3 Encounter 01|Tisiphone|Mmmmorrrd ....
Fury3Encounter02|Fury 3 Encounter 02|Tisiphone|Mord ...? Mord, Morrrd ...!
Fury3Encounter02|Fury 3 Encounter 02|Zagreus|Ich hatte wirklich gehofft, wir könnten das Thema wechseln. Bitte!
Fury3Encounter02|Fury 3 Encounter 02|Tisiphone|Möörder ... *Mööörrder*!
Fury3Encounter03|Fury 3 Encounter 03|Tisiphone|Mmm ... Mmm .... Mmmrrrr ....!
Fury3Encounter03|Fury 3 Encounter 03|Zagreus|Lass mich raten. Mord? Oder vielleicht Mörder? Eins von beiden.
Fury3Encounter03|Fury 3 Encounter 03|Tisiphone|Mmm, Mmmord ... Mmmord!!
Fury3Encounter04|Fury 3 Encounter 04|Tisiphone|Mmmrrrrr ... Mmorrrd ....
Fury3Encounter04|Fury 3 Encounter 04|Zagreus|Ich bitte dich, ich bin kein Mörder. Du musst das nicht tun.
Fury3Encounter04|Fury 3 Encounter 04|Tisiphone|Mörder. Möörrderrr ....
Fury3Encounter05|Fury 3 Encounter 05|Tisiphone|Mörder ... Mord, Mord, *Mord*!
Fury3Encounter05|Fury 3 Encounter 05|Zagreus|Wir beide kommen hier offensichtlich auf keinen grünen Zweig. Es tut mir leid, dass es so kommen musste.
Fury3Encounter05|Fury 3 Encounter 05|Tisiphone|Mörder. *Mörderrr*!!
Fury3Encounter06|Fury 3 Encounter 06|Tisiphone|Mord? Mord ...? Mord ....
Fury3Encounter06|Fury 3 Encounter 06|Zagreus|Ich verstehe nicht ganz. Aber ich bin nicht der, für wen du mich hältst. Mein Vater hat dich geschickt, um mich aufzuhalten, das ist alles.
Fury3Encounter06|Fury 3 Encounter 06|Tisiphone|Mörder ... Mörder! *Mörder*!
Fury3Encounter07|Fury 3 Encounter 07|Tisiphone|Mrrr... mörr.. dderr... *MMörrdderr*!
Fury3Encounter07|Fury 3 Encounter 07|Zagreus|Nein, nicht Mörder. Zagreus. Ich heiße Zagreus! Kannst du das sagen, Tisiphone? Nicht Mörder. *Zagreus*!
Fury3Encounter07|Fury 3 Encounter 07|Tisiphone|Mörr... rrd... zerrr....
Fury3Encounter08|Fury 3 Encounter 08|Tisiphone|Mm, mörrr... rrrd... zerrr!
Fury3Encounter08|Fury 3 Encounter 08|Zagreus|Du hast wirklich *Mördzer * gesagt! Das nenne ich Fortschritt! Zagreus! Ich bin Zagreus, ich bin kein Mörder! Kannst du Zagreus sagen?
Fury3Encounter08|Fury 3 Encounter 08|Tisiphone|Derr... zerr... zahh... zahh, *graaahh*!
Fury3Encounter09|Fury 3 Encounter 09|Tisiphone|Zerr... znnhh... zrrrnggh...!
Fury3Encounter09|Fury 3 Encounter 09|Zagreus|Erinnerst du dich an mich, Tisiphone? Ich bin Zagreus. Prinz der Unterwelt? Ich schätze, Megaira und ich stehen uns ziemlich nah. Kannst du mir zuliebe nochmal versuchen, Zagreus zu sagen?
Fury3Encounter09|Fury 3 Encounter 09|Tisiphone|Zrrnngh... zaahh... zahh... gree... mrrsss...?
Fury3Encounter10|Fury 3 Encounter 10|Tisiphone|Zzaaahhh... derr... err... Zzahh... derr.
Fury3Encounter10|Fury 3 Encounter 10|Zagreus|Du bist so nah dran, Tisiphone! Weißt du noch, Zagreus? Das bin ich. Ich bin nicht dein Feind, wirklich! Ich bin nur Zagreus!
Fury3Encounter10|Fury 3 Encounter 10|Tisiphone|...Zzzzzaaahhh... gree... usss.... Zzaagreeusss! *Zaagreuss*!!
Fury3Encounter11|Fury 3 Encounter 11|Tisiphone|*Zzzaaggreussss*.... mm... Mmörrdderrr....
Fury3Encounter11|Fury 3 Encounter 11|Zagreus|Nein. Warte. Nur den ersten Teil. Nicht Mörder. Nur Zagreus. Oder ...mal sehen, wie wär's mit ... glücklich? Kannst du glücklich sagen?
Fury3Encounter11|Fury 3 Encounter 11|Tisiphone|Mmrrr... *Zzzrrderrr*....
Fury3Encounter12|Fury 3 Encounter 12|Tisiphone|Mmörrdd... Zzaagreusss... *Mmörrdderrr*...
Fury3Encounter12|Fury 3 Encounter 12|Zagreus|*Ähm*, also gut... versuchen wir es nochmal mit *glücklich*. Wie wär's damit? Glücklich? Kein Mord, nur glücklich. Komm, versuch es!
Fury3Encounter12|Fury 3 Encounter 12|Tisiphone|Mörrdderr... Mörrdderr *Zzagreusss*!
Fury3Encounter13|Fury 3 Encounter 13|Tisiphone|Mmmmörrr*dderr*... znnnhh... zrrrnnggh...
Fury3Encounter13|Fury 3 Encounter 13|Zagreus|*Ugh*, ich schätze, das mit *glücklich *klappt wohl nicht so gut. Aber wenigstens scheint es dich glücklich zu machen, mich töten zu wollen. Zumindest hast du meinen Namen gelernt. Das ist doch schon mal etwas!
Fury3Encounter13|Fury 3 Encounter 13|Tisiphone|*Mörrdderr... Zzaagreusss*...
Fury3Encounter14|Fury 3 Encounter 14|Tisiphone|Mmmöörrdd... *Mörrdderrr*....
Fury3Encounter14|Fury 3 Encounter 14|Zagreus|...Und da standen wir wieder ganz am Anfang. Sieh mal, mit der ganzen Zagreus- und Glücklich-Sache wollte ich eigentlich nur zu dir durchdringen. Gesetzt den Fall, dass du irgendetwas von dem hier verstehst, Tisiphone: Ich glaube, dass du ganz in Ordnung bist. Freunde?
