Id|Description|Speaker|Text
Ending01|Ending 01|Persephone|...I spent many days tending this garden... or nights? Quite difficult to tell the time here. But, it's held on longer than I would have expected...
Ending01|Ending 01|Hades|...Persephone... I...
Ending01|Ending 01|Persephone|Cerberus! I missed you so. And dutiful as ever, aren't you.
Ending01|Ending 01|Hades|...I'm sorry. Know that I am sorry.
Ending01|Ending 01|Persephone|Hades... you look tired. Though, I am not the only one you ought to be apologizing to.
Ending01|Ending 01|Hades|I know. I know, I.... Why have you returned? If Olympus... if your mother discovers what happened, not even Zeus, not even *he *could stop what would transpire, here!
Ending01|Ending 01|Persephone|*Oh*, I've a thought or two about how we can settle that. Though I shall need for you and Zagreus to cooperate with me on a solution. Or, if you'd rather, I could just return the way I came?
Ending01|Ending 01|Hades|A solution? What, do you intend to have them over for Ambrosia? Not even you can fix a broken family, Persephone.
Ending01|Ending 01|Persephone|You're right, Hades! I can't. Certainly not by myself. So, are you going to help me, or what?
Ending01|Ending 01|Hades|...I would do anything that you would ask of me.
Ending01|Ending 01|Persephone|Then, first, talk to your son.
Ending01|Ending 01|Hades|...*Mm*. Zagreus? You have already met Persephone, our Queen. I expect for you to show deference to her, at all times!
Ending01|Ending 01|Zagreus|Wow, Father, you called me by my name! What is this strange sensation that I feel? Perhaps it's this *deference *of which you speak?
Ending01|Ending 01|Persephone|Oh, stop it, both of you. Don't make me regret this, Hades. Speak honestly with him. About yourself, not me. Go on.
Ending01|Ending 01|Hades|Yes. I... Zagreus. I know there have been times... when I've let my mood reflect on you. I showed very little patience. Questioned your judgment, often, when my own was flawed. Thus, I apologize to you, my son. I have no excuses. And I ask no forgiveness.
Ending01|Ending 01|Zagreus|What about the part where you lied to me about Mother, do you apologize for that? Your foul moods, and venting them on me... I've long since come to expect that from you. And I resented you for it. But I always thought... you're honest.
Ending01|Ending 01|Hades|Your mother did not come here willingly when we originally met. When she left... believing you were stillborn... her decision was final. I believed that she was better off without the lot of us, Olympus included. Deceiving both of you... it tore against my being. But it needed to be done.
Ending01|Ending 01|Zagreus|Well, you didn't need to vent all that inner turmoil onto me throughout my life. Though, I think I understand. I only wish I could have understood sooner. So, uh... what now? I've grown so used to ransacking your domain, I think I'm really going to miss it.
Ending01|Ending 01|Hades|About that... your *ransacking *revealed many flaws in our security. The types that never get into reports. Our reputation rides on there being no escape from here. Would you... keep trying to break free? Not for my sake. But for this realm. For the Queen.
Ending01|Ending 01|Persephone|Zagreus... If you keep fighting out of here... it shall help keep appearances that everything is as it always was.
Ending01|Ending 01|Zagreus|Question, Father. Let's say I accept. When next I reach the surface... is it still going to be you waiting up there?
Ending01|Ending 01|Hades|Ah, boy. If you think for an instant that I shall go easier on you because of this, you'll soon learn otherwise.
Ending01|Ending 01|Zagreus|So I just battle to the surface and repeatedly kill my own father, then?
Ending01|Ending 01|Hades|You have it half-correct!
Ending01|Ending 01|Persephone|Perhaps you'll also tend to my little cottage while you're in the area? The garden doesn't take much care at all. I'd like to keep the place in decent shape. In case I cannot suffer this for long.
Ending01|Ending 01|Zagreus|*Hahaha*, well! I guess I'll see what I can do.
Ending01|Ending 01|Persephone|Just do the best you can. And, clearly, I've work to do as well. We have a lot of it ahead of us, I'd say. So, shall we get started, then?
Ending01|Ending 01|Zagreus|*After all this time*, it's only been a few days! But it's been good. Mother and Father are back together, made some new friends, got this fancy painting! Easy. All is well in the Underworld!
InspectHouse01|Inspect House 01|Storyteller|*The House of Hades: That dark and lavishly appointed lair of the Underworld's King is home not just to him, but to his willful progeny.*
InspectLoungeClosed01|Inspect Lounge Closed 01|Storyteller|*What once was a small lounging area within the House of Hades now is sealed off, in utter shambles since the multi-headed Cerberus tore the space apart, mourning the missing Prince.*
InspectShades01|Inspect Shades 01|Storyteller|*Shades of the dead mill constantly within the House, complaining of their woes, and seeking audience from any who would listen.*
InspectLoungeOpen01|Inspect Lounge Open 01|Storyteller|*The lounging area within the House of Hades is a dismal place to be, in spite of its intended purpose to enliven the House's grim inhabitants.*
InspectEmployeeOfTheMonth01|Inspect Employee Of The Month 01|Storyteller|*A commemorative board adorns one of the stoic walls within the lounging area, celebrating and proclaiming the accomplishments of those who serve Lord Hades best of all.*
InspectCellar01|Inspect Cellar 01|Storyteller|*The ancient casks of wine hidden within the recesses of the House of Lord Hades... few have tasted the intoxicating vintage they contain, and fewer still are permitted anywhere near their vicinity.*
