Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|My sisters and I. We've had a chance to talk, and we have come to an agreement, Zagreus. As you can see.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Megaera, Tis, you ready?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|*Mmurdererr*!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Three against one. Doesn't seem all that sporting, now, does it?
FurySistersUnion01|Fury Sisters Union 01|Megaera|We're each well past the need for any sport. We'll kill you, whatever it takes. Erinyes! *Now*.
FurySisterUnionSingleSis01|Fury Sister Union Single Sis 01|Megaera|See, Alecto? He is right on time, just as I said.
FurySisterUnionSingleSis01|Fury Sister Union Single Sis 01|Alecto|Megaera, *bleed *him!
Fury2SisterUnion01|Fury 2 Sister Union 01|Alecto|You ready, Megaera? Tisiphone? Let's go.
Fury2SisterUnionSingleSis01|Fury 2 Sister Union Single Sis 01|Alecto|Check it out, Sis! The god of trash is here. Let's get to work.
Fury2SisterUnionWithMeg01|Duo - Union and Meg (1)|Alecto|*Ugh*, would you just *look *at him! That smug look, that posture, *everything*! Please tell me you're not going soft for this trash-god, Sister.
Fury2SisterUnionWithMeg01|Duo - Union and Meg (1)|Megaera|Come on, Alecto. When was the last time that we looked to one another for approval? Besides, as long as we kill him, what do you even care?
Fury2SisterUnionWithMeg01|Duo - Union and Meg (1)|Alecto|You know, fair point, there, Sister! Very nicely said. *Let's kill him, now*!
Fury2SisterUnionWithMeg02|Duo - Union and Meg (2)|Alecto|Look at this awful piece of trash, come here again to bleed all over our nice shiny floor. Ready to fight my lovely sister, there, redblood?
Fury2SisterUnionWithMeg02|Duo - Union and Meg (2)|Megaera|He's not so awful once you get to know him, Sis. Not that it matters for what we're about to do.
Fury2SisterUnionWithMeg02|Duo - Union and Meg (2)|Alecto|The both of you disgust me, Meg, you know that? Get it together and *kill *him this time, damn you!
Fury2PactReaction01|Fury 2 Pact Reaction 01|Alecto|You must have gone and signed a Pact! Isn't that right, redblood? Tell me right now.
Fury2PactReaction01|Fury 2 Pact Reaction 01|Zagreus|Well, as a matter of fact, I have. Though I don't see how that's any business of yours, Alecto.
Fury2PactReaction01|Fury 2 Pact Reaction 01|Alecto|I like working *alone*! And you don't see me doing that, right now, do you? So I would say it's my business, all right. Along with killing *you*!
Fury2PactDisabledReaction01|Fury 2 Pact Disabled Reaction 01|Alecto|*Whew*, I thought I'd never get some quiet time again, you know, redblood? That damned Pact you stupidly agreed to, making me work with my sisters again. I'll get you for that!
Fury2PactDisabledReaction01|Fury 2 Pact Disabled Reaction 01|Zagreus|I'm sensing a pattern that it really doesn't take much for you to have something to *get *me for, does it?
Fury2PactDisabledReaction01|Fury 2 Pact Disabled Reaction 01|Alecto|Oh, that's rich! How smart of you, you're *smart*! Know what? I'll get you for that, too.
Fury2FirstAppearance|Fury 2 First Appearance|Alecto|*Ah, hah hah, hohohohohhh. *Finally. I've been waiting for this! Really.
Fury2FirstAppearance|Fury 2 First Appearance|Zagreus|You must be one of Megaera's lovely sisters, I don't believe we've had the pleasure. Waiting for what, exactly?
Fury2FirstAppearance|Fury 2 First Appearance|Alecto|...So sick of, you know, doing my regular job, uninterrupted. Not having to clean up Meg's messes!
Fury2FirstAppearance|Fury 2 First Appearance|Zagreus|I get the feeling we're starting off on the wrong foot.
Fury2FirstAppearance|Fury 2 First Appearance|Alecto|Anyway. I always wanted to kill a god. You'll have to do.
Fury2PostEnding01|Fury 2 Post Ending 01|Alecto|Heard rumblings about some news back at your daddy's House, redblood. So his illustrious abducted Queen, she's come back home?!
Fury2PostEnding01|Fury 2 Post Ending 01|Zagreus|Wait, how do you even know all that? And should you really be talking about the Queen that way?
Fury2PostEnding01|Fury 2 Post Ending 01|Alecto|I don't answer to her! She can come and go as she wants for all I care. But you want to know who can't?! Yeah, you.
