Id|Description|Speaker|Text
ZeusWithAres01|Duo - Zeus and Ares (1)|Zeus|Nephew! By my divine authority, my oft-misunderstood son, Ares, now shall lend you a small token of his power. I'll make him helpful yet!
ZeusWithAres01|Duo - Zeus and Ares (1)|Ares|It shall be exactly as you say, Lord Father. Your wishes are identical to mine.
AresWithPoseidon01|Duo - Ares and Poseidon (1)|Ares|Well, my hellborn kin, I have to say that there are times I wish I could have been acquainted with your father somewhat more, if you'll forgive my saying so. My father and my uncle, here... they're predisposed quite differently than I.
AresWithPoseidon01|Duo - Ares and Poseidon (1)|Poseidon|Perhaps if you were not so odd, and made more effort to be somewhat more approachable, Ares, then we'd have more in common, you and I! Should you need any tips on that, why, you just let me know!
AresWithAthena01|Duo - Ares and Athena (1)|Ares|I wished only to speak to you in private once again, my kin, except, you see...
AresWithAthena01|Duo - Ares and Athena (1)|Athena|...Except you see, dear Cousin, that some members of our family are predisposed toward the unspeakable. I caution you around my half-brother, is all. Now carry on.
AresWithAthena01|Duo - Ares and Athena (1)|Ares|You interrupt me once again, dear sister. You know I do not care for that. I warn you to stay out of my affairs. I shall aid my kin as I see fit.
AresWithAthena01|Duo - Ares and Athena (1)|Athena|You only do as you see fit, Lord Ares. Mind that you continue pulling in the same direction as us all.
AresWithAphrodite01|Duo - Ares and Aphrodite (1)|Ares|I so anticipate the day you finally arrive upon Olympus. There are few amongst us here with interests such as those I think we share.
AresWithAphrodite01|Duo - Ares and Aphrodite (1)|Aphrodite|There are at least a few of us who share such interests here, isn't that so, Lord Ares? As for *you*, dearest, you take all the time you need!
AresWithAphrodite02|Duo - Ares and Aphrodite (2)|Ares|Wars waged over love, my kin... can you imagine that? The lady Aphrodite and I can endlessly discuss such circumstances. I trust, from time to time, you stop to ask yourself how come you choose to fight. Not that you need a reason, of course.
AresWithAphrodite02|Duo - Ares and Aphrodite (2)|Aphrodite|Oh, Lord Ares, truly there isn't the need to cloud our little godling's thoughts and judgment with such comments, is there, *hm*? Let's give him what he wants, and we can carry on in private, about that.
AresWithDionysus01|Duo - Ares and Dionysus (1)|Ares|Ah, my kin! I was just inquiring with Lord Dionysus here, under which circumstances are the greatest mortal feasts of all prepared? Because I have a certain hunch, regarding that...
AresWithDionysus01|Duo - Ares and Dionysus (1)|Dionysus|Yeah, yeah, Ares, I will hand it to you, man. There's nothing like a feast after a war, all right! Provided you're on the surviving side, that is! Otherwise I guess they'll be feasting with *you *down there, Zag!
AresWithDemeter01|Duo - Ares and Demeter (1)|Ares|The cold of death is quite becoming of the Goddess Demeter, do you not think so, my death-dealing kin? She is becoming well accustomed to it, too.
AresWithDemeter01|Duo - Ares and Demeter (1)|Demeter|I think that you forget yourself, Lord Ares, sir. For I am much your elder; my famines had already slain the mortals by the tens of thousands by the time such thoughts of doing so first crossed your mind.
AresKillQuestComplete|Ares Kill Quest Complete|Ares|Ten thousand souls have fallen to you, now, my hellborn kin. I am rather beside myself, I must admit. Fine work.
AresAboutOlympianReunionQuest01|Ares About Olympian Reunion Quest 01|Zagreus|Here goes, then. In the name of Hades! Olympus, this is an official message! Lord Ares, please consider our proposal... once you're able to decipher it.
AresAboutOlympianReunionQuest01|Ares About Olympian Reunion Quest 01|Ares|My, what is this, my kin? Some sort of invitation for me, I presume. Not just for me... this symbolizes all the others, here? Most intriguing. I shall investigate the meaning of this as quickly as I'm able, then. But first!
AresPostEpilogue01|Ares Post Epilogue 01|Ares|I wish to tell you once again I had a splendid time during our recent shared festivities, my kin. At last, I've finally seen your death-filled realm firsthand! I learned a great deal. And I look forward to learning more from our successful collaboration, hm?
AresAboutZeus01|Ares About Zeus 01|Ares|Lord Zeus has gotten to you first, I see? My father's gifts are generous, indeed, though... I think I can help in my own way.
AresAboutPoseidon01|Ares About Poseidon 01|Ares|The blessing of your uncle Lord Poseidon might have helped you to this point, but here: My gift shall see you further still.
AresAboutAthena01|Ares About Athena 01|Ares|You bear the blessing of Athena, yes? She would protect you from your enemies, whilst I would rather that you slay them, and be done.
AresAboutAphrodite01|Ares About Aphrodite 01|Ares|*Mm*, I see you have the Lady Aphrodite's blessing there already. Love and death, together, hand in hand? Sounds most agreeable to me.
AresAboutArtemis01|Ares About Artemis 01|Ares|So Artemis, my lonely half-sister, got to you first? She merely helps you hunt, whilst I shall help you kill. Observe.
AresAboutDionysus01|Ares About Dionysus 01|Ares|That drunkard Dionysus cannot help you near as much as I, my hell-born kin. Compare the gift he gave to what I offer you.
AresAboutHermes01|Ares About Hermes 01|Ares|Our messenger Hermes has been in contact with you by now, yes? Perhaps you shall not see him very often, for my work keeps him rather preoccupied, shepherding souls and such.
AresAboutDemeter01|Ares About Demeter 01|Ares|I faintly sense the mark of Goddess Demeter upon you, *hm*? Her power over plentitude is opposite to mine in some respects. But, lately, she has channeled it in manners more agreeable to me.
AresAboutHadesKeepsake01|Ares About Hades Keepsake 01|Ares|Ah, you bear your own father's blessing, my kin? Such a surprise... I know the two of you are now in league, and yet... I am still quite accustomed to the thought that you harbor war-like hatred for one another. Perhaps there's still a trace of that, though, hm?
AresKillProgress01|Ares Kill Progress 01|Ares|Did you happen to know, my kin, that you have slain more than a hundred foes since you began your quest? You have! For I am keeping count. And I am most impressed.
AresKillProgress02|Ares Kill Progress 02|Ares|You are a most impressive death-dealer, my kin. For by my estimation, you have slain at least a thousand souls down there! Souls mostly having died before, but still.
AresKillQuest01|Ares Kill Quest 01|Ares|I know that you have many aspirations, my good kin. To be plain with you about my own motive for a moment: As long as you continue bringing swift and steady death, you shall have my unyielding support.
AresKillQuestAftermath01|Ares Kill Quest Aftermath 01|Ares|The more you slay your enemies, my kin, the stronger the bond between us, I think. Can you not feel it, too? Though, perhaps your lust for blood overpowers your other senses, hm?
AresAboutThanatos01|Ares About Thanatos 01|Ares|Perhaps you know a god called Thanatos? The two of us are very close associates, you know. Do give him my best wishes, should you see him soon.
