Id|Description|Speaker|Text
ZeusWithArtemis01|Zeus With Artemis 01|Zeus|Now, Zagreus, once you arrive, we'll have to find for you a suitable mate, won't we? Fine young man such as yourself! Normally, there's much to choose from around here, with some exceptions, of course... such as my cunning daughter, Artemis. Willfully uninclined to take a mate, at all!
ZeusWithArtemis01|Zeus With Artemis 01|Artemis|Yes, Zagreus, in spite of all these perfect, chiseled prospects everywhere about, yearning to marry or embarrass me, for some reason, I prefer to spend my time mostly alone or with my nymph friends in the woods!
ZeusWithArtemis01|Zeus With Artemis 01|Zeus|Now, Zagreus, once you arrive, we'll have to find for you a suitable mate, won't we? Fine young man such as yourself! Normally, there's much to choose from around here, with some exceptions, of course... such as my cunning daughter, Artemis. Willfully uninclined to take a mate, at all!
ZeusWithArtemis01|Zeus With Artemis 01|Artemis|Yes, Zagreus, in spite of all these perfect, chiseled prospects everywhere about, yearning to marry or embarrass me, for some reason, I prefer to spend my time mostly alone or with my nymph friends in the woods!
ArtemisWithZeus01|Artemis With Zeus 01|Artemis|{#DialogueItalicFormat}Tsk{#PreviousFormat}, {#DialogueItalicFormat}um{#PreviousFormat}, Zagreus... rather than greet you as I normally would do, instead, allow me to present you my illustrious, kind, generous lord father, your greatest Uncle Zeus!
ArtemisWithZeus01|Artemis With Zeus 01|Zeus|{#DialogueItalicFormat}Erm{#PreviousFormat}, thank you for the introduction, Daughter! Now, you run along, go frolic with your nymphs, or something! Leave me to assist my nephew, here. Bestow on him your faint blessing, if you must.
ArtemisWithZeus01|Artemis With Zeus 01|Artemis|{#DialogueItalicFormat}Tsk{#PreviousFormat}, {#DialogueItalicFormat}um{#PreviousFormat}, Zagreus... rather than greet you as I normally would do, instead, allow me to present you my illustrious, kind, generous lord father, your greatest Uncle Zeus!
ArtemisWithZeus01|Artemis With Zeus 01|Zeus|{#DialogueItalicFormat}Erm{#PreviousFormat}, thank you for the introduction, Daughter! Now, you run along, go frolic with your nymphs, or something! Leave me to assist my nephew, here. Bestow on him your faint blessing, if you must.
ArtemisWithPoseidon01|Artemis With Poseidon 01|Artemis|You know my father and my uncle, by now, right, Zagreus? I don't know which of them is worse. {#DialogueItalicFormat}Uh{#PreviousFormat}, I mean... superior! Superior, despite technically spending most of his time in the seas, beneath Olympus, isn't that right, Uncle?
ArtemisWithPoseidon01|Artemis With Poseidon 01|Poseidon|Oh, Artemis, you needn't boast to little Hades there on my account! Besides! Whether you're in the sea, above it, or beneath, makes little difference to your measure as a god! You two are young as yet! Keep at it, and you'll soon be practically as great as I!
ArtemisWithPoseidon01|Artemis With Poseidon 01|Artemis|You know my father and my uncle, by now, right, Zagreus? I don't know which of them is worse. {#DialogueItalicFormat}Uh{#PreviousFormat}, I mean... superior! Superior, despite technically spending most of his time in the seas, beneath Olympus, isn't that right, Uncle?
ArtemisWithPoseidon01|Artemis With Poseidon 01|Poseidon|Oh, Artemis, you needn't boast to little Hades there on my account! Besides! Whether you're in the sea, above it, or beneath, makes little difference to your measure as a god! You two are young as yet! Keep at it, and you'll soon be practically as great as I!
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|Hey, {#DialogueItalicFormat}uh{#PreviousFormat}, Zagreus! There's something I've been wondering, and don't take this the wrong way or anything, OK? Oh, no. It's her.
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Aphrodite|Why, Artemis, you're absolutely tongue-tied! Due to our little godling in the Underworld, or a little due to me? {#DialogueItalicFormat}Hm-hm{#PreviousFormat}, you shall figure it all out I'm sure!
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|Look, what was I, {#DialogueItalicFormat}ugh{#PreviousFormat}, just, never mind. I'll talk to you some other time, I guess.
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|Hey, {#DialogueItalicFormat}uh{#PreviousFormat}, Zagreus! There's something I've been wondering, and don't take this the wrong way or anything, OK? Oh, no. It's her.
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Aphrodite|Why, Artemis, you're absolutely tongue-tied! Due to our little godling in the Underworld, or a little due to me? {#DialogueItalicFormat}Hm-hm{#PreviousFormat}, you shall figure it all out I'm sure!
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|Look, what was I, {#DialogueItalicFormat}ugh{#PreviousFormat}, just, never mind. I'll talk to you some other time, I guess.
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|Hey, {#DialogueItalicFormat}uh{#PreviousFormat}, Zagreus! There's something I've been wondering, and don't take this the wrong way or anything, OK? Oh, no. It's her.
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Aphrodite|Why, Artemis, you're absolutely tongue-tied! Due to our little godling in the Underworld, or a little due to me? {#DialogueItalicFormat}Hm-hm{#PreviousFormat}, you shall figure it all out I'm sure!
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|Look, what was I, {#DialogueItalicFormat}ugh{#PreviousFormat}, just, never mind. I'll talk to you some other time, I guess.
