Id|Description|Speaker|Text
ChaosAboutBeowulfAspect01_A|Chaos About Beowulf Aspect 01 A|Chaos|I sense that you have not yet spoken with the all-seeing artifact you call Aegis. Tamper with the Fates' design, then, all you like. But if you change your mind, do speak the words to it: *I see you stand your ground against the serpent's flame.*
ChaosAboutBeowulfAspect01|Chaos About Beowulf Aspect 01|Chaos|You have not yet used the waking-phrase that I imparted? Or perhaps you merely chose not to present me the result. I would quite like to see it, at some point. Remember, Son of Hades: Say to the all-seeing artifact, *I see you stand your ground against the serpent's flame.*
ChaosAboutBeowulfAspect02|Chaos About Beowulf Aspect 02|Chaos|Out of the infinitely spanning possibilities, here before me stands the Son of Hades, bearing my all-seeing artifact, appearing in the aspect of a bearer yet unborn, who shall be known throughout the north as Beowulf. How very droll.
ChaosSurfaceQuestComplete|Chaos Surface Quest Complete|Chaos|I faintly sensed that you were able to confront your father while in possession of my small round catalyst. It seems my asking you, and your success, was in accordance with the Fates' design, as well. The result is more amusing even than expected. Thus, thank you.
ChaosAboutNyx05|Chaos About Nyx 05|Chaos|I have detected some unusual activity within the reaches of the Underworld, Son of Hades... vast sums of Darkness, collected in an ancient catalyst, which I see now almost like a beacon, shining in the night. This either is the work of Nyx, or you, or both. I am anticipating the result.
ChaosAboutNyx06|Chaos About Nyx 06|Chaos|It pleases me immensely, Son of Hades, to have seen the goddess Nyx again. The significant amount of time that has elapsed since last this happened dulled sufficiently old pains, I think. Thus, it becomes a basis on which our connection may, in time, take shape again.
ChaosAboutResponding01|Chaos About Responding 01|Chaos|As we become acquainted, Son of Hades, I shall make myself quite clear in one respect: I fear I have a lack of patience for discussion. When visiting, please merely listen, then accept my mark, and then depart. Respond only when necessary. Or when prompted. Yes?
ChaosAboutResponding01|Chaos About Responding 01|Zagreus|...Merely listen, so it's just like when I get those messages from the Olympians. Wait, you did just prompt me, Master Chaos, didn't you? Or should I have remained silent just now?
ChaosAboutResponding01|Chaos About Responding 01|Chaos|I cannot offer you advice. But you were prompted, yes. You may speak freely, then, or anytime, despite my wishes that you not do so. Absolute silence is my general preference. It may not be yours.
ChaosAboutNyx01|Chaos About Nyx 01|Chaos|I understand that Zeus and all his kin on Mount Olympus think that you are born of Hades and the goddess Nyx? I was amused to learn of this deception. Nyx has mothered many of the Underworld's own, so, why not you?
ChaosAboutNyx01|Chaos About Nyx 01|Zagreus|She isn't my birthmother, no, but she is like a mother to me. Do you know her?
ChaosAboutNyx01|Chaos About Nyx 01|Chaos|Oh, I know the goddess Nyx quite well, of course. Though, it has been a while since we last communicated, and I fear... well, I was not the charitable sort, back then. It is my hope that Nyx is faring well.
ChaosAboutNyx01_B|Chaos About Nyx 01 B|Chaos|I knew you would arrive. But only in the moments prior to the fact. Thus, I am experiencing residual surprise. Your movements through the Underworld are as though a veil of darkness enshrouds you. The goddess Nyx's influence, perhaps? Respond.
ChaosAboutNyx01_B|Chaos About Nyx 01 B|Zagreus|I... do not know how to respond to that, exactly, Master Chaos, but, Nyx, yes, she has been aiding me, in my attempts to flee my father's realm.
ChaosAboutNyx01_B|Chaos About Nyx 01 B|Chaos|You move in darkness, not as infinitely black as hers, but reminiscent to me, nonetheless. I would invite her to try to elude me, and then attempt to locate her. A minor amusement for the both of us. Now, I have you for this, I see.
ChaosPostEnding01|Chaos Post Ending 01|Chaos|Lately, Son of Hades, I have sensed what I would call a sort of shift within your father's residence. Did something noteworthy occur, perhaps? Respond.
ChaosPostEnding01|Chaos Post Ending 01|Zagreus|Master Chaos, it's Persephone, my mother. She's returned! She's chosen to return. So... things feel different, certainly, with her around, although... I didn't feel any sort of shift.
ChaosPostEnding01|Chaos Post Ending 01|Chaos|You may not sense these shifts as I. The lightness of this space bends and adjusts with time. What you describe... it must have been the cause. I trust that the occasion is a welcome one. And I am pleased that you returned, nevertheless.
ChaosAboutOlympianReunionQuest01|Chaos About Olympian Reunion Quest 01|Chaos|Again I sensed some sort of shifting in your father's residence. You seek to ask something of me about it, do you not? Respond.
ChaosAboutOlympianReunionQuest01|Chaos About Olympian Reunion Quest 01|Zagreus|Oh, I'm glad you asked, it's just... my mother, she's... we're reaching out to the Olympians. Trying to reconnect the family. It's been a while, relatively, since she and Father saw the others, but... in case a gathering occurs, I did wish you to know you're cordially invited, too.
