Id|Description|Speaker|Text
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Charon|*Mmmrrrrnnn*....
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Zagreus|You know, Charon, your associate Hermes apparently had a wager with you that I could beat you twice in a row at some point? I'd hate to disappoint him, so... no hard feelings?
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Charon|*Nnnrrrraaaaaauugggghhh*!!
BossCharonEncounter01|Boss Charon Encounter 01|Charon|*Haaahhhhh*....
BossCharonEncounter01|Boss Charon Encounter 01|Zagreus|*Erm*, Charon, look, I can explain. It's just, I've grown very accustomed to taking stuff throughout my father's realm. I wasn't stealing from you, honestly!
BossCharonEncounter01|Boss Charon Encounter 01|Charon|Mmnnn*rraaauuugggghhh*!!
BossCharonEncounter01|Boss Charon Encounter 01|Zagreus|That was not an understanding sound. Wait, why are you brandishing your oar in such a menacing way?
BossCharonEncounter02|Boss Charon Encounter 02|Charon|*Haaahhhhh*....
BossCharonEncounter02|Boss Charon Encounter 02|Zagreus|You're just testing me, here, right, Charon? I mean, when you place a huge sum of coin conspicuously within my reach, what do you expect me to do?
BossCharonEncounter02|Boss Charon Encounter 02|Charon|Nrrnnhhh, hnnnn, hrrnn, *hrrrrrnnn*...
BossCharonEncounter02|Boss Charon Encounter 02|Zagreus|Sounds good, mate, when I rob you from now on it's just my way of saying *Charon, I would like to battle you to the death right now for a quick change of pace*.
BossCharonMiscStart01|Boss Charon Misc Start 01|Charon|*Hrrrnnnggghh*....
BossCharonMiscStart02|Boss Charon Misc Start 02|Charon|*Grrnrnhh, rrraahhh*!
BossCharonMiscStart03|Boss Charon Misc Start 03|Charon|*Hrraaaahhhhhh*!!
BossCharonMiscStart04|Boss Charon Misc Start 04|Charon|Hrrn... *grrraaauuuggghh*!!
BossCharonMiscStart05|Boss Charon Misc Start 05|Charon|Rrnn... *hhrraaaauuuggghh*!!
BossCharonMiscStart06|Boss Charon Misc Start 06|Charon|Grrr... *nrrraauuuggghhh*!!
BossCharonMiscStart07|Boss Charon Misc Start 07|Charon|Urrh... *urraaauuuggghh*!!
BossCharonMiscStart08|Boss Charon Misc Start 08|Charon|Krrr... *krraauuuggghh*!!
BossCharonMiscStart09|Boss Charon Misc Start 09|Charon|Hhh, *hrreehhhhh*!!
BossCharonOutro01|Boss Charon Outro 01|Charon|Haahh, nrraugh, *haaaaah*!!
BossCharonHermesQuestComplete01|Boss Charon Hermes Quest Complete 01|Zagreus|Got you, mate! Twice in a row. I guess Hermes wins his little wager with you, then. You tell him I said *hrrrrrnnnggghh*!
BossCharonHermesQuestComplete01|Boss Charon Hermes Quest Complete 01|Charon|*Hrrrrrnnnggghh*...
CharonFirstMeeting|Charon First Meeting|Charon|*Gguhhhhhh*....
CharonFirstMeeting|Charon First Meeting|Zagreus|Why good to see you, Charon mate! Just minding my own business, taking in the sights, and, hey what's that you got, some sort of wares for sale? Then, I'll just have a look around.
CharonFirstMeeting_Alt|Charon First Meeting Alt|Charon|*Gguhhhhhh*....
CharonFirstMeeting_Alt|Charon First Meeting Alt|Zagreus|Why good to see you, Charon mate! Just minding my own business, taking in the sights, and, sure is awfully convenient to be running into you like this! I'd all this coin I wanted to get rid of.
CharonNoFastTravelBackstory01|Charon No Fast Travel Backstory 01|Zagreus|Charon mate, now hypothetically, if I provided you with, say, a thousand coins, would you be willing to give me a ride in your beautiful boat? Upriver, I should say, specifically.
CharonNoFastTravelBackstory01|Charon No Fast Travel Backstory 01|Charon|Nrrnnhhh, hnnnn, *hrrnn*, hrrrrrnnn....
CharonNoFastTravel01|Charon No Fast Travel 01|Zagreus|*Erm*, Charon, mate...? I don't suppose you've given any further thought to my proposal to, just, you know... ferry me up to the surface? Seeing as it's not out of your way.
CharonNoFastTravel01|Charon No Fast Travel 01|Charon|*Rhhuuaaauuggghhh*....
CharonShopMeeting01|Charon Shop Meeting 01|Zagreus|Got to say, you are a sight for sore eyes, there, Charon! So, uh... looks like you're selling, is that it? You come to help me out?
CharonShopMeeting01|Charon Shop Meeting 01|Charon|Uunngggghhhh....
CharonShopMeeting02|Charon Shop Meeting 02|Zagreus|Hey good to see you out here, mate! And looks as though you've got some fine wares up for sale, don't you?
CharonShopMeeting02|Charon Shop Meeting 02|Charon|*Urrrnn*gghhhhh....
CharonShopMeeting03|Charon Shop Meeting 03|Charon|*Haaahhhhhhhhh*....
CharonShopMeeting03|Charon Shop Meeting 03|Zagreus|Fine day to you as well, there, mate! Now let's have a look at your supply, shall we?
CharonShopMeeting04|Charon Shop Meeting 04|Zagreus|You must have a lot of stops around these parts, don't you, Charon mate. Most of the dead are here in Asphodel, correct?
CharonShopMeeting04|Charon Shop Meeting 04|Charon|Nnnnrrrrrhhh....
CharonShopMeeting05|Charon Shop Meeting 05|Zagreus|Hey, Charon, I'm in Asphodel now, aren't I? I'd always heard this was some flower-covered meadow type place, not such a... terrifying hellscape.
CharonShopMeeting05|Charon Shop Meeting 05|Charon|Hhhhaaaaaaahhh....
CharonPreBossMeeting01|Charon Pre Boss Meeting 01|Zagreus|Hey, Charon. If there happens to be something really horrible awaiting me beyond that door there, then... give me a sign, won't you?
CharonPreBossMeeting01|Charon Pre Boss Meeting 01|Charon|Hhhaaaaaaahhh....
CharonPreBossMeeting02|Charon Pre Boss Meeting 02|Zagreus|Care to provide me any insight as to just what sort of hideous monstrosity awaits me over on the next infernal island, Charon mate?
CharonPreBossMeeting02|Charon Pre Boss Meeting 02|Charon|*Hheeehhhhhhh*....
CharonHighRelationship01|Charon High Relationship 01|Zagreus|Well, look at you, Charon mate, you're looking well! Something's different about you, can't quite put my finger on it. Have you done something with your hair?
CharonHighRelationship01|Charon High Relationship 01|Charon|*Urrraaauuhggghh*...
CharonAboutHourglass01|Charon About Hourglass 01|Zagreus|Hey, Charon mate, wanted to thank you once again for the fine hourglass you gave to me before! It's been very handy with those Wells of yours.
CharonAboutHourglass01|Charon About Hourglass 01|Charon|*Hheeehhhhhhh*....
CharonPostFight_YouWon01|Charon Post Fight You Won 01|Zagreus|Hey Charon, you're not angry with me after we had it out last time, are you, I mean... I figured since you gave me one of your Loyalty Cards, must mean everything's fine, but... I'm... just making sure.
CharonPostFight_YouWon01|Charon Post Fight You Won 01|Charon|Krrr, *krraauuuggghhhh*...!
CharonPostFight_YouLost01|Charon Post Fight You Lost 01|Zagreus|No hard feelings about that whole battle-to-the-death thing last time, right, Charon? Especially since you absolutely demolished me. I was just messing with you, you know that, right?
CharonPostFight_YouLost01|Charon Post Fight You Lost 01|Charon|Nrraaauuuggghhh...!
CharonAboutHermes01|Charon About Hermes 01|Zagreus|Hi Charon! I finally met Hermes, god of swiftness, travel, bringing souls of the departed to your boat. Calls you his professional associate. You and he, you've been working together for a while, haven't you?
CharonAboutHermes01|Charon About Hermes 01|Charon|Hrrrrrrnnnnghhhhhhhh...
CharonAboutHermes02|Charon About Hermes 02|Zagreus|Charon, I always thought Olympians never consorted with chthonic gods such as yourself. But it sounds like Hermes is a close colleague of yours. You wouldn't... happen to know why he's helping me, would you?
CharonAboutHermes02|Charon About Hermes 02|Charon|Grrrhhhooo*aaaaaahhhh*...!
CharonAboutHermes03|Charon About Hermes 03|Zagreus|Charon, Hermes told me that the other Olympians are unaware he's lending his support to me. I'm curious to know what's going on. Thinking of asking Nyx. Figured I'd check with you first.
CharonAboutHermes03|Charon About Hermes 03|Charon|Mmnnn*rraaauuugggghhh*!!
CharonAboutSkelly01|Charon About Skelly 01|Zagreus|Charon mate, I know you meet an awful lot of dead, and it probably gets very difficult to remember them all, but... I don't suppose the name *Skelly *means anything to you, does it?
CharonAboutSkelly01|Charon About Skelly 01|Charon|...Ssss... kkkhhh... rrrrnngghhh... *raauuuggghhh*!!
CharonAboutCustomerLoyalty01|Charon About Customer Loyalty 01|Zagreus|Charon mate? As a longtime customer, I just wanted to take a moment to thank you again for your invaluable service as a part of my repeated attempts at getting out of here. What would I have done without your wares all these many times? Besides dying a lot faster.
CharonAboutCustomerLoyalty01|Charon About Customer Loyalty 01|Charon|Hrrnngghh, grhhh, *grhaaaaaaaahhhh*...
CharonPostEnding01|Charon Post Ending 01|Zagreus|Charon, mate? Wanted to thank you very, very much for bringing Mother and me home. Your boat's quite comfortable, you know! Though, I suppose you won't be making a habit of giving me a ride, will you?
CharonPostEnding01|Charon Post Ending 01|Charon|Hrrrhh*haaaaauuugghhh*...!
CharonPostEnding02|Charon Post Ending 02|Zagreus|Charon, as I know you serve the realm, I just wanted to say I look forward to continuing to work with you in a somewhat more official capacity. I'll still be breaking out of here like always, but... well, you've probably heard.
CharonPostEnding02|Charon Post Ending 02|Charon|*Nnnrrraaaauggghhhh*....
CharonPostEpilogue01|Charon Post Epilogue 01|Zagreus|Hope you enjoyed the feast with the Olympians, Charon! We didn't have much of a chance to chat, though it looked like you and Hermes were having a good time.
CharonPostEpilogue01|Charon Post Epilogue 01|Charon|Krrhh, *hrraaaahhh*...!
CharonAboutSecretService01|Charon About Secret Service 01|Zagreus|Charon? Unrelated to anything whatsoever, I just wanted to say... I'm very grateful to have your support. You've always done your own thing... I never get to see you at the House. But I know you care! An awful lot. So, cheers.
CharonAboutSecretService01|Charon About Secret Service 01|Charon|...Khhrraaa *hhaaaaahhhh*...
CharonChat03|Charon Chat 03|Charon|Hrrnmmmm....
CharonChat04|Charon Chat 04|Charon|Khhhrrrrr....
CharonChat06|Charon Chat 06|Charon|Hhrrrrnneehhhh....
CharonChat07|Charon Chat 07|Charon|Urrrrrrgggghhh...
CharonChat08|Charon Chat 08|Charon|Hrrrnnnhh....
CharonChat11|Charon Chat 11|Charon|Hrreehhh hohhhhhh....
CharonChat13|Charon Chat 13|Charon|Nrrrrggghhh....
CharonChat14|Charon Chat 14|Charon|Hrrnnaaauugghhh....
CharonChat15|Charon Chat 15|Charon|Grrruuuooaahhh....
CharonChat16|Charon Chat 16|Charon|Mmmrrnnngghh....
CharonChat17|Charon Chat 17|Charon|Rrraaauuuggghhh....
CharonChat18|Charon Chat 18|Charon|Hhrrrnn, *haahhhhh*....
CharonChat19|Charon Chat 19|Charon|Urrrnngggghhh....
CharonChat20|Charon Chat 20|Charon|Khhrrrnnnnnnggghh....
CharonChat21|Charon Chat 21|Charon|Gggrrrnnngggghhhh....
CharonChat21|Charon Chat 21|Charon|*Heeehhh*, hohhhhh....
CharonGift01|Charon Gift 01|Zagreus|Charon, you've been such a reassuring sight, I thought I'd offer you a token of my gratitude.
CharonGift01|Charon Gift 01|Charon|*Hrrrhhrooooh*, hnnnn....
CharonGift01|Charon Gift 01|Zagreus|Wait, you don't have to give me something in return, it was a gift! Though, you're insisting, aren't you.
CharonGift02|Charon Gift 02|Charon|Hohhhh....
CharonGift02|Charon Gift 02|Zagreus|Glad you like it, mate. Thank you for helping me out with your supply. Even if you fleece me with those prices!
CharonGift03|Charon Gift 03|Charon|Hrrrnnnn...?
CharonGift03|Charon Gift 03|Zagreus|You enjoy that, mate! And, when it comes time to reconsider your price structure, hope you think of me!
CharonGift04|Charon Gift 04|Charon|*Hrrrn*, hhmmm hmmmm....
CharonGift04|Charon Gift 04|Zagreus|Enjoy it, Charon mate! Don't go thinking I'm just being kind to get you to lower your prices for me, that would be unconscionable!
CharonGift05|Charon Gift 05|Charon|Hrrooooohhh....
CharonGift05|Charon Gift 05|Zagreus|You know, I thought you'd say that, Charon mate, but I insist you take it and enjoy, all right?
CharonGift06|Charon Gift 06|Charon|Hhhrrrrhh... *hhhrrrnnnn*... hrrrrrhhh...
CharonGift06|Charon Gift 06|Zagreus|I'm pleased to have you as a friend as well, Charon. The pleasure's mine.
CharonGift07|Charon Gift 07|Zagreus|Charon, I realize you have a very busy schedule and certainly needn't keep going out of your way for me like this, so here. Just a small token of my appreciation for you. If you ever want to talk, know that I'm here.
CharonGift07|Charon Gift 07|Charon|*Hrrrnnnnnnnnn*...! Thhhrrrrrrrrnnnnnn... kkrrrrrrrrhhh...!
