Id|Description|Speaker|Text
ZeusWithDemeter01|Zeus With Demeter 01|Zeus|Now, now, young man, whatever you have heard about good Demeter, I'm here to clear the air. She's like a sister to me, yes, but only thus. Although her Titan parents and my own met the same fate.
ZeusWithDemeter01|Zeus With Demeter 01|Demeter|Why, Foster-Brother Zeus! Such an unlikely bit of candor there, from you! Almost as though you felt compelled to speak the truth only whilst I'm directly within earshot.
AresWithDemeter01|Ares With Demeter 01|Ares|The cold of death is quite becoming of the Goddess Demeter, do you not think so, my death-dealing kin? She is becoming well accustomed to it, too.
AresWithDemeter01|Ares With Demeter 01|Demeter|I think that you forget yourself, Lord Ares, sir. For I am much your elder; my famines had already slain the mortals by the tens of thousands by the time such thoughts of doing so first crossed your mind.
ArtemisWithDemeter01|Artemis With Demeter 01|Artemis|Oh, hi there, Zagreus, I was just failing to persuade the Lady Demeter to ease up off the snowy stretch that we've been having for a while. Some of the mortals are quite weary of it now, and it sure doesn't make the hunting any easier!
ArtemisWithDemeter01|Artemis With Demeter 01|Demeter|The mortals are resourceful, Artemis. Their one redeeming quality, perhaps! They'll find a way through our long winter here. They ought to, since they brought it on themselves.
AphroditeWithDemeter01|Aphrodite With Demeter 01|Aphrodite|The venerable goddess of the seasons, Demeter, chooses to look as stately as can be, can you believe it, dearest? Although, why one would mark so many fine lines upon their face, I wouldn't know.
AphroditeWithDemeter01|Aphrodite With Demeter 01|Demeter|Oh, Aphrodite, dear... you wouldn't know a thing of substance if it offered you a cloak. Your chosen countenance makes plain the full extent of your intentions, and your interests alike.
DionysusWithDemeter01|Dionysus With Demeter 01|Dionysus|Hey Zag, got a favor here I mean to ask, could you maybe persuade the Lady Demeter to ease up on the whole {#DialogueItalicFormat}'not let anything grow' {#PreviousFormat}thing she's been going on about?
DionysusWithDemeter01|Dionysus With Demeter 01|Demeter|I daresay, my Lord Dionysus, that partaking of less wine for some amount of time might do you good. Regardless, you'll not coax a better crop from me.
AthenaWithDemeter01|Athena With Demeter 01|Athena|I bring to you the Lady Demeter, Cousin. I've asked that she please rest assured knowing we have your matter well under control. Though, in her infinite compassion, she has taken up your cause, nevertheless!
AthenaWithDemeter01|Athena With Demeter 01|Demeter|Oh, you needn't lavish me with your faint praise, Athena dear. In all your boundless intellect, I'd have expected you would know I see through your intentions, plain as day.
PoseidonWithDemeter01|Poseidon With Demeter 01|Poseidon|My foster-sister Goddess Demeter, despite her stern approach, she often likes to make good sport of me, Nephew! Why, here she is right now!
PoseidonWithDemeter01|Poseidon With Demeter 01|Demeter|If you're quite finished blathering, Poseidon, our young Zagreus has more important things to do. He needs your blessings, not your point of view. Don't you, young sprout?
DemeterWithZeus01|Demeter With Zeus 01|Demeter|Well, now, young sprout, you've met the so-called King of the Olympians, and I. Whom do you now suppose is genuinely ruler of this snow-encrusted mountaintop of ours?
DemeterWithZeus01|Demeter With Zeus 01|Zeus|Oh, {#DialogueItalicFormat}hah-hah-hah{#PreviousFormat}, Lady Demeter! Your wit is just as dry as the earth lying quite fallow in your care! Perhaps you should go tend to that again, though let's we go ahead and help our young man first!
DemeterWithPoseidon01|Demeter With Poseidon 01|Demeter|Ah, little sprout. I was just notifying Lord Poseidon here that all of his domain exists because it pleases me; remember, my good foster-brother, I could freeze your oceans solid if I chose.
DemeterWithPoseidon01|Demeter With Poseidon 01|Poseidon|{#DialogueItalicFormat}Ah, hahahah! {#PreviousFormat}Excellently stated, venerable Goddess Demeter! I'm reminded once more of your vast experience, though, I think we all prefer our oceans liquidy, isn't that right, Nephew?!
