Id|Description|Speaker|Text
AresWithDionysus01|Duo - Ares and Dionysus (1)|Ares|Ah, my kin! I was just inquiring with Lord Dionysus here, under which circumstances are the greatest mortal feasts of all prepared? Because I have a certain hunch, regarding that...
AresWithDionysus01|Duo - Ares and Dionysus (1)|Dionysus|Yeah, yeah, Ares, I will hand it to you, man. There's nothing like a feast after a war, all right! Provided you're on the surviving side, that is! Otherwise I guess they'll be feasting with *you *down there, Zag!
ArtemisWithDionysus01|Duo - Artemis and Dionysus (1)|Artemis|Oh, great, it's you, Zagreus! Here, let me offer you some fine new Boons, as well as Lord Dionysus here, who I am sure would love to talk your ear off just as much as mine!
ArtemisWithDionysus01|Duo - Artemis and Dionysus (1)|Dionysus|*Eh*, tells me I'm being awful loud, and to back off, all sorts of nasty stuff like that, what can you do, though, right?
AphroditeWithDionysus01|Duo - Aphrodite and Dionysus (1)|Aphrodite|My powers, dearest, oft go hand-in-hand with those of Dionysus, with his power to persuade the mind to find such beauty where it isn't, really!
AphroditeWithDionysus01|Duo - Aphrodite and Dionysus (1)|Dionysus|*Ah, haha*, no need to flatter me like that, there, Lady Aphrodite! Beauty's almost entirely within the mind, I'm sure! And in the muscles and the jawline and the winning smile and, well, who am I to tell you, yeah?
DionysusWithZeus01|Duo - Dionysus and Zeus (1)|Dionysus|Hey Zag, my Dad, he's here and wants to have a word, be cool man, go along with what he says, OK?
DionysusWithZeus01|Duo - Dionysus and Zeus (1)|Zeus|That Dionysus, always much too kind with introductions, though at least he shows me suitable respect. Perhaps someday he can instruct you in the customs of Olympus here.
DionysusWithPoseidon01|Duo - Dionysus and Poseidon (1)|Dionysus|*Uh*, Zag, *erm*... your uncle's passing through. Not Dad, *erm*, the other one I mean, and he just wanted to check in, see how you're doing, so...
DionysusWithPoseidon01|Duo - Dionysus and Poseidon (1)|Poseidon|*Ah-hah*, there you are, my little nephew! Dionysus showing you the ropes, or what? You want a real feast, though, you just stick with *me*! Now take my blessing, *go*!
DionysusWithPoseidon01|Duo - Dionysus and Poseidon (1)|Dionysus|*Oh*, anyway we're here, man, waiting up for you! We know you're going to make it, I would say eventually?
DionysusWithAthena01|Duo - Dionysus and Athena (1)|Dionysus|Hey, Zag, when you arrive, it's going to be a real scene, I'll tell you now! Even Athena here will cut loose for a bit, let down her hair, you know, put on something more comfy, yeah, it's going to be *great*!
DionysusWithAthena01|Duo - Dionysus and Athena (1)|Athena|Perhaps Lord Dionysus here is the true god of strategy, as it appears he is uncannily aware of my next move, Cousin. Although, be that as it may, I shall attempt to remain focused on your situation. Not his feast.
DionysusWithAres01|Duo - Dionysus and Ares (1)|Dionysus|You know, Zag, maybe once you get here, you could get old Ares to just lighten up a little, you know, man? Always dragging down the mood, with talk of blood, and nastiness, all sorts of stuff like that!
DionysusWithAres01|Duo - Dionysus and Ares (1)|Ares|Why, my Lord Dionysus! I fail to see why such discussion is perceived as unbecoming of a feast. A successfully conducted war is certainly a cause for celebration, is it not?
DionysusWithAphrodite01|Duo - Dionysus and Aphrodite (1)|Dionysus|Look, Zag, you should know by now that when it comes to feasting, it's Yours Truly here who puts on the best performance. But I do have Lady Aphrodite's help!
DionysusWithAphrodite01|Duo - Dionysus and Aphrodite (1)|Aphrodite|Wine does have a rather special way of making everybody look even more beautiful than ever, Dionysus dear! And from such beauty, why, long-lasting love is born! And also shorter-lasting love, much of the time.
DionysusWithArtemis01|Duo - Dionysus and Artemis (1)|Dionysus|Zag, man, I was just attempting here to get our good friend Artemis to finally make an appearance at one of my feasts, it's just... wouldn't you know, she's all preoccupied, something about a hunt?
DionysusWithArtemis01|Duo - Dionysus and Artemis (1)|Artemis|That's right, Lord Dionysus, a *hunt*! Which requires lots and lots of *total quiet*, and clear-minded focus. So, if you'll excuse me?
DionysusWithDemeter01|Duo - Dionysus and Demeter (1)|Dionysus|Hey Zag, got a favor here I mean to ask, could you maybe persuade the Lady Demeter to ease up on the whole *'not let anything grow' *thing she's been going on about?
DionysusWithDemeter01|Duo - Dionysus and Demeter (1)|Demeter|I daresay, my Lord Dionysus, that partaking of less wine for some amount of time might do you good. Regardless, you'll not coax a better crop from me.
DionysusAboutOlympianReunionQuest01|Dionysus About Olympian Reunion Quest 01|Zagreus|Hope this lives up to your expectations, mate. In the name of Hades! Olympus? This is an official message! Should be a good time, Lord Dionysus!
DionysusAboutOlympianReunionQuest01|Dionysus About Olympian Reunion Quest 01|Dionysus|Whoa, hold just for a moment, Zag, now, I can recognize an invite when I see one, man! And this is definitely almost certainly some sort of invite, one for me, and... one for everybody else, it looks like, here? Hoh, I'm excited, that is something really special, I can tell!
DionysusPostEpilogue01|Dionysus Post Epilogue 01|Dionysus|Look, Zag, I don't entirely recall what happened at that feast you threw for all of us down there, but let me tell you, I am under the impression it went *smashingly*! It was *amazing*, man! Let's have another one sometime, all right?
DionysusAboutZeus01|Dionysus About Zeus 01|Dionysus|So Zag, you met my dad by now, your uncle Zeus? He's cool and loves a feasting, just... be sure to keep him in your thoughts. OK?
DionysusAboutPoseidon01|Dionysus About Poseidon 01|Dionysus|*Hoh-ho*, no way Zag, looking like you got yourself a gift from old Poseidon there? He's quite the catch, but here, hope you saved some room for more!
DionysusAboutAthena01|Dionysus About Athena 01|Dionysus|Hey man, I heard Athena had a word with you already yeah? She's cool, though, once you get to know her. Here! I got something that ought to suit her style.
DionysusAboutAphrodite01|Dionysus About Aphrodite 01|Dionysus|*Whoa*, hey, you must have had a run-in with the lovely Aphrodite, am I right, or am I right, there Zag? But I have *just *the thing to go with her!
DionysusAboutArtemis01|Dionysus About Artemis 01|Dionysus|Hey, Zag, got to tell you, I cannot believe that little Artemis is hanging out with you! She doesn't hang with anybody, man! But I digress, take this!
DionysusAboutAres01|Dionysus About Ares 01|Dionysus|You hanging out with Ares, are you, Zag? He's quite the chap, I'll give him that, I'll give him that, and now, I'll give you *this*!
DionysusAboutDemeter01|Dionysus About Demeter 01|Dionysus|Felt a shiver in the air just now, and that can only mean that chilly Demeter decided to give you a little help, there, huh? Or maybe it's just cold, I mean, this is a mountaintop!
DionysusAboutHadesKeepsake01|Dionysus About Hades Keepsake 01|Dionysus|Hey, Zag, uh... I may just be losing it or something here, but isn't that your dad's own blessing that you've got? That's something, man, I didn't know that he was helping you!
DionysusPostGiftPickup01|Dionysus Post Gift Pickup 01|Dionysus|Now how's my favorite Underworld god surviving, Zag, you holding up or what? Right better momentarily, I bet!
DionysusPostGiftPickup02|Dionysus Post Gift Pickup 02|Dionysus|Man oh man, Zag, someday you will be the guest of honor at the *biggest *feast that you have *ever *seen! Though I know you have got your hands full for the time, so, first things first!
DionysusBackstory01|Dionysus Backstory 01|Dionysus|Sometimes I have to wonder, man, what's going through your head, I mean, I know you hear me and the others but it's so damn dark down there I can't hear you at all!
DionysusBackstory02|Dionysus Backstory 02|Dionysus|Let me tell you something, Zag, I know your dad he's got to be a real handful, I relate to that, you understand me, mate? So you get out of there, and you'll be more than welcome here, with us!
DionysusHighRelationship01|Dionysus High Relationship 01|Dionysus|I've got a feeling this time, man, like things are really going to take a turn for you, and I mean for the better, almost certainly, I think!
DionysusHighRelationship02|Dionysus High Relationship 02|Dionysus|The key to any halfway decent feast is lots and lots of preparation, man. Or maybe just having to improvise, you know?
DionysusRunProgress01|Dionysus Run Progress 01|Dionysus|I got to hand it to you, Zag, you don't back down, you don't ever back down, what is this, like the twentieth time that you've attempted to escape?
DionysusRunProgress02|Dionysus Run Progress 02|Dionysus|You're getting somewhere, getting somewhere, man, I understand you made it up to Asphodel before, now that is progress, keep it up, you keep on going, yeah?
DionysusRunProgress03|Dionysus Run Progress 03|Dionysus|Heard you wrestled with some Satyrs near the surface, Zag! Nice work making it that far, and I just want to let you know that they are definitely not my crew, man! Satyrs I know aren't like that at all!
DionysusRunCleared01|Dionysus Run Cleared 01|Dionysus|Ah, Zag, what *happened *last time, man? It seemed like you were rather close, but then, we couldn't see you anymore from here, and now you're back? Well, give another go!
DionysusRunCleared02|Dionysus Run Cleared 02|Dionysus|Want you to know something, here, man. It's been a bit of a long haul, but you are getting closer to the surface, and you'll get there someday, and we're with you, however long it takes, OK?
DionysusPostEpilogue02|Dionysus Post Epilogue 02|Dionysus|Hey, back when we had that feast, there, man, I, I hope I didn't, you know, make for any inconveniences or anything down there, did I...?
DionysusPostEpilogue03|Dionysus Post Epilogue 03|Dionysus|Zag, I cannot believe your mom's Persephone, that's something else, I got to tell you, man! I never took her for the sort to be all into Underworld stuff!
DionysusAboutKeepsake01|Dionysus About Keepsake 01|Dionysus|Say, isn't that the Overflowing Cup I handed down to you, I'm glad you like it, man! I guess it's overflowing still, because I figure otherwise I couldn't tell at all!
DionysusAboutNectar01|Dionysus About Nectar 01|Dionysus|You, man, must be mates with just about *everybody *down there, by now, yeah? Doling out Nectars left and right, just livening the place right up!
DionysusAboutNectar02|Dionysus About Nectar 02|Dionysus|Say, let me just point out you've got a lot of Nectar on you, man! Oh, I can tell, I like the stuff a lot, myself, but even I don't pack *that *much, and I mean, *wow*!
DionysusAboutAmbrosia01|Dionysus About Ambrosia 01|Dionysus|Say, man, if I'm not mistaken, I think you got yourself a bottle of Ambrosia, there? I'd no idea you could get that stuff downstairs! Do me a solid, though, hang on to any more you find, or better yet, give it away! I'd hate to think even a drop has gone to waste!
DionysusAboutAmbrosia02|Dionysus About Ambrosia 02|Dionysus|Well, would you just look at yourself, Zag! You are like a walking stockpile of Ambrosia, aren't you? Taking the best care of it, at that. I knew I could count on you, but... *<Sniff> *I didn't know I could be just so proud of you, you know, man?
DionysusAboutAmbrosia03|Dionysus About Ambrosia 03|Dionysus|Zag, turns out I am quite the judge of character, and you, man, have an *awful *lot of it, I mean, you've given out how much Ambrosia now? To *all *your mates, and *more*?!
DionysusAboutAmbrosia04|Dionysus About Ambrosia 04|Dionysus|You got to let me in on something, Zag, how did you gather up so much Ambrosia, there? I mean, sometimes I think the stuff is plentiful up here, but you are positively swimming in it, man!
DionysusAboutGifting01|Dionysus About Gifting 01|Dionysus|You are the talk of the mountain, you know that, man? Good on you, getting on just about everybody's good side up here, I mean, that is a feat, all right!
DionysusAboutOrpheus01|Dionysus About Orpheus 01|Dionysus|Hey Zag, ever see a fellow by the name of Orpheus down there, you ever heard of him? I bet you have, and I have had a funny thought, a little jest that maybe we could try, if you'd be up to have a little harmless fun?
DionysusAboutOrpheus01|Dionysus About Orpheus 01|Zagreus|Harmless fun at the expense of Orpheus? You have my full and complete attention, Dionysus mate.
DionysusAboutOrpheus01|Dionysus About Orpheus 01|Dionysus|...That chap comes up with the most smashing songs, so I was thinking, maybe we could spin him a tall tale, something like how maybe you and I, like, we're connected or something? He'll buy it, tell him, tell him for me, yeah?!
DionysusAboutOrpheus02|Dionysus About Orpheus 02|Dionysus|*Hahaha*, Zag! I heard you got to Orpheus, he's got this whole entire ballad now, about how you are really me, or maybe it's the other way around, I've no idea, *hahahaha*! Here!
DionysusAboutSingersReunionQuest01|Dionysus About Singers Reunion Quest 01|Dionysus|Zag, I heard that Orpheus, he found his missing bride, why, isn't that the sweetest thing, isn't it, man? I'll drink to that, and I think so should you!
DionysusVsMeg01|Dionysus Vs Meg 01|Dionysus|*Erm*, hey, man, you been having some bad run-ins with that Fury, Megaera, is that her name? Now isn't she a real firebrand! Maybe this'll help you out next time you meet!
DionysusAboutMegRelationship01|Dionysus About Meg Relationship 01|Dionysus|Whoa, Zag, heard you're hanging with the Fury Megaera of late, well cheers to that, man, bet she's something else, but you just watch for that whip of hers, OK?
DionysusAboutMegRelationship02|Dionysus About Meg Relationship 02|Dionysus|Hey man, I'm hearing up here that you got in good with Megaera, the Fury, is that right, I mean, I hope it is, because, *hahaha, yeow*, know what I mean? They say she's something else!
DionysusAboutThanRelationship01|Dionysus About Than Relationship 01|Dionysus|Hey, you're in good with Thanatos, isn't that right? A real broody sort, sometimes I think maybe I ought to just invite him to a feast, but then, what if he cools the whole thing down, makes everybody kind of *ehhhhh*, you know?
DionysusVsTheseus01|Dionysus Vs Theseus 01|Dionysus|Heard that you took care of Theseus down in Elysium of late, there, Zag! Nice work, never liked that one, between us. There's this nice lass helped him out one time, and he just dumped her rotten, I don't like that, man!
DionysusAboutYarn01|Dionysus About Yarn 01|Dionysus|Why, you've a Yarn of Ariadne, right there, Zag, I know the lass for whom that yarn is named! She was a right attractive one, we had our little time, long story, though, will save it till you get here!
DionysusLowHealth01|Dionysus Low Health 01|Dionysus|Whoaa Zag, man, you look positively knackered, you be sure and take it easy if you can out there, all right? Here, maybe this'll help!
DionysusLowHealth02|Dionysus Low Health 02|Dionysus|*Oof*, Zag, look, I know you're not in a good spot right now, you must be really out of sorts! Though maybe *this *might numb the pain a bit!
DionysusLowHealth03|Dionysus Low Health 03|Dionysus|*Eugh*, you're a proper mess right now, got to be candid with you, man, you're bleeding everywhere, get it together, yeah?
DionysusLowHealth04|Dionysus Low Health 04|Dionysus|Now what's the matter, down there, Zag, it's like you've been up feasting day and night, you're barely standing, everything OK?
DionysusLowHealth05|Dionysus Low Health 05|Dionysus|*Ooh*, you're in no shape to be going off, what happened to you, there? Well, here, you know what? Let me see if we can get you back into it, man!
DionysusLegendaryPickUp01|Dionysus Legendary Pick Up 01|Dionysus|*Oh-hoh*, Zag, have I got something special here for you, I mean *this *here is top-notch stuff, *even *among the top-notch stuff I have to give, just look at this!
DionysusLegendaryPickUp01_B|Dionysus Legendary Pick Up 01 B|Dionysus|Look, man, I am feeling generous right now, know what I mean? And so, here's something *extra *potent for you, ought to keep you going for a while longer than you're used to, there!
