Id|Description|Speaker|Text
DusaFirstMeeting|Dusa First Meeting|Dusa|{#DialogueItalicFormat}Oh{#PreviousFormat}! The Prince himself, you, want to talk to me...? Me?! Oh, wow, {#DialogueItalicFormat}oh wow!!{#PreviousFormat}
DusaFirstMeeting|Dusa First Meeting|Zagreus|I, {#DialogueItalicFormat}uh{#PreviousFormat}, just wanted to say, the lounge looks wonderful, as good as new. Better! Hope it's not been too much trouble patching up.
DusaFirstMeeting|Dusa First Meeting|Dusa|I, I, I, {#DialogueItalicFormat}aah{#PreviousFormat}, I have to clean the rafters, I...!
DusaFirstMeeting|Dusa First Meeting|Dusa|{#DialogueItalicFormat}Oh{#PreviousFormat}! The Prince himself, you, want to talk to me...? Me?! Oh, wow, {#DialogueItalicFormat}oh wow!!{#PreviousFormat}
DusaFirstMeeting|Dusa First Meeting|Zagreus|I, {#DialogueItalicFormat}uh{#PreviousFormat}, just wanted to say, the lounge looks wonderful, as good as new. Better! Hope it's not been too much trouble patching up.
DusaFirstMeeting|Dusa First Meeting|Dusa|I, I, I, {#DialogueItalicFormat}aah{#PreviousFormat}, I have to clean the rafters, I...!
DusaFirstMeeting|Dusa First Meeting|Dusa|{#DialogueItalicFormat}Oh{#PreviousFormat}! The Prince himself, you, want to talk to me...? Me?! Oh, wow, {#DialogueItalicFormat}oh wow!!{#PreviousFormat}
DusaFirstMeeting|Dusa First Meeting|Zagreus|I, {#DialogueItalicFormat}uh{#PreviousFormat}, just wanted to say, the lounge looks wonderful, as good as new. Better! Hope it's not been too much trouble patching up.
DusaFirstMeeting|Dusa First Meeting|Dusa|I, I, I, {#DialogueItalicFormat}aah{#PreviousFormat}, I have to clean the rafters, I...!
DusaFirstMeeting_Alt|Dusa First Meeting Alt|Dusa|{#DialogueItalicFormat}Oh{#PreviousFormat}! The Prince himself, you, want to talk to me...? Me?! Oh, wow, {#DialogueItalicFormat}oh wow!!{#PreviousFormat}
DusaFirstMeeting_Alt|Dusa First Meeting Alt|Zagreus|I, {#DialogueItalicFormat}uh{#PreviousFormat}, just wanted to say, don't bother picking up my room today. I'm headed out for a while.
DusaFirstMeeting_Alt|Dusa First Meeting Alt|Dusa|I, I, I, {#DialogueItalicFormat}aah{#PreviousFormat}, I have to clean the rafters, I...!
DusaMiscMeeting02|Dusa Misc Meeting 02|Dusa|I, {#DialogueItalicFormat}ah{#PreviousFormat}, hope you're having a nice stay! Even though you don't want to live here anymore, Your Highness!
DusaMiscMeeting02Extra|Dusa Misc Meeting Extra 02|Zagreus|{#DialogueItalicFormat}Erm{#PreviousFormat}, Dusa? Turns out that I may be stopping back from time to time, like this. But, please don't bother picking up my room. I won't be staying long.
DusaMiscMeeting02Extra|Dusa Misc Meeting Extra 02|Dusa|Oh, {#DialogueItalicFormat}hahaha{#PreviousFormat}, sure! But I'll just keep an eye on things in there, from time to time, in case you change your mind, um, so, good-bye!
DusaMiscMeeting02Extra|Dusa Misc Meeting Extra 02|Zagreus|{#DialogueItalicFormat}Erm{#PreviousFormat}, Dusa? Turns out that I may be stopping back from time to time, like this. But, please don't bother picking up my room. I won't be staying long.
DusaMiscMeeting02Extra|Dusa Misc Meeting Extra 02|Dusa|Oh, {#DialogueItalicFormat}hahaha{#PreviousFormat}, sure! But I'll just keep an eye on things in there, from time to time, in case you change your mind, um, so, good-bye!
