Id|Description|Speaker|Text
HermesSecondPickUp|Hermes Second Pick Up|Hermes|What's going on, there, Coz? Can I call you Coz? Got something here for you should make your battles to the death end that much quicker!
HermesExpectingZeus01|Hermes Expecting Zeus 01|Hermes|Sorry, boss, my pop had pressing matters to attend to. But I'm here! Relaying you that message, and relaying this.
HermesExpectingPoseidon01|Hermes Expecting Poseidon 01|Hermes|Here to tell you that Poseidon's on his way, boss. Sometimes he is a little slow. But you'll meet up with him again eventually!
HermesExpectingAthena01|Hermes Expecting Athena 01|Hermes|Expecting someone else, there, boss? A certain half-sister of mine perchance? Well, tough break, I got here first. Want one of these, or not?
HermesExpectingAres01|Hermes Expecting Ares 01|Hermes|Soon as I heard you were looking to see Ares, boss, I got here as fast as I could! He's never going to beat me. Much less in all that armor.
HermesExpectingAphrodite01|Hermes Expecting Aphrodite 01|Hermes|Aphrodite said she's running just a little late, Coz, though I'm sure you understand. Besides, I'm here! In spirit anyhow.
HermesExpectingArtemis01|Hermes Expecting Artemis 01|Hermes|Wanted to let you know my sister Artemis is out looking for you. You should be running into her in any chamber, now!
HermesExpectingDionysus01|Hermes Expecting Dionysus 01|Hermes|Afraid that Dionysus couldn't be here for you, boss. Though punctuality has never been one of his stronger suits.
HermesExpectingDemeter01|Hermes Expecting Demeter 01|Hermes|That chill you were expecting in the air, that wasn't Demeter this time, here, boss! No, that was just me whisking to you in a flash. Makes for a little pleasant breeze I think!
HermesBeatCharonQuestComplete|Hermes Beat Charon Quest Complete|Hermes|You did it, Coz! And by *it *I'm referring to the act of beating down my seemingly invincible boatman associate, who fancies himself pretty tough as Underworld deities go! He wasn't sure you had it in you, and if I may be so bold, neither was I!
HermesAboutPlume02|Hermes About Plume 02|Hermes|Hey looking like you're getting some good use out of that fancy plume of yours! Keep going like that, maybe someday you'll be half as quick as me!
HermesAboutSkelly01|Hermes About Skelly 01|Hermes|I got a keen eye, boss, so I happened to notice that you've got a certain tooth you're carrying about. Know you're from the land of the dead and all, but don't you think that comes across as just a little odd?
HermesAboutPersephoneMeeting01|Hermes About Persephone Meeting 01|Hermes|Heard that you finally got out of there, Coz! Big congratulations due for that: Congrats! The secret's safe with me, of course! The others here, they think you're still at it. Though, I guess you are!
HermesRunClearStreakBroken01|Hermes Run Clear Streak Broken 01|Hermes|Heard the news you broke your streak of victories of late, boss. Happens, right? You seem the sort to bounce right back, though. Let me help with that!
HermesAboutOlympianReunionQuest01|Hermes About Olympian Reunion Quest 01|Zagreus|I get to be the messenger this time. In the name of Hades! Olympus, this is an official message! Lord Hermes? Got here as quickly as I could.
HermesAboutOlympianReunionQuest01|Hermes About Olympian Reunion Quest 01|Hermes|Why, that looks like you've got a message just for *me*, this time, how special is that, boss? Some sort of invite from the looks of things. You sure that I'm supposed to have this, seeing as I'm not officially involved?
HermesPostEpilogue01|Hermes Post Epilogue 01|Hermes|Got to tell you, Coz, that was a real something of a feast back your place! A little awkward, having to pretend we just met, but hey, I'm an Olympian! Means I can posture with the best of them. Good times, Coz! Glad it all worked out.
HermesExpectingMiscOlympian01|Hermes Expecting Misc Olympian 01|Hermes|Afraid your regularly scheduled Olympian could not be here right now, because I'm that much faster, boss!
