Id|Description|Speaker|Text
HypnosFirstMeeting|Hypnos First Meeting|Hypnos|Welcome to the House of Hades, where... wait, I know {#DialogueItalicFormat}you{#PreviousFormat}! Guess that means you died out there, huh? Well don't be sad, though, pretty much everybody dies sometime!
HypnosMiscMeeting01|Hypnos Misc Meeting 01|Hypnos|Oh! Hi. I'd ask you how it went, but since you're here again, I guess I know already, huh! Oh well, just come on in!
HypnosMiscMeeting02|Hypnos Misc Meeting 02|Hypnos|Ah, good, you're back already, huh? A few of us, we had a bet, about how long you'd last out there, and I just {#DialogueItalicFormat}knew {#PreviousFormat}you'd be back in {#DialogueItalicFormat}no time{#PreviousFormat}!
HypnosMiscMeeting03|Hypnos Misc Meeting 03|Hypnos|Oh, hi! {#DialogueItalicFormat}Um{#PreviousFormat}, welcome home! Again! Go right ahead! I think your dad's mad about something or other, though.
HypnosMiscMeeting04|Hypnos Misc Meeting 04|Hypnos|Wow, you've died at least {#DialogueItalicFormat}five times {#PreviousFormat}so far, I think? Dying's good for the whole ecosystem down here, so, uh, thanks! You're helping make the Underworld a better place!
HypnosMiscMeeting04|Hypnos Misc Meeting 04|Zagreus|Great! Just keep dying over and over and everything will be fine.
HypnosMiscMeeting05|Hypnos Misc Meeting 05|Hypnos|It's fun watching the Pool of Styx, you know? The ripples in the blood, and everything, and sometimes, somebody pops out of there, like you! House staff and guests of honor, no one else. I sign them in, and help make sure they have a pleasant stay!
HypnosMiscMeeting06|Hypnos Misc Meeting 06|Hypnos|{#DialogueItalicFormat}Ooh{#PreviousFormat}, why you made it all the way to Asphodel that time, that's pretty neat! Still died and everything but not as quickly as you used to, so, that's progress, right?
HypnosRunProgress01_A|Hypnos Run Progress 01 A|Hypnos|Hey, wow, you did it! According to my list it says here you've died, what, fifty times {#DialogueItalicFormat}at least{#PreviousFormat}! That's more than anybody's died around here, I think!
HypnosRunProgress01|Hypnos Run Progress 01|Hypnos|Hey, let me be the first to say: {#DialogueItalicFormat}Congratulations{#PreviousFormat}! You have died a hundred times since I've been keeping score. Since I've been keeping track. No prize for it or anything, but the journey is its own reward, or something, right?
HypnosRunProgress02|Hypnos Run Progress 02|Hypnos|You're not going to believe this, here, you ready? Three.. hundred... {#DialogueItalicFormat}times{#PreviousFormat}!! That's right! Three hundred times, you've died! That's like... more than an entire village from an earthquake, all on your own!
HypnosRunProgress03|Hypnos Run Progress 03|Hypnos|Oh, I just can't believe it, although I know my list here never lies! And it says that you have died all of five {#DialogueItalicFormat}hundred {#PreviousFormat}times! {#DialogueItalicFormat}Five hundred{#PreviousFormat}!! I can't even think of a number higher than that!
HypnosMegDefeated01|Hypnos Meg Defeated 01|Hypnos|It's usually pretty quiet, keeping watch over the Pool of Styx back there. But it's sure been busy lately! Why, somebody else came through just earlier! You should have seen the look on my face when it wasn't you!
HypnosAboutThanatos01|Hypnos About Thanatos 01|Hypnos|Hey, you keep dying! You happen to run into my brother anywhere out there, by any chance? Haven't seen him in ages, what's with the long assignment?
HypnosAboutThanatos01|Hypnos About Thanatos 01|Zagreus|Something about a war. Father sent Thanatos to take stock, but you're right, it's been a while now that you mention it. I guess a lot's occurred down here since then.
HypnosAboutThanatos01|Hypnos About Thanatos 01|Hypnos|I'll say! The lounge re-opened, let's see, what else... Anyway! You see my brother out there you tell him we've got everything here under control!
HypnosAboutThanatos02|Hypnos About Thanatos 02|Hypnos|Hey, did you see? My brother, he's come back! He's here! Somewhere, I think! Good old Thanatos. He's so busy all the time, he... never talks to me! Kind of like your dad with {#DialogueItalicFormat}you{#PreviousFormat}, I guess!
HypnosAboutThanatos03|Hypnos About Thanatos 03|Hypnos|{#DialogueItalicFormat}Whaa{#PreviousFormat}! Oh, hah, you just startled me there, is all, I was just... um... I...
HypnosAboutThanatos03|Hypnos About Thanatos 03|Zagreus|Hey, uh, everything all right, there, Hypnos?
HypnosAboutThanatos03|Hypnos About Thanatos 03|Hypnos|Oh, absolutely! Everything {#DialogueItalicFormat}definitely {#PreviousFormat}is. It's just... it's Thanatos. He said some stuff, and... now I'm not so sure I'm doing the best job I can, you know?
HypnosAboutThanatos03|Hypnos About Thanatos 03|Zagreus|I'm sure he wasn't trying to hurt your feelings. Wait, what am I saying, he's always been harsh with you, hasn't he?
HypnosAboutThanatos03|Hypnos About Thanatos 03|Hypnos|Hey, what if he doesn't like me anymore? He's got other brothers!
HypnosAboutThanatos04|Hypnos About Thanatos 04|Hypnos|Oh hey! Um, this might be a little weird, but I, {#DialogueItalicFormat}uh{#PreviousFormat}... thanks! I mean, you talked to Thanatos about me, right? At first I thought he was acting funny. But he has definitely been a lot nicer to me, lately!
HypnosAboutThanatos04|Hypnos About Thanatos 04|Zagreus|Come on, Hypnos, I didn't have anything to do with that. You seem like you've been working extra hard, and taking some of the feedback you've been getting to heart. I think Thanatos really appreciates that sort of thing. Who doesn't?
HypnosAboutThanatos04|Hypnos About Thanatos 04|Hypnos|I don't know! But I really appreciate that you went out of your way, I mean... I just stand here and greet and register the dead! But you? You're a real friend!
HypnosAboutThanatosRelationship01|Hypnos About Thanatos Relationship 01|Hypnos|Hey, there you are! So is it true?! You know, about you and Thanatos? Because he told me, and I just said, {#DialogueItalicFormat}whooooaaa{#PreviousFormat}, but then, everything made sense?
HypnosAboutThanatosRelationship01|Hypnos About Thanatos Relationship 01|Zagreus|I'm sure whatever it is he said is completely true, yes, Hypnos.
HypnosAboutSleeperSeat01|Hypnos About Sleeper Seat 01|Hypnos|Hey, did you see? Somebody got me this incredible new sleeper-seat right here! Though, I would never lie down while on the job! I'm perfectly all right sleeping while standing up!
HypnosPostFlashback01|Hypnos Post Flashback 01|Zagreus|Hey, Hypnos? What would it take for you to let me through the locked door down the hall?
HypnosPostFlashback01|Hypnos Post Flashback 01|Hypnos|Oh, {#DialogueItalicFormat}hahaha{#PreviousFormat}, that's a good one, you know I can't let you enter your dad's private chambers anymore, since you betrayed his trust and tried to run away from home! Sorry, Master's orders!
HypnosPostEnding01|Hypnos Post Ending 01|Hypnos|Hey, did you see?! The Queen's come back! Though, did she ever take her sweet time!
HypnosPostEnding01|Hypnos Post Ending 01|Zagreus|Hey watch it, Hypnos, that's my mother you're talking about!
HypnosPostEnding01|Hypnos Post Ending 01|Hypnos|What, really? {#DialogueItalicFormat}Huh{#PreviousFormat}! So then {#DialogueItalicFormat}your {#PreviousFormat}mom doesn't spend any time with you, either! We've got something in common!
HypnosPostEnding02|Hypnos Post Ending 02|Hypnos|Wait, wait, wait, so what's all this about you {#DialogueItalicFormat}working {#PreviousFormat}here? I thought they fired you, and that was why you left!
HypnosPostEnding02|Hypnos Post Ending 02|Zagreus|Hypnos... you think all these times I've died, it's because I was upset I was let go from a miserable job?
HypnosPostEpilogue01|Hypnos Post Epilogue 01|Hypnos|I heard the feast you had here, it was really something else! All the gods, together in one place, eating, drinking, not killing one another! That must have been a sight.
HypnosPostEpilogue01|Hypnos Post Epilogue 01|Zagreus|You should have been there, Hypnos! Not that I noticed your absence, though, what happened? Other pressing business?
HypnosPostEpilogue01|Hypnos Post Epilogue 01|Hypnos|Slept through the whole thing!
HypnosAutograph01|Hypnos Autograph 01|Zagreus|Hey, Hypnos? This is for all the well-meaning advice you've given me. A little something from a certain double-bladed-axe-wielding, bull-headed, oversized monster of a man who you admire?
HypnosAutograph01|Hypnos Autograph 01|Hypnos|What's this, it's kind of hard to read the hand-writing, it says, no way... {#DialogueItalicFormat}To Hypnos, my biggest fan. Stay vigilant. Asterius. {#PreviousFormat}There's... even a little picture of a bull. You... I... wow... {#DialogueItalicFormat}wow{#PreviousFormat}!
HypnosConsolation01|Hypnos Consolation 01|Hypnos|{#DialogueItalicFormat}Hoh{#PreviousFormat}, says here one of the Wretched Thugs got you, too bad! They're slow but they hit pretty hard I guess. Have you tried moving out of the way?
HypnosConsolation01_B|Hypnos Consolation 01 B|Hypnos|According to my list here, why, you must've just got clobbered all the way back home by one of those Wretched Thugs again! The old moving-out-the-way trick didn't work, huh...?
HypnosConsolation02|Hypnos Consolation 02|Hypnos|Looks like one of the Wretched Witches shot you dead last time, sorry to hear that, huh? Have you tried shooting them first?
HypnosConsolation02_B|Hypnos Consolation 02 B|Hypnos|You must have had a run-in with a Spreader, huh! They're much more talented than the low-grade witches down in Tartarus, so your dad lets them stay warm up in Asphodel, I guess!
HypnosConsolation02_C|Hypnos Consolation 02 C|Hypnos|{#DialogueItalicFormat}Oof{#PreviousFormat}, a Splitter zapped you, didn't she! There's lots of witches in your dad's place, huh? Witchcraft must be pretty dangerous for all those mortals up there. Pretty dangerous for you, too!
HypnosConsolation03|Hypnos Consolation 03|Hypnos|{#DialogueItalicFormat}Aw{#PreviousFormat}, looks like you died from one of those nasty booby traps left by a Wretched Pest, little guys who look like urns? Have you tried avoiding them maybe?
HypnosConsolation04|Hypnos Consolation 04|Hypnos|{#DialogueItalicFormat}Ooh wow{#PreviousFormat}, so Megaera herself got you last time, that must have been intense! She's fast, and strong, and beautiful, and... um... anyway, I hope the Fates are nicer to you next time!
HypnosConsolation04_B|Hypnos Consolation 04 B|Hypnos|{#DialogueItalicFormat}Hah{#PreviousFormat}! Megaera the Fury got you again! She is unstoppable, isn't she? One time, I tried to stop her on the way to have a chat with your dad, and she didn't even turn her head! {#DialogueItalicFormat}<Sigh...>
HypnosConsolation04_C|Hypnos Consolation 04 C|Hypnos|You got {#DialogueItalicFormat}whipped {#PreviousFormat}by Megaera the Fury! {#DialogueItalicFormat}Eh{#PreviousFormat}?! I always wanted to say that. Whipped, you know? Referring both to how badly you lost, and to that glowy purple whip she's always threatening me with whenever I try to talk to her?
HypnosConsolation05|Hypnos Consolation 05|Hypnos|So you got skewered by a Spike Trap out there, huh? Well, that's too bad! Have you tried not standing there, like, when the spikes come out?
HypnosConsolation06|Hypnos Consolation 06|Hypnos|{#DialogueItalicFormat}Ooh {#PreviousFormat}looks like one of those Dart Traps killed you last time, bet {#DialogueItalicFormat}that {#PreviousFormat}must have hurt! Have you tried getting behind something?
HypnosConsolation07|Hypnos Consolation 07|Hypnos|{#DialogueItalicFormat}Ow {#PreviousFormat}looks like you got blasted to bits by an explosive urn last time! We keep some really nasty shades all bottled up in those, but... you so much as touch them, {#DialogueItalicFormat}BOOM{#PreviousFormat}! Hah!
HypnosConsolation08|Hypnos Consolation 08|Hypnos|{#DialogueItalicFormat}Whoaaa{#PreviousFormat}, you just got killed by one of those Bloodless Inferno Bomber skeleton type guys, nice! I always wondered what would happen if you just kind of stood around while all their bombs went off!
HypnosConsolation09|Hypnos Consolation 09|Hypnos|{#DialogueItalicFormat}Owie{#PreviousFormat}, looks like the Bone Hydra of Asphodel just stomped you that time, huh? I hear each of its heads has its own nasty tricks. That must be tough!
HypnosConsolation09_B|Hypnos Consolation 09 B|Hypnos|Bone Hydra got you again, huh? Real sorry about that. Though, you know what? I want you to get back out there, you know, all through Tartarus, and Asphodel, again, and knock some sense into it for me, OK? OK!
HypnosConsolation09_C|Hypnos Consolation 09 C|Hypnos|Wait let me guess, don't tell me... you got slaughtered by the Bone Hydra, again! How many times was that? But you will get 'em next time, I just know it! Maybe the time after that. Eventually, no doubt about it!
HypnosConsolation10|Hypnos Consolation 10|Hypnos|{#DialogueItalicFormat}Daw{#PreviousFormat}, one of those Wretched Louts just killed you dead that time, those mean old slappy guys? Maybe try killing them beforehand, I don't know!
