Id|Description|Speaker|Text
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|Meg. *Oh*. I was not expecting company. Were you, just, casually snooping, or... is there something I can help you with?
MegaeraBedroom01|Megaera Bedroom 01|Megaera|...I was just leaving, Zagreus. Happened to be in the area, no thanks to you, and thought I'd go retrieve the last of my possessions. I have to say, you've really let this place go to hell.
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|...She left. Great. Wonderful! I guess we'll just go back to killing each other repeatedly, then.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Forget another something in my bedchambers, there, Meg?
MegaeraBedroom02|Megaera Bedroom 02|Megaera|No. We need to talk, again. My sisters are involved now, in all this. You've really stirred up quite a mess.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|I'm sorry. My mother's out there, somewhere. I won't rest until I can find her. You wouldn't understand.
MegaeraBedroom02|Megaera Bedroom 02|Megaera|You wouldn't know. What I'm trying to say is... with my sisters involved, it changes things. Takes some of the pressure off of me.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|What are you saying?
MegaeraBedroom02|Megaera Bedroom 02|Megaera|I'm saying... I know you need to find your mother, Zagreus. I have my part to play in all of this, but let me see what I can do, if anything.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Meg...! She... *ah*.
MegaeraBedroom02B|Megaera Bedroom 02 B|Zagreus|Forget another something in my bedchambers, there, Meg?
MegaeraBedroom02B|Megaera Bedroom 02 B|Megaera|No. We need to talk, again. My sisters are involved now, in all this. You've really stirred up quite a mess.
MegaeraBedroom02B|Megaera Bedroom 02 B|Zagreus|I know. I'm sorry. But this is something that I have to do. You wouldn't understand.
MegaeraBedroom02B|Megaera Bedroom 02 B|Megaera|You wouldn't know. What I'm trying to say is... with my sisters involved, it changes things. Takes some of the pressure off of me.
MegaeraBedroom02B|Megaera Bedroom 02 B|Zagreus|Some of the pressure... wait, what are you going to do?
MegaeraBedroom02B|Megaera Bedroom 02 B|Megaera|I'm saying... I know you're doing what you have to do, here, Zagreus. And, my sisters and I will always try to stop you. But I am only doing it because I have to. Understand?
MegaeraBedroom02B|Megaera Bedroom 02 B|Zagreus|Meg...! She... *ah*.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Meg... what a surprise. Again. What is it? ...What's the matter? Wait. Why are you looking at me like that?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|Zagreus, would you shut up already with your idiotic questions, and get over here? Right now.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|...I... you really... oh...
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|Zagreus, you don't have any doors. Why are you always so surprised?
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Zagreus|*Erm*, Meg, Than, what... what are you two... what's going on? Whatever it is, I can explain, or... wait, you're both smiling. Oh... let me just... take this in a moment here.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|You give Thanatos and me too little credit, Zag. We've known each other longer than you've been alive.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Thanatos|I'd say we know quite a bit by now, all things considered. Isn't that right, Megaera?
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|Can't you see we're off duty right now, Zagreus?
BecameCloseWithMegaera01_B|Became Close With Megaera 01 B|Zagreus|Meg... what a surprise. Again. What is it? ...What's the matter? Wait. Why are you looking at me like that?
BecameCloseWithMegaera01_B|Became Close With Megaera 01 B|Megaera|Shut up already, Zagreus. And come here.
BecameCloseWithMegaera01_B|Became Close With Megaera 01 B|Zagreus|...I... you really... oh...
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|Zagreus, you don't have any doors. Why are you always so surprised?
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Zagreus|*Erm*, Meg, Than, what... what are you two... what's going on? Whatever it is, I can explain, or... wait, you're both smiling. Oh... let me just... take this in a moment here.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|You give Thanatos and me too little credit, Zag. We've known each other longer than you've been alive.
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Thanatos|I'd say we know quite a bit by now, all things considered. Isn't that right, Megaera?
MegaeraWithThanatosBedroom01|Megaera With Thanatos Bedroom 01|Megaera|Can't you see we're off duty right now, Zagreus?
MegaeraWithSisyphus01|Megaera With Sisyphus 01|Megaera|...You help him out again, you'll get a thousand lashes next we meet. And when I return, this little rock of yours had better be up there rather than here, or else you'll get a thousand more.
MegaeraWithSisyphus01|Megaera With Sisyphus 01|Sisyphus|Sounds good, sounds good, Madam, that's more than equitable really, I'll hold you to that! Be seeing you around!
MegaeraWithSisyphus02|Megaera With Sisyphus 02|Megaera|...And you'll keep busy with your boulder if you know what's good for you, you little cheat. Don't go thinking I'm not watching you.
MegaeraWithSisyphus02|Megaera With Sisyphus 02|Sisyphus|I appreciate your vigilance, Madam, and surely I'll be getting Bouldy up this very hill in no time flat, despite the fact that I have never once achieved this!
MegaeraWithSisyphus03|Megaera With Sisyphus 03|Megaera|...And when this matter with the Prince is over with, we will be getting back to how things used to be. Until such time, I'd better regularly see your boulder on that hill.
MegaeraWithSisyphus03|Megaera With Sisyphus 03|Sisyphus|Entirely makes sense to me, Madam, and rest assured that Bouldy, *erm*, that is to say this boulder here, that I will push it regularly, moving forward, same as ever! Now good-bye!
FurySistersUnion01|Fury Sisters Union 01|Megaera|My sisters and I. We've had a chance to talk, and we have come to an agreement, Zagreus. As you can see.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Megaera, Tis, you ready?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|*Mmurdererr*!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Three against one. Doesn't seem all that sporting, now, does it?
FurySistersUnion01|Fury Sisters Union 01|Megaera|We're each well past the need for any sport. We'll kill you, whatever it takes. Erinyes! *Now*.
FurySistersUnion02|Fury Sisters Union 02|Megaera|What's the matter, Zagreus? You look a bit uncomfortable. Something you want to say to me? Or any one of us?
FurySistersUnion02|Fury Sisters Union 02|Zagreus|Well, it's just... there's something that I wanted to discuss with you, at some point, Meg, but after more consideration, I am thinking maybe now is not the time.
FurySistersUnion02|Fury Sisters Union 02|Megaera|I understand entirely. Though you should know my sisters and I keep no secrets from each other, anymore. Isn't that right, Sisters?
FuryPostSistersUnion01|Fury Post Sisters Union 01|Megaera|*Eugh*, I almost want to thank you, Zagreus. I thought you'd never change that blasted Pact, and leave me here, in peace.
FuryPostSistersUnion01|Fury Post Sisters Union 01|Zagreus|What, you mean you aren't lonelier without Alecto's or Tisiphone's companionship? They seem so wonderful to have around.
FuryPostSistersUnion01|Fury Post Sisters Union 01|Megaera|They're tolerable each to some extent. About as much as I can say for you. Now let's the two of us begin.
FurySisterUnionSingleSis01|Fury Sister Union Single Sis 01|Megaera|See, Alecto? He is right on time, just as I said.
FurySisterUnionSingleSis01|Fury Sister Union Single Sis 01|Alecto|Megaera, *bleed *him!
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Megaera|Heads up, Tisiphone. I think I found a murderer for you.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Tisiphone|*Mmuuurrr*derrrr...
FuryMetSisters01|Fury Met Sisters 01|Megaera|I have to level with you, Zagreus. For all we've been through... never once have I wanted you to meet my sisters.
FuryMetSisters01|Fury Met Sisters 01|Zagreus|I can't imagine why not! We had a lovely time getting to know each other. We laughed, we cried! My only regret was that you couldn't be there, yourself.
FuryMetSisters01|Fury Met Sisters 01|Megaera|You don't know what you're saying. There's a reason that they're not permitted in the House. Though, come on. One of us is going back there, now.
FuryMetSisters02|Fury Met Sisters 02|Megaera|You've really done it, Zagreus. My sisters have returned. All three of us now share the same assignment.
FuryMetSisters02|Fury Met Sisters 02|Zagreus|Is it wrong of me that I am somewhat honored to have garnered the attention of the Erinyes?
FuryMetSisters02|Fury Met Sisters 02|Megaera|Oh I would say it's very wrong of you, indeed.
FuryNoDarknessReaction01|Fury No Darkness Reaction 01|Megaera|I sense something different about you, Zagreus. Your old weakness. *Ah*... the Mirror. I thought you said you weren't trying to compete with me?
FuryNoDarknessReaction01|Fury No Darkness Reaction 01|Zagreus|I wasn't. But then you gave me a good idea to try. I'm not as weak as I once was. With or without the Mirror's help.
FuryNoDarknessReaction01|Fury No Darkness Reaction 01|Megaera|Is that so? Well then let's see if you're correct. Come on.
FuryAboutPersephoneMeeting01|Fury About Persephone Meeting 01|Megaera|I heard that you escaped. Then, what are you still doing here? Forget something along the way?
FuryAboutPersephoneMeeting01|Fury About Persephone Meeting 01|Zagreus|You know... I think I'd rather fight you to the death again than try to answer either of those questions, right now.
FuryAboutPersephoneMeeting01|Fury About Persephone Meeting 01|Megaera|I don't know what you're up to, Zagreus. But I guess it doesn't matter, either way. All that matters is you're not getting past me.
FuryPostEnding01|Fury Post Ending 01|Megaera|Your mother has returned to us, already, Zagreus. And still you're going to keep battling your way out, past me and everything up there? Why?
FuryPostEnding01|Fury Post Ending 01|Zagreus|Father says there's no escape from here, and I like to repeatedly show him he's wrong. Besides, I think getting out there a bit from time to time does me some good.
FuryPostEnding01|Fury Post Ending 01|Megaera|Sounds like you've found yourself a steady line of work. Most jobs just need doing. If this one gives you some fulfillment, stick to it. Now, come on.
FuryAboutEpilogueReunionQuest01|Fury About Epilogue Reunion Quest 01|Megaera|What is it that you're up to now, Zagreus? The Queen is back. But still you're making me show up like this?
FuryAboutEpilogueReunionQuest01|Fury About Epilogue Reunion Quest 01|Zagreus|Got some unfinished business with the Olympians to take care of, was in the area, figured I'd say hi. Hi, Meg!
FuryAboutEpilogueReunionQuest01|Fury About Epilogue Reunion Quest 01|Megaera|Don't start with me. You show up here, we fight, somebody dies. That's it. Now, who's it going to be?
FuryPostIntermission01|Fury Post Intermission 01|Megaera|Been seeing an awful lot of each other lately, haven't we. You had enough of me, yet, Zag?
FuryPostIntermission01|Fury Post Intermission 01|Zagreus|Never enough, Meg. You ready for another go at it, too, I take it?
FuryPostIntermission01|Fury Post Intermission 01|Megaera|Always. Although I do like to keep things fresh, so... surprise me.
FuryEncounterStoryProgress01|Fury Encounter Story Progress 01|Megaera|Listen to me, Zagreus. Your mother is long gone. You're never getting out of here, and even if you did, what hope could you possibly have in finding her up in the world out there?
FuryEncounterStoryProgress01|Fury Encounter Story Progress 01|Zagreus|I've hope enough. Not that it's any of your business anymore.
FuryEncounterStoryProgress01|Fury Encounter Story Progress 01|Megaera|Your family is here. And so is your responsibility. You're running from yourself. Though, I can slow you down a bit I think.
FuryEncounterGunWeapon01|Fury Encounter Gun Weapon 01|Megaera|*What*... where did you get the Rail? Do you know what you have? Where are your customary weapons?
FuryEncounterGunWeapon01|Fury Encounter Gun Weapon 01|Zagreus|I left them at home. And, I sort of know what I have, inasmuch as it's largely responsible for getting me this far. Would you like to see a demonstration?
FuryEncounterGunWeapon01|Fury Encounter Gun Weapon 01|Megaera|Yes, I would. I always have, as a matter of fact.
FuryEncounterFistWeapon01|Fury Encounter Fist Weapon 01|Megaera|What's that you're holding, Zagreus? Please tell me that you didn't steal the most dangerous, unstable artifacts sealed shut within your father's vault.
FuryEncounterFistWeapon01|Fury Encounter Fist Weapon 01|Zagreus|*Erm*, it wasn't I who stole them, if that's any reassurance to you, Meg!
FuryEncounterFistWeapon01|Fury Encounter Fist Weapon 01|Megaera|You are a hopeless fool. You cannot possibly know what you're doing with those things. You put them back exactly where you found them.
FuryAboutDusaFiring01|Fury About Dusa Firing 01|Megaera|...Nyx really let Dusa go?
FuryAboutDusaFiring01|Fury About Dusa Firing 01|Zagreus|She did... so you heard. I don't know what happened. You didn't even get a chance to say goodbye?
FuryAboutDusaFiring01|Fury About Dusa Firing 01|Megaera|No. Damn it. If you had anything to do with this...! Even if you didn't, come on and die!
FuryPactReaction03|Fury Pact Reaction 03|Megaera|What have you done with the Pact, Zagreus? This isn't even Asphodel, and I can barely tolerate the heat. Do you really want to die this terribly?
FuryPactReaction03|Fury Pact Reaction 03|Zagreus|Appreciate all the concern, but I just thought I'd live a little, Meg. You ought to try it for yourself, sometime!
FuryPactReaction03|Fury Pact Reaction 03|Megaera|You ought to try watching your mouth. You want a swift and painful death, you'll have one momentarily.
FuryFirstAppearanceFirstRun|Fury First Appearance First Run|Megaera|Halt, Zagreus. Not one step further.
FuryFirstAppearanceFirstRun|Fury First Appearance First Run|Zagreus|Come on, Meg. Haven't we had more than enough of each other by now? Besides, don't you have someplace else to be?
FuryFirstAppearanceFirstRun|Fury First Appearance First Run|Megaera|You know exactly why I'm here. Now shut your mouth, and come die like a man.
FuryFirstAppearance|Fury First Appearance|Megaera|Halt, Zagreus. Not one step further.
FuryFirstAppearance|Fury First Appearance|Zagreus|Come on, Meg. Haven't we had more than enough of each other by now? Besides, don't you have someplace else to be?
FuryFirstAppearance|Fury First Appearance|Megaera|Your father sent me. All in all, I'd rather be on your bad side than his. Now you can turn back like a good little man, or I can send you home the painful way. What'll it be?
FuryFirstAppearance|Fury First Appearance|Zagreus|...I'll have to go with the painful way.
FuryFirstAppearance|Fury First Appearance|Megaera|A man after my own heart.
FuryEncounterStoryProgress02|Fury Encounter Story Progress 02|Megaera|Tell me something, Zag, because I'm curious. Do your Olympian relatives know the real reason you've been trying to escape?
FuryEncounterStoryProgress02|Fury Encounter Story Progress 02|Zagreus|I'll get around to that in due time. They're family. They'll understand no doubt.
FuryEncounterStoryProgress02|Fury Encounter Story Progress 02|Megaera|You're in over your head, you idiot. You'll fray what bonds are left between Lord Hades and those ingrates on Olympus.
FuryAboutBeingClose01|Fury About Being Close 01|Megaera|Things can't entirely be different between you and me. You know that, don't you, Zag? Not when it comes to this, at least.
FuryAboutBeingClose01|Fury About Being Close 01|Zagreus|I do. We wouldn't both be consummate professionals if it were any other way. You won't be going easy on me, will you?
FuryAboutBeingClose01|Fury About Being Close 01|Megaera|I'm going to pretend you didn't ask me that. Now give me everything you've got!
FuryAboutBeingClose02|Fury About Being Close 02|Megaera|What is it, Zagreus? You've got that pleased-with-yourself look, which can only mean you have something obnoxious to tell me.
FuryAboutBeingClose02|Fury About Being Close 02|Zagreus|*I never*! Look, I'm simply pleased to see you, Meg. Hence the insuppressible smile. Could have been one of your lovely sisters here instead...
FuryAboutBeingClose02|Fury About Being Close 02|Megaera|You're not going to throw me off my guard that easily. My sisters wouldn't let me hear the end of it.
