Id|Description|Speaker|Text
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Theseus|...I'm telling you, you're {#DialogueItalicFormat}wrong{#PreviousFormat}, Asterius! He is no {#DialogueItalicFormat}royalty{#PreviousFormat}, most certainly not any {#DialogueItalicFormat}I {#PreviousFormat}would recognize! He's but a nameless, long-forgotten minor god born of the depths, and bound to stay in them!
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Minotaur|I, too, once was berated by such words, king. We've faced this enemy how many times? And in my estimation, he's fought bravely, here.
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Theseus|{#DialogueItalicFormat}Bravely{#PreviousFormat}?! Hiding behind those pillars is what you call {#DialogueItalicFormat}bravely{#PreviousFormat}, Asterius? We shall have to discuss this strange lapse of judgment after we achieve our victory!
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Theseus|I hope you're perfectly pleased with yourself, hellspawn. Because Asterius has been quite cross with me! Such as he is. He says I have misjudged the likes of you! {#DialogueItalicFormat}Outrageousness{#PreviousFormat}.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Minotaur|You don't hear me, king. We still have a lot to learn about this foe. Each time, he's differently equipped. Weapons, god-given abilities, and such. Despite our efforts... it's been difficult to read his strategies.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Theseus|And now, you're saying I can't fight, Asterius? Even though I had no difficulty besting {#DialogueItalicFormat}you {#PreviousFormat}within that maze of yours?! Come on, let's do this fight!
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Theseus|Well, worm! Come fight us, I suppose. And take fullest advantage of the havoc that you sowed! We are no team! We're merely two combatants, simultaneously booked to be here, now.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Minotaur|King, I think you are over-reacting, here. Try to be reasonable. And be more considerate about my point of view. Don't think I am asking for too much.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Theseus|You're asking the impossible of me! But, let us fight. And let us lose, I'm sure, because if we are not a team, what are we, then, Asterius...?
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds 05 Extra A|Minotaur|You'll have to excuse the Champion, there, short one. He hasn't been himself. Though he'll still fight you to the death, I'm sure.
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds 05 Extra A|Zagreus|That's good, because you had me worried for a moment, there. Hey maybe I can knock some sense back into him, what do you think?
TheseusAboutFraternalBonds05Extra_A|Theseus About Fraternal Bonds 05 Extra A|Minotaur|I'm not so sure. I've tried. But I know better than to underestimate you. Fight us, then.
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds 06 A|Theseus|Please fight with me, again, Asterius. I mean, just like before! You must forgive me my indecencies of late. This blasted fiend! His lies and treachery get right under my skin. Or the phantasmagorical equivalent!
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds 06 A|Minotaur|Swear something to me, king. That you'll discard your fears about our bond. The short one here is never going to break it. He doesn't even understand it. The only one who can break it is you, yourself.
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds 06 A|Theseus|I... oh, my dear friend, Asterius. I see, of course, you're right, you're right. {#DialogueItalicFormat}You're right{#PreviousFormat}! And I solemnly do swear to you, indeed, that I shall never again doubt our brotherhood! Nor shall I ever listen to this fiend! Together, now and always!!
TheseusPactReverted01|Theseus Pact Reverted 01|Theseus|Well now, Asterius, he's returned! And this time, we shall have to vanquish him without the aid of our divine armor! A worthy challenge, no?
TheseusPactReverted01|Theseus Pact Reverted 01|Minotaur|Be cautious not to underestimate him, king. He has proved troublesome before.
TheseusPactReverted01|Theseus Pact Reverted 01|Theseus|Nonsense, my friend! For how can one underestimate that which deserves no esteem whatsoever?! Together, now, {#DialogueItalicFormat}attack{#PreviousFormat}!
TheseusWithAsterius01|Theseus With Asterius 01|Minotaur|He's here, king. Activating armor. It's fortunate repairs on your chariot were completed in time.
TheseusWithAsterius01|Theseus With Asterius 01|Theseus|Nonsense, my friend! We could defeat this vile hellspawn with or without the additional divine protection we've been granted here! Get him!
TheseusFirstAppearance_NotMetMinotaur|Theseus First Appearance Not Met Minotaur|Theseus|Hold, fiend! You'll walk not one more step toward the light of day, so long as I am here.
TheseusFirstAppearance_NotMetMinotaur|Theseus First Appearance Not Met Minotaur|Minotaur|Two against one. Seems hardly fair.... Ah, well! {#DialogueItalicFormat}<Snort> {#PreviousFormat}Let's kill him and be done, king.
TheseusFirstAppearance_NotMetMinotaur|Theseus First Appearance Not Met Minotaur|Zagreus|Theseus?! The Bull of Minos?! You two are legends! I'd be honored if we had a sporting contest here!
TheseusFirstAppearance_NotMetMinotaur|Theseus First Appearance Not Met Minotaur|Theseus|{#DialogueItalicFormat}Ahh{#PreviousFormat}, a naked attempt to sway me from my convictions. Defend yourself, you blackguard! And may the gods show you some mercy, for I shall not!
