Id|Description|Speaker|Text
PatroclusFirstMeeting|Patroclus First Meeting|Patroclus|...Go on, stranger. Plenty more shades looking to fight with you out there.
PatroclusFirstMeeting|Patroclus First Meeting|Zagreus|I'm just passing through. You seem less warlike than the rest. May I ask your name, sir? I'm Zagreus.
PatroclusFirstMeeting|Patroclus First Meeting|Patroclus|Names are there to be forgotten, stranger. You shouldn't be here. May the Fates favor your journey. But just in case they don't, here. Why don't you take this?
PatroclusMeeting02|Patroclus Meeting 02|Zagreus|Is something wrong, there, sir? I mean, shouldn't you be up and about, competing for eternal pride and glory and all that?
PatroclusMeeting02|Patroclus Meeting 02|Patroclus|What's the use? Let's say we fought, if anybody asks. Now, go. I've no quarrel with you, besides. I'll just remain here, comfortably at rest, for some untold millennia, I guess. Have a nice... whatever time it is.
PatroclusMeeting03|Patroclus Meeting 03|Patroclus|Still toiling around within Elysium, I see. Battling my brethren, in the name of glory, is that it?
PatroclusMeeting03|Patroclus Meeting 03|Zagreus|I'm heading for the surface. Though your brethren are slowing me down. Whether for glory or at my father's behest.
PatroclusMeeting03|Patroclus Meeting 03|Patroclus|Your father...? *Ah*, that's right, but you're the Prince, aren't you. You must see plainly, then, what your birthright amounts to: You're no better off than any of us here. Now, go.
PatroclusMeeting04|Patroclus Meeting 04|Patroclus|You again. I told you to stay clear of me. Your father's quite the big shot around here, but that means nothing to me, understand? Go, and tell him he can cast me in the pits of Tartarus, for all I care. It'd be a welcome change of pace from being put to pasture here.
PatroclusMeeting05|Patroclus Meeting 05|Patroclus|I was unkind last time, stranger. Forgive my indiscretions there. Or don't. But I wished to apologize.
PatroclusMeeting05|Patroclus Meeting 05|Zagreus|Think nothing of it, sir. Though if there's something I could do to help, you'd tell me, wouldn't you?
PatroclusMeeting05|Patroclus Meeting 05|Patroclus|You have no power to release me from this coil, I'm afraid. So just go on about your business, and leave me to mine.
PatroclusMeeting06|Patroclus Meeting 06|Patroclus|Stranger, I am warning you: If you keep showing up like this, I'm going to have to find a new nickname for you.
PatroclusMeeting06|Patroclus Meeting 06|Zagreus|No need to go out of your way, there, sir. We're just acquaintances. I don't know anything about you, either.
PatroclusMeeting06|Patroclus Meeting 06|Patroclus|And you are better off. This place is for the greatest of the Greeks. Do I seem like the sort to fit in, here? Go on and chat with Theseus, or someone of that sort.
PatroclusMeeting06B|Patroclus Meeting 06 B|Patroclus|Stranger, I am warning you: If you keep showing up like this, I'm going to have to find a new nickname for you.
PatroclusMeeting06B|Patroclus Meeting 06 B|Zagreus|No need to go out of your way, there, sir. I rather feel like a stranger around here. I have no plans to extend my stay.
PatroclusMeeting06B|Patroclus Meeting 06 B|Patroclus|And you are better off. This place is for the greatest of the Greeks. Do I seem like the sort to fit in, here? Go on and chat with Theseus, or someone of that sort.
