Id|Description|Speaker|Text
AresWithPoseidon01|Ares With Poseidon 01|Ares|Well, my hellborn kin, I have to say that there are times I wish I could have been acquainted with your father somewhat more, if you'll forgive my saying so. My father and my uncle, here... they're predisposed quite differently than I.
AresWithPoseidon01|Ares With Poseidon 01|Poseidon|Perhaps if you were not so odd, and made more effort to be somewhat more approachable, Ares, then we'd have more in common, you and I! Should you need any tips on that, why, you just let me know!
ArtemisWithPoseidon01|Artemis With Poseidon 01|Artemis|You know my father and my uncle, by now, right, Zagreus? I don't know which of them is worse. *Uh*, I mean... superior! Superior, despite technically spending most of his time in the seas, beneath Olympus, isn't that right, Uncle?
ArtemisWithPoseidon01|Artemis With Poseidon 01|Poseidon|Oh, Artemis, you needn't boast to little Hades there on my account! Besides! Whether you're in the sea, above it, or beneath, makes little difference to your measure as a god! You two are young as yet! Keep at it, and you'll soon be practically as great as I!
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Aphrodite|The thing to know about this family, dearest, is that, each of us, we have our little quirks. Although, we always stick together and our love for one another perseveres!
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Poseidon|Oh, *hoh*! What do we have here, little Hades? Seems to me that you have *company*! Well, I'll just leave the two of you alone. My lips are sealed tighter than a warship hull!
AphroditeWithPoseidon01|Aphrodite With Poseidon 01|Aphrodite|Oh, feel free to stay, Poseidon! I was just explaining what an idiot you are, though you're able to articulate this best! Anyway, dearest, what was I on about...?
DionysusWithPoseidon01|Dionysus With Poseidon 01|Dionysus|*Uh*, Zag, *erm*... your uncle's passing through. Not Dad, *erm*, the other one I mean, and he just wanted to check in, see how you're doing, so...
DionysusWithPoseidon01|Dionysus With Poseidon 01|Poseidon|*Ah-hah*, there you are, my little nephew! Dionysus showing you the ropes, or what? You want a real feast, though, you just stick with *me*! Now take my blessing, *go*!
DionysusWithPoseidon01|Dionysus With Poseidon 01|Dionysus|*Oh*, anyway we're here, man, waiting up for you! We know you're going to make it, I would say eventually?
AthenaWithPoseidon01|Athena With Poseidon 01|Athena|When I first notified Lord Father Zeus and other members of our family of your existence, Zagreus, it was Uncle Poseidon here who first leapt up, and pledged his power over sea and earth to you. Is that not so, Uncle?
AthenaWithPoseidon01|Athena With Poseidon 01|Poseidon|Exactly so, Athena! You, with that fine memory of yours! For it isn't everyday I learn my doleful brother Hades sired a fine son! He does not know how good he has it, there! And *you*, Nephew, could have it even better, *here*!
PoseidonWithZeus01|Poseidon With Zeus 01|Poseidon|Now, little Hades, you have met my brother Zeus! He's sometimes known as king of all the gods! Although, in many ways, he's not as powerful as I! Nor anywhere as dashing. Why, I, *oop*--!
PoseidonWithZeus01|Poseidon With Zeus 01|Zeus|Now, Brother... you know better than to say such things about me, I should think. I know that tact does not come easily to you, though I'd be careful what you say to our good nephew, there.
PoseidonWithZeus01|Poseidon With Zeus 01|Poseidon|*Buh*, *erm*, anyway, as I was saying, little Hades! Brother Zeus is king of all the gods! And the most dashing, powerful, and hey, let's face it, *godliest *of all!
