Id|Description|Speaker|Text
MegaeraWithSisyphus01|Duo - Megaera and Sisyphus (1)|Megaera|...You help him out again, you'll get a thousand lashes next we meet. And when I return, this little rock of yours had better be up there rather than here, or else you'll get a thousand more.
MegaeraWithSisyphus01|Duo - Megaera and Sisyphus (1)|Sisyphus|Sounds good, sounds good, Madam, that's more than equitable really, I'll hold you to that! Be seeing you around!
MegaeraWithSisyphus02|Duo - Megaera and Sisyphus (2)|Megaera|...And you'll keep busy with your boulder if you know what's good for you, you little cheat. Don't go thinking I'm not watching you.
MegaeraWithSisyphus02|Duo - Megaera and Sisyphus (2)|Sisyphus|I appreciate your vigilance, Madam, and surely I'll be getting Bouldy up this very hill in no time flat, despite the fact that I have never once achieved this!
MegaeraWithSisyphus03|Duo - Megaera and Sisyphus (3)|Megaera|...And when this matter with the Prince is over with, we will be getting back to how things used to be. Until such time, I'd better regularly see your boulder on that hill.
MegaeraWithSisyphus03|Duo - Megaera and Sisyphus (3)|Sisyphus|Entirely makes sense to me, Madam, and rest assured that Bouldy, *erm*, that is to say this boulder here, that I will push it regularly, moving forward, same as ever! Now good-bye!
ThanatosWithSisyphus01|Duo - Thanatos and Sisyphus (1)|Thanatos|...And, lastly, you're forbidden from offering further assistance to Prince Zagreus. Do we understand each other?
ThanatosWithSisyphus01|Duo - Thanatos and Sisyphus (1)|Sisyphus|Why, absolutely, Master Thanatos, I wouldn't think of it! My mind is fully occupied with all the latest boulder-pushing strategies, besides.
ThanatosWithSisyphus01|Duo - Thanatos and Sisyphus (1)|Thanatos|Enough! Get back to work, and I'll get back to mine.
ThanatosWithSisyphus02|Duo - Thanatos and Sisyphus (2)|Sisyphus|I understand you, Master Thanatos, and will be doing as you say. No more assistance for Prince Zagreus, dead serious this time.
ThanatosWithSisyphus02|Duo - Thanatos and Sisyphus (2)|Thanatos|Good. It shall be both our skins if you are caught in one of your deceptions. See to it that this doesn't happen.
ThanatosWithSisyphus03|Duo - Thanatos and Sisyphus (3)|Thanatos|...You would be wise to heed my words next time, and fear the consequences of eluding me. Death can be most unpleasant, as I'm sure you know.
ThanatosWithSisyphus03|Duo - Thanatos and Sisyphus (3)|Sisyphus|Well, that's just it, Master Thanatos. I never was terribly fearful of you gods, if you'll forgive my saying so. Far as I can tell, all of you seem to have your struggles much like mortals do. A fear of death aside.
ThanatosWithSisyphus03|Duo - Thanatos and Sisyphus (3)|Thanatos|What would you know of the struggles of gods? Now you have eternity to think on what you've done. Maybe I'll check again with you after another aeon or two, see if you've learned anything more.
SisyphusFirstMeeting|Sisyphus First Meeting|Sisyphus|Hey, Prince Z. Must look like I'm slacking off with the old boulder, here, but... I was just getting back on my feet. The Fury Sisters don't often leave me be. Where'd they go, anyway? And... what are you doing here?
SisyphusFirstMeeting|Sisyphus First Meeting|Zagreus|Oh, you know, just out on a little stroll is all. Do me a favor, though, you see the Fury Sisters, let them know I was headed down the way I came from, will you...?
SisyphusFirstMeeting|Sisyphus First Meeting|Sisyphus|Oh I'll let them know, all right, I hear you loud and clear, Your Highness. I'll just go about my business now, and you take care.
SisyphusMeeting02_A|Sisyphus Meeting 02 A|Sisyphus|You know, Prince Z., I'd not expected to run into you again, not after all this time. Something amiss down in the House, or what? Not had much company of late, is all.
SisyphusMeeting02_A|Sisyphus Meeting 02 A|Zagreus|Oh, something's just about always amiss back home, sir. Figured it couldn't hurt to check up on things in Tartarus a bit more frequently.
SisyphusMeeting02_A|Sisyphus Meeting 02 A|Sisyphus|Well I am grateful for it, I and the old boulder there, in turn. I'm used to going lengthy stretches on my own, but having visitors from time to time would do me well!
SisyphusMeeting02|Sisyphus Meeting 02|Sisyphus|If I may be so bold, Your Highness, I was wondering... what brings you back around this way again? Same story as last time?
