Id|Description|Speaker|Text
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|I'll level with you, pal. You have impressed somebody well above my pay grade here, and so... they have a little proposition for you, you listening?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Zagreus|Let me guess... they want me to fight all the way through the Underworld, having used the Pact of Punishment over there to make the going even more treacherous than it already is, and if I succeed, they'll reward me with some sort of useless trinket?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|Wrong! We're talking something really big, here, pal, you see that thing back there? Trinket. Come on, what are you, scared?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|I'll level with you, pal. You have impressed somebody well above my pay grade here, and so... they have a little proposition for you, you listening?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Zagreus|Let me guess... they want me to fight all the way through the Underworld, having used the Pact of Punishment over there to make the going even more treacherous than it already is, and if I succeed, they'll reward me with some sort of useless trinket?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|Wrong! We're talking something really big, here, pal, you see that thing back there? Trinket. Come on, what are you, scared?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|I'll level with you, pal. You have impressed somebody well above my pay grade here, and so... they have a little proposition for you, you listening?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Zagreus|Let me guess... they want me to fight all the way through the Underworld, having used the Pact of Punishment over there to make the going even more treacherous than it already is, and if I succeed, they'll reward me with some sort of useless trinket?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|Wrong! We're talking something really big, here, pal, you see that thing back there? Trinket. Come on, what are you, scared?
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|I just knew you had it in you, pal, enjoying your new prize? Pact of Punishment, {#DialogueItalicFormat}Shmact {#PreviousFormat}of Punishment, no problem, know what I mean? 'Course, that was just the easy one you got there, pretty sure I could've got that one, myself.
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Zagreus|Wait, just so I understand. I literally toiled through hell and back, and my reward is just... a statue of you? Don't get me wrong, it's lovely, it's just... I don't know what I expected.
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|Look, boyo, there was a little mix-up when we put in the request for that thing, see? I told 'em to make something that'll make me look good with my sources, and anyway that's how it all turned out. The other ones turned out much better, though, you'll see!
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|I just knew you had it in you, pal, enjoying your new prize? Pact of Punishment, {#DialogueItalicFormat}Shmact {#PreviousFormat}of Punishment, no problem, know what I mean? 'Course, that was just the easy one you got there, pretty sure I could've got that one, myself.
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Zagreus|Wait, just so I understand. I literally toiled through hell and back, and my reward is just... a statue of you? Don't get me wrong, it's lovely, it's just... I don't know what I expected.
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|Look, boyo, there was a little mix-up when we put in the request for that thing, see? I told 'em to make something that'll make me look good with my sources, and anyway that's how it all turned out. The other ones turned out much better, though, you'll see!
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|I just knew you had it in you, pal, enjoying your new prize? Pact of Punishment, {#DialogueItalicFormat}Shmact {#PreviousFormat}of Punishment, no problem, know what I mean? 'Course, that was just the easy one you got there, pretty sure I could've got that one, myself.
