Id|Description|Speaker|Text
InspectHouse01|Inspect House 01|Storyteller|{#DialogueItalicFormat}The House of Hades: That dark and lavishly appointed lair of the Underworld's King is home not just to him, but to his willful progeny.
InspectLoungeClosed01|Inspect Lounge Closed 01|Storyteller|{#DialogueItalicFormat}What once was a small lounging area within the House of Hades now is sealed off, in utter shambles since the multi-headed Cerberus tore the space apart, mourning the missing Prince.
InspectShades01|Inspect Shades 01|Storyteller|{#DialogueItalicFormat}Shades of the dead mill constantly within the House, complaining of their woes, and seeking audience from any who would listen.
InspectLoungeOpen01|Inspect Lounge Open 01|Storyteller|{#DialogueItalicFormat}The lounging area within the House of Hades is a dismal place to be, in spite of its intended purpose to enliven the House's grim inhabitants.
InspectEmployeeOfTheMonth01|Inspect Employee Of The Month 01|Storyteller|{#DialogueItalicFormat}A commemorative board adorns one of the stoic walls within the lounging area, celebrating and proclaiming the accomplishments of those who serve Lord Hades best of all.
InspectCellar01|Inspect Cellar 01|Storyteller|{#DialogueItalicFormat}The ancient casks of wine hidden within the recesses of the House of Lord Hades... few have tasted the intoxicating vintage they contain, and fewer still are permitted anywhere near their vicinity.
InspectCellar01|Inspect Cellar 01|Storyteller|{#DialogueItalicFormat}The stalwart casks of wine within the House of Hades now are almost entirely devoid of content, having bravely stood against the combined thirst of the Olympians during a certain feast.
InspectOlympusSculpture01|Inspect Olympus Sculpture 01|Storyteller|{#DialogueItalicFormat}A majestic gilded edifice of Mount Olympus, crafted with the utmost care from the true mountain's stone, now shines forever brightly even in the dim light of the House of Hades, as a parting gift from the Lord Master's kin.
InspectMural01|Inspect Mural 01|Storyteller|{#DialogueItalicFormat}A vast and intricately crafted mosaic depicts the Underworld King presiding over the enormity of his domain, whilst its chthonic residents look on in awe of him.
InspectThrone01|Inspect Throne 01|Storyteller|{#DialogueItalicFormat}Seldom does the overbearing throne of grim Lord Hades sit unoccupied; thus the House's denizens all go about their business, daring not so much as to ask why.
InspectHouseGarden01|Inspect House Garden 01|Storyteller|{#DialogueItalicFormat}The garden of Persephone the Queen, off-limits to the Prince throughout his life, now is laid bare to him at last in all its splendor.
Flashback02|Flashback 02|Storyteller|{#DialogueItalicFormat}He ventures toward the stately throne of his Lord Father, half-expecting to be caught, but ill-expecting what he is about to find.
Flashback03|Flashback 03|Storyteller|{#DialogueItalicFormat}He does not know exactly what he seeks. He only knows that something always has felt off to him, that he does not belong. Who is he, really? Lord Hades never would indulge such questions. So, Prince Zagreus would find out for himself.
Flashback04|Flashback 04|Storyteller|{#DialogueItalicFormat}He rifles through his Lord Father's possessions. There is not much of any import there. Ledgers and administrative parchmentwork. Correspondence from Olympus which he had ignored. No trace of any reference to his son.
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}But then, there is the note... written finely in a hand and voice the likes of which the Prince had never seen or heard.
Flashback05|Flashback 05|Persephone|{#DialogueItalicFormat}'Hades: I can no longer tolerate my life here in this place. So, I am leaving, even if it kills me. I won't be returning to Olympus. If there is a place where I belong in this world, it must be somewhere between heaven and hell. Perhaps it's on the coast and has a little garden. Take care of Cerberus; I shall miss him.'
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}Thus did Prince of the Underworld Zagreus absorb the contents of this hidden letter, written in his mother's hand.
Flashback05|Flashback 05|Zagreus|His mother's hand, my mother's hand, wait, {#DialogueItalicFormat}what{#PreviousFormat}?! You're saying this Persephone, that she's my... mother...? But, but Father always said that Nyx was my.... That liar. He lied to me, they both did. All my life!
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}Uhhh erm thus did the Prince discover, inadvertently, the well-kept truth about his lineage. Entirely by chance, this did occur....
Flashback06|Flashback 06|Storyteller|{#DialogueItalicFormat}Persephone... the one-time Queen of all the Underworld... where had she gone, and why? Engulfed by newfound questions and his rage, the Prince decided to confront his Lord and Master.
Flashback_DayNightJob_02|Flashback Day Night Job 02|Storyteller|{#DialogueItalicFormat}Responsibility-rejecting Zagreus strides down his Father's hall, quite unconcerned about the urgency with which he is expected to behave under a set of circumstances such as this.
Flashback_DayNightJob_03|Flashback Day Night Job 03|Storyteller|{#DialogueItalicFormat}The door to the administrative chamber beckons just beyond the hall. The prince perchance believes that he may enter quietly, without drawing the notice of those laboring within.
Inspect_HousePillars_01|Inspect House Pillars 01|Storyteller|{#DialogueItalicFormat}Among the countless splendid gemstones hidden underneath the earth, a great many are used to decorate the House of Hades, god of the dead, god of riches.
Inspect_NorthFountain_01|Inspect North Fountain 01|Storyteller|{#DialogueItalicFormat}Water is the source of life, yet still it flows within the darkest Underworld recesses, whilst restless shades of mortals look upon it and recall the short days they could drink it and draw breath.
Inspect_SouthFountain_01|Inspect South Fountain 01|Storyteller|{#DialogueItalicFormat}The gemstone-bearing Prince commissioned such a finely crafted fountain for the House, that all the shades who witnessed it still think of him quite fondly, ever since.
Inspect_Cauldron_01|Inspect Cauldron 01|Storyteller|{#DialogueItalicFormat}The dead have utterly no use for sustenance, although they try to feast upon it anyway, as though imagining the customs of the mortal life brings them some sense of peace.
Inspect_KitchenIsland|Inspect Kitchen Island|Storyteller|{#DialogueItalicFormat}Having invested heavily into the cooking-area within the House of Hades, the empty-stomached Zagreus can nonetheless find nothing fit to eat.
Inspect_PoetBust_01|Inspect Poet Bust 01|Storyteller|{#DialogueItalicFormat}Within the House's gallery now sits the bust of a distinguished poet, ruggedly handsome in his age, who, although yet to earn his fated fame, shall probably be better known someday.
Inspect_AsphodelStatue_01|Inspect Asphodel Statue 01|Storyteller|{#DialogueItalicFormat}The frightful countenance of a bleached Bloodless warrior decorates the hall forever more, eternally in tribute to the savage servants of the House's lord.
Inspect_WarriorStatue_01|Inspect Warrior Statue 01|Storyteller|{#DialogueItalicFormat}The perfect-chiseled physicality of one of Greece's greatest-ever heroes now adorns the House's gallery, reminding most onlookers of many ways in which they fail to compare.
Inspect_MainHallFireplace01|Inspect Main Hall Fireplace 01|Storyteller|{#DialogueItalicFormat}The light provided by the flames of deepest hell enhances the lounging area with a soft glow; and their warmth soothes the few living denizens there.
Inspect_Sundial01|Inspect Sundial 01|Storyteller|{#DialogueItalicFormat}Time seems to stand quite still within the eternal realm of the dead, evidenced even by the means of measuring its passage.
Flashback_Mother_01|Flashback Mother 01|Storyteller|{#DialogueItalicFormat}It is the dead of night, or the approximation of it in the realm of Hades. Prince of the Underworld Zagreus rises from a fitful slumber, with much mischief on his mind.
Flashback_DayNightJob_01|Flashback Day Night Job 01|Storyteller|{#DialogueItalicFormat}The heavy-sleeping Underworld Prince arises, with the feeling that the brief nap he intended as a respite from the rigors of the day or night apparently was none-too-brief, at all...
InspectBedroom01|Inspect Bedroom 01|Storyteller|{#DialogueItalicFormat}The bedchambers of Prince Zagreus lie in a perpetual state of utter disarray, despite his Lord and master of the House repeatedly insisting that he pick everything up.
InspectBedroom_TrojanArms|Inspect Bedroom Trojan Arms|Storyteller|{#DialogueItalicFormat}The shattered weapons of the siege of Ilion are now reduced to window-dressings in the Prince's ever-cluttered lair.
InspectBedroom_AchillesPoster|Inspect Bedroom Achilles Poster|Storyteller|{#DialogueItalicFormat}The valor of the great-hearted Achilles is immortalized upon the Prince's wall, as though it might stir up more courage from within.
InspectBedroom_AphroditePoster|Inspect Bedroom Aphrodite Poster|Storyteller|{#DialogueItalicFormat}The visage of the goddess Aphrodite now adorns the Prince's bedchambers, perhaps to provide consolation after when next he dies.
InspectBedroom_DionysusPoster|Inspect Bedroom Dionysus Poster|Storyteller|{#DialogueItalicFormat}The ever-smiling, wine-washed countenance of the great Lord Dionysus now adorns the Prince's chamber-wall, thus radiating questionable influence.
InspectBedroom_ScryingPool|Inspect Bedroom Scrying Pool|Storyteller|{#DialogueItalicFormat}A beautifully decorated, subtly enchanted bowl containing traces of the hapless Prince's past attempts to flee the Underworld now accents a particularly cluttered corner of his room.
InspectBedroom_Lyre|Inspect Bedroom Lyre|Storyteller|{#DialogueItalicFormat}A delicately crafted instrument of music-making now resides within the clamor-causing Prince's chambers, doubtless fearing, if it could, his heavy-handed touch.
InspectBedroomGamingTable01|Inspect Bedroom Gaming Table 01|Storyteller|{#DialogueItalicFormat}An object intricately carven solely for the purposes of recreation now resides within the pleasure-seeking Prince's chambers, although his lack for an opponent limits its appeal.
InspectBedroomRug01|Inspect Bedroom Rug 01|Storyteller|{#DialogueItalicFormat}Much of the softness of the richly woven rug the Prince procured cannot be fully felt beneath his flame-licked feet.
InspectBedroom_FancyBed|Inspect Bedroom Fancy Bed|Storyteller|{#DialogueItalicFormat}With its just-right softness and death-themed embroidery, the new bedding of Prince Zagreus is the envy of all those who wish to rest in peace.
InspectBedroomCouch01|Inspect Bedroom Couch 01|Storyteller|{#DialogueItalicFormat}The ever-energetic Prince alas remains incapable of sitting still, even with such a supple, comfortable seating arrangement nestled in his chambers now.
InspectBedroomWeights01|Inspect Bedroom Weights 01|Storyteller|{#DialogueItalicFormat}A massive set of weights positioned carefully in line of sight of any visitors shall doubtless make them think the Prince is stronger and in better shape than in reality.
InspectBedroom_QuestLog|Inspect Bedroom Quest Log|Storyteller|{#DialogueItalicFormat}The fate-abetting Prince perhaps believes it was through his own choice that he procured the Fated List of Minor Prophecies, but it was preordained.
