Id|Description|Speaker|Text
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Theseus|{#DialogueItalicFormat}Ah, hahaha{#PreviousFormat}, it's finally time, Asterius. He's here! Aren't you, now, you vile, insignificant hellspawn? Prepare now to be overrun!!
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Zagreus|Oh, this is unfair... that's a bronze-plated Macedonian Tau-Lambda! What's an obnoxious bellyacher like you doing with the most durable chariot created, to date?
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Theseus|{#DialogueItalicFormat}Pah{#PreviousFormat}! You don't deserve to know. Suffice it that Asterius and I were handsomely rewarded once again. And we shall not hesitate to exploit our hard-fought spoils against {#DialogueItalicFormat}you{#PreviousFormat}!
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Theseus|He would pit you against me, Asterius. I can see it in his mis-matched eyes! I cannot shake the terrible vision that, someday or night, it shall be me, standing alone here, whilst you...? Whilst you take sides against me! With that {#DialogueItalicFormat}fiend{#PreviousFormat}!
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Zagreus|Asterius, about that, please consider it a standing offer, if you like. I'd rather have you as a friend than as a foe. Not sure that I can say the same for Theseus, of course.
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Theseus|{#DialogueItalicFormat}You poisonous worm{#PreviousFormat}! I knew you had a more sinister trick at play, because your fighting style certainly is of no concern just on its own! Are there truly no depths to which you would not stoop?!
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds A 03|Theseus|...I'm telling you, you're {#DialogueItalicFormat}wrong{#PreviousFormat}, Asterius! He is no {#DialogueItalicFormat}royalty{#PreviousFormat}, most certainly not any {#DialogueItalicFormat}I {#PreviousFormat}would recognize! He's but a nameless, long-forgotten minor god born of the depths, and bound to stay in them!
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds A 03|Minotaur|I, too, once was berated by such words, king. We've faced this enemy how many times? And in my estimation, he's fought bravely, here.
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds A 03|Theseus|{#DialogueItalicFormat}Bravely{#PreviousFormat}?! Hiding behind those pillars is what you call {#DialogueItalicFormat}bravely{#PreviousFormat}, Asterius? We shall have to discuss this strange lapse of judgment after we achieve our victory!
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds A 04|Theseus|I hope you're perfectly pleased with yourself, hellspawn. Because Asterius has been quite cross with me! Such as he is. He says I have misjudged the likes of you! {#DialogueItalicFormat}Outrageousness{#PreviousFormat}.
