Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|My sisters and I. We've had a chance to talk, and we have come to an agreement, Zagreus. As you can see.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Megaera, Tis, you ready?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|{#DialogueItalicFormat}Mmurdererr{#PreviousFormat}!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Three against one. Doesn't seem all that sporting, now, does it?
FurySistersUnion01|Fury Sisters Union 01|Megaera|We're each well past the need for any sport. We'll kill you, whatever it takes. Erinyes! {#DialogueItalicFormat}Now{#PreviousFormat}.
FurySistersUnion01|Fury Sisters Union 01|Megaera|My sisters and I. We've had a chance to talk, and we have come to an agreement, Zagreus. As you can see.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Megaera, Tis, you ready?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|{#DialogueItalicFormat}Mmurdererr{#PreviousFormat}!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Three against one. Doesn't seem all that sporting, now, does it?
FurySistersUnion01|Fury Sisters Union 01|Megaera|We're each well past the need for any sport. We'll kill you, whatever it takes. Erinyes! {#DialogueItalicFormat}Now{#PreviousFormat}.
FurySistersUnion01|Fury Sisters Union 01|Megaera|My sisters and I. We've had a chance to talk, and we have come to an agreement, Zagreus. As you can see.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Megaera, Tis, you ready?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|{#DialogueItalicFormat}Mmurdererr{#PreviousFormat}!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Three against one. Doesn't seem all that sporting, now, does it?
FurySistersUnion01|Fury Sisters Union 01|Megaera|We're each well past the need for any sport. We'll kill you, whatever it takes. Erinyes! {#DialogueItalicFormat}Now{#PreviousFormat}.
FurySistersUnion01|Fury Sisters Union 01|Megaera|My sisters and I. We've had a chance to talk, and we have come to an agreement, Zagreus. As you can see.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Megaera, Tis, you ready?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|{#DialogueItalicFormat}Mmurdererr{#PreviousFormat}!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Three against one. Doesn't seem all that sporting, now, does it?
FurySistersUnion01|Fury Sisters Union 01|Megaera|We're each well past the need for any sport. We'll kill you, whatever it takes. Erinyes! {#DialogueItalicFormat}Now{#PreviousFormat}.
FurySistersUnion01|Fury Sisters Union 01|Megaera|My sisters and I. We've had a chance to talk, and we have come to an agreement, Zagreus. As you can see.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Megaera, Tis, you ready?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|{#DialogueItalicFormat}Mmurdererr{#PreviousFormat}!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Three against one. Doesn't seem all that sporting, now, does it?
FurySistersUnion01|Fury Sisters Union 01|Megaera|We're each well past the need for any sport. We'll kill you, whatever it takes. Erinyes! {#DialogueItalicFormat}Now{#PreviousFormat}.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Megaera|Heads up, Tisiphone. I think I found a murderer for you.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Tisiphone|{#DialogueItalicFormat}Mmuuurrr{#PreviousFormat}derrrr...
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Megaera|Heads up, Tisiphone. I think I found a murderer for you.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Tisiphone|{#DialogueItalicFormat}Mmuuurrr{#PreviousFormat}derrrr...
Fury3SisterUnionSingleSis01_A|Fury Sister Union Single Sis A 3 01|Alecto|You mess with Tis, redblood, you mess with me, get it?
Fury3SisterUnionSingleSis01_A|Fury Sister Union Single Sis A 3 01|Tisiphone|{#DialogueItalicFormat}Mmmuurrderrerrr{#PreviousFormat}...!
