Id|Description|Speaker|Text
ZeusWithAthena01|Zeus With Athena 01|Zeus|Why, look, Zagreus, here comes brave Athena, first to reach you among all my kin, in all her shrewdness. So proactive, you contacted Zagreus prior to even telling me, my dear!
ZeusWithAthena01|Zeus With Athena 01|Athena|Lord Father, would that I could settle even more such matters quickly and discreetly, so that only the most vital of them rise up to the level of your notice, sir. Though, I'm certain Zagreus and I are very grateful you have intervened.
ZeusWithAres01|Zeus With Ares 01|Zeus|Nephew! By my divine authority, my oft-misunderstood son, Ares, now shall lend you a small token of his power. I'll make him helpful yet!
ZeusWithAres01|Zeus With Ares 01|Ares|It shall be exactly as you say, Lord Father. Your wishes are identical to mine.
ZeusWithAphrodite01|Zeus With Aphrodite 01|Zeus|Young man, I know you'd like to get to know the comely Aphrodite face to face, or I don't know, you can decide once you arrive at last! He can decide, isn't that right, my Lady Aphrodite, hm?
ZeusWithAphrodite01|Zeus With Aphrodite 01|Aphrodite|Why, I never, Lord Zeus! That sounded rather like a crass remark, from {#DialogueItalicFormat}you{#PreviousFormat}! How shocking that the golden standard for the rest of us should have such words for {#DialogueItalicFormat}me{#PreviousFormat}!
ZeusWithArtemis01|Zeus With Artemis 01|Zeus|Now, Zagreus, once you arrive, we'll have to find for you a suitable mate, won't we? Fine young man such as yourself! Normally, there's much to choose from around here, with some exceptions, of course... such as my cunning daughter, Artemis. Willfully uninclined to take a mate, at all!
ZeusWithArtemis01|Zeus With Artemis 01|Artemis|Yes, Zagreus, in spite of all these perfect, chiseled prospects everywhere about, yearning to marry or embarrass me, for some reason, I prefer to spend my time mostly alone or with my nymph friends in the woods!
ZeusWithDemeter01|Zeus With Demeter 01|Zeus|Now, now, young man, whatever you have heard about good Demeter, I'm here to clear the air. She's like a sister to me, yes, but only thus. Although her Titan parents and my own met the same fate.
ZeusWithDemeter01|Zeus With Demeter 01|Demeter|Why, Foster-Brother Zeus! Such an unlikely bit of candor there, from you! Almost as though you felt compelled to speak the truth only whilst I'm directly within earshot.
ZeusAboutLuciferAspect01|Zeus About Lucifer Aspect 01|Zeus|Have you encountered Exagryph and said to it the waking-phrase I gave to you, young man? Why, I'd tell Exagryph myself! Remember, it's {#DialogueItalicFormat}I see your prideful fall down from the heavens to the flames{#PreviousFormat}.
ZeusAboutLuciferAspect02|Zeus About Lucifer Aspect 02|Zeus|Now that is an entirely unusual design, even for Exagryph! So then the waking-phrase has worked. That aspect's bearer, Lucifer, was it? Struck his own lord father! Tried to, anyway. A not uncommon story it would seem.
ZeusAboutDemeter03|Zeus About Demeter 03|Zeus|I gather Lady Demeter's already got her frigid hold on you, certainly not the warmest member of the clan, now, is she? But do be patient with her, she's been through a lot.
ZeusAboutDemeter01|Zeus About Demeter 01|Zeus|My good sister Demeter already tried to poison you against me, as I understand, young man? Oh, {#DialogueItalicFormat}foster{#PreviousFormat}-sister she prefers I say, loath as she is to accept her role as part of our great family.
ZeusAboutDemeter02|Zeus About Demeter 02|Zeus|You must forgive the Lady Demeter her scornfulness, Nephew, for she is still recovering after the sudden disappearance of her daughter, though it was quite some time ago the girl, {#DialogueItalicFormat}poof{#PreviousFormat}! Just vanished. I try to lighten up the mood around it every now and then, but {#DialogueItalicFormat}no{#PreviousFormat}, a sore spot, still!
ZeusAboutPersephone01|Zeus About Persephone 01|Zeus|Poor Demeter, young man. We still wonder what became of her fair daughter. Ran away with mortals, there, perhaps? Some of the tales, even more preposterous. Don't go believing everything you hear, and do be sensitive about the subject, hm? Demeter, she's been through quite enough.
ZeusAboutPersephone02|Zeus About Persephone 02|Zeus|The Lady Demeter still prattles on about her missing girl, Zagreus. But I want you to understand something, all right? She's gone. We all have grieved. Perhaps Demeter shall finally accept what has occurred, and we can move forward, having grown stronger as a family.
ZeusAboutOlympianReunionQuest01|Zeus About Olympian Reunion Quest 01|Zagreus|Sure hope this works.... In the name of Hades! Olympus, this is an official message! For you, in all your splendor, Lord Uncle Zeus.
ZeusAboutOlympianReunionQuest01|Zeus About Olympian Reunion Quest 01|Zeus|My, what is this you have for me, young man? Appears to be a message of some sort, bearing my thunder sigil! Though, there's one for everybody on Olympus? Have they as yet received their own? I must know what it says... it's from your father, who else could it be? I'd better check on this!
ZeusAboutOlympianReunionQuest02|Zeus About Olympian Reunion Quest 02|Zeus|I eagerly await learning some more about the contents of that fascinating message you had sent up here, Nephew! How mysterious, indeed. I'll be keeping an eye on all the others that come in!
ZeusPostEpilogue01|Zeus Post Epilogue 01|Zeus|I have to tell you, Zagreus, that it was wonderful to meet with you, at last! We were so pleased to learn Persephone was safe! And Nyx, why, she's as stunning as they say. Shouldn't have lied to us about your parentage, but, I know things get complicated, here, and that what's done is done!
ZeusAboutPoseidon01|Zeus About Poseidon 01|Zeus|Poseidon sought you out already, hm? My boastful brother gets on with Lord Hades even worse than I, so let me put a little spark into his storms for you!
ZeusAboutAthena01|Zeus About Athena 01|Zeus|My brave daughter Athena beat me to you this time, has she? No matter, with her blessing and my own, you shall be nigh unstoppable!
ZeusAboutAphrodite01|Zeus About Aphrodite 01|Zeus|Has lovely Aphrodite put you in a trance already, Zagreus? Or might I offer you the blessing of Olympus to intensify her catastrophic power with my own?
