Id|Description|Speaker|Text
Ending01|Ending 01|Persephone|Me pasé varios días cuidando de su jardín... ¿O fueron noches? Es difícil saber qué hora es aquí. El caso es que está aguantando más de lo que habría esperado...
Ending01|Ending 01|Hades|Perséfone, yo...
Ending01|Ending 01|Persephone|¡Cerbero! Te he echado tanto de menos... Veo que sigues cumpliendo tu cometido.
Ending01|Ending 01|Hades|Lo siento. Que sepas que lo siento.
Ending01|Ending 01|Persephone|Hades, pareces cansado, aunque no soy la única a la que debes una disculpa.
Ending01|Ending 01|Hades|Lo sé, lo sé... ¿Por qué has vuelto? Si el Olimpo... Si tu madre descubre lo que pasó, ni siquiera *Zeus *podría detener lo que sucedería a continuación.
Ending01|Ending 01|Persephone|*Ah*, he estado pensando en cómo podríamos arreglar eso, aunque necesitaré que Zagreo y tú me ayudéis con la solución. ¿O prefieres que vuelva por dónde he venido?
Ending01|Ending 01|Hades|¿Una solución? ¿Es que piensas invitarlos a tomar unas copas de *ambrosía*? Ni tú podrías arreglar una familia rota, Perséfone.
Ending01|Ending 01|Persephone|Tienes razón, Hades, no podría. Desde luego, no sola. ¿Me ayudarás entonces, o qué?
Ending01|Ending 01|Hades|Haría cualquier cosa que me pidieras.
Ending01|Ending 01|Persephone|Entonces, primero, habla con tu hijo.
Ending01|Ending 01|Hades|*Jum*. ¿Zagreo? Ya conoces a Perséfone, nuestra reina. ¡Espero que le muestres respeto en todo momento!
Ending01|Ending 01|Zagreus|Vaya, padre, ¡me has llamado por mi nombre! ¿Qué es esta curiosa sensación que siento? ¿Acaso es ese *respeto *del que hablas?
Ending01|Ending 01|Persephone|Parad los dos. No hagas que lamente esto, Hades, sé sincero con él. Sobre ti, no sobre mí. Adelante.
Ending01|Ending 01|Hades|Sí. Yo... Zagreo, sé que ha habido ocasiones en las que... he pagado contigo mi mal humor. He tenido muy poca paciencia. He cuestionado tu juicio a menudo, cuando el mío era a su vez imperfecto. Por todo eso, te pido perdón, hijo mío. No tengo excusa y no espero que me perdones.
Ending01|Ending 01|Zagreus|¿Y qué me dices de cuando me mentiste sobre mi madre? ¿Pides disculpas por eso? Tu mal humor y que lo pagases conmigo... Llevo tiempo sin esperar otra cosa de ti, y siempre te guardé rencor, pero al menos creía que... eras sincero.
Ending01|Ending 01|Hades|Tu madre no vino aquí voluntariamente cuando nos conocimos. Cuando se fue, pensando que habías muerto al nacer, su decisión era definitiva. Creía que estaría mejor sin nosotros, Olimpo incluido. Engañaros a ambos me hizo pedazos por dentro, pero era necesario.
Ending01|Ending 01|Zagreus|Bueno, pues no tenías por qué volcar en mí ese dolor interno toda la vida. Aunque creo que lo entiendo, solo desearía haberlo entendido antes. Y ahora, ¿qué? Estoy tan acostumbrado a ir sembrando el caos por tu dominio, que creo que lo echaré de menos.
Ending01|Ending 01|Hades|Sobre eso... tus *acciones *han desvelado numerosos fallos en nuestra seguridad, del tipo que nunca aparecen en los informes. Nuestra reputación depende de que no haya posibilidad de huida. ¿Por qué no sigues intentando escapar? No por mí, sino por el reino, por la reina.
Ending01|Ending 01|Persephone|Zagreo, si sigues esforzándote por huir, mantendremos las apariencias de que todo sigue como estaba.
Ending01|Ending 01|Zagreus|Una pregunta, padre. Pongamos que acepto. La próxima vez que llegue a la superficie, ¿seguirás esperándome tú?
Ending01|Ending 01|Hades|Chico, si crees por un instante que te lo voy a poner fácil por lo que ha pasado, te vas a llevar una sorpresa.
Ending01|Ending 01|Zagreus|Entonces, ¿sigo luchando por llegar a la superficie y matando a mi propio padre?
Ending01|Ending 01|Hades|¡Casi has acertado!
Ending01|Ending 01|Persephone|Quizá te toque también atender mi casa mientras andes por la zona. No hay que esforzarse mucho por cuidar el jardín. Me gusta que todo esté decente, en caso de que no aguante esta situación mucho tiempo.
Ending01|Ending 01|Zagreus|¡*Ja, ja, ja*! Vale, haré lo que pueda.
Ending01|Ending 01|Persephone|Con eso me basta. Y está claro que tenemos trabajo por hacer. Mucho, diría yo. ¿Empezamos, pues?
Ending01|Ending 01|Zagreus|*Después de todo este tiempo*, y ahora han pasado solo unos días. Pero está bien. Madre y padre están juntos de nuevo, he hecho nuevos amigos, ¡y he conseguido este cuadro tan bonito! Fácil. ¡Todo está bien en el Inframundo!
InspectHouse01|Inspect House 01|Storyteller|*La morada de Hades. La lúgubre y lujosa guarida del rey del Inframundo no es solo su hogar, sino también el de su obstinada progenie.*
InspectLoungeClosed01|Inspect Lounge Closed 01|Storyteller|*Lo que antes era una pequeña cantina dentro de la morada de Hades, ahora es una zona de paso vedado, totalmente destrozada desde que Cerbero, el perro policéfalo, la destrozase apenado por la desaparición del príncipe.*
InspectShades01|Inspect Shades 01|Storyteller|*Las sombras de los muertos transitan constantemente por la morada, quejándose de sus penas y buscando el oído de cualquiera dispuesto a escucharlas.*
InspectLoungeOpen01|Inspect Lounge Open 01|Storyteller|*La cantina de la morada de Hades es un lugar deprimente, a pesar de que su propósito sea levantar el ánimo de los apesadumbrados habitantes del lugar.*
InspectEmployeeOfTheMonth01|Inspect Employee Of The Month 01|Storyteller|*Un tablón conmemorativo adorna una de las sobrias paredes de la cantina, celebrando y proclamando las hazañas de aquellos que prestan un servicio excepcional a Hades.*
InspectCellar01|Inspect Cellar 01|Storyteller|*Los antiguos barriles de vino ocultos en los rincones de la morada de Hades... Pocos han catado la embriagadora añada que contienen, y aún menos tienen permiso para acercarse siquiera a ellos.*
InspectCellar01|Inspect Cellar 01|Storyteller|*Los resistentes barriles de vino de la morada de Hades están ahora casi vacíos, habiendo resistido con coraje ante la sed combinada de los dioses del Olimpo durante cierta fiesta.*
InspectOlympusSculpture01|Inspect Olympus Sculpture 01|Storyteller|*Un majestuoso edificio dorado del monte Olimpo, fabricado con el mayor de los cuidados con la roca de la montaña, ahora brilla eternamente incluso en la sombría luz de la morada de Hades, como un regalo de despedida de sus parientes.*
InspectMural01|Inspect Mural 01|Storyteller|*Un vasto e intrincado mosaico muestra al Señor del Inframundo sobre la enorme extensión de su dominio, mientras sus residentes ctónicos le admiran con asombro.*
InspectThrone01|Inspect Throne 01|Storyteller|*El ominoso trono del sombrío Hades rara vez está desocupado, y es por ello que todos los habitantes de la morada trabajan incansables en sus quehaceres diarios, sin atreverse a preguntar por qué.*
InspectHouseGarden01|Inspect House Garden 01|Storyteller|*El jardín de la reina Perséfone, vedado para el príncipe durante toda su vida, ahora se abre ante él en todo su esplendor.*
Flashback02|Flashback 02|Storyteller|*Se aventura hacia el majestuoso trono de su padre, y aunque parte de él espera que lo capturen, no está preparado para lo que está a punto de encontrar.*
Flashback03|Flashback 03|Storyteller|*No sabe exactamente lo que busca. Solo sabe que algo siempre le ha parecido fuera de lugar, como si no perteneciese a este mundo. ¿Quién es él en realidad? El señor Hades nunca permitiría tales preguntas. Por eso, el príncipe Zagreo buscará las respuestas por su cuenta.*
Flashback04|Flashback 04|Storyteller|*Decide hurgar entre las posesiones de su excelso padre. No hay prácticamente nada de utilidad entre ellas: libros de contabilidad y pergamineo administrativo, correspondencia del Olimpo que ha ignorado por completo... No parece haber rastro alguno de referencias a su hijo.*
Flashback05|Flashback 05|Storyteller|*Al fin, encuentra la nota… escrita delicadamente con una mano y una voz que el príncipe jamás había visto ni oído.*
Flashback05|Flashback 05|Persephone|*«Hades: ya no soporto mi vida aquí. Así que me voy, aunque hacerlo suponga mi muerte. No volveré al Olimpo. Si hay un lugar para mí en este mundo, ha de estar entre el cielo y el infierno. Tal vez se halle en la costa y tenga un pequeño huerto. Cuida de Cerbero, lo echaré de menos.»*
Flashback05|Flashback 05|Storyteller|*De este modo, Zagreo, el príncipe del Inframundo, devoró el contenido de la carta oculta, escrita con la caligrafía de su madre.*
Flashback05|Flashback 05|Zagreus|La caligrafía de mi madre… Espera, ¿*qué*…? ¿Estás diciendo que la tal Perséfone es… mi madre? Pero si mi padre siempre ha dicho que Nicte era… Será mentiroso… Me mintió. Me mintieron los dos. ¡Toda mi vida!
Flashback05|Flashback 05|Storyteller|*Esto… Sí, de este modo, el príncipe descubrió, inadvertidamente, la verdad tan bien guardada sobre su linaje. Todo por accidente, en serio…*
Flashback06|Flashback 06|Storyteller|*Perséfone, la antigua reina de todo el Inframundo… ¿Pero adónde había ido? ¿Y por qué? Con la cabeza repleta de preguntas y el corazón lleno de rabia, el príncipe decidió hacer frente a su amo y señor.*
Flashback_DayNightJob_02|Flashback Day Night Job 02|Storyteller|*Rechazando sus responsabilidades, Zagreo avanza por el pasillo del cuarto de su padre, muy poco preocupado por la urgencia con la que debería actuar en las circunstancias actuales.*
Flashback_DayNightJob_03|Flashback Day Night Job 03|Storyteller|*La puerta a la cámara administrativa lanza su llamada desde el final del pasillo. El príncipe espera ser capaz de entrar sin hacer ruido y sin llamar la atención de los trabajadores en su interior.*
Inspect_HousePillars_01|Inspect House Pillars 01|Storyteller|*De las innumerables y esplendorosas piedras preciosas que alberga el seno de la tierra, muchas sirven para adornar la morada de Hades, dios de los muertos, dios de innumerables riquezas.*
