Id|Description|Speaker|Text
AchillesFirstMeeting_Alt|Achilles First Meeting Alt|Achilles|Me alegro de verte, chaval. Has estado muy ocupado últimamente, ¿verdad? Dime si puedo ayudarte en algo, aunque por lo que he oído, lo tienes todo controlado.
AchillesGrantsCodex|Achilles Grants Codex|Achilles|Pronto le cogerás el truquillo, chaval. Aunque hemos entrenado, no hay mejor maestro que el campo de batalla. Mira, tengo un presente para ti.
AchillesGrantsCodex|Achilles Grants Codex|Zagreus|Espera... ¿qué? ¿Quieres regalarme tu Códice? ¡No puedo aceptar algo así!
AchillesGrantsCodex|Achilles Grants Codex|Achilles|Por favor, insisto. Deseo que ames la historia tanto como la guerra. Además, igual te apetece completar lo que falta.
AchillesLoungeClosed01|Achilles Lounge Closed 01|Zagreus|Aquiles, ¿es cierto que Cerbero destrozó la cantina cuando me marché? Le caería una buena.
AchillesLoungeClosed01|Achilles Lounge Closed 01|Achilles|Ojalá lo hubieras visto. La dejó peor que un viñedo arrasado por un tifón. Tu señor padre se puso hecho una fiera, aunque jamás se enfada tanto con el perro. La pobre Dusa se ha puesto a arreglar el estropicio.
AchillesLoungeClosed01|Achilles Lounge Closed 01|Zagreus|Oh, no. ¿Qué habrá sido de Dusa? Siempre tan temerosa de que mi padre la despidiera, incluso sin estos percances.
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Achilles|Tengo que admitirlo, chico: este lugar esta más animado de lo normal últimamente. Algunos adornos viejos de la morada reparados, nuevos muebles... Es bastante agradable, sí. Y es a ti a quien hemos de dar las gracias, seguramente.
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Zagreus|¿Oh, eso? No es nada. Me alegro de que haya cambiado a mejor. Nuestro contratista se encarga de todo. Yo solo doy las órdenes.
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Achilles|Y pones los fondos. Tu padre dirige el Inframundo a su manera. Esta decrépita morada tiene muchos lujos, pero hace tiempo que él no intenta hacerla mínimamente habitable. Por eso los cambios se agradecen.
AchillesMiscMeeting01|Achilles Misc Meeting 01|Achilles|Ánimo, chaval. He conocido a grandes hombres en mi vida y distingo cuándo alguien es mejor que sus circunstancias. Lucha como lucharía yo.
AchillesMiscMeeting01|Achilles Misc Meeting 01|Zagreus|Los enviaré al quinto infierno, tal y como harías tú, Aquiles. Aunque muchas de las sombras que me cortan el paso llegaron al Tártaro por tu culpa.
AchillesMiscMeeting02|Achilles Misc Meeting 02|Zagreus|¿Sabes a quién debo agradecerle las armas que hay a la salida de mis aposentos?
AchillesMiscMeeting02|Achilles Misc Meeting 02|Achilles|Me temo que no. Aunque si me cruzo con el responsable, se lo diré.
AchillesMiscMeeting03|Achilles Misc Meeting 03|Achilles|Tus enemigos no son los miserables ni tu padre, sino el Inframundo en sí, que está diseñado para que nadie escape. Habrás visto que todas las salas se reorganizan por sí solas.
AchillesMiscMeeting03|Achilles Misc Meeting 03|Zagreus|El Inframundo en sí, mi enemigo… Trataré de anticiparme a las sorpresas que esconde.
AchillesMiscMeeting04|Achilles Misc Meeting 04|Achilles|Las armas bloqueadas que hay junto a tus aposentos… Tu padre no notará su ausencia. Le recuerdan una época en que luchó al lado de sus hermanos y hermanas. Ya no quiere saber nada de ellas. Lo pertinente es que heredes su poder.
AchillesMiscMeeting04|Achilles Misc Meeting 04|Zagreus|Un poder que llegó a confinar a los titanes… y que quizá me sirva para escapar de aquí. Gracias por ayudarme, Aquiles.
AchillesAboutFistWeapon01|Achilles About Fist Weapon 01|Zagreus|Recientemente empecé a conocer los Puños Gemelos de Malfon, señor. Me llena de una sed de batalla que nunca sentí antes. Y pensar que la mano desnuda podría tener tanta fuerza destructiva como cualquier arma.
AchillesAboutFistWeapon01|Achilles About Fist Weapon 01|Achilles|La mano desnuda tiene más fuerza destructiva que cualquier arma, joven. Es la única arma que puede portar a todas las demás. Y sin ella, todas las demás son prácticamente inútiles. Los Puños Gemelos son un testamento a eso. Úsalos con cuidado. No pierdas la cabeza ahí fuera.
AchillesAboutGunWeapon01|Achilles About Gun Weapon 01|Zagreus|He encontrado otra arma en el patio, Aquiles. *Exagrifo*. No creía que existiera de verdad.
AchillesAboutGunWeapon01|Achilles About Gun Weapon 01|Achilles|Entre tú y yo, chaval... desearía que no lo fuera. Si algo así hubiera acabado en manos de mis enemigos en mis días de soldado, habría llegado aquí incluso antes. Pero confío en que estés entrenado para usarlo bien y te sirva como lo hizo con Hestia, que no lo ha necesitado en un tiempo.
AchillesAboutQuestLog01|Achilles About Quest Log 01|Achilles|Tengo que decirlo, muchacho: ¿autorizar la transferencia de la lista de augurios de los viejos archivos, directamente a tus aposentos? ¡Qué audaz! Y justo bajo las narices de tu padre.
AchillesAboutQuestLog01|Achilles About Quest Log 01|Zagreus|¿Oh, eso? Solo otro trabajo del Contratista de la Morada hasta donde sé, señor. Además, no es como si la lista se completase mientras estaba guardada en los archivos.
AchillesAboutQuestLog01|Achilles About Quest Log 01|Achilles|Bien, ese es el espíritu, creo. Pero si se algo, es que las Tres Moiras siempre se salen con la suya; pero si deseas ayudarlas al respecto, quizá te devuelvan el favor.
AchillesAboutBoonList01|Achilles About Boon List 01|Achilles|Se me ocurrió hacerle un pedido al contratista para arreglar lo de tu códice, chaval. Ahora que conoces a tantos en el Olimpo, pensé que debía estar costándote llevar un registro de todas sus bendiciones y demás.
AchillesAboutBoonList01|Achilles About Boon List 01|Zagreus|Pues sí, ¡me vendrá muy bien! Aún estoy aprendiendo sobre todo lo que puedo hacer cuando los dioses del Olimpo fusionan su poder con el mío.
AchillesAboutSuperLockKeys01|Achilles About Super Lock Keys 01|Zagreus|Aquiles, señor, tengo una especie de reliquia... Un glóbulo de sangre antigua, que se formó tras mi pelea con Megera. ¿Lo que he encontrado es realmente sangre de los titanes?
AchillesAboutSuperLockKeys01|Achilles About Super Lock Keys 01|Achilles|Por lo que yo sé, chico, así es. Pero de cuál en particular, no estoy muy seguro. Mejor quédatela y ponla a buen recaudo. Tus armas... la ansiarán y se la beberán. Quizá aún no, pero lo harán muy pronto.
AchillesAboutSuperGiftPoints01|Achilles About Super Gift Points 01|Zagreus|¡Ey, mira lo que he conseguido ahí fuera, Aquiles! ¡Una botella añeja de ambrosía, directamente del Elíseo! He oído que es muy buena, pero... ni siquiera puedo abrirla. Por ahora, no tengo idea de qué hacer con ella.
AchillesAboutSuperGiftPoints01|Achilles About Super Gift Points 01|Achilles|¡El brebaje de los dioses! Dicen que es una delicia, sí. Pero dáselo a alguien con quien tengas una relación especial. Quizá lo mejor sea reservarlo para el momento perfecto. Quien lo reciba te estará agradecido, eso seguro. O quizá el cambista miserable te ofrezca algo a cambio.
AchillesAboutOnions01|Achilles About Onions 01|Zagreus|Aquiles, tengo una pregunta muy importante... ¿Por qué detestas tanto las cebollas? ¿Qué daño te han hecho?
AchillesAboutOnions01|Achilles About Onions 01|Achilles|En cuanto cortas una de esas cosas... te hacen llorar. ¿No te resulta eso inquietante, chaval? No pienso derramar lágrimas por un vegetal cortado.
AchillesAboutOnions01|Achilles About Onions 01|Zagreus|Pues parece que son muy sabrosas, siempre que las cocines.
AchillesPostFlashback01|Achilles Post Flashback 01|Achilles|Tus parientes, los dioses del Olimpo, desean ayudarte a escapar de este lugar, ¿verdad? Espero que sus intenciones sean tan puras como parecen. No se llevan bien con tu padre.
AchillesPostFlashback01|Achilles Post Flashback 01|Zagreus|Ni yo, al menos la última vez que nos vimos. Aceptaré cualquier ayuda con tal de escapar de aquí.
AchillesPostFlashback01|Achilles Post Flashback 01|Achilles|Me complace oírlo. He conocido a demasiados necios, reacios a aceptar ayuda incluso cuando más la necesitaban. Ve con cuidado, chaval.
AchillesFlashback02|Achilles Flashback 02|Achilles|Hablaremos luego. Será mejor no hacer esperar a tu padre.
AchillesAboutMegaeraRelationship01|Achilles About Megaera Relationship 01|Achilles|Un momento, chaval. Esa mirada... Creo que la conozco demasiado bien. ¿Acaso las cosas se te están poniendo complicadas últimamente?
AchillesAboutMegaeraRelationship01|Achilles About Megaera Relationship 01|Zagreus|Bueno, ya sabes, solo... los problemas usuales al pelear hasta la superficie, generalmente una muerte innoble, pero... alto, quieres decir entre mí y Megera, ¿no es así?
AchillesAboutMegaeraRelationship01|Achilles About Megaera Relationship 01|Achilles|Creo que le gustas más de lo que se deja admitir. Y tienes una forma muy particular, además. Se que ustedes dos empezaron con el pie equivocado. Y las circunstancias últimamente no ayudaron. Pero, si la amas... sigue a tu corazón.
AchillesAboutMegaeraRelationship01|Achilles About Megaera Relationship 01|Zagreus|¿Y que tal si no...? Dudo de siquiera usar la palabra.
AchillesAboutMegaeraRelationship01|Achilles About Megaera Relationship 01|Achilles|Si no lo haces... ¡Pues deja de darle regalos tan lujosos, diría yo! No hay que dar la idea equivocada, y no puedes ganar nada de un gesto tan vacío, igual.
