Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|Mis hermanas y yo hemos estado hablando y hemos llegado a un acuerdo, Zagreo. Como puedes ver.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Megera, Tis, ¿listas?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|¡*Asssesssinooo*!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Tres contra uno. No parece muy justo, ¿no?
FurySistersUnion01|Fury Sisters Union 01|Megaera|La justicia dejó de preocuparnos hace tiempo. Te mataremos, sea como sea. ¡Erinias! ¡*Ahora*!
FurySisterUnionSingleSis01|Fury Sister Union Single Sis 01|Megaera|¿Lo ves, Alecto? Llega justo a tiempo, como te dije.
FurySisterUnionSingleSis01|Fury Sister Union Single Sis 01|Alecto|Megera, ¡*desángralo*!
Fury2SisterUnion01|Fury 2 Sister Union 01|Alecto|¿Estás lista, Megera? ¿Tisífone? Al ataque.
Fury2SisterUnionSingleSis01|Fury 2 Sister Union Single Sis 01|Alecto|¡Mira, hermanita! Ha venido el dios de la basura. A por él.
Fury2SisterUnionWithMeg01|Fury 2 Sister Union With Meg 01|Alecto|¡Pero *míralo*! Esa cara de engreído, esa pose, ¡*todo*! Dime que no te está ablandando el corazón ese dios de la basura, hermana.
Fury2SisterUnionWithMeg01|Fury 2 Sister Union With Meg 01|Megaera|Vamos, Alecto. ¿Cuándo fue la última vez que una de nosotras pidió su aprobación a las demás? Y si conseguimos matarlo, ¿qué más te da?
Fury2SisterUnionWithMeg01|Fury 2 Sister Union With Meg 01|Alecto|¿Sabes qué? Tienes razón, hermana, bien dicho. *¡Matémoslo ya!*
Fury2SisterUnionWithMeg02|Fury 2 Sister Union With Meg 02|Alecto|Mira este pedazo de basura, vuelve a desangrarse en nuestro bonito suelo recién pulido. ¿Listo para luchar contra mi adorable hermana, sangre roja?
Fury2SisterUnionWithMeg02|Fury 2 Sister Union With Meg 02|Megaera|Una vez que lo conoces no está tan mal, hermana. Aunque para lo que le vamos a hacer, no importa.
Fury2SisterUnionWithMeg02|Fury 2 Sister Union With Meg 02|Alecto|Me dais asco los dos, Meg, ¿lo sabías? ¡Recupera la compostura y *mátalo *esta vez, maldita sea!
Fury2PactReaction01|Fury 2 Pact Reaction 01|Alecto|Has debido de firmar un pacto, ¿verdad, sangre roja? Confiesa ahora mismo.
Fury2PactReaction01|Fury 2 Pact Reaction 01|Zagreus|Pues de hecho sí, aunque no veo por qué tiene que ser asunto tuyo, Alecto.
Fury2PactReaction01|Fury 2 Pact Reaction 01|Alecto|¡Me gusta trabajar *a solas*! Y ahora no me ves hacerlo, ¿verdad? Así que diría que sí que es asunto mío. Igual que lo de *matarte*.
Fury2PactDisabledReaction01|Fury 2 Pact Disabled Reaction 01|Alecto|¡*Fiu*! Pensaba que no iba a tener un momento tranquilo nunca más, sangre roja. Por ese maldito pacto que firmaste como un imbécil y que hace que trabaje con mis hermanas de nuevo. ¡Me las pagarás!
Fury2PactDisabledReaction01|Fury 2 Pact Disabled Reaction 01|Zagreus|Empiezo a ver un patrón: haga lo que haga yo, vas a jurar que te las pagaré, ¿verdad?
Fury2PactDisabledReaction01|Fury 2 Pact Disabled Reaction 01|Alecto|¡Pero qué descaro! ¡Qué listo eres, eres un *listillo*! ¿Sabes qué? Me las pagarás por eso también.
Fury2FirstAppearance|Fury 2 First Appearance|Alecto|*Ah, ja, ja. Jo, jo, jo, jo*. Por fin. Esperaba este momento. En serio.
Fury2FirstAppearance|Fury 2 First Appearance|Zagreus|Tú debes de ser una de las encantadoras hermanas de Megera. Creo que no nos han presentado aún. Y... ¿qué esperabas, exactamente?
Fury2FirstAppearance|Fury 2 First Appearance|Alecto|Estoy harta de no poder hacer mi trabajo normal... Sin interrupciones, ya sabes. ¡Y sin tener que arreglar las meteduras de pata de Meg!
Fury2FirstAppearance|Fury 2 First Appearance|Zagreus|Tengo la sensación de que hemos empezado con mal pie.
Fury2FirstAppearance|Fury 2 First Appearance|Alecto|Da igual. Siempre he querido matar a un dios. Me tendré que conformar contigo.
Fury2PostEnding01|Fury 2 Post Ending 01|Alecto|He escuchado rumores sobre novedades en la morada de tu padre, sangre roja. ¿Así que su ilustre reina secuestrada ha regresado a casa?
Fury2PostEnding01|Fury 2 Post Ending 01|Zagreus|Espera, ¿cómo sabes eso? ¿Y se te permite hablar así de la reina?
Fury2PostEnding01|Fury 2 Post Ending 01|Alecto|¡No le debo lealtad! Por mí, que se vaya y vuelva tantas veces como quiera. ¿Pero sabes quién no puede hacerlo? Exacto: tú.
Fury2PostEnding02|Fury 2 Post Ending 02|Alecto|Tengo que preguntarlo: ¿cómo es que sigues volviendo, sangre roja? Creía que ya habrías tenido suficientes palizas a estas alturas.
