Id|Description|Speaker|Text
ZeusWithAres01|Zeus With Ares 01|Zeus|¡Sobrino! Bajo mi autoridad divina, mi a menudo incomprendido hijo Ares te cederá ahora una pequeña muestra de su poder. ¡Aún podré hacer de él un hombre de provecho!
ZeusWithAres01|Zeus With Ares 01|Ares|Será como deseas, padre. Tus deseos son los míos.
AresWithPoseidon01|Ares With Poseidon 01|Ares|Mi pariente del averno, he de decir que a veces desearía haber conocido mejor a tu padre, si no te importa que te lo diga. Mi tío y mi padre... tenían un carácter muy distinto al mío.
AresWithPoseidon01|Ares With Poseidon 01|Poseidon|Quizá si no fueras tan rarito y te esforzases en ser más accesible, Ares, tendríamos algo más en común los dos. Si necesitas algún consejo al respecto, tan solo dímelo.
AresWithAthena01|Ares With Athena 01|Ares|Solo quería volver a hablar contigo en privado, pariente mío. Pero, verás…
AresWithAthena01|Ares With Athena 01|Athena|... pero como ves, querido primo, algunos miembros de la familia están predispuestos a comportamientos que es mejor no mentar. Solo digo que tengas cuidado con mi hermanastro. Ahora prosigue.
AresWithAthena01|Ares With Athena 01|Ares|Vuelves a interrumpirme, querida hermana. Sabes que eso me irrita. Te advierto que no te metas en mis asuntos. Ayudaré a mi familia como crea conveniente.
AresWithAthena01|Ares With Athena 01|Athena|Ares, tú sólo haces lo que crees conveniente. Pero eso sí, procura remar en la misma dirección que nosotros.
AresWithAphrodite01|Ares With Aphrodite 01|Ares|Espero con ansia el día en que por fin llegues al Olimpo. Allí hay pocos con intereses como los que creo que compartimos.
AresWithAphrodite01|Ares With Aphrodite 01|Aphrodite|En efecto, aquí solo hay unos pocos que comparten tales intereses, ¿no crees, Ares? En cuanto a ti, querido mío, tómate todo el tiempo que necesites.
AresWithAphrodite02|Ares With Aphrodite 02|Ares|Guerras iniciadas por amor... ¿Te lo imaginas? Afrodita y yo podemos pasarnos horas hablando de ellas. Confío en que, de vez en cuando, te detengas a pensar por qué elegiste luchar. Tampoco es que necesitaras un motivo, claro.
AresWithAphrodite02|Ares With Aphrodite 02|Aphrodite|Ares, en verdad no hay necesidad de enturbiar los pensamientos y el juicio de nuestro diosecillo con este tipo de comentarios, ¿eh? Démosle lo que quiere y sigamos nuestra charla en privado.
AresWithDionysus01|Ares With Dionysus 01|Ares|Pariente, estaba preguntándole a Dioniso en qué circunstancias se preparan los mejores festines de los mortales. Porque tengo una corazonada al respecto...
AresWithDionysus01|Ares With Dionysus 01|Dionysus|Sí, Ares, esto te lo admito, no hay nada como un festín después de una guerra. Siempre que seas del bando superviviente, claro. ¡De lo contrario, supongo que el festín se lo darán ahí abajo {#DialogueItalicFormat}contigo{#PreviousFormat}, Zag!
AresWithDemeter01|Ares With Demeter 01|Ares|El frío de la muerte le sienta muy bien a la diosa Deméter, ¿no te parece, mi letal pariente? Y se está acostumbrando a él, además.
AresWithDemeter01|Ares With Demeter 01|Demeter|Creo que te olvidas de algo, Ares. Yo soy tu hermana mayor por mucho, y mis hambrunas habían acabado con decenas de miles de mortales antes de que tú siquiera pensases en provocar tales masacres.
AresKillQuestComplete|Ares Kill Quest Complete|Ares|Diez mil almas han caído ante ti, mi pariente del averno. Reconozco que no doy crédito. Un trabajo formidable.
AresAboutOlympianReunionQuest01|Ares About Olympian Reunion Quest 01|Zagreus|Pues allá va. ¡En el nombre de Hades! ¡Olimpo, este es un mensaje oficial! Ares, piensa en nuestra propuesta... cuando seas capaz de descifrarla.
AresAboutOlympianReunionQuest01|Ares About Olympian Reunion Quest 01|Ares|¿Qué es esto, pariente mío? Algún tipo de invitación para mí, deduzco. Y no solo para mí... esto también simboliza al resto, ¿no? Qué intrigante. Investigaré su significado tan rápido como pueda, pero antes...
AresPostEpilogue01|Ares Post Epilogue 01|Ares|Quiero reiterarte que pasé un rato espléndido durante aquella fiesta que compartimos, pariente mío. ¡Al fin pudimos ver tu reino de muerte de primera mano! Aprendí mucho, y ansío aprender más a través de nuestra colaboración, ¿eh?
AresAboutZeus01|Ares About Zeus 01|Ares|Veo que Zeus ha contactado contigo primero. Los regalos de mi padre son ciertamente generosos, pero creo que puedo ayudarte a mi manera.
AresAboutPoseidon01|Ares About Poseidon 01|Ares|Puede que la bendición de Poseidón te haya ayudado hasta este momento, pero toma: mi regalo te hará llegar más lejos.
AresAboutAthena01|Ares About Athena 01|Ares|Cuentas con la bendición de Atenea, ¿cierto? Ella querría protegerte de tus enemigos, pero yo preferiría que los exterminaras y punto.
AresAboutAphrodite01|Ares About Aphrodite 01|Ares|{#DialogueItalicFormat}Umm{#PreviousFormat}, veo que ya tienes la bendición de Afrodita. El amor y la muerte, ¿juntos de la mano? Suena grato a mis oídos.
