Id|Description|Speaker|Text
ZeusWithArtemis01|Zeus With Artemis 01|Zeus|De acuerdo, Zagreo, en cuanto llegues habrá que buscarte la compañía que se merece un joven tan apuesto como tú. Normalmente hay mucho entre lo que elegir por aquí, con algunas excepciones, por supuesto... como mi astuta hija Artemisa. Se resiste con todas sus ganas a buscarse pareja.
ZeusWithArtemis01|Zeus With Artemis 01|Artemis|Sí, Zagreo, a pesar de las esculturales bellezas que aquí puedes encontrar por doquier, muchas de ellas deseosas de casarse conmigo o avergonzarme, ¡por alguna razón prefiero pasar la mayor parte del tiempo a solas o con mis amigas, las ninfas del bosque!
ArtemisWithZeus01|Artemis With Zeus 01|Artemis|Estoooo... Zagreo, en vez de saludarte como suelo hacer, permíteme que te presente a mi ilustre, amable y generoso padre: ¡tu glorioso tío Zeus!
ArtemisWithZeus01|Artemis With Zeus 01|Zeus|{#DialogueItalicFormat}Esto{#PreviousFormat}... Gracias por presentarnos, hija, ahora vete a refocilarte por ahí con las ninfas o lo que sea y deja que ayude a mi sobrino. Si hace falta, dale tu bendición, por tenue que sea.
ArtemisWithPoseidon01|Artemis With Poseidon 01|Artemis|Ya conoces a mi padre y a mi tío, ¿verdad, Zagreo? No sé cuál es peor. {#DialogueItalicFormat}Esto{#PreviousFormat}, quiero decir... ¡superior! Superior, a pesar de que técnicamente se pase el día en el mar, bajo el Olimpo, ¿no es verdad, tío?
ArtemisWithPoseidon01|Artemis With Poseidon 01|Poseidon|¡Artemisa, no necesitas echarme flores delante del pequeño Hades! Además, estar en el mar, por encima o por debajo no mide lo bueno que eres como dios. ¡Aún sois unos jovenzuelos los dos! Seguid entrenando, ¡y pronto seréis casi tan poderoso como yo!
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|Oye, {#DialogueItalicFormat}um{#PreviousFormat}, Zagreo. No puedo dejar de pensar en una cosa. No te lo tomes a mal, ¿vale? Oh, no. Es ella.
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Aphrodite|Vaya, Artemisa. ¡Te ha comido la lengua el gato! ¿Es por el diosecillo del Inframundo o un poco por mí? {#DialogueItalicFormat}Ajá{#PreviousFormat}, seguro que ya darás con la respuesta.
ArtemisWithAphrodite01|Artemis With Aphrodite 01|Artemis|A ver, qué estaba... {#DialogueItalicFormat}Agh{#PreviousFormat}... Mira, da igual. Hablaremos en otro momento.
ArtemisWithAphrodite02|Artemis With Aphrodite 02|Artemis|{#DialogueItalicFormat}Esto{#PreviousFormat}, Zagreo, al parecer no fui capaz de eludir a Afrodita, a pesar de mis instintos de cazadora. Insistió en que nos presentaramos ante ti al mismo tiempo, por alguna razón...
ArtemisWithAphrodite02|Artemis With Aphrodite 02|Aphrodite|¡Venga ya, Artemisa! Seguro que eres muy capaz de mantenerte oculta de bestias comunes, pero te veo claramente. ¿Por qué no eres sincera contigo misma la próxima vez?
ArtemisWithAres01|Artemis With Ares 01|Artemis|Zagreo, ¡desearía que todos pudiéramos escucharte para que Ares se convenza de que mis poderes tienen un enfoque totalmente distinto a los suyos!
ArtemisWithAres01|Artemis With Ares 01|Ares|Es posible que en su momento tuvieran un enfoque distinto, querida Artemisa, pero ¿quién puede decir que el resultado final no sea el mismo? Observa lo que pasa cuando le damos a nuestro primo nuestros dones combinados.
ArtemisWithAres02|Artemis With Ares 02|Artemis|Zagreo, esperaba tener algo de intimidad antes de esta caza. De hecho, esa es mi tónica habitual, ¡pero Ares siempre viene a olisquear al primer indicio de utensilios de caza!
ArtemisWithAres02|Artemis With Ares 02|Ares|Querida Artemisa, la caza no es sino el preludio de una guerra, ¿no crees? Pues si los mortales desconociesen el arte cinegético, no serían tan diestros matándose entre ellos.
ArtemisWithAres02|Artemis With Ares 02|Artemis|Mira, Ares, si te presto mis habilidades de puntería, ¿crees que podrías largarte a molestar a otra?
ArtemisWithDionysus01|Artemis With Dionysus 01|Artemis|Ah, genial, eres tú, Zagreo. Déjame ofrecerte algunas bendiciones nuevas de primera calidad. ¡También tenemos aquí a Dioniso, a quien seguro que le encantará parlotear contigo tanto como conmigo!
ArtemisWithDionysus01|Artemis With Dionysus 01|Dionysus|Me dice que hablo a gritos, y que me aleje, todo tipo de cosas desagradables como esas. Pero qué se le va a hacer, ¿no?
ArtemisWithDemeter01|Artemis With Demeter 01|Artemis|Oh, hola, Zagreo. Justamente intentaba sin éxito convencer a Deméter para que relaje un poco ese temporal de nieve que estamos teniendo. Algunos de los mortales ya no lo soportan más, ¡y desde luego no lo pone nada fácil para cazar!
ArtemisWithDemeter01|Artemis With Demeter 01|Demeter|Los mortales son ingeniosos, Artemisa. ¡Quizás sea esa su única cualidad destacable! Encontrarán una manera de sobrevivir a nuestro largo invierno. Tienen que hacerlo, ya que ellos mismos se lo buscaron.
ArtemisAboutRamaAspect01|Artemis About Rama Aspect 01|Artemis|Zagreo, ¿has intentado hablar con Coronacto ya? Recuerda, dile al arco ¡{#DialogueItalicFormat}Te veo empuñado por los brazos del séptimo avatar{#PreviousFormat}! Se supone que pasará algo bueno si lo haces. ¿Que asumirá el aspecto de un arquero divino, creo? ¿Lo vas a probar pronto o no?
ArtemisAboutRamaAspect02|Artemis About Rama Aspect 02|Artemis|¡Pero mira eso! El mensaje debe de haber funcionado. Casi puedo ver el brillo de ese arco desde aquí. Nunca he empuñado a Coronacto, o al menos aún no, pero si las moiras me están enviando visiones de sus portadores pasados o futuros, supongo que será porque tendré mi oportunidad de hacerlo.
ArtemisAboutOlympianReunionQuest01|Artemis About Olympian Reunion Quest 01|Zagreus|Te encontré, cazadora. ¡En el nombre de Hades! ¡Olimpo, este es un mensaje oficial! ¡Sobre todo para ti, Artemisa!
ArtemisAboutOlympianReunionQuest01|Artemis About Olympian Reunion Quest 01|Artemis|¡Un mensaje especial para mí...! Oh, parece que todos en el Olimpo tiene el suyo. ¡Por un momento me sentí especial! Y ahora me obligas a ponerme de acuerdo con los demás... ¡Estupendo!
ArtemisPostEpilogue01|Artemis Post Epilogue 01|Artemis|He de decir que me lo pasé bastante bien con todos en nuestra visita aquella. Te conocí a ti, al tío Hades, ¡incluso al glorioso Aquiles! Sigue sin hacerme gracia que nos estuvieses engañando, pero, ¡{#DialogueItalicFormat}meh{#PreviousFormat}! Ya se me pasará. En cualquier caso, aún te vendrá bien mi ayuda, ¿no?
ArtemisAboutZeus01|Artemis About Zeus 01|Artemis|Ah, el bueno de mi padre Zeus ya te ha bendecido con sus rayos, ¿verdad? Siempre cuidando de todo el mundo.
