Id|Description|Speaker|Text
ChaosAboutBeowulfAspect01_A|Chaos About Beowulf Aspect 01 A|Chaos|Puedo sentir que aún no has hablado con el artefacto omnisciente que denominas Égida. Manipula el plan de las moiras todo lo que quieras, pues, pero si cambias de opinión en algún momento, dile {#DialogueItalicFormat}Te veo plantar cara ante las llamas de la sierpe{#PreviousFormat}.
ChaosAboutBeowulfAspect01|Chaos About Beowulf Aspect 01|Chaos|¿Aún no has usado la frase que te dije para despertar a Égida? ¿O acaso has decidido no enseñarme el resultado? Me gustaría de verdad verlo en algún momento. Recuerda, hijo de Hades, dile al artefacto que todo lo ve {#DialogueItalicFormat}Te veo plantar cara ante las llamas de la sierpe{#PreviousFormat}.
ChaosAboutBeowulfAspect02|Chaos About Beowulf Aspect 02|Chaos|De entre las infinitas posibilidades que podrían acontecer, he aquí el hijo de Hades, con mi artefacto que todo lo ve en las manos, que se presenta ahora con el aspecto de un portador aún nonato y que será conocido en todo el mundo como Beowulf. Qué curioso.
ChaosSurfaceQuestComplete|Chaos Surface Quest Complete|Chaos|He sentido débilmente que intentaste enfrentarte a tu padre mientras portabas mi pequeño catalizador redondo. Parece que mi petición, y tu éxito, cumplían también el plan de las moiras. El resultado es más divertido de lo que esperaba, y por eso te doy las gracias.
ChaosAboutNyx05|Chaos About Nyx 05|Chaos|He detectado una actividad inusual en los confines del Inframundo, hijo de Hades. Cantidades ingentes de oscuridad, reunida en un catalizador que ahora parece casi un faro brillando en la noche. Esto es o bien obra de Nicte, tuya o de los dos. Espero con ansias el resultado.
ChaosAboutNyx06|Chaos About Nyx 06|Chaos|Me agrada enormemente, hijo de Hades, haber visto de nuevo a la diosa Nicte. Todo el tiempo que ha pasado desde la última vez que ocurrió ha apagado antiguos pesares, me parece. Por tanto, se ha convertido en la base sobre la que, algún día, puede que reconstruyamos nuestra relación.
ChaosAboutResponding01|Chaos About Responding 01|Chaos|Ahora que nos vamos conociendo, hijo de Hades, quiero dejar algo muy claro: me temo que no tengo mucha paciencia para las discusiones. Cuando me visites, tan solo escúchame, acepta mi marca y vete. Responde solo cuando haga falta o te lo pida. ¿Entendido?
ChaosAboutResponding01|Chaos About Responding 01|Zagreus|Solo escuchar... Como con los mensajes de los olímpicos. Espera... ahora me habías preguntado, ¿verdad, Caos? ¿O debería haberme quedado callado?
ChaosAboutResponding01|Chaos About Responding 01|Chaos|No te puedo dar consejo alguno. Pero esta vez te lo pedí, sí. Puedes hablar libremente, en cualquier momento, aunque a mí no me apetezca. El silencio absoluto es lo que yo prefiero, pero puede que tú no.
ChaosAboutNyx01|Chaos About Nyx 01|Chaos|Tengo entendido que Zeus y toda su prole en el monte Olimpo creen que eres hijo de Hades y la diosa Nicte. Sonreí cuando supe de tal engaño. Nicte tiene muchos hijos en el Inframundo; así que, ¿por qué no ibas a ser uno de ellos?
ChaosAboutNyx01|Chaos About Nyx 01|Zagreus|No es mi madre biológica, no, pero es como una madre para mí. ¿La conoces?
