Id|Description|Speaker|Text
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Charon|*Mmmrrrrnnn*....
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Zagreus|¿Sabes, Caronte? Al parecer, tu socio Hermes apostó contigo a que yo podría derrotarte dos veces seguidas en algún momento. Me fastidiaría decepcionarlo, así que... ¿sin rencores?
BossCharonAboutHermesQuest01|Boss Charon About Hermes Quest 01|Charon|¡¡*Nnnrrrraaaaaauugggghhh*!!
BossCharonEncounter01|Boss Charon Encounter 01|Charon|*Haaahhhhh*....
BossCharonEncounter01|Boss Charon Encounter 01|Zagreus|*Esto*, Caronte, puedo explicarlo. Es que me he acostumbrado demasiado a llevarme cosas porque sí en el reino de mi padre. No estaba robando, ¡en serio!
BossCharonEncounter01|Boss Charon Encounter 01|Zagreus|Ese sonido no parece de comprensión. Espera, ¿por qué blandes tu remo de forma tan amenazante?
BossCharonEncounter02|Boss Charon Encounter 02|Zagreus|Me estás poniendo a prueba, ¿verdad, Caronte? A ver, si pones una gran pila de monedas tan a la vista y a mi alcance, ¿qué esperas que haga?
BossCharonEncounter02|Boss Charon Encounter 02|Charon|Nrrnnhhh, hnnnn, hrrnn, *hrrrrrnnn*...
BossCharonEncounter02|Boss Charon Encounter 02|Zagreus|Vale, colega, a partir de ahora, cuando te robe, será mi manera de decirte: *Caronte, me apetece combatir contigo a muerte ahora mismo para no aburrirme*.
BossCharonMiscStart01|Boss Charon Misc Start 01|Charon|*Hrrrnnnggghh*...
BossCharonMiscStart02|Boss Charon Misc Start 02|Charon|¡*Grrnrnhh, rrraahhh*!
BossCharonMiscStart03|Boss Charon Misc Start 03|Charon|¡*Hrraaaahhhhhh*!
BossCharonMiscStart04|Boss Charon Misc Start 04|Charon|¡Hrrn... *grrraaauuuggghh*!
BossCharonMiscStart05|Boss Charon Misc Start 05|Charon|¡Rrnn... *hhrraaaauuuggghh*!!
BossCharonMiscStart06|Boss Charon Misc Start 06|Charon|¡Grrr... *nrrraauuuggghhh*!
BossCharonMiscStart07|Boss Charon Misc Start 07|Charon|¡Urrh... *urraaauuuggghh*!
BossCharonMiscStart08|Boss Charon Misc Start 08|Charon|¡Grrr... *grraauuuggghh*!
BossCharonMiscStart09|Boss Charon Misc Start 09|Charon|¡Hhh, *hrreehhhhh*!
BossCharonOutro01|Boss Charon Outro 01|Charon|¡Jaahh, jrraugh, *jaaaaah*!
BossCharonHermesQuestComplete01|Boss Charon Hermes Quest Complete 01|Zagreus|¡Te pillé, colega! Dos veces seguidas. Supongo que Hermes ha ganado esa apuesta que tenía contigo. Dile de mi parte que ¡*hrrrrrnnnggghh*!
BossCharonHermesQuestComplete01|Boss Charon Hermes Quest Complete 01|Charon|*Harrrrrnnnggghh*...
CharonFirstMeeting|Charon First Meeting|Charon|*Guuuuuuh…*
CharonFirstMeeting|Charon First Meeting|Zagreus|¡Qué alegría verte, Caronte, tío! Aquí estoy, a lo mío, contemplando las vistas y… Oye, ¿qué tienes ahí? ¿Vendes esos artículos? Voy a echar un vistazo.
CharonNoFastTravel01|Charon No Fast Travel 01|Zagreus|Oye, Caronte, tío. Supongo que no has tenido tiempo de valorar mi propuesta de, ya sabes, llevarme a la superficie. Como no te pilla a desmano…
CharonNoFastTravel01|Charon No Fast Travel 01|Charon|*Rhhuuaaauuggghhh*...
CharonShopMeeting02|Charon Shop Meeting 02|Zagreus|Me alegro de verte, tío. Y parece que tienes a la venta artículos de primera, ¿eh?
CharonShopMeeting02|Charon Shop Meeting 02|Charon|*Arrrnn*gghhhhh....
CharonShopMeeting03|Charon Shop Meeting 03|Charon|*Aaarrrgghhhhhh*....
CharonShopMeeting03|Charon Shop Meeting 03|Zagreus|Yo también te deseo un buen día. Voy a echarle un ojo a tus suministros, ¿te parece?
CharonShopMeeting04|Charon Shop Meeting 04|Zagreus|Seguro que haces muchas paradas por estos lares, ¿verdad, Caronte? Casi todos los muertos están en los Asfódelos, ¿me equivoco?
CharonShopMeeting04|Charon Shop Meeting 04|Charon|Nnnnrrrrrhhh…
CharonShopMeeting05|Charon Shop Meeting 05|Zagreus|Oye, Caronte, estoy en los Asfódelos, ¿verdad? Me habían dicho que eran una especie de prado florido, no un tétrico paisaje infernal.
CharonShopMeeting05|Charon Shop Meeting 05|Charon|Aaaaaaagggghhh…
CharonPreBossMeeting01|Charon Pre Boss Meeting 01|Zagreus|Oye, Caronte. Si me espera algo espantosamente horripilante detrás de esa puerta, hazme una señal, ¿vale?
CharonPreBossMeeting01|Charon Pre Boss Meeting 01|Charon|Hhhaaaaaaahhh...
CharonPreBossMeeting02|Charon Pre Boss Meeting 02|Zagreus|¿Te importa explicarme qué clase de abominable monstruosidad me aguarda en la siguiente isla infernal, Caronte, tío?
CharonPreBossMeeting02|Charon Pre Boss Meeting 02|Charon|*Eeeeeehhhh…*
CharonHighRelationship01|Charon High Relationship 01|Zagreus|Pero mírate, Caronte, tío. ¡Estás fantástico! Te noto diferente, aunque no sabría decirte qué es. ¿Te has hecho algo en el pelo?
CharonHighRelationship01|Charon High Relationship 01|Charon|*Urrraaauuhggghh*...
CharonPostFight_YouWon01|Charon Post Fight You Won 01|Zagreus|Oye, Caronte, ¿no seguirás enfadado conmigo después de que nos peleásemos la última vez? Como me diste una de tus tarjetas de cliente Premium, imagino que todo va bien, pero... quería asegurarme.
CharonPostFight_YouWon01|Charon Post Fight You Won 01|Charon|¡Krrr, *krraauuuggghhhh*...!
CharonPostFight_YouLost01|Charon Post Fight You Lost 01|Zagreus|No me guardas rencor por aquel combate a muerte de la última vez, ¿verdad, Caronte? Sobre todo porque me diste una buena tunda. Sabes que solo bromeaba, ¿verdad?
CharonPostFight_YouLost01|Charon Post Fight You Lost 01|Charon|¡Nrraaauuuggghhh...!
CharonAboutHermes01|Charon About Hermes 01|Zagreus|¡Hola, Caronte! Por fin he conocido a Hermes, dios de la velocidad y los viajes. El que te trae las almas de los difuntos a tu barca. Dice que sois socios. Parece que lleváis tiempo trabajando juntos, ¿no?
CharonAboutHermes01|Charon About Hermes 01|Charon|Rrrrrrnnnnghhhhhhhh…
CharonAboutHermes02|Charon About Hermes 02|Zagreus|Caronte, siempre he creído que las deidades del Olimpo no confraternizaban con los dioses ctónicos como tú. Pero, al parecer, Hermes es amigo íntimo tuyo. No sabrás, por un casual, cuáles son sus motivos para ayudarme, ¿verdad?
CharonAboutHermes02|Charon About Hermes 02|Charon|*¡Grrrhhhoooaaaaaahhhh…!*
CharonAboutSkelly01|Charon About Skelly 01|Zagreus|Caronte, tío, sé que te topas con un montón de muertos y debe ser difícil recordarlos a todos, pero... supongo que el nombre *Huesos *no te suena, ¿verdad?
CharonAboutSkelly01|Charon About Skelly 01|Charon|Ssss... kkkhhh... rrrrnngghhh... ¡*raauuuggghhh*!
CharonAboutCustomerLoyalty01|Charon About Customer Loyalty 01|Zagreus|Caronte, tío, como cliente fiel tuyo, quería agradecerte de nuevo tus inestimables servicios durante mis tentativas de huida de este sitio. ¿Qué habría hecho sin tus mercancías todas esas veces? Aparte de morir mucho más rápido, claro...
CharonAboutCustomerLoyalty01|Charon About Customer Loyalty 01|Charon|Hrrnngghh, grhhh, *grhaaaaaaaahhhh*...
CharonAboutSecretService01|Charon About Secret Service 01|Zagreus|¿Caronte? No es por nada, pero quería decirte que agradezco mucho tu apoyo. Siempre has ido a lo tuyo, nunca puedo verte en la morada, pero sé que te preocupas por mí un montón. Así que... gracias.
CharonAboutSecretService01|Charon About Secret Service 01|Charon|Khhrraaa *hhaaaaahhhh*...
CharonChat03|Charon Chat 03|Charon|Rrrnmmmm…
CharonChat04|Charon Chat 04|Charon|Khhhrrrrr…
CharonChat06|Charon Chat 06|Charon|Rrrrnneehhhh…
CharonChat07|Charon Chat 07|Charon|Arrrrrrgggghhh…
CharonChat08|Charon Chat 08|Charon|Rrrrnnnhh…
CharonChat11|Charon Chat 11|Charon|Reehhhooooohh…
CharonChat13|Charon Chat 13|Charon|Nrrrrggghhh....
CharonChat14|Charon Chat 14|Charon|Hrrnnaaauugghhh....
CharonChat15|Charon Chat 15|Charon|Grrruuuooaahhh....
CharonChat16|Charon Chat 16|Charon|Mmmrrnnngghh....
CharonChat17|Charon Chat 17|Charon|Rrraaauuuggghhh....
CharonChat18|Charon Chat 18|Charon|Hhrrrnn, *haahhhhh*....
CharonChat19|Charon Chat 19|Charon|Urrrnngggghhh....
CharonChat20|Charon Chat 20|Charon|Khhrrrnnnnnnggghh....
CharonChat21|Charon Chat 21|Charon|Gggrrrnnngggghhhh....
CharonChat21|Charon Chat 21|Charon|*Heeehhh*, hohhhhh....
CharonGift01|Charon Gift 01|Zagreus|Caronte, me has reconfortado tanto que te ofrezco una muestra de mi gratitud.
CharonGift01|Charon Gift 01|Charon|*Hrrrhhrooooh*, hnnnn....
CharonGift01|Charon Gift 01|Zagreus|Espera, no tienes que darme nada a cambio. Era un regalo. Aunque insistes, ¿verdad?
CharonGift02|Charon Gift 02|Charon|Johhhh....
CharonGift02|Charon Gift 02|Zagreus|Me alegro de que te guste. Gracias por ayudarme con tus mercancías, aunque me desplumes con esos precios.
CharonGift03|Charon Gift 03|Charon|¿Hrrrnnnn…?
CharonGift03|Charon Gift 03|Zagreus|Que lo disfrutes, tío. Y cuando pongas al día la lista de precios, espero que te acuerdes de mí.
CharonGift04|Charon Gift 04|Charon|*Hrrrn*, hhmmm hmmmm....
CharonGift04|Charon Gift 04|Zagreus|A disfrutarlo, Caronte, tío. Y no pienses que te lo regalo para que me lo dejes todo más barato. Eso sería moralmente reprochable.
CharonGift05|Charon Gift 05|Charon|Rrooooohhh…
CharonGift05|Charon Gift 05|Zagreus|Sabía que dirías eso, Caronte, tío, pero insisto en que te lo quedes y lo disfrutes.
CharonGift06|Charon Gift 06|Charon|Hhhrrrrhh... *hhhrrrnnnn*... hrrrrrhhh...
CharonGift06|Charon Gift 06|Zagreus|Yo también me alegro de tenerte como amigo, Caronte. El placer es mío.
CharonGift07|Charon Gift 07|Zagreus|Caronte, ya sé que tienes una agenda muy apretada y no tendrías por qué desvivirte tanto por mí, así que toma, una muestra de mi aprecio por ti. Si algunas vez necesitas hablar, ya sabes que estoy aquí.
CharonGift07|Charon Gift 07|Charon|¡*Hrrrnnnnnnnnn*...! ¡Thhhrrrrrrrrnnnnnn... kkrrrrrrrrhhh...!
