Id|Description|Speaker|Text
ZeusWithDemeter01|Zeus With Demeter 01|Zeus|Jovencito, no importa lo que hayas oído sobre la buena de Deméter, me gustaría aclarar ciertas cosas. Ella es como una hermana para mí, sí, pero nada más. Aunque los titanes que la engendraron tuvieron el mismo destino que mis padres.
ZeusWithDemeter01|Zeus With Demeter 01|Demeter|¡Pero bueno, hermanastro Zeus! Cuanta franqueza inesperada por tu parte. Es casi como si te sintieses obligado a decir la verdad solamente cuando yo puedo escucharte.
AresWithDemeter01|Ares With Demeter 01|Ares|El frío de la muerte le sienta muy bien a la diosa Deméter, ¿no te parece, mi letal pariente? Y se está acostumbrando a él, además.
AresWithDemeter01|Ares With Demeter 01|Demeter|Creo que te olvidas de algo, Ares. Yo soy tu hermana mayor por mucho, y mis hambrunas habían acabado con decenas de miles de mortales antes de que tú siquiera pensases en provocar tales masacres.
ArtemisWithDemeter01|Artemis With Demeter 01|Artemis|Oh, hola, Zagreo. Justamente intentaba sin éxito convencer a Deméter para que relaje un poco ese temporal de nieve que estamos teniendo. Algunos de los mortales ya no lo soportan más, ¡y desde luego no lo pone nada fácil para cazar!
ArtemisWithDemeter01|Artemis With Demeter 01|Demeter|Los mortales son ingeniosos, Artemisa. ¡Quizás sea esa su única cualidad destacable! Encontrarán una manera de sobrevivir a nuestro largo invierno. Tienen que hacerlo, ya que ellos mismos se lo buscaron.
AphroditeWithDemeter01|Aphrodite With Demeter 01|Aphrodite|La venerable diosa de las estaciones, Deméter, elige tener el aspecto más regio que puede, ¿te lo puedes creer, querido? Aunque no entiendo por qué querría nadie dejarse tantas arrugas en el rostro.
AphroditeWithDemeter01|Aphrodite With Demeter 01|Demeter|Oh, querida Afrodita... no sabrías nada sustancioso si una piel fina te ofreciese su abrigo. Tu expresión pone en evidencia tus intenciones e intereses por igual.
DionysusWithDemeter01|Dionysus With Demeter 01|Dionysus|Oye, Zag, quería pedirte un favorcillo, ¿podrías persuadir a Deméter de que pare un poco el carro con eso que le ha dado últimamente de no dejar que crezca nada?
DionysusWithDemeter01|Dionysus With Demeter 01|Demeter|Me atrevería a decir, Dioniso, que libar algo menos de vino te podría venir bien. En cualquier caso, no podrás convencerme de contribuir a una mejor cosecha.
AthenaWithDemeter01|Athena With Demeter 01|Athena|Te presento a Deméter, primo. Le he dicho que puede quedarse tranquila sabiendo que tu problema está bajo control. Aunque, en su infinita compasión, ha decidido unirse a tu causa.
AthenaWithDemeter01|Athena With Demeter 01|Demeter|Ah, querida Atenea, no tienes porque darme el lujo de tus halagos vacíos. Con tu vasto intelecto esperaba que supieras que veo tus intenciones, tan claramente como el agua.
PoseidonWithDemeter01|Poseidon With Demeter 01|Poseidon|Mi cuñada, la diosa Deméter, pese a su aparente frialdad, suele disfrutar metiéndose conmigo de buena gana, sobrino. De hecho, ¡aquí la tenemos!
PoseidonWithDemeter01|Poseidon With Demeter 01|Demeter|Si ya ha cesado tu parloteo, Poseidón, nuestro joven Zagreo tiene cosas más importantes que hacer. Necesita tus bendiciones, no tu punto de vista. ¿Verdad, joven retoño?
DemeterWithZeus01|Demeter With Zeus 01|Demeter|A ver, joven retoño, ya has conocido al llamado rey del Olimpo y a mí. ¿Quién supones que es el legítimo amo de esta montaña nevada nuestra?
DemeterWithZeus01|Demeter With Zeus 01|Zeus|¡{#DialogueItalicFormat}Ja, ja, ja, ja{#PreviousFormat}, Deméter! Tu ingenio es tan seco como la tierra que se marchita por tu falta de cuidado. Quizá deberías atender a ese asunto, aunque mejor será que ayudemos al joven primero.
DemeterWithPoseidon01|Demeter With Poseidon 01|Demeter|Ah, pequeño retoño, solo estaba recordándole a Poseidón, aquí presente, que si su dominio existe es porque yo lo permito: recuerda, hermanito, que podría congelar tus océanos si se me antojase.
DemeterWithPoseidon01|Demeter With Poseidon 01|Poseidon|¡{#DialogueItalicFormat}Ja, ja, ja, ja{#PreviousFormat}! Muy bien dicho, venerable diosa Deméter. Vuelves a recordarme la vasta experiencia que posees, pero me parece que todos preferimos que los océanos sean líquidos, ¿no es así, sobrino?
DemeterWithAthena01|Demeter With Athena 01|Demeter|¡Y pensar, pequeño retoño, que nuestra estratega Atenea, la diosa guerrera, brotó de la cabeza de Zeus! No esperaría que saliera ninguna sabiduría de ahí.
DemeterWithAthena01|Demeter With Athena 01|Athena|No te tomes en serio el humor blanco de Deméter, Zagreo. Ella y mi padre suelen bromear incluso en los tiempos más difíciles.
DemeterWithAres01|Demeter With Ares 01|Demeter|Joven Zagreo, una vez que llegues, dile a Ares que su gran poder no vale nada sin el mío. Las guerras tienen sus causas, muchas de las cuales controlo yo.
DemeterWithAres01|Demeter With Ares 01|Ares|No cuestiono que tu influencia pueda agitar los impulsos bélicos de un mortal, diosa Deméter. ¡Al menos podemos estar de acuerdo en que nuestros reinos son compatibles!
DemeterWithAphrodite01|Demeter With Aphrodite 01|Demeter|Recuerda, Zagreo: un corazón helado no puede ejercer su influencia sobre nadie. ¿No es eso cierto, Afrodita?
DemeterWithAphrodite01|Demeter With Aphrodite 01|Aphrodite|¡No sé, querida Deméter! Un corazón helado tiende a descongelarse, y luego a latir con vigor renovado. Espero que tengas tu oportunidad algún día. Y sea cuando sea, no será tarde, excepto quizá para los pobres humanos.
DemeterWithArtemis|Demeter With Artemis|Demeter|¡Ah, Zagreo! ¡Mi gentil Artemisa estaba diciéndome lo preocupada que está por el aprieto en el que estás metido! Estoy segura de que le gustaría que ambas pudiéramos ayudarte.
DemeterWithArtemis|Demeter With Artemis|Artemis|¿Preocupada? No veo a nadie preocupada. ¡Lo tienes controlado, Zagreo! No necesitas la ayuda de nadie y puedes continuar a solas, pero solo por si acaso, y lo digo sin presiones... toma esto.
DemeterWithDionysus01|Demeter With Dionysus 01|Demeter|Las cosechas seguirán marchitándose y pudriéndose mientras me plazca, joven Zagreo. Aunque sí que hay en el Olimpo algunos que cuestionan mis motivos...
DemeterWithDionysus01|Demeter With Dionysus 01|Dionysus|Sí, señora, ¡yo los cuestiono! A ver, ¿cómo van a crecer las parras y las uvas para hacer el vino si te pones así de estirada? ¡Suéltate un poco, a ver qué podemos hacer!
DemeterAboutZeus01|Demeter About Zeus 01|Demeter|Veo que el noble rey de las deidades olímpicas se ha puesto en contacto contigo antes que yo, Zagreo. Me pregunto cuál será la mentira más reciente que te ha contado.
DemeterAboutPersephone01|Demeter About Persephone 01|Demeter|¡Al fin aparece el hijo pródigo de mi hermanastro! Yo también perdí a una hija, Zagreo. Fui muy estúpida con ella desde el principio. Su padre era un granjero humilde que me adoraba. También desapareció, claro, y ahora solo queda el frío.
DemeterAboutPersephone02|Demeter About Persephone 02|Demeter|Mi hija con un humilde granjero... Pues pequeño retoño, me temo que no fui muy amable con ella. Desde luego, no después del fallecimiento de su padre. ¡Su sangre mortal era su debilidad! Nacida de un mortal y raptada por mortales, sospecho. Ahora lo están {#DialogueItalicFormat}pagando{#PreviousFormat}.
DemeterAboutPersephone03|Demeter About Persephone 03|Demeter|Supongo que... No, nada, pequeño retoño, es solo que... He oído rumores perversos de vez en cuando sobre mi hija desaparecida, y lo que le sucedió. Kore, la llamábamos. Ella se llamaba a sí misma Perséfone, antes de que desapareciese sin dejar rastro...
DemeterAboutPersephone04|Demeter About Persephone 04|Demeter|Tras la desaparición de mi hija Kore, me fui de esta montaña y vagué por la tierra en su búsqueda. Y todo para nada. Supongo que igualmente necesitaba hacer ese viaje. Ojalá el tuyo vaya mejor.
DemeterAboutOlympianReunionQuest01|Demeter About Olympian Reunion Quest 01|Zagreus|Espero que madre sepa lo que hace. ¡En el nombre de Hades! ¡Olimpo, este es un mensaje oficial! Deméter, esto es para ti.
DemeterAboutOlympianReunionQuest01|Demeter About Olympian Reunion Quest 01|Demeter|¿Qué es esto, joven Zagreo? ¿Alguna especie de mensaje para mí? No... puedo descifrarlo, aunque... lleva los símbolos de mis dos hermanos y... ¡bueno! ¡Será mejor que comparemos notas!
