Id|Description|Speaker|Text
AresWithDionysus01|Ares With Dionysus 01|Ares|Pariente, estaba preguntándole a Dioniso en qué circunstancias se preparan los mejores festines de los mortales. Porque tengo una corazonada al respecto...
AresWithDionysus01|Ares With Dionysus 01|Dionysus|Sí, Ares, esto te lo admito, no hay nada como un festín después de una guerra. Siempre que seas del bando superviviente, claro. ¡De lo contrario, supongo que el festín se lo darán ahí abajo {#DialogueItalicFormat}contigo{#PreviousFormat}, Zag!
ArtemisWithDionysus01|Artemis With Dionysus 01|Artemis|Ah, genial, eres tú, Zagreo. Déjame ofrecerte algunas bendiciones nuevas de primera calidad. ¡También tenemos aquí a Dioniso, a quien seguro que le encantará parlotear contigo tanto como conmigo!
ArtemisWithDionysus01|Artemis With Dionysus 01|Dionysus|Me dice que hablo a gritos, y que me aleje, todo tipo de cosas desagradables como esas. Pero qué se le va a hacer, ¿no?
AphroditeWithDionysus01|Aphrodite With Dionysus 01|Aphrodite|Mis poderes, querido, van de la mano de los de Dioniso, ¡con su capacidad para disuadir a la mente para que encuentre belleza donde realmente no la hay!
AphroditeWithDionysus01|Aphrodite With Dionysus 01|Dionysus|{#DialogueItalicFormat}Ja, ja, ja{#PreviousFormat}, no tienes por qué adularme así, Afrodita. La belleza está casi por completo en la mente, ¡de eso no cabe duda! Y en los músculos, en la forma de la mandíbula, en una sonrisa arrebatadora... ¿Pero quién soy yo para decirlo?
DionysusWithZeus01|Dionysus With Zeus 01|Dionysus|Oye, Zag. Mi padre está aquí y quiere hablar contigo. Tú tranqui y dale la razón en lo que diga, ¿vale?
DionysusWithZeus01|Dionysus With Zeus 01|Zeus|Ese Dioniso, siempre demasiado atento a las presentaciones. Al menos me muestra el respeto adecuado. Tal vez algún día pueda instruirte en las costumbres del Olimpo.
DionysusWithPoseidon01|Dionysus With Poseidon 01|Dionysus|{#DialogueItalicFormat}Eh{#PreviousFormat}, Zag, {#DialogueItalicFormat}estooo{#PreviousFormat}... Tu tío está de paso por aquí. No me refiero a papá, sino {#DialogueItalicFormat}uhm{#PreviousFormat}, al otro, y quería preguntarte qué tal te va, así que...
DionysusWithPoseidon01|Dionysus With Poseidon 01|Poseidon|{#DialogueItalicFormat}Ajá{#PreviousFormat}. Ahí estas, pequeño sobrino mío. ¿Dioniso te está poniendo al día o no? Aunque si lo que quieres es un verdadero festín, quédate {#DialogueItalicFormat}conmigo{#PreviousFormat}. Ahora, recibe mi bendición y ¡{#DialogueItalicFormat}en marcha{#PreviousFormat}!
DionysusWithPoseidon01|Dionysus With Poseidon 01|Dionysus|{#DialogueItalicFormat}Oh{#PreviousFormat}, como te decía, colega. Aquí estamos, esperándote. Sabemos que lo lograrás. Con el tiempo, ¿supongo?
DionysusWithAthena01|Dionysus With Athena 01|Dionysus|Oye, Zag, cuando llegues va a ser toda una escena, te aviso. Hasta Atenea se soltará un poco el pelo, se pondrá más cómoda, ¡va a ser una {#DialogueItalicFormat}fiesta{#PreviousFormat}!
DionysusWithAthena01|Dionysus With Athena 01|Athena|Quizá Dioniso es el verdadero dios de la estrategia, ya que parece conocer con inusitada precisión mis próximos movimientos, primo. Aunque intentaré mantenerme centrada en tu situación, no en este banquete.
DionysusWithAres01|Dionysus With Ares 01|Dionysus|Zag, cuando llegues aquí, podrías ayudar a Ares a tomarse las cosas con menos seriedad, ¿sabes, tío? Siempre está aguando la fiesta con tanto hablar de sangre, crueldad y cosas por el estilo.
DionysusWithAres01|Dionysus With Ares 01|Ares|¡Dioniso! No sé por qué tales discusiones podrían percibirse como poco adecuadas en un banquete. Una guerra bien llevada es motivo de celebración, ¿no?
DionysusWithAphrodite01|Dionysus With Aphrodite 01|Dionysus|Mira, Zag, a estas alturas ya sabrás que, cuando se trata de festejar, es el menda quien se lo monta mejor. ¡Pero tengo la ayuda de Afrodita!
DionysusWithAphrodite01|Dionysus With Aphrodite 01|Aphrodite|El vino en verdad tiene una peculiar manera de hacer que todo el mundo parezca más guapo que nunca, querido Dioniso. Y de tal belleza es de donde nace el amor duradero. Bueno, y a menudo también el que no dura mucho.
DionysusWithArtemis01|Dionysus With Artemis 01|Dionysus|Zag, tío, intentaba conseguir que nuestra vieja amiga Artemisa hiciera acto de presencia al fin en uno de mis festejos, solo que parece preocupada por algo relacionado con... ¿cazar, creo que era?
DionysusWithArtemis01|Dionysus With Artemis 01|Artemis|Así es, Dioniso, ¡una {#DialogueItalicFormat}cacería{#PreviousFormat}! La cual requiere un montón de {#DialogueItalicFormat}silencio {#PreviousFormat}y una mente clara. Así que, si me disculpas...
DionysusWithDemeter01|Dionysus With Demeter 01|Dionysus|Oye, Zag, quería pedirte un favorcillo, ¿podrías persuadir a Deméter de que pare un poco el carro con eso que le ha dado últimamente de no dejar que crezca nada?
DionysusWithDemeter01|Dionysus With Demeter 01|Demeter|Me atrevería a decir, Dioniso, que libar algo menos de vino te podría venir bien. En cualquier caso, no podrás convencerme de contribuir a una mejor cosecha.
DionysusAboutOlympianReunionQuest01|Dionysus About Olympian Reunion Quest 01|Zagreus|Espero que esto esté a la altura de tus expectativas, colega. ¡En el nombre de Hades! ¡Olimpo, este es un mensaje oficial! ¡Seguro que lo pasaremos bien, Dioniso!
DionysusAboutOlympianReunionQuest01|Dionysus About Olympian Reunion Quest 01|Dionysus|Guau, espera un segundo, Zag... Puedo reconocer una invitación cuando la veo, tío, y definitivamente esta es una para mí... y también para los demás, ¿no? ¡Qué emoción! ¡Se trata de algo muy especial, es evidente!
DionysusPostEpilogue01|Dionysus Post Epilogue 01|Dionysus|Mira, Zag, no recuerdo exactamente lo que pasó en la fiesta que disteis para nosotros allí abajo, ¡pero déjame decirte que me queda la impresión de que fue {#DialogueItalicFormat}de fábula{#PreviousFormat}! ¡Una cosa {#DialogueItalicFormat}alucinante{#PreviousFormat}, tío! Montemos más de estas, ¿vale?
DionysusAboutZeus01|Dionysus About Zeus 01|Dionysus|Entonces, Zag, ¿ya has conocido a mi padre, tu tío Zeus? Es un buen tipo y le encanta la fiesta. Eso sí, no te olvides de él, ¿vale?
DionysusAboutPoseidon01|Dionysus About Poseidon 01|Dionysus|¡{#DialogueItalicFormat}Jojo{#PreviousFormat}, no me lo creo, Zag! Parece que ya te has buscado un regalo del viejo Poseidón, ¿eh? Te queda de perlas, pero aún así toma. ¡Espero que tengas sitio para más!
DionysusAboutAthena01|Dionysus About Athena 01|Dionysus|Oye, tío. He oído que Atenea ya ha hablado contigo, ¿no? Es buena piba cuando la conoces mejor. ¡Toma! Tengo algo que va con su estilo.
DionysusAboutAphrodite01|Dionysus About Aphrodite 01|Dionysus|Hala, seguro que te has encontrado con la adorable Afrodita. ¿Tengo razón o tengo razón, Zag? ¡Tengo {#DialogueItalicFormat}justo {#PreviousFormat}lo que necesitas como complemento!
DionysusAboutArtemis01|Dionysus About Artemis 01|Dionysus|Oye, Zag. De verdad que no me puedo creer que Artemisa se lleve bien contigo. ¡Tío, no se lleva bien con nadie! Pero estoy divagando, ¡toma esto!
DionysusAboutAres01|Dionysus About Ares 01|Dionysus|¿Qué, Zag, de colegueo con Ares? Es todo un personaje, lo admito. ¡Pero ahora admite tú {#DialogueItalicFormat}este {#PreviousFormat}regalito!
DionysusAboutDemeter01|Dionysus About Demeter 01|Dionysus|Justo ahora he sentido un aire frío, lo que quiere decir que la gélida Deméter ha decidido echarte un cable, ¿eh? O quizá solo es frío normal. Al fin y al cabo, estamos en lo alto de una montaña.
DionysusAboutHadesKeepsake01|Dionysus About Hades Keepsake 01|Dionysus|Oye, Zag, eh... puede que esté perdiendo la cabeza o algo, pero ¿no son esas bendiciones que tienes las de tu padre? Qué pasada, tío, ¡no sabía que te estaba ayudando!
DionysusPostGiftPickup01|Dionysus Post Gift Pickup 01|Dionysus|¿Qué tal le va a mi dios del Inframundo preferido? ¿Vas tirando, Zag? ¡Seguro que estarás mejor dentro de un momento!
DionysusPostGiftPickup02|Dionysus Post Gift Pickup 02|Dionysus|Zag, colega. ¡Algún día serás el invitado de honor en el {#DialogueItalicFormat}mayor {#PreviousFormat}festín que hayas visto {#DialogueItalicFormat}nunca{#PreviousFormat}! Eso sí, sé que por ahora no das abasto, ¡así que lo primero es lo primero!
DionysusBackstory01|Dionysus Backstory 01|Dionysus|Tío, a veces me pregunto qué te pasa por la cabeza. Me explico: sé que nos escuchas a los otros y a mí, pero ahí está tan oscuro que yo no te oigo para nada.
DionysusBackstory02|Dionysus Backstory 02|Dionysus|Deja que te diga algo, Zag. Sé que tu padre tiene que ser un peñazo. Te entiendo a la perfección, ¿vale, colega? Así que sal de ahí y serás más que bienvenido aquí, ¡con nosotros!
DionysusHighRelationship01|Dionysus High Relationship 01|Dionysus|Tío, tengo el pálpito de que esta vez las cosas van a seguir su curso, y para bien, casi seguro. ¡Eso creo!
DionysusHighRelationship02|Dionysus High Relationship 02|Dionysus|La clave para cualquier banquete decente son unos buenos preparativos... o quizá tan solo poder improvisar, ¿sabes?
DionysusRunProgress01|Dionysus Run Progress 01|Dionysus|Zag, tengo que reconocértelo. No te rindes. Nunca te rindes. ¿Esta cuál es? ¿La enésima vez que tratas de escapar?
DionysusRunProgress02|Dionysus Run Progress 02|Dionysus|Lo estás consiguiendo. Lo estás logrando, tío. Me suena que has llegado hasta los Prados Asfódelos. Eso sí que es avanzar. Sigue así y adelante, ¿vale?
DionysusRunProgress03|Dionysus Run Progress 03|Dionysus|Dicen que te has enfrentado a unos sátiros cerca de la superficie. Me alegro de que hayas llegado tan lejos. Que sepas que esos bichejos no son colegas míos. Los sátiros que conozco no tienen esa pinta.
DionysusRunCleared01|Dionysus Run Cleared 01|Dionysus|¿Qué te ha pasado, tío? Estabas a tiro de piedra, pero te perdimos de vista. ¿Y ahora estás de vuelta? Venga, inténtalo otra vez.
DionysusRunCleared02|Dionysus Run Cleared 02|Dionysus|Quiero decirte algo, tío. Ha costado, pero te estás acercando a la superficie. Algún día llegarás, y allí estaremos nosotros contigo. Tardes lo que tardes, ¿vale?
DionysusPostEpilogue02|Dionysus Post Epilogue 02|Dionysus|Ey, cuando la fiesta aquella, tío, espero que no montase ningún lío ni incomodase a nadie. No lo hice, ¿verdad...?
DionysusPostEpilogue03|Dionysus Post Epilogue 03|Dionysus|Zag, no puedo creerme lo de que tu madre sea Perséfone. Vaya pasada, ¡te lo tenía que decir! ¡Nunca pensé que el rollo del Inframundo fuera con ella!
DionysusAboutKeepsake01|Dionysus About Keepsake 01|Dionysus|¡Pero si es el Cáliz Rebosante que te regalé! Me alegro de que te guste, tío. Supongo que sigue rebosante, porque por lo demás es imposible saberlo a simple vista.
DionysusAboutNectar01|Dionysus About Nectar 01|Dionysus|Tío, a estas alturas debes ser colega de {#DialogueItalicFormat}todo {#PreviousFormat}el mundo, ¿no? Con eso de regalar néctar por doquier y animar todo esto.
DionysusAboutNectar02|Dionysus About Nectar 02|Dionysus|A ver, permíteme señalarte que llevas un montón de néctar, tío. Puedo sentirlo, me encanta ese brebaje, aunque ni yo llevo {#DialogueItalicFormat}tanto {#PreviousFormat}encima normalmente. ¡{#DialogueItalicFormat}Guau{#PreviousFormat}!
DionysusAboutAmbrosia01|Dionysus About Ambrosia 01|Dionysus|Dime, tío, si no me equivoco, creo que llevas una botella de ambrosía, ¿verdad? No sabía que se podía conseguir allí abajo. Hazme un favor: recoge todas las que puedas, o mejor aún, ¡regálalas! Odiaría pensar que se desperdicia una sola gota.
DionysusAboutAmbrosia02|Dionysus About Ambrosia 02|Dionysus|¡Pero mírate, Zag! Eres como un almacén de ambrosía con piernas, ¿no? Y proteges hasta la última botella, sabía que podía contar contigo, pero... {#DialogueItalicFormat}<Sniff> {#PreviousFormat} ¡no que pudiera estar tan orgulloso de ti, tío!
DionysusAboutAmbrosia03|Dionysus About Ambrosia 03|Dionysus|Zag, resulta que se me da bien juzgar el carácter de la gente, y tú tienes {#DialogueItalicFormat}mogollón {#PreviousFormat}de carácter... ¿Cuánta ambrosía has regalado? ¿A {#DialogueItalicFormat}todos {#PreviousFormat}tus colegas y a {#DialogueItalicFormat}otros{#PreviousFormat}?
DionysusAboutAmbrosia04|Dionysus About Ambrosia 04|Dionysus|Dime algo, Zag: ¿cómo has reunido tanta ambrosía allí abajo? Es verdad que aquí abunda, ¡pero parece que tú estés nadando en ella!
DionysusAboutGifting01|Dionysus About Gifting 01|Dionysus|Eres la comidilla de la montaña, ¿lo sabías, tío? Me alegro por ti, te estás ganando el favor de casi todo el mundo, ¡lo cual es un logro en sí mismo!
DionysusAboutOrpheus01|Dionysus About Orpheus 01|Dionysus|Oye, Zag. ¿Alguna vez has visto ahí abajo a un tipo llamado Orfeo? ¿Te suena? Seguro que sí. He tenido una idea curiosa. Una pequeña broma, si es que te apetece un poco de diversión inofensiva.
DionysusAboutOrpheus01|Dionysus About Orpheus 01|Zagreus|¿Diversión inofensiva a costa de Orfeo? Dioniso, colega, tienes toda mi atención.
DionysusAboutOrpheus01|Dionysus About Orpheus 01|Dionysus|Ese notas se inventa las canciones más flipantes; así que estaba pensando... ¿y si le contamos una milonga? ¿Algo en plan que tú y yo estamos conectados? Se lo tragará. Díselo, ¿vale? Hazlo por mí.
DionysusAboutOrpheus02|Dionysus About Orpheus 02|Dionysus|{#DialogueItalicFormat}Ja, ja, ja{#PreviousFormat}. Zag, he oído que hablaste con Orfeo. Tiene toda una balada que trata sobre cómo en realidad yo soy tú. O a lo mejor es al revés. No tengo ni idea. {#DialogueItalicFormat}Ja, ja, ja{#PreviousFormat}. ¡Toma!
DionysusAboutSingersReunionQuest01|Dionysus About Singers Reunion Quest 01|Dionysus|Zag, he oído que Orfeo encontró a su esposa desaparecida. Qué historia más tierna, ¿no? ¡Brindo por ellos y tú también deberías!
DionysusVsMeg01|Dionysus Vs Meg 01|Dionysus|{#DialogueItalicFormat}Eeh{#PreviousFormat}. Oye, tío. ¿Has tenido varios encontronazos con la erinia esa? Se llama Megera, ¿no? ¡A esa sí que le va la marcha! ¡A lo mejor esto te sirve la próxima vez que os encontréis!
DionysusAboutMegRelationship01|Dionysus About Meg Relationship 01|Dionysus|Oye, Zag, dicen que sales con la erinia Megera. Brindo a vuestra salud. Seguro que es la caña de tía, pero ojito con ese látigo que tiene, ¿vale?
DionysusAboutMegRelationship02|Dionysus About Meg Relationship 02|Dionysus|Tío, me dicen que tienes algo con Megera la erinia, ¿es cierto? Espero que sí, porque {#DialogueItalicFormat}ja, ja, ja, ¡miau!{#PreviousFormat}, ¿me entiendes? ¡Dicen que es un torbellino!
DionysusAboutThanRelationship01|Dionysus About Than Relationship 01|Dionysus|Oye, tienes algo con Tánatos, ¿verdad? Todo un penas el tipo, a veces casi me apetece invitarlo a una fiesta de las mías pero, ¿y si se carga el ambiente y hace que todo el mundo se ponga {#DialogueItalicFormat}aaaaaay{#PreviousFormat}? ¿Sabes lo que te digo?
DionysusVsTheseus01|Dionysus Vs Theseus 01|Dionysus|Dicen que le has dado un buen repaso a Teseo en el Elíseo. Bien hecho. Ese tío no me gustaba ni un pelo. Recuerdo a una chavala que le ayudó en una ocasión, y él la dejó tiradísima. No me mola nada, tío.
DionysusAboutYarn01|Dionysus About Yarn 01|Dionysus|Llevas el Ovillo de Ariadna. Conozco a la piba que le da nombre. Era un bomboncito. Estuvimos un tiempo juntos, pero es una larga historia. Te la contaré cuando llegues.
DionysusLowHealth01|Dionysus Low Health 01|Dionysus|La leche, Zag. Pareces hecho polvo del todo. Trata de tomártelo con calma si puedes, ¿vale? Toma, ¡tal vez esto te ayude!
DionysusLowHealth02|Dionysus Low Health 02|Dionysus|Uff, Zag. Mira, sé que es un momento complicado y seguro que estás de capa caída. Pero tal vez esto te ayude a olvidarte un poco del dolor.
DionysusLowHealth03|Dionysus Low Health 03|Dionysus|Ugh, te voy a ser sincero, estás hecho un asquete, te desangras a chorros. Aguanta ahí, ¿eh?
DionysusLowHealth04|Dionysus Low Health 04|Dionysus|¿Qué pasa por ahí abajo, Zag? Es como si hubieras estado de fiesta día y noche, no te tienes en pie. ¿Todo bien?
DionysusLowHealth05|Dionysus Low Health 05|Dionysus|No tienes pinta de poder continuar, ¿qué te ha pasado? Mira, ¿sabes qué? Voy a ver si puedo ponerte en pie de nuevo.
DionysusLegendaryPickUp01|Dionysus Legendary Pick Up 01|Dionysus|{#DialogueItalicFormat}Jo, jo{#PreviousFormat}, Zag. Quiero darte una cosita muy especial. De lo bueno, lo mejor. Y de lo mejor, lo superior. ¡Tú mira y alucina!
DionysusLegendaryPickUp01_B|Dionysus Legendary Pick Up 01 B|Dionysus|Mira, hoy me siento generoso, ¿sabes? Por eso te regalo una cosita {#DialogueItalicFormat}superpotente {#PreviousFormat}para que tengas un poco más de aguante que antes.
DionysusFirstPickUp|Dionysus First Pick Up|Zagreus|¿Eso era… una fiesta? Gente pasando un buen rato. ¡Pues claro! ¡En el nombre de Hades! Olimpo, acepto el mensaje.
DionysusFirstPickUp|Dionysus First Pick Up|Dionysus|¿Qué pasa, Zag? ¿Qué marcha me llevas? Mira, ya deberías estar aquí con los demás. ¡Te estamos guardando un sitio! Mientras tanto, a ver qué puedo hacer para que tu vida sea menos complicada.
DionysusMiscPickup01|Dionysus Misc Pickup 01|Dionysus|Parece que el banquete aún no ha empezado. ¿Estoy en lo cierto, Zag? Vamos, haremos que todo el mundo se lo pase genial.
DionysusMiscPickup02|Dionysus Misc Pickup 02|Dionysus|Zag, ¿a que esto es solo el calentamiento? Toma. Tengo una fabulosa selección de bendiciones, solo para ti.
DionysusMiscPickup03|Dionysus Misc Pickup 03|Dionysus|{#DialogueItalicFormat}La leche{#PreviousFormat}, Zag. Seguro que no te vendría mal un revigorizante. ¡Pues aquí estoy para ofrecerte el que más te guste!
DionysusMiscPickup04|Dionysus Misc Pickup 04|Dionysus|¿Qué pasa, Zag? ¿Cómo vas, tunante? ¿Todo bien? Había pensado que podíamos brindar a tu salud, pero luego pensé: «{#DialogueItalicFormat}¡Espera! ¡Puedo hacer algo mejor!{#PreviousFormat}» ¡Así que toma!
DionysusMiscPickup05|Dionysus Misc Pickup 05|Dionysus|Ey, ¿qué tal la vida por ahí abajo? Supongo que todo bien, ¿no? ¡Quieto parao! ¡Tengo justo lo que necesitas!
DionysusMiscPickup06|Dionysus Misc Pickup 06|Dionysus|Hola, Zag. Qué bien que nos encontremos. Aunque no hace falta que te esfuerces tanto, ¿vale? Creo que esto te hará la vida más sencilla.
DionysusMiscPickup07|Dionysus Misc Pickup 07|Dionysus|¿Cómo lo llevas por ahora, tío? ¿Todo bien? No respondas aún. Fijo que podemos hacer que las cosas mejoren.
DionysusMiscPickup08|Dionysus Misc Pickup 08|Dionysus|Ese Inframundo en el que vives es un pozo infecto, ¿no, Zag? Qué lástima que estés atrapado ahí. ¡Pero conseguiremos hacerte salir, tú y yo!
DionysusMiscPickup09|Dionysus Misc Pickup 09|Dionysus|Tío, en cuanto llegues al Olimpo va a haber un banquete como {#DialogueItalicFormat}nunca {#PreviousFormat}has visto. ¡Acuérdate de lo que te digo! Ahora, coge esto y buena suerte.
DionysusMiscPickup10|Dionysus Misc Pickup 10|Dionysus|Oye, Zag. Cuando pelees con los cadáveres y las sombras rancias, hazlo con deportividad. Aunque si necesitas una manita…
DionysusMiscPickup11|Dionysus Misc Pickup 11|Dionysus|¡Lo tienes controlado, tío! Creo en ti a tope, casi tanto como los griegos creen en mí. Y ellos creen en mí a más no poder, ¡te lo aseguro!
DionysusMiscPickup12|Dionysus Misc Pickup 12|Dionysus|Hora de intentar escapar de nuevo, ¿eh, Zag? Bueno, no te preocupes. Lo conseguiremos, así que vamos al lío.
DionysusMiscPickup13|Dionysus Misc Pickup 13|Dionysus|Préstame atención, Zag, porque esta vez tengo algo que te va a dar potencia adicional para avanzar. ¿Listo, tío?
DionysusMiscPickup14|Dionysus Misc Pickup 14|Dionysus|Espera un momento, Zag, porque tengo justo lo que necesitamos para esta ocasión. Te va a encantar. ¡Al loro con esto!
DionysusMiscPickup15|Dionysus Misc Pickup 15|Dionysus|Escucha, Zagreo. Estoy seguro de que todo va a salir bien, pero por si acaso… {#DialogueItalicFormat}Por si acaso{#PreviousFormat}, ¡tengo algo solo para ti!
DionysusMiscPickup16|Dionysus Misc Pickup 16|Dionysus|Zag, soy yo. Sé que no tienes mucho tiempo libre para escucharme divagar, así que me dejo de rollos. ¡Mira!
DionysusMiscPickup17|Dionysus Misc Pickup 17|Dionysus|Hola otra vez, Zag. ¡Sigue como vas y seguro que ya mismo estamos echando el rato juntos por aquí! ¡Te apoyo a tope!
DionysusMiscPickup18|Dionysus Misc Pickup 18|Dionysus|Ah, hola. Vamos a ver, tío. Creo que {#DialogueItalicFormat}esta vez {#PreviousFormat}te vendría bien echar un traguito a mis brebajes.
DionysusMiscPickup19|Dionysus Misc Pickup 19|Dionysus|Brindo por los momentos interesantes. ¿Qué te parece, eh?
