Id|Description|Speaker|Text
Ending01|Ending 01|Persephone|Me pasé varios días cuidando de su jardín... ¿O fueron noches? Es difícil saber qué hora es aquí. El caso es que está aguantando más de lo que habría esperado...
Ending01|Ending 01|Hades|Perséfone, yo...
Ending01|Ending 01|Persephone|¡Cerbero! Te he echado tanto de menos... Veo que sigues cumpliendo tu cometido.
Ending01|Ending 01|Hades|Lo siento. Que sepas que lo siento.
Ending01|Ending 01|Persephone|Hades, pareces cansado, aunque no soy la única a la que debes una disculpa.
Ending01|Ending 01|Hades|Lo sé, lo sé... ¿Por qué has vuelto? Si el Olimpo... Si tu madre descubre lo que pasó, ni siquiera *Zeus *podría detener lo que sucedería a continuación.
Ending01|Ending 01|Persephone|*Ah*, he estado pensando en cómo podríamos arreglar eso, aunque necesitaré que Zagreo y tú me ayudéis con la solución. ¿O prefieres que vuelva por dónde he venido?
Ending01|Ending 01|Hades|¿Una solución? ¿Es que piensas invitarlos a tomar unas copas de *ambrosía*? Ni tú podrías arreglar una familia rota, Perséfone.
Ending01|Ending 01|Persephone|Tienes razón, Hades, no podría. Desde luego, no sola. ¿Me ayudarás entonces, o qué?
Ending01|Ending 01|Hades|Haría cualquier cosa que me pidieras.
Ending01|Ending 01|Persephone|Entonces, primero, habla con tu hijo.
Ending01|Ending 01|Hades|*Jum*. ¿Zagreo? Ya conoces a Perséfone, nuestra reina. ¡Espero que le muestres respeto en todo momento!
Ending01|Ending 01|Zagreus|Vaya, padre, ¡me has llamado por mi nombre! ¿Qué es esta curiosa sensación que siento? ¿Acaso es ese *respeto *del que hablas?
Ending01|Ending 01|Persephone|Parad los dos. No hagas que lamente esto, Hades, sé sincero con él. Sobre ti, no sobre mí. Adelante.
Ending01|Ending 01|Hades|Sí. Yo... Zagreo, sé que ha habido ocasiones en las que... he pagado contigo mi mal humor. He tenido muy poca paciencia. He cuestionado tu juicio a menudo, cuando el mío era a su vez imperfecto. Por todo eso, te pido perdón, hijo mío. No tengo excusa y no espero que me perdones.
Ending01|Ending 01|Zagreus|¿Y qué me dices de cuando me mentiste sobre mi madre? ¿Pides disculpas por eso? Tu mal humor y que lo pagases conmigo... Llevo tiempo sin esperar otra cosa de ti, y siempre te guardé rencor, pero al menos creía que... eras sincero.
Ending01|Ending 01|Hades|Tu madre no vino aquí voluntariamente cuando nos conocimos. Cuando se fue, pensando que habías muerto al nacer, su decisión era definitiva. Creía que estaría mejor sin nosotros, Olimpo incluido. Engañaros a ambos me hizo pedazos por dentro, pero era necesario.
Ending01|Ending 01|Zagreus|Bueno, pues no tenías por qué volcar en mí ese dolor interno toda la vida. Aunque creo que lo entiendo, solo desearía haberlo entendido antes. Y ahora, ¿qué? Estoy tan acostumbrado a ir sembrando el caos por tu dominio, que creo que lo echaré de menos.
Ending01|Ending 01|Hades|Sobre eso... tus *acciones *han desvelado numerosos fallos en nuestra seguridad, del tipo que nunca aparecen en los informes. Nuestra reputación depende de que no haya posibilidad de huida. ¿Por qué no sigues intentando escapar? No por mí, sino por el reino, por la reina.
Ending01|Ending 01|Persephone|Zagreo, si sigues esforzándote por huir, mantendremos las apariencias de que todo sigue como estaba.
Ending01|Ending 01|Zagreus|Una pregunta, padre. Pongamos que acepto. La próxima vez que llegue a la superficie, ¿seguirás esperándome tú?
Ending01|Ending 01|Hades|Chico, si crees por un instante que te lo voy a poner fácil por lo que ha pasado, te vas a llevar una sorpresa.
Ending01|Ending 01|Zagreus|Entonces, ¿sigo luchando por llegar a la superficie y matando a mi propio padre?
Ending01|Ending 01|Hades|¡Casi has acertado!
Ending01|Ending 01|Persephone|Quizá te toque también atender mi casa mientras andes por la zona. No hay que esforzarse mucho por cuidar el jardín. Me gusta que todo esté decente, en caso de que no aguante esta situación mucho tiempo.
Ending01|Ending 01|Zagreus|¡*Ja, ja, ja*! Vale, haré lo que pueda.
Ending01|Ending 01|Persephone|Con eso me basta. Y está claro que tenemos trabajo por hacer. Mucho, diría yo. ¿Empezamos, pues?
Ending01|Ending 01|Zagreus|*Después de todo este tiempo*, y ahora han pasado solo unos días. Pero está bien. Madre y padre están juntos de nuevo, he hecho nuevos amigos, ¡y he conseguido este cuadro tan bonito! Fácil. ¡Todo está bien en el Inframundo!
LordHadesAboutPersephoneMeeting01|Lord Hades About Persephone Meeting 01|Hades|Ahora sabes que, aunque puedas derrotarme, acabarás pereciendo tarde o temprano. ¿Y no te rindes? No tiene ningún sentido.
LordHadesAboutPersephoneMeeting01|Lord Hades About Persephone Meeting 01|Zagreus|La encontré, padre, y volveré a encontrar a madre de nuevo. Y otra vez, y otra, hasta que tenga respuestas al fin. Ella también tiene algunas preguntas, empezando por *el motivo de que no le dijeses que yo había sobrevivido*. ¡Dejaste que se marchase y la abandonaste con su dolor!
LordHadesAboutPersephoneMeeting01|Lord Hades About Persephone Meeting 01|Hades|¡*Silencio*, chico! Ahórrate todas esas acusaciones sin fundamento. Pareces incapaz de atender a mi petición de dejar de cotorrear sobre un asunto que no podrás entender nunca. ¡Así que yo ahorraré fuerzas para este combate!
LordHadesAboutPersephoneMeeting02|Lord Hades About Persephone Meeting 02|Hades|Se suponía que no debías sobrevivir. Hizo falta toda la fuerza de Nicte para evitar lo inevitable. Y ahora no puedes morir. Tal es el sentido humor de las moiras.
LordHadesAboutPersephoneMeeting02|Lord Hades About Persephone Meeting 02|Zagreus|Nicte me salvó... Entonces, según las moiras, no debería haber nacido siquiera, puesto que ni tú ni madre sois del Inframundo, ¿es eso? ¿O es solo otra mentira que le contaste a madre y al resto?
LordHadesAboutPersephoneMeeting02|Lord Hades About Persephone Meeting 02|Hades|¡*Bah*! Crees que todo es una mentira. El reino que ves bajo tus pies se me otorgó de acuerdo a ciertas condiciones, y no es que tuviera elección. Una de ellas era que un habitante de la superficie, como lo era yo, no podría engendrar heredero alguno.
LordHadesAboutPersephoneMeeting02|Lord Hades About Persephone Meeting 02|Zagreus|¿Y de verdad te lo creíste? ¿Por qué intentaste tener un hijo, entonces?
LordHadesAboutPersephoneMeeting02|Lord Hades About Persephone Meeting 02|Hades|¡No tienes ni idea! El por qué alguien *elegiría *tener un hijo es un misterio para mí. Las moiras dijeron que no habría de tener nunca un heredero. Quizá se referían a *esto*.
LordHadesAboutPersephoneMeeting05|Lord Hades About Persephone Meeting 05|Hades|Y pensar que el Olimpo te ha estado ayudando... Debes estarles muy agradecido por su ayuda, sin la cual nada de esto habría sido posible.
LordHadesAboutPersephoneMeeting05|Lord Hades About Persephone Meeting 05|Zagreus|Sí, en cuanto a eso, padre... ¿dejaste que madre se marchase porque temías que los dioses del Olimpo descubriesen todo y... no respondiesen bien, dadas las circunstancias?
LordHadesAboutPersephoneMeeting05|Lord Hades About Persephone Meeting 05|Hades|*Tsss*. Agradece que las moiras aún no lo hayan descubierto, dada tu intromisión. No los conoces tan bien como crees. Pregúntate por qué ella se fue del Olimpo, y cómo. O mejor, pregúntaselo a *ella*.
LordHadesAboutPersephoneMeeting05|Lord Hades About Persephone Meeting 05|Zagreus|Pues su carácter es muy dulce, así que, conociéndote, probablemente la engañases para que firmase un pacto y viniese contigo o algo por el estilo. Como tú no podías ir al Olimpo, ¿por qué no traerte algo de allí?
LordHadesAboutPersephoneMeeting05|Lord Hades About Persephone Meeting 05|Hades|¡*Ja*! Pues sorprendentemente, no andas muy desencaminado. Me la traje conmigo. ¿Es lo que querías oír? ¿Te llena eso de rabia? ¡Desata entonces esa ira!
LordHadesAboutPersephoneMeeting06|Lord Hades About Persephone Meeting 06|Hades|Entonces... ¿se lo has preguntado, chico? Me refiero a cómo acabó conmigo en el Inframundo. ¿Has confirmado tus sospechas?
LordHadesAboutPersephoneMeeting06|Lord Hades About Persephone Meeting 06|Zagreus|Parece que no la arrastraste al averno. No me vas a decir quién lo hizo, aunque me lo puedo imaginar. Tus hermanos conseguían reinar para la eternidad en el Olimpo, mientras tú ibas a parar al Inframundo, así que te dieron un premio de consolación, ¿verdad?
LordHadesAboutPersephoneMeeting06|Lord Hades About Persephone Meeting 06|Hades|Menudas acusaciones haces sin tener ni la más mínima idea. Tan inconsciente como siempre. ¡Poseidón no tuvo nada que ver! Sabe incluso menos que tú. Si valoras su existencia o la tuya, será mejor que todos sigan viviendo en la ignorancia, ¡y que te des la vuelta!
LordHadesAboutPersephoneMeeting07|Lord Hades About Persephone Meeting 07|Hades|Era la reina... ¡La reina del Inframundo! Mi reina. Inspiraba respeto, asombro y terror. No era un simple... ¿Qué palabra usaste? ¿Un *premio de consolación*? Le faltas el respeto tanto como a mí.
LordHadesAboutPersephoneMeeting07|Lord Hades About Persephone Meeting 07|Zagreus|¿Y qué sabrás tú? ¡Dices tenerle tanto respeto, pero ni siquiera le dijiste lo que pasó después de que se marchase! Pero... qué estoy diciendo... sé que aún la quieres, padre. Eso explicaría todas las terribles decisiones que has tomado.
