Id|Description|Speaker|Text
HermesSecondPickUp|Hermes Second Pick Up|Hermes|¿Qué tal vas, primo? ¿Puedo llamarte "primo"? ¡Te tengo preparado algo para que tus combates a muerte terminen mucho más rápido!
HermesExpectingZeus01|Hermes Expecting Zeus 01|Hermes|Lo siento, jefe. Mi viejo tenía que atender asuntos urgentes. ¡Pero aquí estoy yo! Entregándote ese mensaje y haciéndote llegar esto.
HermesExpectingPoseidon01|Hermes Expecting Poseidon 01|Hermes|Vengo para decirte que Poseidón está de camino, jefe. A veces es un poco lento. ¡Pero seguro que volveréis a encontraros!
HermesExpectingAthena01|Hermes Expecting Athena 01|Hermes|Jefe, ¿esperabas a otra persona? ¿Tal vez a cierta hermanastra mía? Bueno, pues mala suerte. Yo he llegado primero. ¿Quieres algo de esto o no?
HermesExpectingAres01|Hermes Expecting Ares 01|Hermes|Jefe, en cuanto me enteré de que estabas buscando a Ares, vine lo antes posible. Nunca me vencerá. Y mucho menos con toda esa armadura.
HermesExpectingAphrodite01|Hermes Expecting Aphrodite 01|Hermes|Afrodita ha dicho que llegará un poco tarde, primo. Seguro que lo entiendes. Además, ¡aquí me tienes! Al menos en espíritu.
HermesExpectingArtemis01|Hermes Expecting Artemis 01|Hermes|Quería avisarte de que mi hermana Artemisa te está buscando. ¡Deberías encontrártela en breve en cualquier estancia que visites!
HermesExpectingDionysus01|Hermes Expecting Dionysus 01|Hermes|Jefe, me temo que Dioniso no ha podido venir. Eso sí, la puntualidad nunca ha sido uno de sus fuertes.
HermesExpectingDemeter01|Hermes Expecting Demeter 01|Hermes|Ese frío que esperabas en el aire... ¡esta vez no era Deméter, jefe! No, era yo llegando a ti como una exhalación. ¡Levanto una brisa muy agradable, creo!
HermesBeatCharonQuestComplete|Hermes Beat Charon Quest Complete|Hermes|¡Lo lograste, primo! Y con *lo *me refiero a lo de darle una paliza a mi socio el barquero, que se cree la más dura de las deidades del Inframundo. Él no tenía claro que fueses capaz y, si te soy brutalmente sincero, yo tampoco.
HermesAboutPlume02|Hermes About Plume 02|Hermes|Oye, parece que estás sacándole partido a esa pluma tuya tan elegante. Sigue así. ¡A lo mejor algún día eres la mitad de rápido que yo!
HermesAboutSkelly01|Hermes About Skelly 01|Hermes|Tengo muy buena vista, así que me he dado cuenta de que llevas una muela muy especial. Ya sé que eres de la tierra de los muertos y tal, ¿pero no te parece que es algo extraño llevar algo así?
HermesAboutPersephoneMeeting01|Hermes About Persephone Meeting 01|Hermes|He oído que al fin has salido de ahí, primo. Enhorabuena, ¡mi más sincera enhorabuena por ello! El secreto está a salvo conmigo, por supuesto. Los demás se piensan que sigues intentándolo. Aunque... ¡en realidad es así!
HermesPostEnding01|Hermes Post Ending 01|Hermes|¡Me he enterado de que alguien ha vuelto allí contigo, primo! Diría que son excelentes *noticias *si no fuera porque no son noticias, ¡al menos aún no! Pero si llega el momento en el que quieres que se corra la voz, ¡avisa!
HermesPostEnding01|Hermes Post Ending 01|Hermes|¿Así que ahora *puedes *seguir intentando huir todas las veces que quieras, para que *tu padre *siga buscando formas de poner más difícil la huida? ¿Algo así? ¡Suena a trabajo interesante, primo!
HermesAboutOlympianReunionQuest01|Hermes About Olympian Reunion Quest 01|Zagreus|Esta vez yo seré el mensajero. ¡En el nombre de Hades! ¡Olimpo, este es un mensaje oficial! ¿Hermes? He venido tan rápido como he podido.
HermesAboutOlympianReunionQuest01|Hermes About Olympian Reunion Quest 01|Hermes|Parece que tengo un mensaje solo para *mí *esta vez, eso es muy especial, ¿verdad, jefe? Una especie de invitación por lo que parece. ¿Seguro que es para mí, dado que no estoy involucrado oficialmente?
