Id|Description|Speaker|Text
HypnosFirstMeeting|Hypnos First Meeting|Hypnos|Bienvenido a la morada de Hades, donde… Espera, yo *te conozco*. Deduzco entonces que has muerto, ¿eh? Bueno, no te pongas triste. Casi todos acabamos muriendo.
HypnosMiscMeeting01|Hypnos Misc Meeting 01|Hypnos|¡Oh, hola! Te preguntaría qué tal todo, pero como has vuelto, ya me lo imagino. En fin, ¡siéntete como en casa!
HypnosMiscMeeting02|Hypnos Misc Meeting 02|Hypnos|Qué bien, ya has vuelto, ¿eh? Unos pocos habíamos hecho apuestas sobre cuánto durarías esta vez... ¡y yo sabía que volverías en nada!
HypnosMiscMeeting03|Hypnos Misc Meeting 03|Hypnos|Oh, ¡hola! *Um*, ¡bienvenido! ¡De nuevo! ¡Pase adelante! Aunque creo que tu papá esta enojado por algo.
HypnosMiscMeeting04|Hypnos Misc Meeting 04|Hypnos|Caray, ya has muerto unas cinco veces, ¿verdad? Morir es bueno para nuestro ecosistema, así que… gracias por hacer del Inframundo un lugar mejor.
HypnosMiscMeeting04|Hypnos Misc Meeting 04|Zagreus|¡Genial! Resulta que si sigo muriendo una y otra vez, todo irá divinamente...
HypnosMiscMeeting05|Hypnos Misc Meeting 05|Hypnos|Me encanta contemplar la fuente del Estigia, ¿sabes? Con sus olitas de sangre y todo eso. De vez en cuando, emerge alguien, como tú. Empleados de la casa e invitados de honor, nadie más. Los inscribo y me aseguro de que tengan una estancia placentera.
HypnosMiscMeeting06|Hypnos Misc Meeting 06|Hypnos|*Caramba*, esta vez has llegado a los Asfódelos. ¡Me parece divino! Has muerto y todo eso, pero no tan rápido como acostumbrabas. Vas progresando, ¿no?
HypnosRunProgress01_A|Hypnos Run Progress 01 A|Hypnos|¡Vaya, lo lograste! ¡Pone en mi lista que has muerto como unas cincuenta veces *por lo menos*! ¡Es más de lo que ha muerto nunca nadie por aquí, me parece!
HypnosRunProgress01|Hypnos Run Progress 01|Hypnos|Oye, quiero ser el primero en decírtelo ¡*enhorabuena*! Has muerto cien veces desde que llevo la cuenta. Lo tengo todo anotado. No voy a ponerte una corona de laurel, pero dicen que se hace camino al andar, ¿no?
HypnosRunProgress02|Hypnos Run Progress 02|Hypnos|No te lo vas a creer... ¿Listo? ¡Tres... cientas *veces*! ¡Como lo oyes! ¡Has muerto trescientas veces! ¡Es como... si un pueblo entero muriese en un terremoto, pero tú solito!
