Id|Description|Speaker|Text
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|Meg. {#DialogueItalicFormat}Vaya{#PreviousFormat}. No esperaba compañía. ¿Estabas fisgoneando sin más o puedo ayudarte en algo?
MegaeraBedroom01|Megaera Bedroom 01|Megaera|Ya me iba, Zagreo. Estaba de paso por aquí, no gracias a ti, y se me ocurrió recuperar lo que me quedaba de mis pertenencias. La verdad es que has dejado que este lugar se vaya al infierno.
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|Se ha ido… Estupendo. ¡Maravilloso! Supongo que seguiremos matándonos una y otra vez.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|¿Has olvidado otra cosita en mi alcoba, Meg?
MegaeraBedroom02|Megaera Bedroom 02|Megaera|No. Tenemos que hablar. Otra vez. Mis hermanas han tomado cartas en el asunto. Has montado un lío de mil demonios.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Lo siento, pero mi madre está ahí fuera y no descansaré hasta encontrarla. No lo entenderías.
MegaeraBedroom02|Megaera Bedroom 02|Megaera|Eso no lo sabes. Intento decirte que… con mis hermanas, la cosa cambia. Ya no me siento tan presionada.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|¿Qué insinúas?
MegaeraBedroom02|Megaera Bedroom 02|Megaera|Que… sé que tienes que buscar a tu madre, Zagreo. Yo juego mi papel en todo esto, pero avísame si puedo hacer algo por ti.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|¡Meg...! Ella... {#DialogueItalicFormat}Ah{#PreviousFormat}.
MegaeraBedroom02B|Megaera Bedroom 02 B|Zagreus|Lo sé y lo siento, pero es algo que tengo que hacer. No lo entenderías.
MegaeraBedroom02B|Megaera Bedroom 02 B|Zagreus|No estás tan presionada… Espera, ¿qué piensas hacer?
MegaeraBedroom02B|Megaera Bedroom 02 B|Megaera|Quiero decirte que… sé que haces lo correcto, Zagreo. Mis hermanas harán lo posible por pararte los pies, pero yo me enfrento a ti porque me obligan. ¿Lo entiendes?
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Meg, menuda sorpresa. Otra vez. ¿Qué ocurre? ¿Qué te pasa? Espera... ¿Por qué me miras así?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|Zagreo, deja de hacer preguntas absurdas y acércate, anda. Pero ya.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Pero… es que… oh…
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Creía que nunca me lo preguntarías... pero me alegro de que lo hayas hecho.
