Id|Description|Speaker|Text
PatroclusFirstMeeting|Patroclus First Meeting|Patroclus|Sigue tu camino, foráneo. Hay muchas sombras que quieren combatir contigo.
PatroclusFirstMeeting|Patroclus First Meeting|Zagreus|Estoy de paso. Pareces menos belicoso que los demás. ¿Puedo preguntarte cómo te llamas? Soy Zagreo.
PatroclusFirstMeeting|Patroclus First Meeting|Patroclus|Los nombres solo sirven para olvidarlos, foráneo. No deberías estar aquí. Que las moiras te sonrían en tu viaje, pero por si acaso no es así, ¿por qué no te quedas con esto?
PatroclusMeeting02|Patroclus Meeting 02|Zagreus|¿Te ocurre algo, amigo? ¿No tendrías que estar luchando por ahí para alcanzar la gloria y el orgullo eternos y todo eso?
PatroclusMeeting02|Patroclus Meeting 02|Patroclus|¿Para qué? Si preguntan, diremos que hemos combatido. Ahora vete. No tengo nada contra ti. Me quedaré aquí, tan a gusto, unos cuantos milenios más. Que pases un buen… lo que sea.
PatroclusMeeting03|Patroclus Meeting 03|Patroclus|Veo que sigues dando guerra en el Elíseo. Luchando contra mis hermanos en pos de la gloria, ¿cierto?
PatroclusMeeting03|Patroclus Meeting 03|Zagreus|Me dirijo a la superficie, pero tus hermanos me retrasan, ya sea por la gloria o a instancias de mi padre.
PatroclusMeeting03|Patroclus Meeting 03|Patroclus|¿Tu padre? Claro, eres el príncipe, ¿no? Pues mira de qué te sirven tus derechos de nacimiento. No estás mejor que ninguno de nosotros. Ahora, márchate.
PatroclusMeeting04|Patroclus Meeting 04|Patroclus|Otra vez tú. Te dije que te alejases de mí. Me trae sin cuidado que tu padre sea el amo y señor de todo esto, ¿comprendes? Vete. Dile que me arroje a las profundidades del Tártaro, si quiere. Me vendría bien cambiar de aires y salir de esta residencia de jubilados.
PatroclusMeeting05|Patroclus Meeting 05|Patroclus|Me mostré grosero la última vez, foráneo. Perdona mis indiscreciones. O no. Pero deseaba disculparme.
PatroclusMeeting05|Patroclus Meeting 05|Zagreus|No tiene importancia. Aun así, si pudiese ayudarte de algún modo, me lo dirías, ¿verdad?
PatroclusMeeting05|Patroclus Meeting 05|Patroclus|Me temo que no puedes librarme de este tormento. Encárgate de tus asuntos y yo me ocuparé de los míos.
PatroclusMeeting06|Patroclus Meeting 06|Patroclus|Foráneo, te advierto que, como sigas presentándote así, tendré que buscarte un apodo.
PatroclusMeeting06|Patroclus Meeting 06|Zagreus|No te compliques la vida, hombre. Tan solo somos conocidos. Yo tampoco sé nada de ti.
PatroclusMeeting06|Patroclus Meeting 06|Patroclus|Y es mejor así. En este lugar habitan los griegos más ilustres. ¿Tengo pinta de encajar aquí? Vete a charlar con Teseo o con alguien de su talla.
PatroclusMeeting07|Patroclus Meeting 07|Patroclus|Dime, foráneo, si te parece bien: ¿por qué vienes tanto por aquí? Pensaba que este era el rincón más recóndito del Elíseo.
PatroclusMeeting07|Patroclus Meeting 07|Zagreus|Las salas del Inframundo cambian tanto que todo queda en manos del azar. Nos encontramos por pura casualidad.
PatroclusMeeting07|Patroclus Meeting 07|Patroclus|Si la casualidad resulta demasiado sorprendente, culpa a las moiras. O a otra cosa. No sé si creerte, pero sí sé que quiero que te marches. Ya.
PatroclusMeeting07B|Patroclus Meeting 07 B|Patroclus|Si la casualidad resulta demasiado sorprendente, culpa a las moiras. O a otra cosa.
PatroclusMeeting08|Patroclus Meeting 08|Patroclus|¿Qué ocurre, foráneo? Tienes mucha facilidad para localizarme, aunque no tanta para dejarme en paz.
PatroclusMeeting08|Patroclus Meeting 08|Zagreus|Estoy dando uno de mis habituales paseos por el paraíso. Me pilla de camino hacia mi destino.
PatroclusMeeting08|Patroclus Meeting 08|Patroclus|¿Este lugar te parece un paraíso? En las profundidades, al menos, puede uno compartir sus penas con otras almas. No te ofendas, ya sé que solo estás de paso.
PatroclusMeeting09|Patroclus Meeting 09|Patroclus|Foráneo, ¿cómo va esa desobediencia deliberada? Ojalá yo también hubiera tenido agallas para desafiar a los dioses.
PatroclusMeeting09|Patroclus Meeting 09|Zagreus|Ya sabes, ahí va. Supongo que, si he llegado hasta aquí, algo he avanzado. No gracias a tus hermanos del Elíseo.
PatroclusMeeting09|Patroclus Meeting 09|Patroclus|Es inútil razonar con mis hermanos. Muchas sombras que te han hecho frente malgastaron sus vidas cuando eran hombres. Y, sin embargo, siguen queriendo demostrarse entre ellos lo grandes guerreros que son.
