Id|Description|Speaker|Text
Ending01|Ending 01|Persephone|Me pasé varios días cuidando de su jardín... ¿O fueron noches? Es difícil saber qué hora es aquí. El caso es que está aguantando más de lo que habría esperado...
Ending01|Ending 01|Hades|Perséfone, yo...
Ending01|Ending 01|Persephone|¡Cerbero! Te he echado tanto de menos... Veo que sigues cumpliendo tu cometido.
Ending01|Ending 01|Hades|Lo siento. Que sepas que lo siento.
Ending01|Ending 01|Persephone|Hades, pareces cansado, aunque no soy la única a la que debes una disculpa.
Ending01|Ending 01|Hades|Lo sé, lo sé... ¿Por qué has vuelto? Si el Olimpo... Si tu madre descubre lo que pasó, ni siquiera *Zeus *podría detener lo que sucedería a continuación.
Ending01|Ending 01|Persephone|*Ah*, he estado pensando en cómo podríamos arreglar eso, aunque necesitaré que Zagreo y tú me ayudéis con la solución. ¿O prefieres que vuelva por dónde he venido?
Ending01|Ending 01|Hades|¿Una solución? ¿Es que piensas invitarlos a tomar unas copas de *ambrosía*? Ni tú podrías arreglar una familia rota, Perséfone.
Ending01|Ending 01|Persephone|Tienes razón, Hades, no podría. Desde luego, no sola. ¿Me ayudarás entonces, o qué?
Ending01|Ending 01|Hades|Haría cualquier cosa que me pidieras.
Ending01|Ending 01|Persephone|Entonces, primero, habla con tu hijo.
Ending01|Ending 01|Hades|*Jum*. ¿Zagreo? Ya conoces a Perséfone, nuestra reina. ¡Espero que le muestres respeto en todo momento!
Ending01|Ending 01|Zagreus|Vaya, padre, ¡me has llamado por mi nombre! ¿Qué es esta curiosa sensación que siento? ¿Acaso es ese *respeto *del que hablas?
Ending01|Ending 01|Persephone|Parad los dos. No hagas que lamente esto, Hades, sé sincero con él. Sobre ti, no sobre mí. Adelante.
Ending01|Ending 01|Hades|Sí. Yo... Zagreo, sé que ha habido ocasiones en las que... he pagado contigo mi mal humor. He tenido muy poca paciencia. He cuestionado tu juicio a menudo, cuando el mío era a su vez imperfecto. Por todo eso, te pido perdón, hijo mío. No tengo excusa y no espero que me perdones.
Ending01|Ending 01|Zagreus|¿Y qué me dices de cuando me mentiste sobre mi madre? ¿Pides disculpas por eso? Tu mal humor y que lo pagases conmigo... Llevo tiempo sin esperar otra cosa de ti, y siempre te guardé rencor, pero al menos creía que... eras sincero.
Ending01|Ending 01|Hades|Tu madre no vino aquí voluntariamente cuando nos conocimos. Cuando se fue, pensando que habías muerto al nacer, su decisión era definitiva. Creía que estaría mejor sin nosotros, Olimpo incluido. Engañaros a ambos me hizo pedazos por dentro, pero era necesario.
Ending01|Ending 01|Zagreus|Bueno, pues no tenías por qué volcar en mí ese dolor interno toda la vida. Aunque creo que lo entiendo, solo desearía haberlo entendido antes. Y ahora, ¿qué? Estoy tan acostumbrado a ir sembrando el caos por tu dominio, que creo que lo echaré de menos.
Ending01|Ending 01|Hades|Sobre eso... tus *acciones *han desvelado numerosos fallos en nuestra seguridad, del tipo que nunca aparecen en los informes. Nuestra reputación depende de que no haya posibilidad de huida. ¿Por qué no sigues intentando escapar? No por mí, sino por el reino, por la reina.
Ending01|Ending 01|Persephone|Zagreo, si sigues esforzándote por huir, mantendremos las apariencias de que todo sigue como estaba.
Ending01|Ending 01|Zagreus|Una pregunta, padre. Pongamos que acepto. La próxima vez que llegue a la superficie, ¿seguirás esperándome tú?
Ending01|Ending 01|Hades|Chico, si crees por un instante que te lo voy a poner fácil por lo que ha pasado, te vas a llevar una sorpresa.
Ending01|Ending 01|Zagreus|Entonces, ¿sigo luchando por llegar a la superficie y matando a mi propio padre?
Ending01|Ending 01|Hades|¡Casi has acertado!
Ending01|Ending 01|Persephone|Quizá te toque también atender mi casa mientras andes por la zona. No hay que esforzarse mucho por cuidar el jardín. Me gusta que todo esté decente, en caso de que no aguante esta situación mucho tiempo.
Ending01|Ending 01|Zagreus|¡*Ja, ja, ja*! Vale, haré lo que pueda.
Ending01|Ending 01|Persephone|Con eso me basta. Y está claro que tenemos trabajo por hacer. Mucho, diría yo. ¿Empezamos, pues?
Ending01|Ending 01|Zagreus|*Después de todo este tiempo*, y ahora han pasado solo unos días. Pero está bien. Madre y padre están juntos de nuevo, he hecho nuevos amigos, ¡y he conseguido este cuadro tan bonito! Fácil. ¡Todo está bien en el Inframundo!
Flashback05|Flashback 05|Storyteller|*Al fin, encuentra la nota… escrita delicadamente con una mano y una voz que el príncipe jamás había visto ni oído.*
Flashback05|Flashback 05|Persephone|*«Hades: ya no soporto mi vida aquí. Así que me voy, aunque hacerlo suponga mi muerte. No volveré al Olimpo. Si hay un lugar para mí en este mundo, ha de estar entre el cielo y el infierno. Tal vez se halle en la costa y tenga un pequeño huerto. Cuida de Cerbero, lo echaré de menos.»*
Flashback05|Flashback 05|Storyteller|*De este modo, Zagreo, el príncipe del Inframundo, devoró el contenido de la carta oculta, escrita con la caligrafía de su madre.*
Flashback05|Flashback 05|Zagreus|La caligrafía de mi madre… Espera, ¿*qué*…? ¿Estás diciendo que la tal Perséfone es… mi madre? Pero si mi padre siempre ha dicho que Nicte era… Será mentiroso… Me mintió. Me mintieron los dos. ¡Toda mi vida!
Flashback05|Flashback 05|Storyteller|*Esto… Sí, de este modo, el príncipe descubrió, inadvertidamente, la verdad tan bien guardada sobre su linaje. Todo por accidente, en serio…*
AchillesWithPersephone01|Duo - Achilles and Persephone (1)|Persephone|Me honra haberte conocido, leal Aquiles, ¡nuestro guardia real! Es bueno saber a quién acudir si algo malo acontece por aquí. ¿Así que fuiste tú quien instruyó a mi hijo en las artes bélicas?
AchillesWithPersephone01|Duo - Achilles and Persephone (1)|Achilles|Así es, majestad. Era un estudiante de talento, ojalá hubieras podido contemplar sus progresos. Seguro que habrías estado muy orgullosa.
AchillesWithPersephone01|Duo - Achilles and Persephone (1)|Persephone|¡*Estoy *orgullosa! ¿Sabes? Ya eras famoso en la superficie cuando vivía en el Olimpo. ¡Es de suponer que tu leyenda se haya acrecentado desde entonces!
AchillesWithPersephone01|Duo - Achilles and Persephone (1)|Achilles|Oh, eso lo dudo. Pero... gracias, majestad.
NyxWithPersephone01|Duo - Nyx and Persephone (1)|Nyx|Perséfone, mi reina... Ha pasado demasiado tiempo, aunque los años han sido amables contigo. Es un honor verte de nuevo.
NyxWithPersephone01|Duo - Nyx and Persephone (1)|Persephone|¡Por favor, Nicte! Nada de formalidades, ¿de acuerdo? Me alegra un montón verte también, amiga mía. Los días en la superficie eran muy distintos, pero las noches... me recordaban a los ratos que pasábamos juntas aquí.
NyxWithPersephone01|Duo - Nyx and Persephone (1)|Nyx|Buenos recuerdos, espero.
NyxWithPersephone01|Duo - Nyx and Persephone (1)|Persephone|¡Buenos, sin ninguna duda! Siempre procuro olvidar los que no lo son.
NyxWithPersephone01|Duo - Nyx and Persephone (1)|Nyx|Nos alegra tenerte de vuelta, aunque me temo que te va a costar acostumbrarte de nuevo. Nos costará a todos.
NyxWithPersephone01|Duo - Nyx and Persephone (1)|Persephone|Bueno, después de haberme construido una casa yo sola allá arriba, creo que estoy preparada para todo. Ya sabes a qué me refiero.
ThanatosWithPersephone01|Duo - Thanatos and Persephone (1)|Thanatos|Reina Perséfone, estamos todos encantados de que hayas regresado. Si hay algo que pueda hacer para facilitar tu adaptación a la morada, solo tienes que pedirlo.
ThanatosWithPersephone01|Duo - Thanatos and Persephone (1)|Persephone|¡Gracias, Tánatos! Aceptaré tu oferta si se me ocurre algo. ¡Cómo has crecido! Imagino que te ha tocado cuidar de mi hijo todo este tiempo, ¿no?
ThanatosWithPersephone01|Duo - Thanatos and Persephone (1)|Thanatos|Resulta que tu hijo ha sido muy capaz de cuidar de sí mismo, aunque sí que intento apoyarle, por si acaso. Y ahora, si me disculpas, mi reina, alguien me espera en la superficie.
ThanatosWithPersephone02|Duo - Thanatos and Persephone (2)|Thanatos|Te agradezco tu bendición, reina Perséfone. Tu hijo y yo siempre hemos estado muy unidos, pero estas tribulaciones creo que nos han convertido en inseparables.
ThanatosWithPersephone02|Duo - Thanatos and Persephone (2)|Persephone|¡La verdad es que es evidente que tiene mejor gusto que yo, Tánatos! Puedo percibir lo trabajador que eres. Cuídate, por favor, y cuidad el uno del otro, ¿de acuerdo?
ThanatosWithPersephone02|Duo - Thanatos and Persephone (2)|Thanatos|Como desees, mi reina. Quiero decir... de acuerdo.
DusaWithPersephone01|Duo - Dusa and Persephone (1)|Dusa|*Estooo*... ¿señorita Perséfone? Es un gran placer conocerte. Llámame Dusa, por favor. Soy la cuidadora de la morada, y estoy a tu servicio. Si necesitas algo solo tienes que llamarme, ¿vale?
DusaWithPersephone01|Duo - Dusa and Persephone (1)|Persephone|¡Dusa! Un placer conocerte. ¡La morada está inmaculada! La diferencia con la situación anterior es como entre el día y la noche. Ahora sé exactamente a quién agradecérselo.
DusaWithPersephone01|Duo - Dusa and Persephone (1)|Dusa|¡Muchísimas gracias! ¡No te decepcionaré!
