Id|Description|Speaker|Text
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|Te voy a ser sincero, colega. Has impresionado a alguien muy por encima de mi nivel. Y ese alguien tiene algo que proponerte. ¿Te interesa?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Zagreus|A ver si lo adivino… ¿Tengo que abrirme paso por el Inframundo, tras usar el Pacto de Castigo, para que la travesía sea aún más traicionera? Y si tengo éxito me recompensarán con algún tipo de fruslería inútil, ¿verdad?
TrophyQuest_Beginning_01|Trophy Quest Beginning 01|Skelly|¡Incorrecto! Estamos hablando de algo muy gordo, tío. ¿Ves eso de ahí? Una baratija. Vamos, ¿qué te pasa? ¿Es que tienes miedo?
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|Sabía que tenías lo que hay que tener, amigo. ¿Te gusta tu nuevo premio? Pacto de Castigo, *paparruchas *de castigo, ¿a que tengo razón? Aunque ese era el reto más fácil de todos, creo que hasta yo podría haberlo superado.
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Zagreus|Espera, a ver si lo entiendo... He atravesado literalmente el infierno y he vuelto. Y mi recompensa es… ¿una estatua de ti? No me malinterpretes, es muy bonita. Solo que… no sé, esperaba otra cosa.
TrophyQuest_BronzeUnlocked_01|Trophy Quest Bronze Unlocked 01|Skelly|Mira, chavalote, hubo una pequeña confusión cuando hicimos el pedido, ¿sabes? Les dije que quería algo para quedar bien con mis contactos y el resultado fue lo que ves. Pero las otras han quedado mucho mejor, ¡ya lo verás!
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Zagreus|Huesos, una preguntita. ¿De verdad has encargado tres estatuas casi idénticas de ti para animarme a usar el Pacto de Castigo?
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Skelly|¡Me ofendes, colega! Ni siquiera has visto aún la tercera, ¿cómo puedes insinuar algo así? A lo mejor me he equivocado contigo. ¡Pensé que serías el elegido!
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Zagreus|Sólo dices eso para que me disculpe y trate de desbloquear la última de tus tres estatuas idénticas, ¿verdad?
TrophyQuest_SilverUnlocked_01|Trophy Quest Silver Unlocked 01|Skelly|¿Cómo te atreves…? ¡Devolvería esas estatuas ahora mismo si pudiera moverme! Y si aceptasen devoluciones…
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Skelly|Mira, siento haber estropeado lo de tus estatuas, chavalote. De verdad. Cuando las vi, me entraron los siete males. Pero luego pensé: «Ni en broma va a llegar a ver cómo han quedado». Así que me olvidé del tema, ¿sabes?
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Zagreus|No deberías haberme subestimado, colega. Aún así… no tendría que haber dicho esas cosas tan feas sobre tus estatuas. Traerlas aquí te habrá exigido un gran esfuerzo.
TrophyQuest_GoldUnlocked_01|Trophy Quest Gold Unlocked 01|Skelly|¡Y que lo digas, colega! Entonces, ¿en paz? Hemos pasado por muchas cosas juntos. ¡Los dos! He aprendido mucho de esta experiencia. Y ahora nos entendemos mucho mejor, ¿a que sí?
SkellyFirstMeeting|Skelly First Meeting|Skelly|¡Menuda choza tienes, chavalote! Pero basta de cháchara. Estoy aquí por trabajo. Así que venga. ¡Dame con todo!
SkellyFirstMeeting|Skelly First Meeting|Zagreus|No recuerdo tenerte en nómina, colega. ¿Quién es tu supervisor?
SkellyFirstMeeting|Skelly First Meeting|Skelly|*Oh, oh*. No pienso delatar a mis contactos, tronco. ¡Tendrás que sacármelo a leches!
SkellyMiscMeeting01|Skelly Misc Meeting 01|Zagreus|Supongo que no puedo convencerte de que te defiendas por una vez, ¿verdad?
SkellyMiscMeeting01|Skelly Misc Meeting 01|Skelly|Ni en broma, chavalote. ¡Me pagan por recibir, no por repartir! Ahora, ¡dame caña!
SkellyMiscMeeting02|Skelly Misc Meeting 02|Skelly|Vaya, te estás haciendo bastante fuerte, colega. Aunque en realidad me pagan para que te lo diga... pero no para que te cuente esto último...
SkellyMiscMeeting02|Skelly Misc Meeting 02|Zagreus|Tengo que preguntarte algo, colega: ¿para qué necesitas el dinero?
SkellyMiscMeeting02|Skelly Misc Meeting 02|Skelly|Colega, eso no le interesa a nadie salvo a mí. Además, está feo hablar de dinero todo el rato. Venga, volvamos a lo de molerme a palos.
