Id|Description|Speaker|Text
InspectHouse01|Inspect House 01|Storyteller|*La morada de Hades. La lúgubre y lujosa guarida del rey del Inframundo no es solo su hogar, sino también el de su obstinada progenie.*
InspectLoungeClosed01|Inspect Lounge Closed 01|Storyteller|*Lo que antes era una pequeña cantina dentro de la morada de Hades, ahora es una zona de paso vedado, totalmente destrozada desde que Cerbero, el perro policéfalo, la destrozase apenado por la desaparición del príncipe.*
InspectShades01|Inspect Shades 01|Storyteller|*Las sombras de los muertos transitan constantemente por la morada, quejándose de sus penas y buscando el oído de cualquiera dispuesto a escucharlas.*
InspectLoungeOpen01|Inspect Lounge Open 01|Storyteller|*La cantina de la morada de Hades es un lugar deprimente, a pesar de que su propósito sea levantar el ánimo de los apesadumbrados habitantes del lugar.*
InspectEmployeeOfTheMonth01|Inspect Employee Of The Month 01|Storyteller|*Un tablón conmemorativo adorna una de las sobrias paredes de la cantina, celebrando y proclamando las hazañas de aquellos que prestan un servicio excepcional a Hades.*
InspectCellar01|Inspect Cellar 01|Storyteller|*Los antiguos barriles de vino ocultos en los rincones de la morada de Hades... Pocos han catado la embriagadora añada que contienen, y aún menos tienen permiso para acercarse siquiera a ellos.*
InspectCellar01|Inspect Cellar 01|Storyteller|*Los resistentes barriles de vino de la morada de Hades están ahora casi vacíos, habiendo resistido con coraje ante la sed combinada de los dioses del Olimpo durante cierta fiesta.*
InspectOlympusSculpture01|Inspect Olympus Sculpture 01|Storyteller|*Un majestuoso edificio dorado del monte Olimpo, fabricado con el mayor de los cuidados con la roca de la montaña, ahora brilla eternamente incluso en la sombría luz de la morada de Hades, como un regalo de despedida de sus parientes.*
InspectMural01|Inspect Mural 01|Storyteller|*Un vasto e intrincado mosaico muestra al Señor del Inframundo sobre la enorme extensión de su dominio, mientras sus residentes ctónicos le admiran con asombro.*
InspectThrone01|Inspect Throne 01|Storyteller|*El ominoso trono del sombrío Hades rara vez está desocupado, y es por ello que todos los habitantes de la morada trabajan incansables en sus quehaceres diarios, sin atreverse a preguntar por qué.*
InspectHouseGarden01|Inspect House Garden 01|Storyteller|*El jardín de la reina Perséfone, vedado para el príncipe durante toda su vida, ahora se abre ante él en todo su esplendor.*
Flashback02|Flashback 02|Storyteller|*Se aventura hacia el majestuoso trono de su padre, y aunque parte de él espera que lo capturen, no está preparado para lo que está a punto de encontrar.*
Flashback03|Flashback 03|Storyteller|*No sabe exactamente lo que busca. Solo sabe que algo siempre le ha parecido fuera de lugar, como si no perteneciese a este mundo. ¿Quién es él en realidad? El señor Hades nunca permitiría tales preguntas. Por eso, el príncipe Zagreo buscará las respuestas por su cuenta.*
Flashback04|Flashback 04|Storyteller|*Decide hurgar entre las posesiones de su excelso padre. No hay prácticamente nada de utilidad entre ellas: libros de contabilidad y pergamineo administrativo, correspondencia del Olimpo que ha ignorado por completo... No parece haber rastro alguno de referencias a su hijo.*
Flashback05|Flashback 05|Storyteller|*Al fin, encuentra la nota… escrita delicadamente con una mano y una voz que el príncipe jamás había visto ni oído.*
Flashback05|Flashback 05|Persephone|*«Hades: ya no soporto mi vida aquí. Así que me voy, aunque hacerlo suponga mi muerte. No volveré al Olimpo. Si hay un lugar para mí en este mundo, ha de estar entre el cielo y el infierno. Tal vez se halle en la costa y tenga un pequeño huerto. Cuida de Cerbero, lo echaré de menos.»*
Flashback05|Flashback 05|Storyteller|*De este modo, Zagreo, el príncipe del Inframundo, devoró el contenido de la carta oculta, escrita con la caligrafía de su madre.*
Flashback05|Flashback 05|Zagreus|La caligrafía de mi madre… Espera, ¿*qué*…? ¿Estás diciendo que la tal Perséfone es… mi madre? Pero si mi padre siempre ha dicho que Nicte era… Será mentiroso… Me mintió. Me mintieron los dos. ¡Toda mi vida!
Flashback05|Flashback 05|Storyteller|*Esto… Sí, de este modo, el príncipe descubrió, inadvertidamente, la verdad tan bien guardada sobre su linaje. Todo por accidente, en serio…*
Flashback06|Flashback 06|Storyteller|*Perséfone, la antigua reina de todo el Inframundo… ¿Pero adónde había ido? ¿Y por qué? Con la cabeza repleta de preguntas y el corazón lleno de rabia, el príncipe decidió hacer frente a su amo y señor.*
Flashback_DayNightJob_02|Flashback Day Night Job 02|Storyteller|*Rechazando sus responsabilidades, Zagreo avanza por el pasillo del cuarto de su padre, muy poco preocupado por la urgencia con la que debería actuar en las circunstancias actuales.*
Flashback_DayNightJob_03|Flashback Day Night Job 03|Storyteller|*La puerta a la cámara administrativa lanza su llamada desde el final del pasillo. El príncipe espera ser capaz de entrar sin hacer ruido y sin llamar la atención de los trabajadores en su interior.*
Inspect_HousePillars_01|Inspect House Pillars 01|Storyteller|*De las innumerables y esplendorosas piedras preciosas que alberga el seno de la tierra, muchas sirven para adornar la morada de Hades, dios de los muertos, dios de innumerables riquezas.*
Inspect_NorthFountain_01|Inspect North Fountain 01|Storyteller|*El agua es la fuente de la vida, pero aun así fluye entre los recovecos más oscuros del Inframundo, donde las sombras sin descanso de los mortales la contemplan y recuerdan los días de antaño, cuando podían beberla y respirar.*
Inspect_SouthFountain_01|Inspect South Fountain 01|Storyteller|*El príncipe, portando piedras preciosas, encargó una fuente de tan magna factura para la morada que todas las sombras que la vieron siguen recordándolo con gran cariño desde entonces.*
Inspect_Cauldron_01|Inspect Cauldron 01|Storyteller|*Aunque los muertos no necesitan ningún sustento, intentan sin embargo darse banquetes de todas formas, como si imaginar las costumbres de la vida mortal les trajera algo de solaz.*
Inspect_KitchenIsland|Inspect Kitchen Island|Storyteller|*Aunque ha invertido gran cantidad de recursos en la cocina de la morada, el hambriento Zagreo no encuentra nada digno que llevarse a la boca.*
Inspect_PoetBust_01|Inspect Poet Bust 01|Storyteller|*En la galería de la morada se halla ahora el busto de un distinguido poeta, de robusta belleza para su edad y que, pese a que está aún por ganarse su destinada fama, probablemente sea mejor reconocido algún día.*
Inspect_AsphodelStatue_01|Inspect Asphodel Statue 01|Storyteller|*El aterrador semblante de un blanquecino guerrero sinsangre decora el pasillo para la eternidad, rindiendo eterno tributo a los despiadados siervos del señor de la morada.*
Inspect_WarriorStatue_01|Inspect Warrior Statue 01|Storyteller|*La forma física, perfectamente cincelada, de uno de los más grandiosos héroes griegos adorna ahora la galería de la morada, recordando a la mayoría de los observadores las muchas maneras en las que no se pueden comparar a él.*
Inspect_MainHallFireplace01|Inspect Main Hall Fireplace 01|Storyteller|*Las llamas del averno más profundo bañan la sala con un tenue fulgor, y su calidez es un bálsamo para los pocos habitantes que la ocupan.*
Inspect_Sundial01|Inspect Sundial 01|Storyteller|*El tiempo parece detenerse en el reino eterno de la muerte, e incluso las herramientas que miden su paso evidencian tal circunstancia.*
Flashback_Mother_01|Flashback Mother 01|Storyteller|*Es noche profunda, o el equivalente a ella en el reino de Hades. El príncipe del Inframundo, Zagreo, se despierta de un sueño intranquilo, con multitud de fechorías anidadas en su mente.*
Flashback_DayNightJob_01|Flashback Day Night Job 01|Storyteller|*El príncipe del Inframundo se levanta de un profundo sueño, con la sensación de que la pequeña siesta que tomó como ligero respiro de los rigores del día o la noche quizás no fuera tan breve...*
InspectBedroom01|Inspect Bedroom 01|Storyteller|*Los aposentos del príncipe Zagreo se encuentran en un estado perpetuo de desorden total, a pesar de que su amo y señor no para de insistir en que lo recoja todo.*
InspectBedroom_TrojanArms|Inspect Bedroom Trojan Arms|Storyteller|*Las armas destrozadas del asedio de Ilión han acabado reducidas a meros adornos de la siempre desordenada leonera del príncipe.*
InspectBedroom_AchillesPoster|Inspect Bedroom Achilles Poster|Storyteller|*El valor de Aquiles, el de corazón indomable, también está inmortalizado en la pared del príncipe, como para despertar un coraje aún mayor desde sus adentros.*
InspectBedroom_AphroditePoster|Inspect Bedroom Aphrodite Poster|Storyteller|*El rostro de la diosa Afrodita adorna ahora la alcoba del príncipe, tal vez para consolarlo la próxima vez que muera.*
InspectBedroom_DionysusPoster|Inspect Bedroom Dionysus Poster|Storyteller|*La faz siempre sonriente y sonrojada por el vino del gran Dioniso adorna ahora la pared de los aposentos del príncipe, ejerciendo una influencia poco recomendable.*
InspectBedroom_ScryingPool|Inspect Bedroom Scrying Pool|Storyteller|*Un rincón particularmente desordenado de la habitación del príncipe alberga ahora una vasija hermosamente decorada e imbuida de sutiles encantamientos, con rastros de sus desventurados intentos de huir del Inframundo.*
InspectBedroom_Lyre|Inspect Bedroom Lyre|Storyteller|*Un instrumento musical delicadamente creado ahora reside en la clamorosa cámara del príncipe, sin duda temeroso, si así pudiera sentirse, de su toque de manazas.*
InspectBedroomGamingTable01|Inspect Bedroom Gaming Table 01|Storyteller|*Un objeto intrincadamente grabado con propósito únicamente recreativo reside ahora en la placentera cámara del príncipe, aunque su falta de oponente limita su atractivo.*
InspectBedroomRug01|Inspect Bedroom Rug 01|Storyteller|*Mucha de la suavidad de la ricamente tejida alfombra adquirida por el príncipe no puede sentirse del todo bajo sus pies lamidos por las llamas.*
InspectBedroom_FancyBed|Inspect Bedroom Fancy Bed|Storyteller|*Por su suavidad perfecta y sus bordados con motivos relacionados con la muerte, el nuevo lecho del príncipe Zagreo es la envidia de todo el que desea descansar en paz.*
InspectBedroomCouch01|Inspect Bedroom Couch 01|Storyteller|*El príncipe, siempre enérgico, por desgracia sigue siendo incapaz de sentarse tranquilo incluso con semejante flexible y cómoda disposición de asientos ahora anidados en sus cámaras.*
InspectBedroomWeights01|Inspect Bedroom Weights 01|Storyteller|*Un enorme conjunto de pesas colocados con cuidado a la vista de cualquier visitante para hacerles pensar que, sin duda, el príncipe es más fuerte y está en mejor forma de lo que está en realidad.*
InspectBedroom_QuestLog|Inspect Bedroom Quest Log|Storyteller|*Puede que el confiado príncipe crea que ha adquirido la lista de augurios menores por voluntad propia, pero todo estaba predestinado...*
Flashback01|Flashback 01|Storyteller|*Todo está tranquilo por el momento, ya que el siempre soñador Hipnos hechizó la morada tal y como le pidió Zagreo. Todos duermen profundamente, excepto el príncipe. Exactamente como lo planeó.*
