Id|Description|Speaker|Text
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Theseus|¡*Ah, ja, ja, ja*! Por fin, Asterión. Ya está aquí. ¿A que sí, inmundo vástago infernal? ¡Prepárate para que te pasen por encima!
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Zagreus|Menuda injusticia… Es una Tau-Lambda macedonia chapada en bronce. ¿Qué hace un llorica insufrible como tú con la cuadriga más resistente jamás creada?
TheseusExtremeMeasures01|Theseus Extreme Measures 01|Theseus|¡*Bah*! No mereces saberlo. Baste con decir que Asterión y yo hemos sido recompensados una vez más. Y no dudaremos en emplear nuestro merecido trofeo contra ti.
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Theseus|Quiere ponerte en mi contra, Asterión. ¡Lo veo en esa mirada dispareja! No puedo quitarme la terrible idea de que, algún día o noche, seré yo el que está aquí solo, mientras tú te unes a él en mi contra, ¡con ese *demonio*!
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Zagreus|Asterión, en cuanto a eso, considéralo una oferta permanente. Preferiría tenerte como amigo que como rival. No creo que pueda decir lo mismo de Teseo, claro.
TheseusAboutFraternalBonds02|Theseus About Fraternal Bonds 02|Theseus|¡*Gusano ponzoñoso*! Sabía que tenías algún truco siniestro en la manga, porque desde luego, tu estilo de lucha no es como para que me preocupe. ¿Es que no hay truco sucio al que no puedas rebajarte?
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Theseus|¡Te digo que te *equivocas*, Asterión! No es de la *realeza*, ¡al menos nadie que *yo *reconozca como tal! Solo es un dios menor anónimo y olvidado, nacido en el abismo y condenado a quedarse en él.
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Minotaur|A mí también me menospreciaron palabras similares, rey. Me he enfrentado a este enemigo... ¿cuántas veces? Y siempre ha luchado con valor.
TheseusAboutFraternalBonds03_A|Theseus About Fraternal Bonds 03 A|Theseus|¿*Valor*? ¿Llamas *valor *a esconderse tras los pilares, Asterión? Tendremos que hablar sobre esta extraña falta de juicio tuya cuando alcancemos la victoria.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Theseus|Espero que estés muy orgulloso de ti mismo, vástago infernal, porque Asterión está muy enfadado conmigo. ¡Dice que estoy siendo injusto contigo! *Qué grosero*.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Minotaur|No me has entendido, rey. Aún tenemos mucho que aprender sobre este rival. Cada vez que lo vemos, lleva un equipo distinto. Armas, dones divinos y demás. A pesar de nuestros esfuerzos, es difícil interpretar su estrategia.
TheseusAboutFraternalBonds04_A|Theseus About Fraternal Bonds 04 A|Theseus|¿Y ahora dices que no valgo para luchar, Asterión? ¿Aunque no tuve dificultad para derrotarte a *ti *en aquel laberinto tuyo? ¡Vamos, luchemos!
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Theseus|¡Ven, gusano! ¡Ven a luchar! Y aprovecha la ventaja que te da el caos que has sembrado. ¡Ya no somos un equipo! Ahora solo somos dos combatientes cuyo turno para luchar ha llegado al mismo tiempo.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Minotaur|Rey, creo que estás siendo demasiado dramático. Sé razonable y más considerado. Ponte en mi lugar. No creo que esté pidiendo mucho.
TheseusAboutFraternalBonds05_A|Theseus About Fraternal Bonds 05 A|Theseus|¡Me pides lo imposible! Pero luchemos... Aunque casi con total seguridad vayamos a perder; pues si no somos un equipo, ¿qué somos, Asterión?
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds 06 A|Theseus|Combatamos como equipo de nuevo, Asterión. Olvida mis faltas de respeto. Este maldito demonio... sus mentiras y mezquindades me hacen perder la cabeza... ¡o su equivalente fantasmagórico!
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds 06 A|Minotaur|Júramelo, rey. Jura que dejarás a un lado tus dudas sobre nuestro vínculo. El retaco nunca conseguirá romperlo, ni siquiera lo entiende. El único que puede romperlo eres tú.
TheseusAboutFraternalBonds06_A|Theseus About Fraternal Bonds 06 A|Theseus|Mi querido Asterión, lo entiendo, y por supuesto que tienes razón. ¡*Tienes razón*! Y te juro solemnemente, y sin duda alguna, que nunca volveré a dudar de nuestra hermandad ni volveré a escuchar a este demonio. ¡Juntos, ahora y por siempre!!
TheseusExtremeMeasures02|Theseus Extreme Measures 02|Theseus|Acércate, canalla, para que te aplasten las colosales ruedas de la cuadriga más excelsa que ha conocido el mundo entero.
TheseusExtremeMeasures02|Theseus Extreme Measures 02|Zagreus|Solo tenéis esa cuadriga gracias a mí. Era una de las condiciones del Pacto de Castigo. No habéis hecho nada para merecerla. ¡Déjate de historias!
TheseusExtremeMeasures02|Theseus Extreme Measures 02|Theseus|*Ja, ja, ja, ja*. ¡¿Cómo?! ¿Dices ser mi benefactor cuando, en realidad, eres mi enemigo mortal, en sentido figurado? Pienso aplastarte con la cuadriga.
TheseusExtremeMeasures03|Theseus Extreme Measures 03|Theseus|¡Venga, canalla! ¡Deja que te aplasten de nuevo las furiosas ruedas de la Tau-Lambda macedonia!
TheseusExtremeMeasures03|Theseus Extreme Measures 03|Zagreus|Teseo, ¿sabes que tienes un aspecto aún más ridículo de lo habitual con esa máscara? Entiendo lo del carro y el armamento antideportivo, pero... ¿llevar *eso*?
TheseusExtremeMeasures03|Theseus Extreme Measures 03|Theseus|¡*Bah*! Esta máscara bendita fue forjada por el mismísimo Dédalo. Es una obra de arte y premio justo para un campeón. ¿Te ha hecho alguna vez algo a ti?
TheseusPactReverted01|Theseus Pact Reverted 01|Theseus|Mira, Asterión, ha regresado. Y esta vez lo derrotaremos sin la ayuda de nuestra armadura divina. Un reto digno, ¿no?
TheseusPactReverted01|Theseus Pact Reverted 01|Minotaur|No lo subestimes, rey. Ha demostrado que sabe dar guerra.
TheseusPactReverted01|Theseus Pact Reverted 01|Theseus|Tonterías, amigo mío. ¿Cómo se puede subestimar a alguien que no merece estima alguna? ¡Juntos, al *ataque*!
TheseusExtremeMeasures_IfYouWon01|Theseus Extreme Measures If You Won 01|Theseus|Vaya, monstruo estúpido, sospecho que ya no te pavoneas tanto. ¡Asómbrate! Pues mi gloriosa cuadriga ha quedado como nueva.
TheseusExtremeMeasures_IfYouWon01|Theseus Extreme Measures If You Won 01|Zagreus|Cierto, ¡un trabajo excelente! Habrás pagado una fortuna en gemas y diamantes para restaurar un viejo carro macedonio. Creía que había quedado para el arrastre la última vez.
TheseusExtremeMeasures_IfYouWon01|Theseus Extreme Measures If You Won 01|Theseus|Lo único que quedará para el arrastre, escoria inhumana y destructora, eres *tú*. ¡¡Asterión!! ¡Juntos, acabemos con él!
TheseusExtremeMeasures_IfYouWon02|Theseus Extreme Measures If You Won 02|Theseus|Mi cuadriga y yo estamos listos para la batalla, semidiós. Y supongo que Asterión también. Me lo dice mi corazón de fantasma: esta vez no caeremos ante ti.
TheseusExtremeMeasures_IfYouWon02|Theseus Extreme Measures If You Won 02|Zagreus|En mi opinión, la Tau-Lambda macedonia deja mucho que desear últimamente. Aunque quizá no sea la cuadriga, sino el cochero.
TheseusExtremeMeasures_IfYouWon02|Theseus Extreme Measures If You Won 02|Theseus|*¡¡Silencio!! *Muéstrame a un auriga más diestro en el Elíseo. ¡No puedes! Te aplastaré por mancillar mi orgullo.
TheseusExtremeMeasures_IfYouWon03|Theseus Extreme Measures If You Won 03|Theseus|Preparaos tú y tu armadura, amigo Asterión. Mientras yo lo rodeo, tú lo aniquilas con tu poderosa hacha.
TheseusExtremeMeasures_IfYouWon03|Theseus Extreme Measures If You Won 03|Zagreus|Tu estrategia saldría un poquito mejor si no la dijeses a voz en grito. Si bien reconozco que me impresiona que conduzcas, luches y grites, todo a la vez.
TheseusExtremeMeasures_IfYouWon03|Theseus Extreme Measures If You Won 03|Theseus|¡Y a *mí *me impresiona que *tú *vivas y respires! Una dolencia transitoria que pronto curaremos Asterión y yo. ¡*A la guerra*!
TheseusWithAsterius01|Duo - Theseus and Asterius (1)|Minotaur|Ha venido, mi rey. Activando la armadura. Menos mal que han arreglado la cuadriga a tiempo.
TheseusWithAsterius01|Duo - Theseus and Asterius (1)|Theseus|¡Tonterías, amigo mío! Derrotaríamos a este vástago infernal con o sin la protección divina que se nos ha otorgado. ¡A la carga!
TheseusPoseidonQuestReaction01|Theseus Poseidon Quest Reaction 01|Theseus|Aparta la mirada, demonio, o el bronce resplandeciente del carro macedonio te dejará ciego. ¡Estamos preparados para hacer frente a tu maldad!
