Id|Description|Speaker|Text
FurySistersUnion01|Fury Sisters Union 01|Megaera|Mis hermanas y yo hemos estado hablando y hemos llegado a un acuerdo, Zagreo. Como puedes ver.
FurySistersUnion01|Fury Sisters Union 01|Alecto|Megera, Tis, ¿listas?
FurySistersUnion01|Fury Sisters Union 01|Tisiphone|¡*Asssesssinooo*!
FurySistersUnion01|Fury Sisters Union 01|Zagreus|Tres contra uno. No parece muy justo, ¿no?
FurySistersUnion01|Fury Sisters Union 01|Megaera|La justicia dejó de preocuparnos hace tiempo. Te mataremos, sea como sea. ¡Erinias! ¡*Ahora*!
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Megaera|Atenta, Tisífone. Te he encontrado un asesino.
FurySisterUnionSingleSis02|Fury Sister Union Single Sis 02|Tisiphone|¿*Mmmuuuer*… tee…?
Fury3SisterUnionSingleSis01_A|Fury 3 Sister Union Single Sis 01 A|Tisiphone|¡*Aaassseesinoooo*!
Fury3FirstAppearance|Fury 3 First Appearance|Tisiphone|*Aaaa... Aaasesino...*
Fury3FirstAppearance|Fury 3 First Appearance|Zagreus|Eh, tú tienes que ser una de las hermanas de Meg. ¡Encantado de conocerte por fin! Me llamo Zagreo. No *asesino*. De verdad que no.
Fury3FirstAppearance|Fury 3 First Appearance|Tisiphone|Asesino… *¡Aaaaseeesinoooo...!*
Fury3FirstAppearance|Fury 3 First Appearance|Zagreus|Esto… Verás, he hecho cosas que quizá no sean estupendas, pero estoy total y completamente convencido de que no he asesinado a nadie.
Fury3FirstAppearance|Fury 3 First Appearance|Tisiphone|¡Aaassseeeesssinooooo!**
Fury3PostEnding01|Fury 3 Post Ending 01|Zagreus|Esta vez vengo por asuntos oficiales, Tisífone, así que.... *uhm*... ¡aparta! Aunque supongo que el objetivo de este trabajo es que intentes detenerme de todos modos, ¿no?
Fury3PostEnding01|Fury 3 Post Ending 01|Tisiphone|Mmm, hrr-hrr-*atttarrrrh*...
Fury3PostEpilogue01|Fury 3 Post Epilogue 01|Zagreus|Oh, siento que no pudieras asistir al banquete en la morada, Tisífone. Aunque algo me dice que no te habrías sentido a gusto. Bueno, Ares estuvo, probablemente haya repartido mucha "muerte", ¿no?
Fury3PostEpilogue01|Fury 3 Post Epilogue 01|Tisiphone|¿Muerrrrtee? Muerrrte. ¡*Muerrrte*!
Fury3Encounter01|Fury 3 Encounter 01|Tisiphone|¿Mmmuuuer… tee…?
Fury3Encounter01|Fury 3 Encounter 01|Zagreus|*Estooo*… ¿Y si digo que no? "No muerte". ¡"No muerte"!
Fury3Encounter01|Fury 3 Encounter 01|Tisiphone|*Mmmuuuerteee…*
Fury3Encounter02|Fury 3 Encounter 02|Tisiphone|¿Muerte…? Muerte, ¡mueeerte…!
Fury3Encounter02|Fury 3 Encounter 02|Zagreus|De verdad, me gustaría cambiar de tema. ¿Sería posible?
Fury3Encounter02|Fury 3 Encounter 02|Tisiphone|Aaasssesino… ¡*Aaasesssino*!
Fury3Encounter03|Fury 3 Encounter 03|Tisiphone|¡Mmm…! ¡Mmm…! ¡Mmmuuu…!
Fury3Encounter03|Fury 3 Encounter 03|Zagreus|A ver si lo adivino. ¿"Muerte"? ¿"Muérete", tal vez? ¿Alguna de esas dos?
Fury3Encounter03|Fury 3 Encounter 03|Tisiphone|Mmm, mmmuer... ¡¡Mmmuerte!!
Fury3Encounter04|Fury 3 Encounter 04|Tisiphone|Muuuu... muueeer... teee...
Fury3Encounter04|Fury 3 Encounter 04|Zagreus|Por favor. No soy un asesino. No tienes por qué hacer esto.
Fury3Encounter04|Fury 3 Encounter 04|Tisiphone|Asesino. Asssesssino…
Fury3Encounter05|Fury 3 Encounter 05|Tisiphone|Asesinooo... ¡Asesino, asesino, *asesino*!
Fury3Encounter05|Fury 3 Encounter 05|Zagreus|No nos estamos entendiendo, ¿verdad? Bueno, lamento que tenga que ser así.
Fury3Encounter05|Fury 3 Encounter 05|Tisiphone|Asesino. ¡*Asesinooo*!
Fury3Encounter06|Fury 3 Encounter 06|Tisiphone|¿Muerte? ¿*Muerte*...? Muerte...
Fury3Encounter06|Fury 3 Encounter 06|Zagreus|No te entiendo. Pero no soy quien crees. Mi padre te ha enviado para detenerme. Eso es todo.
Fury3Encounter06|Fury 3 Encounter 06|Tisiphone|Asesino. ¡Asesino…! ¡*Asesino*!
Fury3Encounter07|Fury 3 Encounter 07|Tisiphone|Ass... sse... ssino... ¡*muerrrrte*!
Fury3Encounter07|Fury 3 Encounter 07|Zagreus|Muerte no, Zagreo. ¡Me llamo Zagreo! ¿Puedes decirlo, Tisífone? Muerte no, ¡*Zagreo*!
Fury3Encounter07|Fury 3 Encounter 07|Tisiphone|Ass... se... *zino*...
Fury3Encounter08|Fury 3 Encounter 08|Tisiphone|Ass... ass... ze... ¡zino!
