Id|Description|Speaker|Text
Ending01|Ending 01|Persephone|Me pasé varios días cuidando de su jardín... ¿O fueron noches? Es difícil saber qué hora es aquí. El caso es que está aguantando más de lo que habría esperado...
Ending01|Ending 01|Hades|Perséfone, yo...
Ending01|Ending 01|Persephone|¡Cerbero! Te he echado tanto de menos... Veo que sigues cumpliendo tu cometido.
Ending01|Ending 01|Hades|Lo siento. Que sepas que lo siento.
Ending01|Ending 01|Persephone|Hades, pareces cansado, aunque no soy la única a la que debes una disculpa.
Ending01|Ending 01|Hades|Lo sé, lo sé... ¿Por qué has vuelto? Si el Olimpo... Si tu madre descubre lo que pasó, ni siquiera {#DialogueItalicFormat}Zeus {#PreviousFormat}podría detener lo que sucedería a continuación.
Ending01|Ending 01|Persephone|{#DialogueItalicFormat}Ah{#PreviousFormat}, he estado pensando en cómo podríamos arreglar eso, aunque necesitaré que Zagreo y tú me ayudéis con la solución. ¿O prefieres que vuelva por dónde he venido?
Ending01|Ending 01|Hades|¿Una solución? ¿Es que piensas invitarlos a tomar unas copas de {#DialogueItalicFormat}ambrosía{#PreviousFormat}? Ni tú podrías arreglar una familia rota, Perséfone.
Ending01|Ending 01|Persephone|Tienes razón, Hades, no podría. Desde luego, no sola. ¿Me ayudarás entonces, o qué?
Ending01|Ending 01|Hades|Haría cualquier cosa que me pidieras.
Ending01|Ending 01|Persephone|Entonces, primero, habla con tu hijo.
Ending01|Ending 01|Hades|{#DialogueItalicFormat}Jum{#PreviousFormat}. ¿Zagreo? Ya conoces a Perséfone, nuestra reina. ¡Espero que le muestres respeto en todo momento!
Ending01|Ending 01|Zagreus|Vaya, padre, ¡me has llamado por mi nombre! ¿Qué es esta curiosa sensación que siento? ¿Acaso es ese {#DialogueItalicFormat}respeto {#PreviousFormat}del que hablas?
Ending01|Ending 01|Persephone|Parad los dos. No hagas que lamente esto, Hades, sé sincero con él. Sobre ti, no sobre mí. Adelante.
Ending01|Ending 01|Hades|Sí. Yo... Zagreo, sé que ha habido ocasiones en las que... he pagado contigo mi mal humor. He tenido muy poca paciencia. He cuestionado tu juicio a menudo, cuando el mío era a su vez imperfecto. Por todo eso, te pido perdón, hijo mío. No tengo excusa y no espero que me perdones.
Ending01|Ending 01|Zagreus|¿Y qué me dices de cuando me mentiste sobre mi madre? ¿Pides disculpas por eso? Tu mal humor y que lo pagases conmigo... Llevo tiempo sin esperar otra cosa de ti, y siempre te guardé rencor, pero al menos creía que... eras sincero.
Ending01|Ending 01|Hades|Tu madre no vino aquí voluntariamente cuando nos conocimos. Cuando se fue, pensando que habías muerto al nacer, su decisión era definitiva. Creía que estaría mejor sin nosotros, Olimpo incluido. Engañaros a ambos me hizo pedazos por dentro, pero era necesario.
Ending01|Ending 01|Zagreus|Bueno, pues no tenías por qué volcar en mí ese dolor interno toda la vida. Aunque creo que lo entiendo, solo desearía haberlo entendido antes. Y ahora, ¿qué? Estoy tan acostumbrado a ir sembrando el caos por tu dominio, que creo que lo echaré de menos.
Ending01|Ending 01|Hades|Sobre eso... tus {#DialogueItalicFormat}acciones {#PreviousFormat}han desvelado numerosos fallos en nuestra seguridad, del tipo que nunca aparecen en los informes. Nuestra reputación depende de que no haya posibilidad de huida. ¿Por qué no sigues intentando escapar? No por mí, sino por el reino, por la reina.
Ending01|Ending 01|Persephone|Zagreo, si sigues esforzándote por huir, mantendremos las apariencias de que todo sigue como estaba.
Ending01|Ending 01|Zagreus|Una pregunta, padre. Pongamos que acepto. La próxima vez que llegue a la superficie, ¿seguirás esperándome tú?
Ending01|Ending 01|Hades|Chico, si crees por un instante que te lo voy a poner fácil por lo que ha pasado, te vas a llevar una sorpresa.
Ending01|Ending 01|Zagreus|Entonces, ¿sigo luchando por llegar a la superficie y matando a mi propio padre?
Ending01|Ending 01|Hades|¡Casi has acertado!
Ending01|Ending 01|Persephone|Quizá te toque también atender mi casa mientras andes por la zona. No hay que esforzarse mucho por cuidar el jardín. Me gusta que todo esté decente, en caso de que no aguante esta situación mucho tiempo.
Ending01|Ending 01|Zagreus|¡{#DialogueItalicFormat}Ja, ja, ja{#PreviousFormat}! Vale, haré lo que pueda.
Ending01|Ending 01|Persephone|Con eso me basta. Y está claro que tenemos trabajo por hacer. Mucho, diría yo. ¿Empezamos, pues?
Ending01|Ending 01|Zagreus|{#DialogueItalicFormat}Después de todo este tiempo{#PreviousFormat}, y ahora han pasado solo unos días. Pero está bien. Madre y padre están juntos de nuevo, he hecho nuevos amigos, ¡y he conseguido este cuadro tan bonito! Fácil. ¡Todo está bien en el Inframundo!
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}Al fin, encuentra la nota… escrita delicadamente con una mano y una voz que el príncipe jamás había visto ni oído.
Flashback05|Flashback 05|Persephone|{#DialogueItalicFormat}«Hades: ya no soporto mi vida aquí. Así que me voy, aunque hacerlo suponga mi muerte. No volveré al Olimpo. Si hay un lugar para mí en este mundo, ha de estar entre el cielo y el infierno. Tal vez se halle en la costa y tenga un pequeño huerto. Cuida de Cerbero, lo echaré de menos.»
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}De este modo, Zagreo, el príncipe del Inframundo, devoró el contenido de la carta oculta, escrita con la caligrafía de su madre.
Flashback05|Flashback 05|Zagreus|La caligrafía de mi madre… Espera, ¿{#DialogueItalicFormat}qué{#PreviousFormat}…? ¿Estás diciendo que la tal Perséfone es… mi madre? Pero si mi padre siempre ha dicho que Nicte era… Será mentiroso… Me mintió. Me mintieron los dos. ¡Toda mi vida!
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}Esto… Sí, de este modo, el príncipe descubrió, inadvertidamente, la verdad tan bien guardada sobre su linaje. Todo por accidente, en serio…
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|Meg. {#DialogueItalicFormat}Vaya{#PreviousFormat}. No esperaba compañía. ¿Estabas fisgoneando sin más o puedo ayudarte en algo?
MegaeraBedroom01|Megaera Bedroom 01|Megaera|Ya me iba, Zagreo. Estaba de paso por aquí, no gracias a ti, y se me ocurrió recuperar lo que me quedaba de mis pertenencias. La verdad es que has dejado que este lugar se vaya al infierno.
MegaeraBedroom01|Megaera Bedroom 01|Zagreus|Se ha ido… Estupendo. ¡Maravilloso! Supongo que seguiremos matándonos una y otra vez.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|¿Has olvidado otra cosita en mi alcoba, Meg?
MegaeraBedroom02|Megaera Bedroom 02|Megaera|No. Tenemos que hablar. Otra vez. Mis hermanas han tomado cartas en el asunto. Has montado un lío de mil demonios.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|Lo siento, pero mi madre está ahí fuera y no descansaré hasta encontrarla. No lo entenderías.
MegaeraBedroom02|Megaera Bedroom 02|Megaera|Eso no lo sabes. Intento decirte que… con mis hermanas, la cosa cambia. Ya no me siento tan presionada.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|¿Qué insinúas?
MegaeraBedroom02|Megaera Bedroom 02|Megaera|Que… sé que tienes que buscar a tu madre, Zagreo. Yo juego mi papel en todo esto, pero avísame si puedo hacer algo por ti.
MegaeraBedroom02|Megaera Bedroom 02|Zagreus|¡Meg...! Ella... {#DialogueItalicFormat}Ah{#PreviousFormat}.
MegaeraBedroom02B|Megaera Bedroom 02 B|Zagreus|Lo sé y lo siento, pero es algo que tengo que hacer. No lo entenderías.
MegaeraBedroom02B|Megaera Bedroom 02 B|Zagreus|No estás tan presionada… Espera, ¿qué piensas hacer?
MegaeraBedroom02B|Megaera Bedroom 02 B|Megaera|Quiero decirte que… sé que haces lo correcto, Zagreo. Mis hermanas harán lo posible por pararte los pies, pero yo me enfrento a ti porque me obligan. ¿Lo entiendes?
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Meg, menuda sorpresa. Otra vez. ¿Qué ocurre? ¿Qué te pasa? Espera... ¿Por qué me miras así?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|Zagreo, deja de hacer preguntas absurdas y acércate, anda. Pero ya.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Pero… es que… oh…
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Creía que nunca me lo preguntarías... pero me alegro de que lo hayas hecho.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|Meg… intento preguntarte si has… si hemos hecho las paces o…
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|No seas tan inseguro, Zag. Ya tendrías que tenerlo claro. Pero sí, para que lo sepas. Hemos hecho las paces. Pero como se lo cuentes a alguien, vivo o muerto, te mato, ¿entendido?
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|V... vale. Alto y claro, Meg, entendido. Y… ¿ahora qué?
BecameCloseWithMegaera01|Became Close With Megaera 01|Megaera|¿Ahora qué? Pues que nos veremos en la frontera del Tártaro. O quizá aquí. Mientras dure lo nuestro.
BecameCloseWithMegaera01|Became Close With Megaera 01|Zagreus|¿Mientras dure "lo nuestro"?
