Id|Description|Speaker|Text
AchillesFirstMeeting_Alt|Achilles First Meeting Alt|Achilles|Content de te voir, mon garçon. Tu as dû être sacrément occupé ces derniers temps, je me trompe ? Si tu as besoin de quoi que ce soit, fais-le moi savoir... même si j'ai l'impression que tu t'en sors plutôt bien jusqu'ici.
AchillesGrantsCodex|Achilles Grants Codex|Achilles|Tu finiras par mieux t'en sortir là-dehors, mon garçon. Malgré tous nos entraînements ensemble, il n'y a rien de tel que de se frotter à la réalité. Tiens, j'ai quelque chose pour toi.
AchillesGrantsCodex|Achilles Grants Codex|Zagreus|Attendez, attendez, vous me donnez votre Codex ? Je ne peux pas accepter ça !
AchillesGrantsCodex|Achilles Grants Codex|Achilles|S’il te plaît, j’insiste. Je veux que ton amour pour l’histoire s'épanouisse, et pas seulement ton amour pour la guerre. Et puis, qui sait, tu réussiras peut-être à le terminer.
AchillesLoungeClosed01|Achilles Lounge Closed 01|Zagreus|Achille, est-ce que c'est vrai que Cerbère a dévasté le salon juste après mon départ ? Il a dû s'attirer tellement d’ennuis...
AchillesLoungeClosed01|Achilles Lounge Closed 01|Achilles|Tu aurais dû voir le résultat, mon garçon. On aurait dit un vignoble après un typhon ! Ton père était furieux. Mais il ne se fâche jamais trop contre le chien. C'est plutôt Dusa qui est à plaindre... la pauvre est en train de tout remettre en ordre.
AchillesLoungeClosed01|Achilles Lounge Closed 01|Zagreus|Oh, non... je me demandais ce que devenait Dusa. Elle a toujours peur de se faire renvoyer par Père, même quand tout va bien.
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Achilles|Je dois dire, mon garçon, que ça faisait longtemps que cet endroit n’avait plus été aussi plein de vie. La remise à neuf des parties communes de la Maison, du nouveau mobilier... c’est plutôt agréable, honnêtement. C’est toi qu’il faut remercier, je me trompe ?
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Zagreus|Oh, ça ? Ce n’est rien. Mais je suis ravi d'entendre que ça a changé les choses en bien. C'est notre contremaître qui fait tout le travail, je ne fais que gérer les commandes.
AchillesGhostAdminProgress01|Achilles Ghost Admin Progress 01|Achilles|Et le financement. Ton père a une certaine façon de diriger les Enfers. Cette vieille Maison est peut-être somptueuse, mais il a cessé depuis longtemps d'essayer d'en faire un espace de vie digne de ce nom. Tous ces changements sont donc les bienvenus.
AchillesMiscMeeting01|Achilles Misc Meeting 01|Achilles|Continue comme ça, mon garçon. J’ai rencontré de grands hommes tout au long de ma vie, et je sais reconnaître quelqu’un qui sait comment dominer la situation malgré les circonstances. Bats-toi comme je me battrais, là-dehors.
AchillesMiscMeeting01|Achilles Misc Meeting 01|Zagreus|Je vais leur en faire voir comme vous en votre temps, Achille. Mais il faut quand même dire qu’une grande partie des ombres qui s’opposent à moi sont arrivées au Tartare à cause de vous.
AchillesMiscMeeting02|Achilles Misc Meeting 02|Zagreus|Dites, Achille, vous ne sauriez pas qui je dois remercier pour les armes juste devant mes appartements ?
AchillesMiscMeeting02|Achilles Misc Meeting 02|Achilles|Non, aucune idée. Mais si je croise cette personne, je ne manquerai pas de la remercier pour toi, mon garçon.
AchillesMiscMeeting03|Achilles Misc Meeting 03|Achilles|Tes ennemis ne sont ni ton père, ni les misérables morts, mon garçon. Ce sont les Enfers eux-mêmes. Ils ont été conçus pour empêcher toute évasion. Tu as sûrement remarqué maintenant que l'organisation de chacune des chambres change en permanence.
AchillesMiscMeeting03|Achilles Misc Meeting 03|Zagreus|Les Enfers eux-mêmes sont mon ennemi... alors je ferai de mon mieux pour anticiper leurs surprises, monsieur.
