Id|Description|Speaker|Text
ZeusWithAthena01|Duo - Zeus and Athena (1)|Zeus|Regarde, Zagreus, voici la courageuse Athéna, la première de ma famille à t'avoir tendu la main dans toute sa sagacité. Ma fille, tu es si proactive que tu as contacté Zagreus avant même de m'informer de la situation !
ZeusWithAthena01|Duo - Zeus and Athena (1)|Athena|Cher père, si seulement il m'était possible de régler de telles affaires encore plus promptement et discrètement, pour que seules les plus graves captent votre attention. Cela dit, je suis certaine que Zagreus et moi vous sommes très reconnaissants de votre intervention.
AresWithAthena01|Duo - Ares and Athena (1)|Ares|J'espérais pouvoir te parler à nouveau en privé, cher parent, mais vois-tu...
AresWithAthena01|Duo - Ares and Athena (1)|Athena|...Mais vois-tu, cher Cousin, certains membres de notre famille sont prédisposés à l’indicible. Je te mets en garde contre mon demi-frère, voilà tout. À présent, poursuis ton chemin.
AresWithAthena01|Duo - Ares and Athena (1)|Ares|Tu m'interromps une fois de plus, ma chère sœur. Tu sais que cela m’est égal. Je te préviens, ne te mêle pas de mes affaires. J’aiderai mon parent comme bon me semble.
AresWithAthena01|Duo - Ares and Athena (1)|Athena|Tu fais toujours comme bon te semble, cher Arès. Veille seulement à garder le même cap que nous tous.
AphroditeWithAthena01|Duo - Aphrodite and Athena (1)|Aphrodite|Tu dois nous excuser, petit dieu. Je parle de notre grande famille sur l'Olympe ! Certains d'entre nous sont terriblement coincés, et rendent les choses bien plus compliquées qu'elles n'ont besoin de l'être.
AphroditeWithAthena01|Duo - Aphrodite and Athena (1)|Athena|Je me demande, très chère Aphrodite, si tu serais prête à me répéter de telles choses en face ?
AphroditeWithAthena01|Duo - Aphrodite and Athena (1)|Aphrodite|Oh, tu sais que je ferais bien plus que ça à ta face, ma chère Athéna ! Pour être tout à fait franche, il y a de quoi faire !
AphroditeWithAthena02|Duo - Aphrodite and Athena (2)|Aphrodite|Mon chéri, tu dois savoir que la déesse Athéna et moi-même ne sommes pas toujours du même avis. Peut-être parce qu'elle passe son temps à trop réfléchir, tandis que moi, je suis mon cœur !
AphroditeWithAthena02|Duo - Aphrodite and Athena (2)|Athena|Je suis contente de voir que nous avons pu nous mettre d'accord pour cette fois, alors. Ce serait fort embarrassant de nous chamailler devant Zagreus.
DionysusWithAthena01|Duo - Dionysus and Athena (1)|Dionysus|Hé, Zag ! Quand tu seras là, ça sera vraiment super, mec. Je te promets ! Même Athéna ici présente se détendra un peu, elle détachera ses cheveux, mettra une tenue un peu plus relax... Ouais, ça va être un truc de *dingue * !
DionysusWithAthena01|Duo - Dionysus and Athena (1)|Athena|Parfois, je me dis qu'en vérité, c'est peut-être le seigneur Dionysos qui est le vrai dieu de la stratégie, car il semble étrangement toujours au courant de mon prochain coup. Enfin, quoi qu'il en soit, je tâcherai de rester concentrée sur ta situation. Pas sur son banquet.
AthenaWithZeus01|Duo - Athena and Zeus (1)|Athena|Noble cousin, mon auguste père s'intéresse à votre quête et cherche maintenant à vous aider avec rien de moins que le tonnerre des cieux. Et vous avez aussi mon soutien, bien sûr.
AthenaWithZeus01|Duo - Athena and Zeus (1)|Zeus|Je te remercie pour ta généreuse présentation, Athéna, et je me réjouis toujours de t'avoir à mes côtés. Je suis sûr que notre double protection garantit à Zagreus de réussir !
AthenaWithPoseidon01|Duo - Athena and Poseidon (1)|Athena|Quand j'ai informé le seigneur Zeus et d'autres membres de notre famille de votre existence, Zagreus, c'est oncle Poséidon qui s'est manifesté en premier en vous accordant la bienveillance de la mer et de la terre. N'est-ce pas, mon oncle ?
AthenaWithPoseidon01|Duo - Athena and Poseidon (1)|Poseidon|Exactement, Athéna, avec cette excellente mémoire qui te caractérise ! Parce que ce n'est pas tous les jours qu'on apprend que son triste frère Hadès a engendré un bon fils ! Il ignore la chance qu'il a ! Et *toi*, mon neveu, mérite tellement *mieux *!
AthenaWithAphrodite01|Duo - Athena and Aphrodite (1)|Athena|Ta situation a rassemblé tous les membres de notre famille dans le désir de te soutenir, cousin. Même ceux qui, d'ordinaire, ne pensent qu'à eux-mêmes.
AthenaWithAphrodite01|Duo - Athena and Aphrodite (1)|Aphrodite|Oh, ma chère Athéna, si seulement j'étais sage au point de pouvoir répondre à tes petites piques et autres insultes de ce genre ! Tu ne trompes personne avec ta soi-disant bienveillance, sache-le.
AthenaWithAphrodite01|Duo - Athena and Aphrodite (1)|Athena|Le monde n'est pas que mensonges et tromperies comme tu le prétends, Aphrodite. Parfois, l'entraide se fait sans arrière-pensées. Maintenant, aide Zagreus ou va-t'en.
AthenaWithArtemis01|Duo - Athena and Artemis (1)|Athena|Est-ce que tu as un moment, Zagreus ? Un membre de ma famille m’accuse de ne pas lui accorder assez de temps avec toi. Je l’ai donc amené ici avec moi.
AthenaWithArtemis01|Duo - Athena and Artemis (1)|Artemis|Oh, euh, bonjour, Zagreus. Je crois qu'Athéna essaie de faire bonne figure ou de prouver quelque chose, je ne sais pas. Enfin bref, contente de te voir.
AthenaWithArtemis01|Duo - Athena and Artemis (1)|Athena|Bon, j’imagine que c’est réglé, alors. Je crains que ce genre d’interactions ne soit pas rare dans ma famille, mais bon, qu'est-ce qu'une famille sans ses petits défauts ?
AthenaWithDionysus01|Duo - Athena and Dionysus (1)|Athena|Certains membres de notre famille ne comprennent pas encore totalement la précarité de ta situation, cousin. Le Seigneur Dionysos, par exemple, la considère même comme un motif de réjouissances !
AthenaWithDionysus01|Duo - Athena and Dionysus (1)|Dionysus|Oh, allez, Athéna, tu vas quand même pas me dire que découvrir l'existence d'un parent oublié n'est pas une excellente raison de faire la fête, si ? Non, parce que si Zag n'est pas un motif de réjouissances, alors moi, je sais pas ce qu'il nous reste !
AthenaWithDemeter01|Duo - Athena and Demeter (1)|Athena|J'amène avec moi Dame Déméter, cousin. Je lui ai assuré que nous avions la situation bien en main, mais elle a malgré tout insisté pour t'apporter son soutien, dans son infinie compassion !
AthenaWithDemeter01|Duo - Athena and Demeter (1)|Demeter|Oh, inutile de me flatter ainsi avec tes fausses louanges, chère Athéna. Je croyais que ton intelligence sans limites t'aurait permis de te rendre compte que tes intentions sont pour moi claires comme le jour.
AthenaAboutDemeter01|Athena About Demeter 01|Athena|Ce froid glacial que je perçois doit vouloir dire que la déesse des saisons s'est intéressée à ta cause, Zagreus. Je ne m'attendais pas à ce que Déméter prenne part à cette affaire. Garde la tête haute, mais reste prudent avec elle.
AthenaAboutOlympianReunionQuest01|Athena About Olympian Reunion Quest 01|Zagreus|Bon, alors... au nom d'Hadès ! Olympe, ceci est un message officiel ! Dame Athéna, je crois que vous comprendrez vite de quoi il s'agit.
AthenaAboutOlympianReunionQuest01|Athena About Olympian Reunion Quest 01|Athena|C'est une proposition que vous me faites ? Non... Une minute. On dirait un message. Ou un fragment de message. Ça veut dire que...? Il faut que j'en parle aux autres. J'imagine que vous leur avez aussi envoyé un message ou qu'ils le recevront bientôt.
AthenaPostEpilogue01|Athena Post Epilogue 01|Athena|Ce fut un honneur de visiter la Maison de ton père, et de *te * voir brièvement en personne, Zagreus. Nyx et ta mère sont très rusées ; peut-être que c'est d'elles que tu tiens ton intelligence. Quant à tes nouvelles responsabilités... exposer les vulnérabilités dans une défense est ma spécialité.
AthenaAboutZeus01|Athena About Zeus 01|Athena|Si j’ai bien compris, tu es entré en contact avec mon père ? Ton oncle Zeus, je veux dire. Il s’intéresse à ta situation. Tu devrais te sentir honoré !
AthenaAboutPoseidon01|Athena About Poseidon 01|Athena|Tu as déjà rencontré le maître des mers, Poséidon, n’est-ce pas ? Notre oncle est affable, mais très susceptible. Je te conseille de rester sur tes gardes avec lui.
AthenaAboutAphrodite01|Athena About Aphrodite 01|Athena|Cousin, tu as rencontré Aphrodite, n’est-ce pas ? Elle aime captiver les hommes de ses charmes, mais ses intentions te concernant me paraissent pures. Tu découvriras vite que nos atouts sont complémentaires.
AthenaAboutAres01|Athena About Ares 01|Athena|Mon guerrier de frère t'a contacté, n’est-ce pas ? J’ai toujours trouvé sa conduite dérangeante. Au moins, on dirait qu’il t'aide, pour le moment.
AthenaAboutArtemis01|Athena About Artemis 01|Athena|Je vais te dire quelque chose, cousin : si même Artémis t'aide, c’est la preuve que ta cause est juste. Elle s’intéresse rarement aux affaires de la famille.
AthenaAboutDionysus01|Athena About Dionysus 01|Athena|Dionysos t'a déjà rendu visite ? Il s’intéresse plus aux banquets qu’aux conflits. C’est un plaisir de savoir qu’il se rend utile.
AthenaAboutHermes01|Athena About Hermes 01|Athena|Tu m'as trouvé plus tôt que prévu, cousin, et je me trompe rarement dans mes estimations. Tant mieux, bien sûr. Peut-être que tu es tout simplement plus rapide que je ne le pensais.
AthenaAboutHadesKeepsake01|Athena About Hades Keepsake 01|Athena|Zagreus, je ne sais pas s'il s'agit là de mon imagination, mais il semblerait que cette fois, tu aies la bénédiction de... de ton propre père ! Si le Seigneur Hadès te soutient dans tes efforts, alors j'ose espérer que tes relations avec lui sont en mesure de s'améliorer, d'une manière ou d'une autre.
AthenaAboutHadesKeepsake02|Athena About Hades Keepsake 02|Athena|Je vois que tu as encore la bénédiction d'Hadès, Zagreus. Écoute, je ne vais pas commencer à croire que tout ne sera plus qu'un long fleuve tranquille entre vous, désormais. Cela dit, je pense qu'il est possible de tourner la page sur le passé, aussi tumultueux soit-il. Crois-moi... j'en sais quelque chose.
AthenaPostGiftPickup01|Athena Post Gift Pickup 01|Athena|Il me tarde tant que tu prennes ta place parmi les dieux, cher Cousin. L’Olympe ne sera que plus joyeux et bienveillant quand tu y seras.
AthenaPostGiftPickup02|Athena Post Gift Pickup 02|Athena|Bonjour et bon vent à toi, noble Cousin. Je prie que tu soies prompt à vaincre les morts qui osent s’opposer à toi.
AthenaPostGiftPickup03|Athena Post Gift Pickup 03|Athena|N'abandonnez jamais votre espoir de vous échapper, cher cousin. Malgré toutes nos différences, la persévérance est une qualité que nous possédons tous.
AthenaPostGiftPickup04|Athena Post Gift Pickup 04|Athena|Tu pourras toujours compter sur mon aide, Zagreus. Pour moi, les besoins de notre famille passent avant tout autre chose.
AthenaPostGiftPickup05|Athena Post Gift Pickup 05|Athena|Puisse ma voix être telle une lueur dans l'obscurité, noble cousin ; mais puisse la bénédiction que je vais t'accorder être encore plus que cela.
AthenaVsOlympians01|Athena Vs Olympians 01|Athena|Vous avez fait connaissance de vos parents éloignés, désormais. Nous n’avons pas tous le même comportement ni le même point de vue. Mais il me semble que tous, nous vous soutenons.
AthenaBackstory01|Athena Backstory 01|Athena|Cette Nyx... c’est donc ta mère, si je comprends bien ? Nous, les Olympiens, nous ne fréquentons que rarement les dieux chthoniens. Mais c'est elle qui m’a informé de ta situation, et m’a incitée à agir.
AthenaBackstory02|Athena Backstory 02|Athena|Transmets mon bon souvenir à la déesse Nyx. Qu’elle te soutienne dans tes efforts pour t'enfuir de son domaine indique un dévouement que je n’aurais pas attendu de sa part.
AthenaBackstory03|Athena Backstory 03|Athena|Il est tellement cruel que ton père nous ait caché ton existence, mon Cousin. C’est inacceptable.
AthenaBackstory04|Athena Backstory 04|Athena|Ton père Hadès et mon père Zeus ne communiquent plus depuis quelque temps, et Zeus refuse d'en expliquer la raison. Il s’est passé quelque chose entre eux... peut-être que tu en sais davantage que moi.
AthenaBackstory05|Athena Backstory 05|Athena|Je voulais vous dire quelque chose, Zagreus : il n’y a pas de honte à avoir été élevé comme vous l’avez été. Beaucoup d’entre nous, sur l’Olympe, sont aussi nés dans d’étranges circonstances. Un jour, je vous parlerai de ma naissance.
AthenaPostFlashback01|Athena Post Flashback 01|Athena|Tu n’as rien à voir avec ton père, Zagreus. C’est un compliment, de ma part. Il s’est coupé de sa famille. Nous lui avons souvent tendu la main, mais sans succès.
AthenaRunProgress01|Athena Run Progress 01|Athena|Je suis réconfortée de voir jusqu’où vous êtes allé, cousin. Et je suis sûre que vous finirez par sortir de là. Il me tarde nos futures conversations.
AthenaRunProgress02|Athena Run Progress 02|Athena|Bravo, vous avez atteint les flammes de l'Asphodèle ! Il vous reste pas mal de chemin, mais avoir traversé le Tartare n'est pas un mince exploit, cousin.
AthenaRunProgress03|Athena Run Progress 03|Athena|Je vois que vous avez réussi à atteindre l'Élysée sacré, cousin... Une étape importante avant la surface, et si vous avez réussi une fois, vous êtes sûrement capable de rééditer l'exploit, et de triompher des dangers qui vous y guettent.
AthenaRunProgress04|Athena Run Progress 04|Athena|J'ai cru comprendre que tu avais presque rejoint la surface récemment, Zagreus. Je reste convaincue que tu finiras tôt ou tard par sortir de là, quelles que soient les abominations pouvant guetter au-delà des confins des Enfers.
AthenaRunCleared01|Athena Run Cleared 01|Athena|Vous n'avez pas failli atteindre la surface, récemment, cousin ? Cela veut dire qu'un événement imprévu vous a empêché de réussir.
AthenaRunCleared02|Athena Run Cleared 02|Athena|Une force ou un ennemi invincible doit vous attendre à la limite de votre royaume et du nôtre. Un voile de ténèbres nous empêche de le voir. Je veillerai à ce que votre famille sache qu'un temps considérable sera nécessaire pour passer outre... Alors, n'ayez crainte, car nous sommes patients, ici.
AthenaRunCleared03|Athena Run Cleared 03|Athena|Malgré les difficultés que vous avez sans cesse rencontrées, cher cousin, vous n'avez jamais baissé les bras. Je dois avouer que votre force de caractère est un exemple. Bien que je sois de nature à douter, je comprends mieux pourquoi Nyx a dit tant de bien de vous.
AthenaPostEpilogue02|Athena Post Epilogue 02|Athena|C'est une chance que tes problèmes avec ta mère aient été résolus. Avec Perséphone, je veux dire ! Et dire que j'ai fait croire à toute ma famille que la déesse Nyx était ta mère. Il semblerait que je les ai induits en erreur sans le vouloir. Mais je sais que Nyx n'avait pas de mauvaises intentions.
AthenaAboutKeepsake01|Athena About Keepsake 01|Athena|Tu portes mon Pendentif de Hibou, noble cousin ! Peu importe où il se trouve, je peux le voir briller de loin, même quand il est là-bas ! Car vois-tu, les hiboux peuvent voir même dans l'obscurité la plus totale.
AthenaAboutNyx01|Athena About Nyx 01|Athena|Je me suis plus rapprochée de Nyx que je ne l'aurais pensé, cousin. Son profond attachement à toi est évident. Je dois reconnaître que j'envie votre relation, parfois, car je n'ai jamais eu de mère sur qui compter.
AthenaAboutNyx02|Athena About Nyx 02|Athena|Le Seigneur Arès a laissé entendre que la déesse Nyx et lui se sont beaucoup rapprochés, dans cette histoire. Rien d'inconvenant, bien sûr. Arès et moi avons été, et sommes en désaccord sur de nombreux sujets, mais il s'avère que nous partageons le même avis sur la Nuit incarnée.
AthenaAboutNyx03|Athena About Nyx 03|Athena|Parfois, je pense à la Déesse Nyx, et l'envie qu'elle soit la mère que je n'ai jamais eue me revient, cousin. Est-ce inconvenant de te dire de telles choses ? Il serait facile de croire que quelqu'un veille déjà sur moi, là-haut, mais... j'ai souvent l'impression que c'est moi, la mère de tout le monde, ici.
AthenaAboutQuestLog01|Athena About Quest Log 01|Athena|La déesse Nyx a indiqué que tu possédais une liste de prophéties des Trois Moires. J'ai la même liste ici, sur l'Olympe ! Elle semble liée à la tienne, car plusieurs prophéties se sont déjà réalisées. N'est-ce pas un immense honneur que d'aider le Destin à s'accomplir ?
AthenaLegendaryPickUp01|Athena Legendary Pick Up 01|Athena|Vous ne pouvez pas résister aux légions de votre père, Zagreus, mais cela pourrait changer avec une de mes meilleures bénédictions, je crois.
AthenaLegendaryPickUp01|Athena Legendary Pick Up 01|Athena|Cher cousin, je souhaite t'offrir la bénédiction la plus puissante qui me soit possible d'accorder. Puisses-tu en faire bon usage, et nous rejoindre enfin au sommet de l'Olympe !
AthenaLegendaryPickUp02|Athena Legendary Pick Up 02|Athena|Cher cousin, si seulement je pouvais vous donner une détermination éternelle et sans faille ! Quoique, maintenant que j'y pense, ce que je m'apprête à vous offrir n'est pas moins précieux.
AthenaLegendaryPickUp02|Athena Legendary Pick Up 02|Athena|Les circonstances me poussent à t'offrir la plus puissante de mes bénédictions, cher cousin. Prends ma force, et triomphe des ténèbres une bonne fois pour toutes !
AthenaMaxRelationship01|Athena Max Relationship 01|Athena|Vous soutenir dans vos épreuves, cousin ? Ça me rappelle le frisson que j'éprouve quand je me bats aux côtés de personnes qui me sont chères. Je suis peut-être en sécurité au sommet de cette montagne, mais je suis avec vous quand même... dans les victoires durement acquises comme dans les douloureuses défaites.
AthenaHasWeapon01|Athena Has Weapon 01|Athena|Tu possèdes Varatha, la Lance Éternelle...! Elle n’a donc pas été perdue pendant la guerre. Une arme magnifique, dans des mains dignes d’elle.
AthenaHasWeapon02|Athena Has Weapon 02|Athena|Tiens, vous portez Coronacht, le Traque-cœur ! Je ne vous aurais jamais pris pour un archer, bien que le pouvoir de cet arc soit indéniable. Faites-en bon usage !
AthenaHasWeapon03|Athena Has Weapon 03|Athena|Vous portez le vrai bouclier Égide ! Mon bouclier a été fait à son image, mais beaucoup plus tard. Un jour, vous me raconterez comment vous l’avez obtenu.
